index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,31.0,0,,0,0.2,45102,0,6,0.6,96.0,False,-0.0002657101102696958,0,0.2,45022,4,10,1.0,200.0,False,-0.0008857003675656525,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,81593,0,0,0.0,0.0,False,0.0,0,0.2,81593,0,0,0.0,0.0,False,0.0,0.26666666666666666,378864,0.0,0.0,12,0,0,0,0,0.0,1046,1046,154,0.0,0.0,0,0,154,200,7.3475343639729545,7.3475343639729545
1,154,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,31.0,0,,0,0.2,45022,0,14,0.8,224.0,False,-0.0006199902572959567,0,0.2,44902,6,20,1.0,380.0,False,-0.001549975643239892,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,81593,0,0,0.0,0.0,False,0.0,0,0.2,81593,0,0,0.0,0.0,False,0.0,0.3,378664,0.0,0.0,10,0,0,22,0,0.0,26,48,44,432.0,501.0,26,128,44,200,5.021314438025001,12.368848801997956
2,44,0,0,0,10.0,20,10.0,14.636363636363637,10,8.5,24.0,0,,31.0,0,,0,0.2,44997,1,14,1.0,214.9090909090909,False,-0.0012742007560660703,0,0.2,44812,5,30,1.0,489.0909090909091,False,-0.0023350282417639637,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,62692,0,10,1.0,240.0,False,0.0005575290313331316,0,0.2,81593,0,0,0.0,0.0,False,0.0,0,0.2,81593,0,0,0.0,0.0,False,0.0,0.5,378464,0.0,0.0,12,0,0,14,0,0.0,19,33,33,218.0,109.0,14,30,33,285,1.7851480829995126,14.153996884997468
3,33,0,0,0,10.0,20,10.0,14.119266055045872,5,9.0,24.0,0,,31.0,20,31.0,0,0.2,44877,3,24,1.0,368.86238532110093,False,-0.002226845740654722,0,0.2,44777,3,35,1.0,524.1743119266055,False,-0.00272159877854609,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,62647,0,15,0.5,360.0,False,0.0007964700447616165,9,0.29000000000000004,81490,0,0,0.0,0.0,False,-0.0012623631929209614,11,0.31000000000000005,81457,0,0,0.0,0.0,False,-0.001666809652788842,0.4166666666666667,378025,0.0,0.0,12,0,0,4,9,9.0,22,26,39,94.0,122.0,6,27,39,245,1.8620134349912405,16.01601031998871
4,39,0,0,0,10.0,20,10.0,14.119266055045872,0,,24.0,0,,31.0,20,31.0,0,0.2,44817,0,33,0.9,465.9357798165138,False,-0.002480672027185303,0,0.2,44637,7,45,1.0,705.3669724770642,False,-0.0038155199894041574,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,62647,0,15,0.0,360.0,False,0.0007964700447616165,9,0.37100000000000005,81390,0,0,0.0,0.0,False,-0.0024879585258539335,11,0.40900000000000003,81316,0,0,0.0,0.0,False,-0.003394899072224333,0.31666666666666665,377584,0.0,0.0,11,0,0,14,10,10.0,19,33,35,146.0,124.0,12,27,35,200,1.9147541690035723,17.93076448899228
5,35,0,0,0,10.0,20,10.0,16.535289452815228,14,25.0,24.0,0,,31.0,20,31.0,0,0.2,44687,3,43,1.0,741.0174464710548,False,-0.0023136990559424067,0,0.2,44917,4,41,1.0,717.9468675654243,False,0.0025236578048516527,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,62297,4,25,1.0,666.1411578112609,False,-0.002340497651916624,8,0.44200000000000006,81306,0,0,0.0,0.0,False,-0.00351745860551763,12,0.518,81157,0,0,0.0,0.0,False,-0.005343595651587759,0.5,377141,0.0,0.0,11,0,0,10,10,10.0,18,28,34,106.0,125.0,7,28,34,550,1.4660122659988701,19.39677675499115
6,34,0,0,0,10.0,20,10.0,18.95746322111411,34,23.0,24.0,0,,31.0,20,31.0,0,0.2,44837,1,43,1.0,825.1709185079068,False,0.0019393618363658489,0,0.2,45349,6,27,1.0,571.851506970081,False,0.010471762842324085,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,61515,28,35,1.0,1370.8089701911952,False,-0.00918482111130513,13,0.5640000000000001,81122,0,0,0.0,0.0,False,-0.005772554018114299,7,0.5760000000000001,81089,0,0,0.0,0.0,False,-0.00617700047798218,0.5,376689,0.0,0.0,14,0,0,10,10,10.0,18,28,35,135.0,119.0,9,25,35,982,1.524956025998108,20.92173278098926
7,35,0,0,0,10.0,20,10.0,20.806111132356882,36,25.0,26.1,5,45.0,31.0,20,31.0,0,0.2,45657,0,16,0.9,332.8977781177101,False,0.014646138104133,0,0.2,45229,8,37,1.0,849.8261118972047,False,0.010892189361600465,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,60840,54,40,1.0,2167.530001147272,False,-0.013591522363705881,8,0.6310000000000001,81038,0,0,0.0,0.0,False,-0.006802054097777996,12,0.6890000000000001,80699,5,0,0.0,130.5,False,-0.010157121321682007,0.48333333333333334,376240,0.0,0.0,14,0,0,13,11,11.0,18,31,28,136.0,147.0,9,26,28,1325,1.5451754710520618,22.46690825204132
8,28,0,0,0,10.0,20,10.0,21.386209662950883,17,25.0,33.75333333333333,30,45.233333333333334,31.0,20,31.0,0,0.2,45577,0,24,0.8,513.2690319108212,False,0.01487167344128717,0,0.2,45534,10,30,1.0,741.5862898885265,False,0.0164473040375595,0,0.2,62777,0,0,0.0,0.0,False,0.0,0,0.2,61772,61,20,1.0,1979.6254561066705,False,-0.00024192414334330733,11,0.7330000000000001,80897,0,0,0.0,0.0,False,-0.008530143517213486,9,0.7670000000000001,79244,35,0,0.0,1181.3666666666666,False,-0.02154984700484926,0.4666666666666666,375801,0.0,0.0,16,0,0,17,11,11.0,14,31,23,170.0,93.0,12,16,23,1982,1.6841449980274774,24.1510532500688
9,23,0,0,0,10.000000000000002,20,10.0,21.386209662950883,0,,35.99377990430622,37,40.08108108108108,31.0,20,31.0,0,0.2,45487,0,33,0.9,705.7449188773792,False,0.015009797162186964,0,0.2,45424,11,40,1.0,965.4483865180352,False,0.016490062292613673,0,0.2,62777,0,0,0.0,0.0,False,0.0,17,0.37000000000000005,62743,51,10,1.0,1450.6344918535574,False,0.011012269556155611,11,0.8320000000000001,80056,10,10,1.0,669.9377990430622,False,-0.014732037067867028,9,0.8480000000000003,78364,52,0,0.0,1871.6765550239236,False,-0.028104883047418674,0.65,374851,0.0,0.0,10,0,0,12,13,12.941176470588236,15,27,22,105.0,66.0,8,15,22,865,1.6655554620083421,25.81660871207714
