index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,38.0,0,,47.0,0,,0,0.2,34390.0,10,0,0.0,100.0,False,-0.0014496955639315744,0,0.2,34390.0,10,0,0.0,100.0,False,-0.0014496955639315744,0,0.2,49255,0,0,0.0,0.0,False,0.0,0,0.2,49255,0,0,0.0,0.0,False,0.0,0,0.2,63590,0,0,0.0,0.0,False,0.0,0,0.2,63590,0,0,0.0,0.0,False,0.0,0,0.2,92906,0,0,0.0,0.0,False,0.0,0,0.2,92906,0,0,0.0,0.0,False,0.0,0.0,480282,0.0,0.0,7,0,0,236,0,0.0,737,973,154,0.0,0.0,0,0,154,200,3.642527974967379,3.642527974967379
1,154,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,35.8235294117647,6,19.5,47.0,0,,0,0.2,34330.0,16,0,0.0,160.0,False,-0.002319512902290519,0,0.2,34250.0,24,0,0.0,240.0,False,-0.0034792693534357786,0,0.2,49255,0,0,0.0,0.0,False,0.0,0,0.2,49255,0,0,0.0,0.0,False,0.0,3,0.23,63515,0,0,0.0,0.0,False,-0.0011794307281019027,3,0.23,63512,0,0,0.0,0.0,False,-0.0012266079572259788,0,0.2,92906,0,0,0.0,0.0,False,0.0,0,0.2,92789,0,6,0.6,282.0,False,0.0002583256194433083,0.075,479812,0.0,0.0,8,0,0,26,2,2.0,132,158,144,2574.0,198.0,143,11,144,200,19.274513700045645,22.917041675013024
2,144,0,0,0,10.0,20,10.0,16.454545454545453,10,9.5,21.507246376811594,24,13.083333333333334,32.88550983899821,10,19.4,47.0,0,,10,0.30000000000000004,34085.0,26,0,0.0,260.0,False,-0.007973325601623659,0,0.2,34150.0,34,0,0.0,340.0,False,-0.004928964917367353,0,0.2,49160,0,10,1.0,215.07246376811594,False,0.0002545169400884413,24,0.44000000000000006,48523,0,0,0.0,0.0,False,-0.014861435387270328,3,0.257,63357,6,0,0.0,129.04347826086956,False,-0.0026494458384898217,7,0.29700000000000004,63070,18,0,0.0,387.1304347826087,False,-0.005133429511066142,0,0.2,92712,0,10,1.0,470.0,False,0.000441306266548985,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,477846,0.0,0.0,7,0,0,11,12,12.0,80,91,78,1332.0,540.0,74,70,78,200,12.70527228404535,35.622313959058374
3,78,0,0,0,10.0,20,10.0,13.855345911949685,30,9.566666666666666,19.24354657687991,27,14.037037037037036,32.160382667417,3,20.0,47.0,0,,16,0.45000000000000007,33684.0,39,0,0.0,390.0,False,-0.017715279791243838,14,0.34,33864.0,41,0,0.0,410.0,False,-0.012206436648303856,0,0.2,49065,0,20,1.0,384.8709315375982,False,4.9446061695296015e-05,27,0.6860000000000002,47564,20,0,0.0,277.1069182389937,False,-0.03151855732170347,0,0.254,63043,28,0,0.0,538.8193041526375,False,-0.004365314482209158,3,0.32000000000000006,62930,23,0,0.0,442.60157126823793,False,-0.006898871117563752,0,0.2,92652,0,13,0.3,611.0,False,0.0005543237250554324,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.1625,475591,0.0,0.0,6,0,0,17,10,10.0,68,85,22,1260.0,144.0,70,8,22,200,7.098626396968029,42.720940356026404
4,22,0,0,0,10.0,20,10.0,12.727128503437335,23,9.217391304347826,17.51975424524277,37,13.783783783783784,31.224590700090424,4,20.0,47.0,11,47.0,19,0.6240000000000001,33256.0,46,0,0.0,460.0,False,-0.02910988692374601,4,0.36600000000000005,33682.0,54,0,0.0,540.0,False,-0.01559872426790374,0,0.2,48925,5,30,1.0,589.2282698744697,False,-0.000718421785864709,37,1.0290000000000001,46135,28,0,0.0,356.35959809624535,False,-0.0597263262806188,4,0.29400000000000004,62537,57,0,0.0,998.6259919788379,False,-0.008707139550410107,0,0.31700000000000006,62826,31,0,0.0,543.1123816025258,False,-0.007744044805767251,0,0.2,93089,0,6,0.4,282.0,False,0.0034873958624846617,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.175,473239,0.0,0.0,12,0,0,17,13,13.0,15,32,17,270.0,126.0,15,7,17,717,1.2508748939726502,43.971815249999054
5,17,0,0,0,10.0,20,10.0,11.142560930011216,62,8.96774193548387,17.941797050300067,26,19.653846153846157,28.143246073637407,15,18.533333333333335,47.00000000000001,10,47.0,19,0.7950000000000002,32813.0,55,0,0.0,550.0,False,-0.040649463612641344,43,0.7920000000000003,32443.0,65,0,0.0,650.0,False,-0.04992751522180342,0,0.2,48885,20,35,1.0,850.8141153607268,False,0.001124902196332641,21,1.2020000000000004,45391,65,0,0.0,724.266460450729,False,-0.07109667586589453,13,0.42000000000000004,61890,66,0,0.0,1184.1586053198043,False,-0.017422876196573383,2,0.337,62521,48,0,0.0,861.2062584144032,False,-0.010039265148495043,4,0.24000000000000002,93051,5,10,1.0,610.7162303681871,False,0.00484745996151047,0,0.2,92789,0,6,0.0,282.00000000000006,False,0.0002583256194433083,0.25,469783,0.0,0.0,12,0,0,10,16,16.0,17,27,18,198.0,108.0,11,6,18,682,1.1521544490242377,45.12396969902329
6,18,0,0,0,10.0,20,10.0,10.909084180956395,23,9.565217391304348,19.271861068148347,17,28.529411764705884,26.323602268564485,16,20.0,47.0,8,47.0,13,0.9060000000000001,32532.0,64,0,0.0,640.0,False,-0.04749202667439838,10,0.8490000000000002,32183.0,76,0,0.0,760.0,False,-0.055871267033922874,0,0.2,49135,25,35,1.0,947.242241909102,False,0.007179395410710605,7,1.2510000000000001,45174,73,0,0.0,796.3631452098168,False,-0.0747704482264763,8,0.4870000000000001,61565,73,0,0.0,1406.8458579748294,False,-0.02078278142809541,8,0.41500000000000004,61901,58,0,0.0,1117.7679419526041,False,-0.017771914279347302,0,0.23600000000000002,93107,11,12,1.0,853.5596249542093,False,0.006757150372173025,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,468386,0.0,0.0,12,0,0,13,10,10.0,14,27,18,216.0,108.0,12,6,18,966,1.2081650019972585,46.33213470102055
7,18,0,0,0,10.0,20,10.0,10.294681284220614,71,9.084507042253522,19.268777517074188,20,19.25,26.04231445924956,3,20.0,47.0,13,47.0,57,1.4630000000000003,30584.0,72,0,0.0,720.0,False,-0.10281240939402725,14,0.9790000000000003,31841.0,88,0,0.0,880.0,False,-0.06404755001449695,0,0.2,49130,35,40,1.0,1131.064945630689,False,0.008943913771502238,15,1.3940000000000003,44346,124,0,0.0,1276.5404792433562,False,-0.08670652239119526,0,0.47900000000000004,61513,77,0,0.0,1483.6958688147124,False,-0.020996258304649212,3,0.43700000000000006,61493,74,0,0.0,1425.8895362634898,False,-0.021765296931408287,1,0.24600000000000002,93602,4,10,1.0,574.1692578369982,False,0.010581497738773591,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,465298,0.0,0.0,12,0,0,13,14,13.25,13,26,19,198.0,126.0,11,7,19,813,1.1143307160236873,47.44646541704424
8,19,0,0,0,10.0,20,10.0,10.1768204565462,36,9.555555555555555,18.102913454674084,27,12.592592592592593,25.668746493799723,4,20.0,47.0,14,47.0,23,1.6360000000000006,30060.0,79,0,0.0,790.0,False,-0.11699043200927806,13,1.0950000000000004,31512.0,101,0,0.0,1010.0,False,-0.07170194259205567,0,0.2,48930,45,50,1.0,1363.1025932782832,False,0.007238885324112065,27,1.6490000000000007,43505,140,0,0.0,1424.754863916468,False,-0.10227636926285175,4,0.5190000000000001,61301,85,0,0.0,1538.747643647297,False,-0.02389725079692331,0,0.43400000000000005,61265,93,0,0.0,1683.5709512846897,False,-0.023324650485259512,4,0.28500000000000003,93956,0,8,0.8,376.0,False,0.013325296536283986,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.225,463318,0.0,0.0,12,0,0,12,10,10.0,15,27,19,180.0,147.0,10,9,19,670,1.1971619349787943,48.64362735202303
9,19,0,0,0,10.000000000000002,20,10.0,10.136734556808689,23,9.782608695652174,18.443204833192677,15,21.6,24.700124343010152,12,20.0,47.0,9,47.0,8,1.6930000000000003,29884.0,87,0,0.0,870.0000000000001,False,-0.12093360394317193,15,1.2320000000000004,31142.0,113,0,0.0,1130.0000000000002,False,-0.08069005508843143,0,0.2,48975,50,55,1.0,1521.2129936660317,False,0.009757516939052227,10,1.7220000000000002,43219,148,0,0.0,1500.236714407686,False,-0.10731665095515495,6,0.5750000000000001,61141,85,0,0.0,1567.6724108213775,False,-0.02618593795548528,6,0.4940000000000001,60781,108,0,0.0,1991.866121984809,False,-0.028511824799616177,1,0.29100000000000004,94083,2,10,1.0,519.4002486860203,False,0.015464018732299455,0,0.2,92789,0,6,0.0,282.0,False,0.0002583256194433083,0.25,462014,0.0,0.0,11,0,0,12,11,10.5,13,25,21,198.0,129.0,11,8,21,719,1.1249803039827384,49.76860765600577
