index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,17,10.0,21.0,0,,28.0,0,,40.0,0,,54.0,0,,0,0.2,36054,0,6,0.6,126.0,False,8.30702774547267e-05,0,0.2,36004,1,10,1.0,220.0,False,0.0,0,0.2,52152.0,0,0,0.0,0.0,False,0.0,0,0.2,52152,0,0,0.0,0.0,False,0.0,0,0.2,72546,0,0,0.0,0.0,False,0.0,0,0.2,72546,0,0,0.0,0.0,False,0.0,0,0.2,93895,0,0,0.0,0.0,False,0.0,0,0.2,93895,0,0,0.0,0.0,False,0.0,0.2,509244,0.0,0.0,10,0,0,311,0,0.0,990,1301,212,0.0,0.0,0,0,212,170,11.747477964032441,11.747477964032441
1,212,0,0,0,9.999999999999998,17,10.0,21.0,0,,28.0,0,,40.0,0,,54.0,0,,0,0.2,36004,0,11,0.5,231.0,False,0.00015229550866699895,0,0.2,35884,3,20,1.0,450.0,False,-0.0001384504624245445,0,0.2,52152.0,0,0,0.0,0.0,False,0.0,0,0.2,52152,0,0,0.0,0.0,False,0.0,0,0.2,72546,0,0,0.0,0.0,False,0.0,0,0.2,72546,0,0,0.0,0.0,False,0.0,0,0.2,93895,0,0,0.0,0.0,False,0.0,0,0.2,93895,0,0,0.0,0.0,False,0.0,0.1875,509074,0.0,0.0,8,0,0,82,0,0.0,66,148,108,1926.0,416.0,126,86,108,170,16.789824131003115,28.537302095035557
2,108,0,0,0,10.0,13,10.0,21.0,0,,27.1875,3,15.0,40.0,0,,54.0,0,,0,0.2,35974,0,14,0.3,294.0,False,0.0001938306473943623,0,0.2,35784,3,30,1.0,660.0,False,0.0,3,0.23,52095.0,0,0,0.0,0.0,False,-0.0010929590427979751,0,0.2,52152,0,0,0.0,0.0,False,0.0,0,0.2,72546,0,0,0.0,0.0,False,0.0,0,0.2,72501,0,3,0.3,120.0,False,0.0002067653626664461,0,0.2,93895,0,0,0.0,0.0,False,0.0,0,0.2,93895,0,0,0.0,0.0,False,0.0,0.2,508842,0.0,0.0,7,0,0,27,1,1.0,46,73,95,814.0,219.0,51,57,95,130,9.100785952003207,37.638088047038764
3,95,0,0,0,10.0,17,10.0,24.28358208955224,22,31.0,26.396103896103895,3,15.0,40.0,0,,54.0,0,,0,0.2,35944,0,17,0.3,412.82089552238807,False,0.0010082086659243196,0,0.2,36326,7,18,1.0,507.1044776119403,False,0.012891184549093675,3,0.257,51697.0,11,0,0.0,267.11940298507466,False,-0.0061635277363756525,0,0.2,51811,1,10,1.0,288.2446210505912,False,-0.003775074579588628,0,0.2,72546,0,0,0.0,0.0,False,0.0,0,0.2,72456,0,6,0.3,240.0,False,0.0004135307253328922,0,0.2,93895,0,0,0.0,0.0,False,0.0,0,0.2,93895,0,0,0.0,0.0,False,0.0,0.32499999999999996,508570,0.0,0.0,9,0,0,25,1,1.0,28,53,59,478.0,194.0,35,60,59,852,6.111897639988456,43.74998568702722
4,59,0,0,0,10.0,9,10.0,25.082503556187763,10,29.9,26.342634949679773,24,26.25,40.0,0,,54.0,20,54.0,0,0.2,36212,0,10,0.2,250.82503556187763,False,0.006186313279640586,0,0.2,36267,4,27,1.0,717.2275960170696,False,0.014166633383411785,14,0.394,51048.0,20,0,0.0,501.65007112375525,False,-0.016359391095990945,0,0.2,52230,0,2,0.2,52.68526989935955,False,0.0020007408143442314,0,0.2,72416,0,9,0.9,360.0,False,0.0006892178755548204,0,0.2,71956,5,16,1.0,771.7131747483988,False,-0.002813985783169237,7,0.27,93781,0,0,0.0,0.0,False,-0.0012141221577293786,13,0.33000000000000007,93575,0,0,0.0,0.0,False,-0.0034080621971350976,0.4125,507485,0.0,0.0,9,0,0,22,13,13.0,20,42,41,291.0,194.0,22,37,41,819,4.052105635986663,47.80209132301388
5,41,0,0,0,10.0,10,10.0,26.31980538744512,21,30.047619047619047,25.36201327830611,19,22.31578947368421,36.18181818181818,10,19.0,54.0,20,54.0,0,0.2,36212,0,10,0.0,263.1980538744512,False,0.006357618290336902,0,0.2,36798,4,16,1.0,461.1168861991219,False,0.02532420787228107,10,0.48000000000000004,50504.0,30,0,0.0,789.5941616233536,False,-0.02402981514013512,7,0.27,51936,1,10,1.0,279.93993817050625,False,-0.0014578545581137763,1,0.21000000000000002,72254,1,10,1.0,387.1801950964879,False,-0.0013565172780270322,0,0.2,71836,3,26,1.0,1016.813312562191,False,-0.0027788347216787792,13,0.393,93271,0,10,1.0,540.0,False,-0.003770168805580702,7,0.38700000000000007,93463,0,0,0.0,0.0,False,-0.004600883966132382,0.625,506274,0.0,0.0,8,0,0,21,17,15.6,17,38,39,230.0,74.0,17,24,39,731,2.823192765994463,50.625284089008346
6,39,0,0,0,10.0,6,10.0,27.821476806041726,33,31.272727272727273,25.68235208656017,11,27.727272727272727,33.603305785123965,11,22.0,54.0,20,54.0,0,0.2,36274,0,8,0.0,222.5718144483338,False,0.007511931860889681,15,0.35000000000000003,37289,0,10,1.0,278.21476806041727,False,0.03638775499889808,6,0.53,49977.0,43,0,0.0,1196.3235026597943,False,-0.03023543198094227,0,0.263,51522,11,15,1.0,691.2715261648616,False,-0.00545260463486678,0,0.20900000000000002,71949,2,20,1.0,723.4308198755996,False,-0.003243246906269196,0,0.2,72078,0,18,0.3,604.8595041322313,False,-0.0022822794907214694,0,0.38000000000000006,93569,1,10,1.0,573.603305785124,False,-0.000417470015521961,10,0.48000000000000004,93255,0,0,0.0,0.0,False,-0.006816124394270195,0.5375,505913,0.0,0.0,13,0,0,21,9,8.444444444444445,17,38,40,176.0,128.0,15,24,40,1460,2.7867491299984977,53.412033219006844
7,40,0,0,0,10.0,10,10.0,28.142366786681553,11,31.0,29.19461862063624,63,33.26984126984127,36.338600451467265,12,48.75,54.0,20,54.0,0,0.2,36336,0,6,0.0,168.85420072008932,False,0.008484994748852087,0,0.3350000000000001,37468,0,11,1.0,309.56603465349707,False,0.04177834128943762,39,0.9140000000000001,49175.0,54,0,0.0,1519.6878064808038,False,-0.042513347460492436,9,0.35300000000000004,52272,1,10,1.0,320.088552993044,False,0.005369770603169948,0,0.20900000000000002,72169,0,19,0.6,690.433408577878,False,-0.00043811231096222916,0,0.2,70347,49,23,1.0,2266.324122794923,False,-0.014691891194587345,0,0.38000000000000006,93750,0,7,0.6,378.0,False,0.00046860855210607594,11,0.5800000000000001,92722,7,0,0.0,254.37020316027085,False,-0.011138131939079433,0.525,504239,0.0,0.0,15,0,0,23,11,10.375,15,38,40,211.0,118.0,15,25,40,1512,2.9234227639972232,56.33545598300407
8,40,0,0,0,10.0,9,10.0,28.17121346119427,1,31.0,29.38585618761781,30,30.166666666666668,37.77278633747911,21,41.857142857142854,54.0,20,54.0,0,0.2,36367,0,5,0.0,140.85606730597135,False,0.008955752164063371,0,0.3350000000000001,37378,0,20,0.9,563.4242692238854,False,0.04280091196245073,25,1.1250000000000002,48994.0,55,0,0.0,1549.4167403656847,False,-0.04569894979707691,0,0.34400000000000003,52477,0,6,0.1,176.31513712570688,False,0.007922180713354347,0,0.20900000000000002,72378,0,8,0.0,302.1822906998329,False,-0.00023307769759995232,0,0.2,70112,69,23,1.0,2896.3981627076487,False,-0.013588632297386091,5,0.4300000000000001,93539,6,10,1.0,766.6367180248747,False,0.0002909458332439324,8,0.6490000000000001,92215,12,0,0.0,453.2734360497493,False,-0.015478601437511284,0.375,503460,0.0,0.0,13,0,0,22,9,8.333333333333334,16,38,36,259.0,108.0,19,21,36,1475,2.8094538229634054,59.14490980596747
9,36,0,0,0,10.0,13,10.0,28.23327782479518,2,31.0,27.89750446806521,56,24.25,37.344265285068595,15,35.266666666666666,54.0,20,54.0,0,0.2,36429,0,3,0.0,84.69983347438554,False,0.00989505224392734,0,0.3350000000000001,37248,3,30,1.0,876.9983347438554,False,0.043542647376970896,46,1.5600000000000003,47676.0,57,0,0.0,1609.2968360133252,False,-0.07039713878649598,4,0.384,52621,0,0,0.0,0.0,False,0.008992943703021936,7,0.279,72393,2,10,1.0,429.2376617868164,False,0.0008493759944505141,0,0.2,68932,103,33,1.0,4105.80371461798,False,-0.021518734908761543,1,0.43500000000000005,93860,7,10,1.0,801.4098569954801,False,0.0038948285691223195,9,0.7310000000000001,91721,16,0,0.0,597.5082445610975,False,-0.019971733081840942,0.5,500880,0.0,0.0,18,0,0,29,14,12.936363636363637,13,42,30,239.0,96.0,19,17,30,1203,2.9397616100031883,62.08467141597066
