index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,31.0,0,,35.0,0,,47.0,0,,0,0.2,43589,0,10,1.0,180.0,False,-0.00022889056741971664,0,0.2,43589,0,10,1.0,180.0,False,-0.00022889056741971664,0,0.2,63349.0,0,0,0.0,0.0,False,0.0,0,0.2,63349,0,0,0.0,0.0,False,0.0,0,0.2,85876,0,0,0.0,0.0,False,0.0,0,0.2,85876,0,0,0.0,0.0,False,0.0,0,0.2,112225,0,0,0.0,0.0,False,0.0,0,0.2,112225,0,0,0.0,0.0,False,0.0,0.25,610078,0.0,0.0,8,0,0,0,0,0.0,419,419,125,0.0,0.0,0,0,125,200,3.156280174967833,3.156280174967833
1,125,0,0,0,10.0,20,10.0,18.0,0,,28.09090909090909,10,15.0,35.0,0,,47.0,0,,0,0.2,43499,0,19,0.9,342.0,False,-0.0004348920780974616,0,0.2,43479,1,20,1.0,370.0,False,-0.0005722264185492916,10,0.30000000000000004,63129.0,0,0,0.0,0.0,False,-0.0034728251432540372,0,0.2,63349,0,0,0.0,0.0,False,0.0,0,0.2,85726,0,10,1.0,350.0,False,0.00029111742512459826,0,0.2,85876,0,0,0.0,0.0,False,0.0,0,0.2,112225,0,0,0.0,0.0,False,0.0,0,0.2,112225,0,0,0.0,0.0,False,0.0,0.3625,609508,0.0,0.0,7,0,0,31,1,1.0,34,65,66,804.0,444.0,47,78,66,200,5.079035590984859,8.235315765952691
2,66,0,0,0,10.0,20,10.0,18.0,0,,25.907563025210084,10,15.1,35.0,0,,47.0,0,,0,0.2,43409,0,28,0.9,504.0,False,-0.0006408935887752066,0,0.2,43369,2,30,1.0,560.0,False,-0.0009155622696788666,9,0.38000000000000006,62931.0,0,0,0.0,0.0,False,-0.00659836777218267,1,0.21000000000000002,63328,0,0,0.0,0.0,False,-0.0003314969454924308,0,0.2,85591,0,19,0.9,665.0,False,0.0005531231077367367,0,0.2,85860,0,1,0.1,35.0,False,1.7467045507475894e-05,0,0.2,112225,0,0,0.0,0.0,False,0.0,0,0.2,112225,0,0,0.0,0.0,False,0.0,0.3625,608938,0.0,0.0,8,0,0,29,2,2.0,23,52,43,453.0,150.0,36,30,43,200,3.9747982950066216,12.210114060959313
3,43,0,0,0,10.0,20,10.0,19.257575757575758,21,21.952380952380953,25.907563025210084,0,,35.0,0,,47.0,0,,0,0.2,43319,0,37,0.9,712.530303030303,False,-0.0003143777263120704,0,0.2,43720,3,19,1.0,395.8939393939394,False,0.005240380180296371,0,0.37100000000000005,62515.0,16,0,0.0,308.1212121212121,False,-0.010733230105280149,0,0.20900000000000002,63283,0,5,0.5,129.53781512605042,False,-1.9433494403605344e-05,0,0.2,85591,0,19,0.0,665.0,False,0.0005531231077367367,0,0.2,85860,0,1,0.0,35.0,False,1.7467045507475894e-05,0,0.2,112225,0,0,0.0,0.0,False,0.0,0,0.2,112225,0,0,0.0,0.0,False,0.0,0.3,608738,0.0,0.0,10,0,0,14,0,0.0,24,38,29,248.0,79.0,18,25,29,661,2.845198338967748,15.055312399927061
4,29,0,0,0,10.0,20,10.0,20.688328912466844,16,26.0,24.976088812980358,5,15.0,35.0,0,,47.0,20,47.0,0,0.2,43219,0,47,1.0,972.3514588859416,False,0.00037024718906291965,0,0.2,44036,3,13,1.0,298.94827586206895,False,0.011363824714024955,5,0.42100000000000004,61989.0,32,0,0.0,662.026525198939,False,-0.016243140971452328,0,0.20900000000000002,63283,0,5,0.0,124.88044406490178,False,-5.6193120136889e-05,0,0.2,85591,0,19,0.0,665.0,False,0.0005531231077367367,0,0.2,85785,0,6,0.5,210.0,False,0.00016302575806977502,9,0.29000000000000004,112081,0,0,0.0,0.0,False,-0.0012831365560258409,11,0.31000000000000005,112031,0,0,0.0,0.0,False,-0.0017286700824237025,0.3125,608015,0.0,0.0,10,0,0,13,9,9.0,16,29,24,138.0,69.0,13,16,24,616,2.3253430189797655,17.380655418906827
5,24,0,0,0,10.0,20,10.0,23.13058864146383,48,26.583333333333332,24.808920756122546,1,16.0,38.3,5,68.0,47.0,20,47.0,0,0.2,44095,4,19,1.0,479.4811841878128,False,0.01478039305303178,0,0.2,44236,0,12,0.9,277.56706369756597,False,0.015696938173196572,1,0.42600000000000005,60952.0,70,0,0.0,1619.1412049024682,False,-0.02505847602249076,0,0.20900000000000002,63023,0,15,1.0,372.13381134183817,False,-0.002208923492542649,0,0.2,85931,0,14,0.0,536.1999999999999,False,0.0037624016023103755,0,0.2,85769,0,7,0.1,268.09999999999997,False,0.0003149890539848492,9,0.37100000000000005,111930,0,0,0.0,0.0,False,-0.0026286478057473825,11,0.40900000000000003,111486,5,0,0.0,191.5,False,-0.0057317888171084875,0.375,607422,0.0,0.0,14,0,0,17,10,10.0,15,32,31,161.0,73.0,13,11,31,1816,1.7829977229703218,19.16365314187715
6,31,0,0,0,10.0,20,10.0,24.21853076544975,30,28.0,24.0767268942626,5,17.0,40.14935064935065,32,42.75,47.0,20,47.0,0,0.2,44377,5,15,1.0,413.2779614817462,False,0.020477442393757476,4,0.24000000000000002,44506,0,9,0.9,217.96677688904774,False,0.021194886320229925,5,0.4750000000000001,60852.0,70,0,0.0,1695.2971535814825,False,-0.02603595042083153,0,0.20900000000000002,62183,20,25,1.0,1086.28878766556,False,-0.00983213004415572,0,0.2,86621,0,4,0.0,160.5974025974026,False,0.009610353315230094,15,0.35000000000000003,85642,0,5,0.5,200.74675324675326,False,-0.0015560415410198643,7,0.43200000000000005,111640,0,10,1.0,470.0,False,-0.00311873468478503,13,0.528,110031,27,0,0.0,1084.0324675324675,False,-0.01472028305844301,0.55,605852,0.0,0.0,11,0,0,10,13,11.964285714285715,20,30,33,194.0,114.0,13,18,33,1602,3.403632093046326,22.567285234923474
7,33,0,0,0,10.0,20,10.0,25.0278437269983,43,27.302325581395348,25.580825784514396,41,27.341463414634145,40.14935064935065,0,,47.00000000000001,20,47.0,13,0.33000000000000007,44755,7,10,1.0,320.278437269983,False,0.028065170148893114,6,0.29600000000000004,44684,0,8,0.8,200.2227498159864,False,0.025066066399047723,10,0.5700000000000001,59428.0,113,0,0.0,2828.1463411508075,False,-0.039573266025108515,6,0.269,62922,10,10,1.0,506.08669511512693,False,-0.002746004711083635,0,0.2,86621,0,4,0.0,160.5974025974026,False,0.009610353315230094,0,0.3350000000000001,84521,31,15,1.0,1395.245859060206,False,-0.007654956803645934,0,0.42500000000000004,112063,0,1,0.0,47.00000000000001,False,-0.0012341278681220762,11,0.6250000000000001,109833,27,0,0.0,1084.0324675324675,False,-0.01648459582297854,0.475,604827,0.0,0.0,13,0,0,13,10,8.522119815668203,20,33,36,218.0,114.0,15,18,36,1015,2.451575233018957,25.01886046794243
8,36,0,0,0,10.0,20,10.0,25.937136740820492,65,28.0,27.750112158658965,35,32.714285714285715,40.14935064935065,0,,47.00000000000001,20,47.0,24,0.5570000000000002,44973,10,10,1.0,359.37136740820495,False,0.033502384666714846,23,0.52,44880,0,7,0.7,181.55995718574343,False,0.02933873466073549,31,0.8700000000000001,58402.0,143,0,0.0,3709.0105539373303,False,-0.04881678831601657,0,0.263,62126,35,16,1.0,1351.8015804672607,False,-0.0086362722342321,0,0.2,86437,0,8,0.4,321.1948051948052,False,0.008402783112830117,0,0.3350000000000001,83560,52,25,1.0,2446.7395984840323,False,-0.012723347626321437,12,0.5450000000000002,111876,0,0,0.0,0.0,False,-0.0031098240142570727,7,0.6840000000000002,109731,27,0,0.0,1084.0324675324675,False,-0.01739348421683018,0.5125,601985,0.0,0.0,8,0,0,16,13,11.3,19,35,26,230.0,105.0,19,17,26,384,2.617295023985207,27.63615549192764
9,26,0,0,0,10.000000000000002,20,10.0,25.942818531776393,19,26.0,28.015156043044517,36,28.77777777777778,41.956258411843876,5,67.0,47.00000000000001,20,47.0,9,0.6230000000000001,45169,10,10,1.0,359.4281853177639,False,0.0379892900423192,0,0.49700000000000005,44780,0,17,1.0,441.02791504019865,False,0.030019317391565447,36,1.1990000000000003,57372.0,162,0,0.0,4202.736602147776,False,-0.0611790509546498,0,0.263,62126,25,26,1.0,1376.9645204135672,False,-0.008437666573950859,0,0.2,86437,0,8,0.0,335.650067294751,False,0.008486946686470865,0,0.3350000000000001,82859,78,30,1.0,3443.8699237127885,False,-0.015080639970930166,8,0.613,111748,0,0,0.0,0.0,False,-0.004250389841835598,12,0.7970000000000002,109161,32,0,0.0,1342.600269179004,False,-0.021320560172960547,0.5,599652,0.0,0.0,10,0,0,11,12,11.473684210526315,19,30,24,145.0,72.0,11,15,24,535,2.5883158570504747,30.224471348978113
