index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,28.0,0,,38.0,0,,0,0.2,35237,0,5,0.5,80.0,False,-0.00028339048374755575,0,0.2,35137,15,0,0.0,150.0,False,-0.002125428628106668,0,0.2,48142.0,0,0,0.0,0.0,False,0.0,0,0.2,48142,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.2,86327,0,0,0.0,0.0,False,0.0,0.0625,467858,0.0,0.0,11,0,0,124,0,0.0,423,547,138,0.0,0.0,0,0,138,200,1.8296382324770093,1.8296382324770093
1,138,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,28.0,0,,38.0,0,,0,0.2,35157,0,13,0.8,208.0,False,-0.0007368152577436449,0,0.2,35017,27,0,0.0,270.0,False,-0.0038257715305920026,0,0.2,48142.0,0,0,0.0,0.0,False,0.0,0,0.2,48142,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0,0.2,64273,0,0,0.0,0.0,False,0.0,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.2,86327,0,0,0.0,0.0,False,0.0,0.1,467658,0.0,0.0,11,0,0,35,0,0.0,42,77,71,899.0,822.0,55,83,71,200,4.567704572342336,6.3973428048193455
2,71,0,0,0,10.0,20,10.0,12.833333333333334,15,3.3333333333333335,20.363636363636363,10,4.0,28.0,0,,38.0,0,,0,0.2,35097,0,18,1.0,231.0,False,-0.0021112591039192906,10,0.30000000000000004,34717,37,0,0.0,370.0,False,-0.010910533624280896,10,0.30000000000000004,47856.0,0,0,0.0,0.0,False,-0.005940758589173694,0,0.2,48092,5,10,1.0,267.8030303030303,False,0.0017427924712623548,0,0.2,64250,0,7,0.7,196.0,False,0.0011668974530518257,0,0.2,64256,0,3,0.3,84.0,False,0.00038896581768394195,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.2,86327,0,0,0.0,0.0,False,0.0,0.375,466922,0.0,0.0,11,0,0,27,6,6.0,25,52,61,440.0,253.0,32,39,61,240,2.586222200654447,8.983565005473793
3,61,0,0,0,10.0,20,10.0,12.803571428571429,2,12.0,17.361344537815125,10,2.5,28.0,0,,38.0,0,,0,0.2,35020,0,27,1.0,345.69642857142856,False,-0.0026681720099266753,1,0.30000000000000004,34599,47,0,0.0,470.0,False,-0.012837588913764277,10,0.39,47535.0,1,0,0.0,12.803571428571429,False,-0.012475555944616289,0,0.2,48091,0,16,0.6,277.781512605042,False,0.0018256565224236728,0,0.2,64231,0,14,0.7,392.0,False,0.002396029436933082,0,0.2,64250,0,6,0.3,168.0,False,0.0009490765951488183,0,0.2,86327,0,0,0.0,0.0,False,0.0,0,0.2,86327,0,0,0.0,0.0,False,0.0,0.325,466380,0.0,0.0,13,0,0,23,4,4.0,18,41,52,238.0,262.0,18,43,52,223,2.014595991000533,10.998160996474326
4,52,0,0,0,10.0,20,10.0,15.27151335311573,17,22.58823529411765,16.625928984310487,7,11.0,27.695652173913043,1,14.0,38.0,9,38.0,0,0.2,35258,4,23,1.0,391.2448071216618,False,0.0047219203548284645,3,0.32900000000000007,34488,53,0,0.0,530.0,False,-0.015133051832119477,2,0.4,47111.0,15,0,0.0,229.07270029673595,False,-0.01903667587245303,0,0.2,48150,0,14,0.3,232.76300578034682,False,0.0025836380476543055,0,0.2,64168,0,20,0.7,553.9130434782609,False,0.002675408363373862,0,0.2,64250,0,6,0.0,166.17391304347825,False,0.0009348708870246648,0,0.2,86327,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,86184,0,1,0.1,38.0,False,-0.0014363988091790516,0.2625,465936,0.0,0.0,14,0,0,17,8,8.0,20,37,54,215.0,203.0,18,34,54,657,2.004167021252215,13.00232801772654
5,54,0,0,0,10.0,20,10.0,16.42606482721672,14,21.428571428571427,15.762543807163006,4,4.0,27.695652173913043,0,,38.0,8,38.0,0,0.2,35447,5,20,1.0,378.5212965443344,False,0.00989771440678345,1,0.3360000000000001,34380,62,0,0.0,620.0,False,-0.01691841187972908,4,0.43800000000000006,47011.0,15,0,0.0,246.3909724082508,False,-0.02093399762776528,0,0.2,47850,4,24,1.0,444.005310680779,False,-0.0014539766661046962,0,0.2,64152,0,24,0.4,664.695652173913,False,0.003288283199585513,0,0.2,64250,0,6,0.0,166.17391304347825,False,0.0009348708870246648,0,0.2,86327,0,0,0.0,0.0,False,0.0,7,0.35100000000000003,86139,0,0,0.0,0.0,False,-0.002177765936497272,0.3,465556,0.0,0.0,12,0,0,18,6,6.0,19,37,55,191.0,200.0,17,37,55,537,2.018017808906734,15.020345826633275
6,55,0,0,0,10.0,20,10.0,20.282742654526054,49,25.571428571428573,16.4549249347519,10,20.1,29.12931034482759,5,41.0,38.0,12,38.0,27,0.4700000000000001,35924,4,10,1.0,242.82742654526055,False,0.02149272290851112,2,0.35500000000000004,34248,73,0,0.0,730.0,False,-0.019100518604585257,7,0.504,46463.0,28,0,0.0,567.9167943267295,False,-0.028977641203868514,0,0.2,47121,30,31,1.0,1118.5849526130905,False,-0.009590534744993027,0,0.2,64072,0,27,0.3,786.491379310345,False,0.0029910800749175224,0,0.2,64334,0,8,0.7,233.03448275862073,False,0.0027619255578440654,0,0.2,86327,0,0,0.0,0.0,False,0.0,12,0.464,85745,0,5,0.5,190.0,False,-0.005641340484437082,0.4375,464234,0.0,0.0,17,0,0,19,15,14.736842105263158,20,39,54,242.0,180.0,21,34,54,858,3.905522040091455,18.92586786672473
7,54,0,0,0,10.0,20,10.0,20.647969179396792,46,21.47826086956522,16.859495725046624,20,18.0,28.64746019711903,11,26.818181818181817,37.99999999999999,11,38.0,20,0.643,36174,3,10,1.0,236.47969179396793,False,0.028487540621106464,16,0.5130000000000001,34042,84,0,0.0,840.0,False,-0.02337971490917335,18,0.6770000000000002,45794.0,43,0,0.0,887.8626747140621,False,-0.039551091825079286,0,0.2,46640,51,39,1.0,1710.5667614260547,False,-0.013433522065700842,0,0.2,64126,0,22,0.1,630.2441243366187,False,0.0026157494152802834,0,0.2,64215,9,13,1.0,524.1524440879671,False,0.003175146983087556,0,0.2,86327,0,0,0.0,0.0,False,0.0,6,0.512,85576,1,10,1.0,408.64746019711896,False,-0.006332622121716684,0.5125,462894,0.0,0.0,16,0,0,22,7,5.7333333333333325,20,42,53,240.0,172.0,22,32,53,643,1.95858018938452,20.88444805610925
8,53,0,0,0,10.0,20,10.0,21.156212942187597,20,24.6,20.35059464787334,20,32.35,30.796325934172987,10,41.0,38.0,11,38.0,6,0.683,36460,1,10,1.0,221.56212942187597,False,0.036381133695438446,4,0.537,33858,96,0,0.0,960.0,False,-0.026893756907643042,2,0.6790000000000002,45272.0,59,0,0.0,1248.2165635890683,False,-0.046651400403088045,0,0.2,47259,45,31,1.0,1582.8980164825155,False,-0.0019016865057276508,0,0.2,64090,0,23,0.1,708.3154964859787,False,0.002662980539931008,0,0.2,64014,18,13,1.0,766.6629408059689,False,0.0019344276819657326,0,0.2,86327,0,0,0.0,0.0,False,0.0,1,0.516,85539,1,10,1.0,410.796325934173,False,-0.006748778910803238,0.5125,462819,0.0,0.0,20,0,0,20,4,2.875,25,45,57,264.0,141.0,26,27,57,1583,2.1540388576686382,23.038486913777888
9,57,0,0,0,10.000000000000002,20,10.0,21.571591404826695,26,23.807692307692307,16.174333445604752,72,11.541666666666666,34.91376551266146,35,41.0,38.0,11,38.0,9,0.7670000000000001,36738,5,10,1.0,265.71591404826694,False,0.04488502726284849,7,0.603,33685,102,0,0.0,1020.0000000000002,False,-0.03094624082523309,71,1.387,41310.0,78,0,0.0,1682.5841295764822,False,-0.12443828538930161,0,0.2,47265,42,40,1.0,1552.9801768269112,False,-0.0020877801418001966,0,0.2,64365,32,18,1.0,1146.0264494872586,False,0.010346696509321594,7,0.27,64105,38,10,1.0,963.7623260595952,False,0.0048835617293389215,0,0.2,86327,0,0,0.0,0.0,False,0.0,1,0.5250000000000001,84477,26,10,1.0,1287.7579033291981,False,-0.013971539012538463,0.625,458272,0.0,0.0,19,0,0,18,13,11.273684210526316,21,39,54,236.0,196.0,21,36,54,1360,2.0749948350712657,25.113481748849154
