index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,26.0,0,,38.0,0,,49.0,0,,0,0.2,28634,9,0,0.0,90.0,False,-0.0015666341735134383,0,0.2,28614,11,0,0.0,110.0,False,-0.0019147751009608689,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,0.2,75400,0,0,0.0,0.0,False,0.0,0,0.2,75400,0,0,0.0,0.0,False,0.0,0,0.2,104123,0,0,0.0,0.0,False,0.0,0,0.2,104123,0,0,0.0,0.0,False,0.0,0.0,521614,0.0,0.0,10,0,0,227,0,0.0,681,908,34,0.0,0.0,0,0,34,200,1.3649079240276478,1.3649079240276478
1,34,0,0,0,10.0,20,10.0,15.0,0,,26.0,0,,35.88235294117647,6,20.0,49.0,0,,0,0.2,28554,17,0,0.0,170.0,False,-0.0029591978833031613,0,0.2,28494,23,0,0.0,230.0,False,-0.004003620665645453,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,0.2,52660,0,0,0.0,0.0,False,0.0,3,0.23,75325,0,0,0.0,0.0,False,-0.0009946949602122016,3,0.23,75325,0,0,0.0,0.0,False,-0.0009946949602122016,0,0.2,104003,0,6,0.6,294.0,False,0.0002593087022079656,0,0.2,104123,0,0,0.0,0.0,False,0.0,0.075,521144,0.0,0.0,10,0,0,26,2,2.0,28,54,10,612.0,0.0,34,0,10,200,1.8630833099596202,3.227991233987268
2,10,0,0,0,10.0,20,10.0,14.847826086956522,1,8.0,26.0,0,,35.88235294117647,0,,49.0,0,,1,0.21000000000000002,28434,28,0,0.0,280.0,False,-0.005222113911711461,0,0.2,28404,32,0,0.0,320.0,False,-0.005570254839158892,0,0.2,52652,0,1,0.1,26.0,False,9.494872768704899e-05,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,0.227,75325,0,0,0.0,0.0,False,-0.0009946949602122016,0,0.227,75325,0,0,0.0,0.0,False,-0.0009946949602122016,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,0,0.2,104123,0,0,0.0,0.0,False,0.0,0.0125,520926,0.0,0.0,9,0,0,10,1,1.0,16,26,9,90.0,30.0,5,5,9,200,1.0282992090214975,4.256290443008766
3,9,0,0,0,10.0,20,10.0,14.847826086956522,0,,26.0,0,,34.9079754601227,3,20.0,49.0,0,,0,0.20900000000000002,28344,37,0,0.0,370.0,False,-0.006788748085224899,0,0.2,28294,43,0,0.0,430.0,False,-0.0074850299401197605,0,0.2,52652,0,1,0.0,26.0,False,9.494872768704899e-05,0,0.2,52660,0,0,0.0,0.0,False,0.0,0,0.227,75325,0,0,0.0,0.0,False,-0.0009946949602122016,3,0.257,75250,0,0,0.0,0.0,False,-0.001989389920424403,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,0,0.2,104063,0,3,0.3,147.0,False,0.0001296543511039828,0.0375,520591,0.0,0.0,8,0,0,14,1,1.0,12,26,9,90.0,27.0,5,4,9,200,0.9218277090112679,5.1781181520200334
4,9,0,0,0,10.0,20,10.0,14.244493392070487,4,8.0,27.4,5,40.0,32.61488175350894,8,20.0,49.0,9,49.0,2,0.229,28214,48,0,0.0,480.0,False,-0.00939980504108063,2,0.22000000000000003,28184,52,0,0.0,520.0,False,-0.00974794596852806,4,0.24000000000000002,52696,0,4,0.4,109.6,False,0.001724268894796865,0,0.2,52660,0,0,0.0,0.0,False,0.0,4,0.267,75025,5,0,0.0,137.0,False,-0.004064986737400531,4,0.29400000000000004,75150,0,0,0.0,0.0,False,-0.0033156498673740055,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,6,0.26,103981,0,8,0.8,392.0,False,0.0005186174044159312,0.15000000000000002,519913,0.0,0.0,12,0,0,13,7,6.133333333333333,12,25,8,108.0,9.0,6,3,8,249,0.8530352630186826,6.031153415038716
5,8,0,0,0,10.0,20,10.0,13.953103126458238,2,8.0,28.66,5,40.0,30.773595577368685,8,20.0,49.0,9,49.0,2,0.24700000000000003,28114,56,0,0.0,560.0,False,-0.011488650605765214,0,0.21800000000000003,28064,64,0,0.0,640.0,False,-0.011836791533212645,1,0.24600000000000002,52849,0,2,0.2,57.32,False,0.004133308013672683,0,0.2,52660,0,0,0.0,0.0,False,0.0,4,0.30300000000000005,74725,10,0,0.0,286.6,False,-0.007051724137930996,4,0.33000000000000007,75050,0,0,0.0,0.0,False,-0.004641909814323607,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,1,0.264,104204,0,8,0.8,392.0,False,0.002660315204133573,0.125,519669,0.0,0.0,14,0,0,13,5,3.5333333333333337,10,23,9,54.0,30.0,3,5,9,494,0.7781559519935399,6.809309367032256
6,9,0,0,0,10.0,20,10.0,13.65965889485878,2,8.0,29.794,5,40.0,27.114180806722736,22,18.90909090909091,49.0,8,49.0,0,0.24500000000000002,28024,65,0,0.0,650.0,False,-0.013055284779278652,2,0.23800000000000002,27934,75,0,0.0,750.0,False,-0.014447848489068375,3,0.275,52940,0,2,0.2,59.588,False,0.005882909229016364,0,0.2,52660,0,0,0.0,0.0,False,0.0,5,0.34900000000000003,74600,10,0,0.0,297.94,False,-0.008634350132625979,17,0.4960000000000001,74286,5,0,0.0,148.97,False,-0.01378667108753315,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,0,0.263,104180,12,10,1.0,815.3701696806728,False,0.004462847640198045,0.15,518627,0.0,0.0,14,0,0,12,5,4.6,13,25,9,90.0,27.0,5,4,9,592,0.8449098540004343,7.65421922103269
7,9,0,0,0,10.0,20,10.0,13.65965889485878,0,,30.8146,5,40.0,26.796561187547518,3,20.0,49.00000000000001,9,49.0,0,0.24500000000000002,27904,77,0,0.0,770.0,False,-0.015144130343963237,0,0.23600000000000002,27854,83,0,0.0,830.0,False,-0.0158404121988581,3,0.30200000000000005,53047,0,0,0.0,0.0,False,0.0073490315229775924,0,0.2,52660,0,0,0.0,0.0,False,0.0,3,0.374,74325,15,0,0.0,462.219,False,-0.011192181697612654,0,0.47900000000000004,74286,5,0,0.0,154.07299999999998,False,-0.013752831564986712,0,0.2,104003,0,6,0.0,294.00000000000006,False,0.0002593087022079656,0,0.263,104561,5,11,1.0,672.9828059377377,False,0.007438235576854932,0.125,518640,0.0,0.0,15,0,0,14,2,1.6,13,27,10,108.0,9.0,6,3,10,641,0.8192719270009547,8.473491148033645
8,10,0,0,0,10.0,20,10.0,13.365777353141244,2,8.0,31.533140000000003,5,38.0,26.37491056522776,4,20.0,49.0,14,49.0,0,0.24500000000000002,27844,83,0,0.0,830.0,False,-0.01618855312630553,2,0.256,27694,97,0,0.0,970.0,False,-0.018973680545884976,5,0.34900000000000003,53066,0,2,0.2,63.066280000000006,False,0.008308642992783888,0,0.2,52660,0,0,0.0,0.0,False,0.0,4,0.41100000000000003,74225,15,0,0.0,472.99710000000005,False,-0.012446968832891194,0,0.4790000000000001,74096,10,0,0.0,315.33140000000003,False,-0.015203372679045122,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,3,0.29300000000000004,104987,0,9,0.9,441.0,False,0.010415566205353284,0.1375,518575,0.0,0.0,15,0,0,14,5,4.5,12,26,11,90.0,30.0,5,5,11,690,0.8459419379942119,9.319433086027857
9,11,0,0,0,10.000000000000002,20,10.0,13.073084805266284,2,8.0,32.179826000000006,5,38.0,25.869191530533826,5,20.0,49.0,4,49.0,2,0.265,27724,93,0,0.0,930.0000000000001,False,-0.018625539618437544,0,0.254,27594,107,0,0.0,1070.0000000000002,False,-0.020714385183122127,3,0.374,53147,0,2,0.2,64.35965200000001,False,0.009859092783896689,0,0.2,52660,0,0,0.0,0.0,False,0.0,5,0.4570000000000001,74100,15,0,0.0,482.6973900000001,False,-0.01404046823607436,0,0.4790000000000001,73906,15,0,0.0,482.6973900000001,False,-0.016613412533156586,0,0.2,104003,0,6,0.0,294.0,False,0.0002593087022079656,0,0.29000000000000004,105083,0,10,0.5,490.0,False,0.011572851339281426,0.0875,518217,0.0,0.0,13,0,0,12,3,2.6,16,28,10,144.0,9.0,8,3,10,396,1.078488618019037,10.397921704046894
