index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,22.0,0,,29.0,0,,0,0.2,41238,0,9,0.9,153.0,False,-0.0003266550522648084,0,0.2,41218,11,0,0.0,110.0,False,-0.0013308168795973675,0,0.2,53579,0,0,0.0,0.0,False,0.0,0,0.2,53579,0,0,0.0,0.0,False,0.0,0,0.2,78670,0,0,0.0,0.0,False,0.0,0,0.2,78670,0,0,0.0,0.0,False,0.0,0.15,346954,0.0,0.0,10,0,0,241,0,0.0,725,966,140,0.0,0.0,0,0,140,200,2.369011321105063,2.369011321105063
1,140,0,0,0,10.0,20,10.0,17.0,0,,20.705882352941178,6,11.0,29.0,0,,0,0.2,41158,0,17,0.8,289.0,False,-0.0006170150987224158,0,0.2,41098,23,0,0.0,230.0,False,-0.0027826171118854044,0,0.2,53579,0,0,0.0,0.0,False,0.0,6,0.26,53489,0,0,0.0,0.0,False,-0.0016797625935534445,0,0.2,78670,0,0,0.0,0.0,False,0.0,0,0.2,78604,0,6,0.6,174.0,False,0.00026693784161688065,0.2333333333333333,346598,0.0,0.0,8,0,0,29,1,1.0,74,103,74,1514.0,404.0,85,55,74,200,7.491232391446829,9.860243712551892
2,74,0,0,0,10.0,20,10.0,13.810126582278482,34,9.588235294117647,19.69942196531792,6,12.0,29.0,0,,0,0.2,41343,0,15,0.9,207.15189873417722,False,0.002869143180581981,23,0.43000000000000005,40391,34,0,0.0,340.0,False,-0.018558846302748743,0,0.2,53299,4,10,1.0,252.23472598229313,False,-0.0028720699716092125,6,0.31400000000000006,53359,20,0,0.0,276.20253164556965,False,-0.0015285603347807047,0,0.2,78598,0,6,0.6,174.0,False,0.00019066988686920045,0,0.2,78604,0,6,0.0,174.0,False,0.00026693784161688065,0.4166666666666667,345594,0.0,0.0,9,0,0,13,7,7.0,34,47,28,406.0,172.0,30,44,28,475,3.305493362247944,13.165737074799836
3,28,0,0,0,10.0,20,10.0,14.170142700329308,20,15.45,17.149017870329345,21,11.476190476190476,29.0,11,29.0,0,0.2,41588,0,7,0.3,99.19099890230515,False,0.007491180300308647,9,0.49700000000000005,40050,51,0,0.0,510.0,False,-0.024753193960511035,0,0.2,52990,14,20,1.0,541.3623552111972,False,-0.005941111674245538,21,0.518,52870,20,0,0.0,283.40285400658615,False,-0.01058807691440124,5,0.25,78492,11,10,1.0,478.6391965736228,False,0.0007794533912140022,0,0.2,78604,0,6,0.0,174.0,False,0.00026693784161688065,0.3833333333333333,344594,0.0,0.0,15,0,0,11,8,8.0,21,32,35,111.0,79.0,12,16,35,649,1.4818610325455666,14.647598107345402
4,35,0,0,0,10.0,20,10.0,11.804293031953819,41,7.073170731707317,16.352697387896644,10,11.5,29.000000000000004,6,29.0,1,0.21000000000000002,41657,1,10,1.0,128.0429303195382,False,0.009509810906885664,33,0.8180000000000001,39118,60,0,0.0,600.0,False,-0.04621564072783585,0,0.2,52990,4,30,1.0,537.7980937647146,False,-0.005974373413420295,10,0.5970000000000002,52405,61,0,0.0,720.061874949183,False,-0.015191942039332723,0,0.24500000000000002,78551,11,14,1.0,585.8796712668632,False,0.002211005918818199,0,0.2,78604,0,6,0.0,174.00000000000003,False,0.00026693784161688065,0.5,343325,0.0,0.0,10,0,0,16,6,5.125,21,37,34,193.0,105.0,15,20,34,374,1.6161672361195087,16.26376534346491
5,34,0,0,0,10.0,20,10.0,10.935549069859569,13,3.5384615384615383,15.096299042778465,23,11.608695652173912,29.000000000000004,12,29.0,0,0.20900000000000002,41577,0,19,0.9,207.7754323273318,False,0.008538707804966678,13,0.9150000000000003,38751,72,0,0.0,720.0,False,-0.05364401858304298,0,0.2,52950,4,40,1.0,647.594157990577,False,-0.0056963161127440085,23,0.8170000000000002,51850,64,0,0.0,699.8751404710124,False,-0.02573886092992585,0,0.24500000000000002,78632,24,12,1.0,710.3111770266833,False,0.004031468012118242,0,0.2,78604,0,6,0.0,174.00000000000003,False,0.00026693784161688065,0.48333333333333334,342364,0.0,0.0,16,0,0,20,6,6.0,15,35,24,156.0,81.0,17,17,24,548,1.631140605546534,17.894905949011445
6,24,0,0,0,10.0,20,10.0,11.78721996785446,79,12.987341772151899,14.628737899785262,12,11.583333333333334,29.0,9,29.0,1,0.21900000000000003,41985,0,8,0.8,94.29775974283568,False,0.01703805845604481,59,1.492,36927,84,0,0.0,840.0,False,-0.09632694541231127,0,0.2,51945,67,50,1.0,1521.180632835512,False,-0.016301343503653334,12,0.9140000000000004,51614,70,0,0.0,825.1053977498123,False,-0.028974921165477067,0,0.24500000000000002,78754,26,13,1.0,757.3471853944168,False,0.005881194771796152,0,0.2,78604,0,6,0.0,174.0,False,0.00026693784161688065,0.4666666666666666,339829,0.0,0.0,15,0,0,13,8,7.090909090909091,17,30,26,90.0,62.0,8,16,26,695,1.2480685487389565,19.1429744977504
7,26,0,0,0,10.0,20,10.0,11.496590692385142,64,10.71875,14.535015662515253,3,12.0,29.0,10,29.0,3,0.24800000000000003,42068,4,10,1.0,154.96590692385143,False,0.019780365695458952,53,1.9630000000000005,35290,90,0,0.0,900.0,False,-0.13521099496709252,0,0.2,51557,105,60,1.0,2079.242962451355,False,-0.018335140983861582,3,0.9320000000000002,51274,86,0,0.0,988.7067995451223,False,-0.033793960324519666,0,0.24500000000000002,79008,19,13,1.0,653.1652975877898,False,0.008447726564050975,0,0.2,78604,0,6,0.0,174.0,False,0.00026693784161688065,0.5,337801,0.0,0.0,14,0,0,18,8,7.2727272727272725,13,31,22,114.0,51.0,9,17,22,490,2.0718612344935536,21.214835732243955
8,22,0,0,0,10.0,20,10.0,12.225534323070345,25,18.4,18.157490861285797,36,25.77777777777778,28.999999999999996,7,29.0,6,0.30500000000000005,42211,3,10,1.0,152.25534323070346,False,0.023207696274084193,9,2.0000000000000004,35080,101,0,0.0,1010.0,False,-0.13896147890050328,0,0.2,52262,104,45,1.0,2088.5426583571766,False,-0.005090215771503924,11,1.0390000000000001,50719,102,0,0.0,1247.0045009531752,False,-0.041742058446843214,0,0.24500000000000002,78283,45,16,1.0,1281.0870887578608,False,0.003222874594876471,0,0.2,78604,0,6,0.0,173.99999999999997,False,0.00026693784161688065,0.5,337159,0.0,0.0,14,0,0,17,7,6.090909090909091,12,29,16,102.0,38.0,9,13,16,1203,1.2029763758182526,22.417812108062208
9,16,0,0,0,10.000000000000002,20,10.0,12.314642203574072,35,12.857142857142858,18.157490861285797,0,,28.999999999999993,9,29.0,7,0.369,42311,6,10,1.0,183.14642203574073,False,0.02600109395610415,18,2.1710000000000003,34631,108,0,0.0,1080.0000000000002,False,-0.14897890050329074,0,0.2,52154,101,55,1.0,2242.4408599317003,False,-0.005669750649212418,0,1.0280000000000002,50377,130,0,0.0,1600.9034864646294,False,-0.04482256587035383,0,0.24500000000000002,78544,35,17,1.0,1128.5121801450027,False,0.005570815940924209,0,0.2,78604,0,6,0.0,173.99999999999994,False,0.00026693784161688065,0.5,336621,0.0,0.0,16,0,0,11,5,4.090909090909091,12,23,22,34.0,54.0,3,13,22,461,0.9429215984418988,23.360733706504107
