index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,22.0,0,,32.0,0,,0,0.2,40355,0,10,1.0,140.0,False,-0.0007415647015202076,0,0.2,40355,10,0,0.0,100.0,False,-0.001235941169200346,0,0.2,58348,0,0,0.0,0.0,False,0.0,0,0.2,58348.0,0,0,0.0,0.0,False,0.0,0,0.2,81687,0,0,0.0,0.0,False,0.0,0,0.2,81687,0,0,0.0,0.0,False,0.0,0.16666666666666666,360780,0.0,0.0,7,0,0,246,0,0.0,777,1023,172,0.0,0.0,0,0,172,200,2.019451966509223,2.019451966509223
1,172,0,0,0,10.0,20,10.0,14.0,0,,20.705882352941178,6,11.0,32.0,0,,0,0.2,40275,0,18,0.8,252.0,False,-0.0013348164627363737,0,0.2,40235,22,0,0.0,220.0,False,-0.0027190705722407614,0,0.2,58348,0,0,0.0,0.0,False,0.0,6,0.26,58258.0,0,0,0.0,0.0,False,-0.0015424693219990402,0,0.2,81621,0,6,0.6,192.0,False,0.00036725549965110725,0,0.2,81687,0,0,0.0,0.0,False,0.0,0.2333333333333333,360424,0.0,0.0,8,0,0,75,1,1.0,101,176,93,2884.0,61.0,161,11,93,200,10.154457841068506,12.17390980757773
2,93,0,0,0,10.0,20,10.0,12.625,11,7.0,20.705882352941178,0,,32.0,0,,0,0.2,40260,0,17,0.9,214.625,False,-0.002167531825485107,1,0.21000000000000002,40110,33,0,0.0,330.0,False,-0.004449388209121246,0,0.2,58271,1,10,1.0,219.68382352941177,False,0.0005628626819206539,0,0.254,58258.0,0,0,0.0,0.0,False,-0.0015424693219990402,0,0.2,81621,0,6,0.0,192.0,False,0.00036725549965110725,0,0.2,81687,0,0,0.0,0.0,False,0.0,0.31666666666666665,360207,0.0,0.0,11,0,0,47,1,1.0,46,93,87,369.0,48.0,77,16,87,275,9.689357841387391,21.86326764896512
3,87,0,0,0,10.0,20,10.0,10.908132530120483,16,5.5,19.69942196531792,6,12.0,32.0,8,32.0,0,0.2,40200,0,22,1.0,239.97891566265062,False,-0.003337301746846493,11,0.31900000000000006,39843,43,0,0.0,430.0,False,-0.009813372883450747,0,0.2,58183,7,20,1.0,470.3453670172018,False,0.001202657906159612,6,0.31400000000000006,58174.0,0,0,0.0,0.0,False,-0.002982107355864811,0,0.2,81621,0,6,0.0,192.0,False,0.00036725549965110725,8,0.28,81530,0,6,0.6,192.0,False,-0.0007467528492905847,0.43333333333333335,359551,0.0,0.0,9,0,0,32,8,8.0,33,65,62,449.0,230.0,49,38,62,240,4.977302334271371,26.84056998323649
4,62,0,0,0,10.0,20,10.0,10.123996789727128,15,7.0,19.69942196531792,0,,32.0,14,32.0,0,0.2,40140,0,27,1.0,273.34791332263245,False,-0.00440800997005765,10,0.40800000000000003,39618,53,0,0.0,530.0,False,-0.014139166975651958,0,0.2,58078,12,30,1.0,712.4706204362632,False,0.0014779480053837251,0,0.30800000000000005,58174.0,0,0,0.0,0.0,False,-0.002982107355864811,0,0.2,81621,0,6,0.0,192.0,False,0.00036725549965110725,8,0.35200000000000004,81640,0,0,0.0,0.0,False,-0.0005753669494534014,0.3333333333333333,359271,0.0,0.0,11,0,0,29,5,4.8,20,49,48,315.0,162.0,33,29,48,400,3.4252079371362925,30.265777920372784
5,48,0,0,0,10.0,20,10.0,10.400353008981318,16,11.5625,17.923900510624282,14,12.0,32.0,6,32.0,0,0.2,40040,0,37,1.0,384.81306133230873,False,-0.005502248654896607,16,0.558,39404,63,0,0.0,630.0,False,-0.018193054010629095,0,0.2,57977,18,33,1.0,778.6950710122651,False,0.000314450118361057,7,0.37800000000000006,58076.0,0,0,0.0,0.0,False,-0.004661685062041544,0,0.2,81621,0,6,0.0,192.0,False,0.00036725549965110725,6,0.404,81419,4,10,1.0,391.6956020424971,False,-0.0008832763962289955,0.5,358537,0.0,0.0,9,0,0,17,6,6.0,16,33,39,182.0,145.0,17,31,39,284,2.6532022301107645,32.91898015048355
6,39,0,0,0,10.0,20,10.0,12.058095994877835,30,16.2,16.392523625399573,17,11.470588235294118,32.0,9,32.0,0,0.2,40410,0,23,0.9,277.3362078821902,False,0.0023153653180347992,7,0.6120000000000001,39192,74,0,0.0,740.0,False,-0.02207390928191818,0,0.2,57951,15,43,1.0,885.7499558153492,False,0.0007862305118885857,17,0.5410000000000001,57288.0,23,0,0.0,277.3362078821902,False,-0.015790290945000722,0,0.2,81621,0,6,0.0,192.0,False,0.00036725549965110725,0,0.398,81512,11,11,1.0,532.3177598793953,False,0.0011159533333296552,0.48333333333333334,357974,0.0,0.0,14,0,0,13,4,4.0,13,26,38,136.0,126.0,10,29,38,948,2.2526839012280107,35.17166405171156
7,38,0,0,0,10.0,20,10.0,13.026452113768265,20,17.6,18.59149077826701,68,20.676470588235293,32.0,8,32.0,0,0.2,40550,4,19,1.0,287.502590161597,False,0.005901651095805249,6,0.665,39102,80,0,0.0,800.0,False,-0.023557038684958596,0,0.2,57879,11,53,1.0,1128.6399844996024,False,0.0016336462646500728,68,1.204,56061.0,37,0,0.0,481.9787282094258,False,-0.035065651537246924,0,0.2,81621,0,6,0.0,192.0,False,0.00036725549965110725,0,0.398,80362,69,13,1.0,1698.8128637004236,False,-0.005822145116723518,0.5,355575,0.0,0.0,13,0,0,18,3,3.0,11,29,14,156.0,117.0,12,26,14,736,2.1490161139518023,37.32068016566336
8,14,0,0,0,10.0,20,10.0,14.12715560157404,52,16.307692307692307,18.59149077826701,0,,32.0,9,32.0,33,0.53,40545,5,10,1.0,191.2715560157404,False,0.004588698010329225,0,0.659,39012,89,0,0.0,890.0,False,-0.024669385737238907,0,0.2,57231,43,63,1.0,1778.7316098985052,False,-0.0039013195833747264,0,1.1360000000000003,55861.0,47,0,0.0,663.9763132739799,False,-0.03693377396591164,0,0.2,81621,0,6,0.0,192.0,False,0.00036725549965110725,0,0.398,80650,59,14,1.0,1544.8979559177535,False,-0.003238593926097462,0.5,354920,0.0,0.0,13,0,0,16,3,2.1,12,28,9,131.0,24.0,11,3,9,688,1.5509631941094995,38.87164335977286
9,9,0,0,0,10.000000000000002,20,10.0,14.519954812192847,10,20.0,19.81778661260665,67,22.0,32.0,11,32.0,0,0.49700000000000005,40615,8,10,1.0,225.1995481219285,False,0.006738345669533242,0,0.6590000000000001,38942,96,0,0.0,960.0000000000002,False,-0.02553454455567915,0,0.2,57231,33,73,1.0,1925.8569315226493,False,-0.002640562388405355,67,1.8060000000000003,55393.0,57,0,0.0,827.6374242949922,False,-0.04355215753500551,0,0.2,81621,0,6,0.0,192.0,False,0.00036725549965110725,0,0.398,79528,116,13,1.0,2714.8632470623716,False,-0.009812679820152713,0.5,353330,0.0,0.0,13,0,0,10,1,1.0,11,21,13,70.0,28.0,4,5,13,752,1.1825498584657907,40.05419321823865
