index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,28.0,0,,38.0,0,,0,0.2,41973,0,9,0.9,180.0,False,0.0,0,0.2,41953,1,10,1.0,210.0,False,-0.00011886931507500653,0,0.2,60249,0,0,0.0,0.0,False,0.0,0,0.2,60249.0,0,0,0.0,0.0,False,0.0,0,0.2,80909,0,0,0.0,0.0,False,0.0,0,0.2,80909,0,0,0.0,0.0,False,0.0,0.31666666666666665,366242,0.0,0.0,9,0,0,131,0,0.0,407,538,58,0.0,0.0,0,0,58,200,1.2611082699731924,1.2611082699731924
1,58,0,0,0,10.0,20,10.0,20.0,0,,26.7,5,15.0,38.0,0,,0,0.2,41843,3,19,1.0,410.0,False,-0.0003566079452250196,0,0.2,41883,0,18,0.8,360.0,False,0.0,0,0.2,60249,0,0,0.0,0.0,False,0.0,5,0.25,60154.0,0,0,0.0,0.0,False,-0.001576789656259855,0,0.2,80834,0,5,0.5,190.0,False,0.0002471912889789764,0,0.2,80909,0,0,0.0,0.0,False,0.0,0.3833333333333333,365872,0.0,0.0,9,0,0,31,1,1.0,26,57,48,774.0,195.0,43,15,48,200,3.32463657198241,4.585744841955602
2,48,0,0,0,10.0,20,10.0,19.0,5,10.0,24.572727272727274,10,15.0,38.0,0,,0,0.2,41783,4,24,1.0,496.0,False,-0.0007607636164800418,0,0.2,41793,0,27,0.9,513.0,False,-0.00032094715070251766,5,0.25,60104,0,5,0.5,122.86363636363637,False,-0.00138704678614058,5,0.29500000000000004,60059.0,0,0,0.0,0.0,False,-0.00315357931251971,0,0.2,80834,0,5,0.0,190.0,False,0.0002471912889789764,0,0.2,80759,0,10,1.0,380.0,False,0.0004943825779579528,0.5666666666666667,365332,0.0,0.0,10,0,0,25,2,2.0,24,49,39,363.0,175.0,31,17,39,250,4.673477879958227,9.25922272191383
3,39,0,0,0,10.0,20,10.0,18.2,5,11.0,23.694495412844038,5,15.0,38.0,9,38.0,0,0.2,41693,3,34,1.0,648.8,False,-0.001084088153484025,0,0.2,41738,1,32,1.0,592.4,False,-0.0006846872548321068,0,0.24500000000000002,60124,0,5,0.5,118.47247706422019,False,-0.0010915328298874622,0,0.29000000000000004,60059.0,0,0,0.0,0.0,False,-0.00315357931251971,0,0.2,80834,0,5,0.0,190.0,False,0.0002471912889789764,0,0.2,81026,0,6,0.5,228.0,False,0.002855059387707177,0.5,365474,0.0,0.0,12,0,0,20,0,0.0,20,40,26,372.0,181.0,24,15,26,672,3.2601554070133716,12.519378128927201
4,26,0,0,0,10.0,20,10.0,22.68831168831169,32,29.0,22.746866485013626,6,15.0,38.0,10,38.0,0,0.2,42541,1,12,1.0,282.2597402597403,False,0.014719108720963147,0,0.2,41618,3,42,1.0,982.909090909091,False,0.0011044040000604838,0,0.24500000000000002,59196,22,15,1.0,840.3458544180615,False,-0.010503528237663188,6,0.35000000000000003,59945.0,0,0,0.0,0.0,False,-0.005045726900031536,0,0.2,80834,0,5,0.0,190.0,False,0.0002471912889789764,4,0.24000000000000002,81130,0,6,0.6,228.0,False,0.004140454090397854,0.6,365264,0.0,0.0,12,0,0,16,3,3.0,10,26,21,216.0,162.0,12,14,21,1356,2.0548974470002577,14.574275575927459
5,21,0,0,0,10.0,20,10.0,25.743112434847355,65,29.0,22.746866485013626,0,,38.0,10,38.0,0,0.2,42701,4,12,1.0,348.9173492181683,False,0.019315281235505938,13,0.33000000000000007,42819,0,10,1.0,257.43112434847353,False,0.021033106582370134,0,0.24500000000000002,58848,24,25,1.0,1186.5063605616772,False,-0.013406808739052315,0,0.3440000000000001,58408.0,53,0,0.0,1364.38495904691,False,-0.019233639072458435,0,0.2,80834,0,5,0.0,190.0,False,0.0002471912889789764,4,0.276,81322,0,0,0.0,0.0,False,0.005104500117415862,0.5,364932,0.0,0.0,14,0,0,14,4,2.7666666666666666,11,25,24,147.0,141.0,9,12,24,1637,2.0578880020184442,16.632163577945903
6,24,0,0,0,10.0,20,10.0,26.42487080525937,32,29.0,20.025672941320746,32,15.8125,38.0,10,38.0,20,0.4,42965,4,10,1.0,304.2487080525937,False,0.025060607993397876,0,0.31700000000000006,42719,0,20,1.0,528.4974161051874,False,0.021877866724974375,0,0.24500000000000002,58010,46,29,1.0,1796.2885723402326,False,-0.022255236001093557,26,0.6040000000000001,57706.0,53,0,0.0,1400.5181526787467,False,-0.030585419237840052,0,0.2,80834,0,5,0.0,190.0,False,0.0002471912889789764,10,0.372,80672,22,10,1.0,820.5648047090565,False,0.0021416950197694373,0.6666666666666666,362906,0.0,0.0,9,0,0,18,8,7.333333333333333,9,27,24,183.0,144.0,11,13,24,290,2.1460971060441807,18.778260683990084
7,24,0,0,0,10.0,20,10.0,27.329661837912905,41,30.365853658536587,22.757498912586065,68,25.705882352941178,38.00000000000001,11,38.0,21,0.5900000000000001,43192,4,10,1.0,313.29661837912903,False,0.03056482678814075,0,0.31700000000000006,42929,0,20,1.0,546.5932367582581,False,0.027085481738799624,33,0.5750000000000001,57456,64,10,1.0,1976.6733467522865,False,-0.029953415436336818,6,0.6380000000000001,57215.0,66,0,0.0,1803.7576813022517,False,-0.035388490420569255,0,0.2,80834,0,5,0.0,190.00000000000003,False,0.0002471912889789764,1,0.372,79297,80,10,1.0,2200.5999130068853,False,-0.00632438966612564,0.6666666666666666,360923,0.0,0.0,13,0,0,15,6,4.926587301587301,12,27,29,168.0,159.0,11,13,29,890,2.00386921397876,20.782129897968844
8,29,0,0,0,10.0,20,10.0,27.697749417098546,27,29.88888888888889,24.03032118936564,67,26.44776119402985,38.000000000000014,9,38.0,0,0.5690000000000002,43102,3,20,1.0,583.9549883419709,False,0.03164247662247067,7,0.38700000000000007,43458,1,10,1.0,286.97749417098544,False,0.03657582072333156,0,0.542,57576,54,12,1.0,1784.0423227957092,False,-0.029560305376058464,59,1.2220000000000004,56054.0,93,0,0.0,2575.890695790165,False,-0.04825067058548554,0,0.2,80834,0,5,0.0,190.00000000000006,False,0.0002471912889789764,0,0.37100000000000005,77867,137,11,1.0,3710.1540029430926,False,-0.014669851296251929,0.6666666666666666,358891,0.0,0.0,15,0,0,18,2,1.5833333333333335,14,32,26,291.0,141.0,17,12,26,1097,1.8648921439889818,22.647022041957825
9,26,0,0,0,10.000000000000002,20,10.0,27.85972740506808,24,29.0,25.057137970677193,61,28.0,38.000000000000014,7,38.0,0,0.5690000000000002,43022,1,30,1.0,845.7918221520424,False,0.0328530040909117,14,0.52,43674,3,10,1.0,308.5972740506808,False,0.041967967977208996,0,0.542,56880,68,22,1.0,2445.7184988995277,False,-0.035621184593109194,61,1.7730000000000004,55688.0,93,0,0.0,2590.9546486713316,False,-0.054200446076521296,0,0.2,80834,0,5,0.0,190.00000000000006,False,0.0002471912889789764,0,0.37100000000000005,76425,188,14,1.0,5242.741938487312,False,-0.02302128355011614,0.6666666666666666,356523,0.0,0.0,12,0,0,16,3,2.166666666666667,16,32,28,258.0,135.0,16,10,28,466,2.0440107409958728,24.691032782953698
10,28,0,0,0,10.000000000000002,20,10.0,27.74777084082002,26,27.0,25.141212244079146,79,25.367088607594937,38.000000000000014,13,38.0,0,0.5690000000000002,43097,1,31,1.0,870.1808960654206,False,0.0349259550681765,7,0.5760000000000001,43933,3,10,1.0,307.4777084082002,False,0.048112090297983995,0,0.542,56328,83,24,1.0,2906.454073645961,False,-0.04095956718247639,71,2.4220000000000006,54424.0,94,0,0.0,2608.2904590370817,False,-0.07503617936366505,0,0.2,80834,0,5,0.0,190.00000000000006,False,0.0002471912889789764,0,0.371,74915,257,11,1.0,6879.29154672834,False,-0.031570705689550324,0.6666666666666666,353531,0.0,0.0,18,0,0,18,3,2.411764705882353,14,32,22,210.0,174.0,15,13,22,989,1.9530689039966092,26.644101686950307
11,22,0,0,0,10.000000000000002,20,10.0,28.466756266748828,51,31.0,25.702241328906936,64,28.0,38.000000000000014,11,38.0,5,0.6190000000000002,43993,1,10,1.0,294.66756266748826,False,0.04938624875386306,5,0.6190000000000001,44178,3,10,1.0,314.66756266748826,False,0.05402215204178832,0,0.542,55305,106,34,1.0,3891.3523694582113,False,-0.04976553661091295,64,2.991000000000001,53482.0,112,0,0.0,3188.2767018758686,False,-0.08585804991057217,0,0.2,80834,0,5,0.0,190.00000000000006,False,0.0002471912889789764,0,0.37100000000000005,73541,311,10,1.0,8373.397053290058,False,-0.039319500591466515,0.6666666666666666,351333,0.0,0.0,13,0,0,21,3,1.6111111111111112,9,30,22,204.0,102.0,13,9,22,1176,1.5831371750100516,28.22723886196036
12,22,0,0,0,10.000000000000002,20,10.0,28.466756266748828,0,,25.10093487865294,94,23.22340425531915,38.00000000000001,11,38.0,0,0.6140000000000001,43893,1,20,1.0,579.3351253349765,False,0.05039268627219864,0,0.6140000000000001,44078,3,20,1.0,599.3351253349765,False,0.055028589560123894,43,0.9720000000000002,55108,96,10,1.0,2983.8179503944166,False,-0.0605668313964181,17,3.097,53041.0,112,0,0.0,3188.2767018758686,False,-0.09317767347278896,0,0.2,80834,0,5,0.0,190.00000000000003,False,0.0002471912889789764,1,0.38100000000000006,71731,395,10,1.0,10294.869277067912,False,-0.04981603235074022,0.6666666666666666,348685,0.0,0.0,11,0,0,16,6,4.942622950819672,13,29,23,186.0,120.0,12,10,23,542,1.9524625839549117,30.17970144591527
