index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,41.0,0,,0,0.2,37628,2,10,1.0,220.0,False,-0.00026491469746741547,0,0.2,37668,8,0,0.0,80.0,False,-0.0010596587898696619,0,0.2,54845,0,0,0.0,0.0,False,0.0,0,0.2,54845,0,0,0.0,0.0,False,0.0,0,0.2,76717,0,0,0.0,0.0,False,0.0,0,0.2,76717,0,0,0.0,0.0,False,0.0,0.16666666666666666,338420,0.0,0.0,5,0,0,169,0,0.0,501,670,166,0.0,0.0,0,0,166,200,2.894730571657419,2.894730571657419
1,166,0,0,0,10.0,11,10.0,20.0,0,,30.0,0,,41.0,0,,0,0.2,37608,0,14,0.4,280.0,False,0.0,0,0.2,37578,17,0,0.0,170.0,False,-0.0022517749284730318,0,0.2,54845,0,0,0.0,0.0,False,0.0,0,0.2,54845,0,0,0.0,0.0,False,0.0,0,0.2,76717,0,0,0.0,0.0,False,0.0,0,0.2,76717,0,0,0.0,0.0,False,0.0,0.06666666666666667,338310,0.0,0.0,3,0,0,22,0,0.0,76,98,100,1542.0,746.0,87,79,100,110,10.89529422763735,13.79002479929477
2,100,0,0,0,9.999999999999998,18,10.0,17.3,25,12.44,27.25,11,16.0,41.0,0,,0,0.2,37749,2,15,1.0,279.5,False,0.003728674366853873,16,0.36000000000000004,37097,23,0,0.0,229.99999999999997,False,-0.01419942778425347,0,0.2,54825,0,4,0.4,109.0,False,0.0006290454918406418,11,0.31000000000000005,54274,21,0,0.0,363.3,False,-0.007099097456468202,0,0.2,76653,0,4,0.4,164.0,False,0.00023462856993886622,0,0.2,76605,0,7,0.7,287.0,False,0.0004105999973930159,0.4166666666666667,337203,0.0,0.0,6,0,0,14,7,7.0,45,59,24,674.0,212.0,49,51,24,441,4.462952906265855,18.252977705560625
3,24,0,0,0,9.999999999999998,16,10.0,15.121917808219179,10,1.4,26.180505415162457,5,15.4,41.0,20,41.0,0,0.2,37699,0,22,0.7,332.68219178082194,False,0.0031085380918303824,10,0.44400000000000006,36732,34,0,0.0,339.99999999999994,False,-0.02241178340574335,0,0.2,54816,0,13,0.9,340.3465703971119,False,0.0025740411194923513,5,0.34900000000000003,54158,22,0,0.0,332.68219178082194,False,-0.009493279316429697,10,0.30000000000000004,76667,0,0,0.0,0.0,False,-0.0006517460276079617,0,0.2,76774,0,6,0.5,246.0,False,0.002346285699388662,0.35000000000000003,336846,0.0,0.0,6,0,0,10,9,8.2,9,19,18,98.0,76.0,9,15,18,406,1.4071016814559698,19.660079387016594
4,18,0,0,0,9.999999999999998,12,10.0,12.574790919952212,18,3.2777777777777777,26.07708911501696,15,25.733333333333334,41.0,20,41.0,0,0.2,37699,0,22,0.0,276.6454002389487,False,0.0023662896079123526,18,0.6140000000000001,36123,46,0,0.0,459.99999999999994,False,-0.03695560029670446,0,0.2,55031,0,13,0.5,339.0021584952205,False,0.006481923224498306,10,0.44400000000000006,53862,35,0,0.0,440.11768219832743,False,-0.013910860769456428,8,0.37000000000000005,76573,0,0,0.0,0.0,False,-0.0018770285595109298,6,0.26,76570,5,10,1.0,540.3854455750848,False,0.0016058073541397886,0.25,335858,0.0,0.0,5,0,0,10,11,10.666666666666668,11,21,18,125.0,22.0,9,9,18,514,1.1464918330311775,20.806571220047772
5,18,0,0,0,9.999999999999998,6,10.0,11.854919569722691,26,9.76923076923077,26.797086611870014,10,31.0,41.0,20,41.0,0,0.2,37844,0,17,0.0,201.53363268528574,False,0.005212642162303762,21,0.806,35533,52,0,0.0,519.9999999999999,False,-0.05179082335487973,0,0.2,55192,0,13,0.5,348.36212595431016,False,0.009502799944883893,5,0.48400000000000004,53577,56,0,0.0,663.8754959044707,False,-0.01706741274587953,7,0.43200000000000005,76493,0,0,0.0,0.0,False,-0.0029198222036836688,3,0.28400000000000003,76646,5,10,1.0,543.98543305935,False,0.0026199240915268916,0.25,335285,0.0,0.0,6,0,0,14,9,8.75,5,19,16,106.0,40.0,9,9,16,804,0.9245260590687394,21.73109727911651
6,16,0,0,0,9.999999999999998,8,10.0,12.510527262426146,20,15.5,28.6351464058483,14,36.714285714285715,41.0,20,41.0,0,0.2,38076,0,9,0.0,112.59474536183532,False,0.0101806022221287,12,0.9050000000000002,35232,60,0,0.0,599.9999999999999,False,-0.058705096958779276,0,0.2,55565,1,13,1.0,384.76743053845405,False,0.016635677186055766,4,0.5190000000000001,53264,65,0,0.0,813.1842720576996,False,-0.021413216591688423,11,0.5350000000000001,76113,0,5,0.5,205.0,False,-0.006537012656907856,0,0.281,76731,4,11,1.0,565.5405856233932,False,0.0038683771890414423,0.4166666666666667,334981,0.0,0.0,7,0,0,9,6,6.0,8,17,13,94.0,41.0,7,9,13,1131,0.8603133587166667,22.591410637833178
7,13,0,0,0,9.999999999999998,9,10.0,10.877096485804465,45,7.2444444444444445,28.90106170913212,21,29.761904761904763,41.00000000000001,20,41.0,0,0.2,38076,0,9,0.0,97.89386837224018,False,0.009985878303118539,45,1.3430000000000002,33585,69,0,0.0,689.9999999999999,False,-0.10114443149305924,0,0.2,55804,7,13,1.0,451.85347761934884,False,0.021605009368395985,11,0.6250000000000001,52867,94,0,0.0,1022.4470696656197,False,-0.026744032549315153,6,0.5840000000000001,76040,0,5,0.5,205.00000000000003,False,-0.00748856185721548,0,0.281,76695,10,12,1.0,781.0106170913214,False,0.0048034374199416065,0.4166666666666667,333067,0.0,0.0,7,0,0,13,12,11.714285714285714,6,19,10,87.0,15.0,7,6,10,1032,0.801819983869791,23.39323062170297
8,10,0,0,0,9.999999999999998,11,10.0,10.451196543368074,8,3.5,29.808596994667976,14,35.0,41.00000000000001,20,41.0,0,0.2,38076,0,9,0.0,94.06076889031266,False,0.00993510608363769,8,1.3780000000000003,33298,80,0,0.0,799.9999999999999,False,-0.10729045247430327,0,0.2,56015,0,16,0.8,476.9375519146876,False,0.025680896635196328,9,0.7040000000000002,52794,101,0,0.0,1055.5708508801754,False,-0.02777308003573547,4,0.6180000000000001,75943,0,9,0.9,369.00000000000006,False,-0.007684085665497869,0,0.281,76926,5,11,1.0,600.0429849733399,False,0.0066350547139053155,0.45,333052,0.0,0.0,8,0,0,12,5,4.571428571428571,4,16,8,81.0,12.0,6,4,8,863,0.7493894007056952,24.142620022408664
9,8,0,0,0,9.999999999999996,14,10.0,11.17087774265158,19,15.894736842105264,29.50433025559798,61,29.081967213114755,41.00000000000001,20,41.0,0,0.2,38346,0,0,0.0,0.0,False,0.015841898908551446,10,1.4700000000000002,32926,94,0,0.0,939.9999999999997,False,-0.11529087633781922,0,0.2,56007,0,20,0.4,590.0866051119597,False,0.026566565822882363,61,1.3050000000000002,51738,116,0,0.0,1295.8218181475834,False,-0.04483706975888794,0,0.6140000000000001,74497,51,11,1.0,1955.720843035497,False,-0.016191190720208724,1,0.29100000000000004,77369,0,5,0.5,205.00000000000003,False,0.009834847556604142,0.31666666666666665,330883,0.0,0.0,8,0,0,13,5,4.333333333333333,4,17,10,72.0,24.0,5,3,10,1107,0.7788291880860925,24.921449210494757
