index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,35.0,0,,0,0.2,36426,0,9,0.9,162.0,False,-0.00024646730200460074,0,0.2,36406,1,10,1.0,190.0,False,-0.0004107788366743345,0,0.2,52826,0,0,0.0,0.0,False,0.0,0,0.2,52826.0,0,0,0.0,0.0,False,0.0,0,0.2,72788,0,0,0.0,0.0,False,0.0,0,0.2,72788,0,0,0.0,0.0,False,0.0,0.31666666666666665,324060,0.0,0.0,10,0,0,2,0,0.0,837,839,120,0.0,0.0,0,0,120,200,2.198294800997246,2.198294800997246
1,120,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,35.0,0,,0,0.2,36346,0,17,0.8,306.0,False,-0.0004655493482309125,0,0.2,36286,3,20,1.0,390.0,False,-0.0009584839522401139,0,0.2,52826,0,0,0.0,0.0,False,0.0,0,0.2,52826.0,0,0,0.0,0.0,False,0.0,0,0.2,72788,0,0,0.0,0.0,False,0.0,0,0.2,72788,0,0,0.0,0.0,False,0.0,0.3,323860,0.0,0.0,10,0,0,82,0,0.0,50,132,59,1998.0,87.0,111,9,59,200,8.39261711598374,10.590911916980986
2,59,0,0,0,10.0,20,10.0,16.79245283018868,8,10.0,18.367346938775512,53,12.735849056603774,35.0,0,,0,0.2,36346,0,17,0.8,285.47169811320754,False,-0.0007466357471627804,0,0.2,36166,5,30,1.0,553.7735849056604,False,-0.002002223889450343,0,0.2,52746,0,8,0.8,146.9387755102041,False,-0.00012362496204324527,53,0.7300000000000002,50487.0,0,0,0.0,0.0,False,-0.044277439139817514,0,0.2,72379,24,10,1.0,790.8163265306123,False,-0.0001867318340205724,0,0.2,72522,9,10,1.0,515.3061224489796,False,-0.00011467465482638727,0.7666666666666666,320646,0.0,0.0,11,0,0,38,6,6.0,15,53,34,255.0,96.0,35,24,34,280,9.410208860994317,20.001120777975302
3,34,0,0,0,10.0,20,10.0,16.79245283018868,0,,17.77777777777778,9,12.0,35.0,20,35.0,0,0.2,36246,0,27,1.0,453.39622641509436,False,-0.0011858332454938864,0,0.2,36066,5,40,1.0,721.6981132075472,False,-0.0024414213877814485,0,0.2,52746,0,8,0.0,142.22222222222223,False,-0.00016826730944781936,9,0.7670000000000001,50325.0,0,0,0.0,0.0,False,-0.04734411085450346,4,0.24000000000000002,72701,14,10,1.0,598.8888888888889,False,0.0029186740183057367,0,0.2,72624,8,14,1.0,632.2222222222222,False,0.0020897828091321303,0.6666666666666666,320708,0.0,0.0,19,0,0,19,2,1.8,17,36,34,147.0,65.0,14,20,34,725,3.7850906379753724,23.786211415950675
4,34,0,0,0,10.0,20,10.0,16.79245283018868,0,,16.843657817109147,21,12.952380952380953,35.0,20,35.0,0,0.2,36106,4,37,1.0,661.3207547169811,False,-0.0021727358593905725,0,0.2,36006,1,50,1.0,849.622641509434,False,-0.002332913770546775,0,0.2,52746,0,8,0.0,134.74926253687318,False,-0.00023899914306519608,21,0.9680000000000002,49824.0,0,0,0.0,0.0,False,-0.05682807708325446,0,0.23600000000000002,72876,14,11,1.0,620.811209439528,False,0.005473506686813299,0,0.2,72877,9,13,1.0,606.5929203539823,False,0.005389576031447391,0.6666666666666666,320435,0.0,0.0,17,0,0,26,2,2.0,17,43,33,243.0,99.0,21,13,33,900,2.9065306760021485,26.692742091952823
5,33,0,0,0,10.0,20,10.0,18.388214904679376,10,26.0,16.19243161286247,29,14.0,35.0,20,35.0,0,0.2,36236,7,37,1.0,750.3639514731369,False,0.0026065827510287688,0,0.2,35936,0,58,0.8,1066.5164644714039,False,-0.0012800352657546068,0,0.2,52746,0,8,0.0,129.53945290289977,False,-0.0002883101796189382,29,1.2370000000000003,48749.0,10,0,0.0,183.88214904679376,False,-0.07543745363034494,0,0.23600000000000002,72904,22,13,1.0,811.2334954829744,False,0.007166246465646612,0,0.2,73143,10,11,1.0,546.9243161286247,False,0.008634145162173906,0.6333333333333333,319714,0.0,0.0,22,0,0,18,3,3.0,19,37,22,240.0,62.0,17,16,22,1160,2.4968172709923238,29.189559362945147
6,22,0,0,0,10.0,20,10.0,22.621341064247638,55,26.618181818181817,15.473812711260207,42,13.523809523809524,34.99999999999999,20,35.0,0,0.2,36754,5,24,1.0,592.9121855419432,False,0.0146362168027979,0,0.2,36682,2,36,1.0,834.368278312915,False,0.01597064681664091,0,0.2,52746,0,8,0.0,123.79050169008165,False,-0.00034272421070990816,42,1.6280000000000003,45764.0,65,0,0.0,1470.3871691760964,False,-0.11976690295331748,0,0.23600000000000002,73064,32,11,1.0,880.1620067603266,False,0.009837899150686488,0,0.2,73115,22,13,1.0,795.4238796477244,False,0.009956475515522577,0.6666666666666666,318125,0.0,0.0,24,0,0,17,4,4.0,13,30,21,165.0,51.0,10,12,21,2364,1.6771783879958093,30.866737750940956
7,21,0,0,0,10.0,20,10.0,23.565495682011267,25,27.2,15.008145786050019,45,13.555555555555555,35.0,20,35.0,0,0.2,36884,8,24,1.0,645.5718963682705,False,0.018917349879070462,0,0.2,37032,0,30,0.9,706.964870460338,False,0.02381099888350766,0,0.2,52746,0,8,0.0,120.06516628840015,False,-0.0003779846449815931,45,2.0360000000000005,43396.0,90,0,0.0,2120.894611381014,False,-0.15843623772970689,1,0.24600000000000002,73322,32,10,1.0,830.2606651536006,False,0.013039653961872765,0,0.2,72905,47,15,1.0,1230.382851944351,False,0.010059232647856537,0.65,316285,0.0,0.0,20,0,0,18,5,5.0,13,31,17,156.0,57.0,12,9,17,1545,1.9679208540474065,32.83465860498836
8,17,0,0,0,10.0,20,10.0,23.824669384907295,13,26.0,15.526696314476899,37,17.864864864864863,35.0,20,35.0,0,0.2,37112,9,21,1.0,590.3180570830532,False,0.024404617935741307,0,0.2,36942,0,39,0.9,929.1621060113845,False,0.024388789927858787,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,29,2.281000000000001,42206.0,103,0,0.0,2453.9409466454513,False,-0.17781072817698243,0,0.24500000000000002,73240,39,11,1.0,990.5411562645991,False,0.013014103672752405,0,0.2,73026,57,14,1.0,1375.0216899251832,False,0.012715156962172318,0.65,315560,0.0,0.0,24,0,0,13,4,4.0,17,30,16,180.0,21.0,10,7,16,1526,1.56449394201627,34.39915254700463
9,16,0,0,0,10.000000000000002,20,10.0,24.35010441887022,35,26.0,15.526696314476899,0,,35.00000000000001,20,35.0,0,0.2,37022,8,31,1.0,834.8532369849768,False,0.02528827413989718,0,0.2,37742,1,14,1.0,350.9014618641831,False,0.03837908672724533,0,0.2,53034,0,0,0.0,0.0,False,0.0039374550410782565,0,2.2520000000000007,41296.0,138,0,0.0,3360.3144098040902,False,-0.18645823638166723,0,0.24500000000000002,73590,29,11,1.0,835.2741931198301,False,0.01675601880199923,0,0.2,73376,47,14,1.0,1219.7547267804143,False,0.01645707209141894,0.6666666666666666,316060,0.0,0.0,24,0,0,18,0,0.0,13,31,12,138.0,13.0,11,5,12,1810,1.5632205189904198,35.96237306599505
