index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,14,10.0,18.0,0,,27.0,0,,36.0,0,,0,0.2,38677,0,0,0.0,0.0,False,0.0,0,0.2,38537,4,10,1.0,220.0,False,-0.0007756547819117305,0,0.2,57757,0,0,0.0,0.0,False,0.0,0,0.2,57757.0,0,0,0.0,0.0,False,0.0,0,0.2,81350,0,0,0.0,0.0,False,0.0,0,0.2,81350,0,0,0.0,0.0,False,0.0,0.16666666666666666,355428,0.0,0.0,7,0,0,338,0,0.0,968,1306,167,0.0,0.0,0,0,167,140,3.8088700040243566,3.8088700040243566
1,167,0,0,0,10.0,17,10.0,18.0,0,,27.0,0,,36.0,0,,0,0.2,38637,0,4,0.4,72.0,False,-0.00010342063758823073,0,0.2,38407,7,20,1.0,430.0,False,-0.0014220337668381725,0,0.2,57757,0,0,0.0,0.0,False,0.0,0,0.2,57757.0,0,0,0.0,0.0,False,0.0,0,0.2,81350,0,0,0.0,0.0,False,0.0,0,0.2,81350,0,0,0.0,0.0,False,0.0,0.2333333333333333,355258,0.0,0.0,10,0,0,31,0,0.0,81,112,71,1638.0,558.0,91,76,71,170,13.223948874976486,17.032818879000843
2,71,0,0,0,10.0,16,10.0,17.2,5,10.0,20.75581395348837,41,13.902439024390244,36.0,0,,0,0.2,38627,0,5,0.1,86.0,False,-0.00018098611577940378,0,0.2,38307,12,25,1.0,550.0,False,-0.0024562401427204797,0,0.2,57707,0,5,0.5,103.77906976744185,False,3.2715253280428614e-05,41,0.6100000000000001,56105.0,0,0,0.0,0.0,False,-0.02860259362501515,0,0.2,80923,20,10,1.0,775.1162790697674,False,-0.0004848415545803883,0,0.2,81207,1,10,1.0,380.75581395348837,False,0.0005823959062906934,0.6,352876,0.0,0.0,10,0,0,22,6,6.0,20,42,41,315.0,243.0,20,51,41,210,3.651743518013973,20.684562397014815
3,41,0,0,0,10.0,18,10.0,15.89090909090909,10,10.0,18.829887218045112,29,13.689655172413794,36.0,20,36.0,0,0.2,38557,0,12,0.7,190.6909090909091,False,-0.0006374472025893553,0,0.2,38297,13,25,1.0,527.2727272727273,False,-0.0030086003662031613,0,0.2,57607,0,15,1.0,282.4483082706767,False,-0.00015194428146655828,29,0.8590000000000002,55188.0,0,0,0.0,0.0,False,-0.044479457035510844,0,0.2,81130,19,11,1.0,753.7678571428571,False,0.0019285055755554371,1,0.21000000000000002,81280,11,10,1.0,567.1287593984962,False,0.00262525359187771,0.7833333333333333,352059,0.0,0.0,19,0,0,17,4,3.3333333333333335,21,38,33,276.0,79.0,17,24,33,892,3.364842613984365,24.04940501099918
4,33,0,0,0,10.0,9,10.0,18.586666666666666,18,26.0,18.248711642070745,75,17.506666666666668,36.0,20,36.0,0,0.2,38557,0,12,0.0,223.04,False,-0.00021925175168713192,0,0.2,38675,12,17,1.0,435.9733333333333,False,0.005584369694305762,0,0.2,58007,0,5,0.0,91.24355821035373,False,0.0051183714373179865,65,1.4800000000000002,51108.0,18,0,0.0,334.56,False,-0.11222397285177556,1,0.21000000000000002,80996,37,10,1.0,1035.2023307566176,False,0.0020110776321856936,0,0.20900000000000002,80778,48,12,1.0,1307.9381588193958,False,0.001007610072645321,0.5,348121,0.0,0.0,15,0,0,25,8,7.333333333333333,12,37,23,247.0,61.0,16,17,23,1570,1.9315142210107297,25.98091923200991
5,23,0,0,0,10.0,10,10.0,20.21029315960912,16,26.375,17.682249110160956,25,14.2,36.0,20,36.0,0,0.2,38692,0,7,0.0,141.47205211726384,False,0.0022167186198161267,0,0.2,38862,12,16,1.0,443.3646905537459,False,0.010514836861102803,0,0.2,58007,0,5,0.0,88.41124555080478,False,0.005093852221815539,25,1.6650000000000003,49961.0,34,0,0.0,687.1499674267101,False,-0.12903068054584976,0,0.20900000000000002,81209,32,12,1.0,997.8319715251506,False,0.0043997048034736105,0,0.20900000000000002,80930,58,10,1.0,1385.5704483893355,False,0.0033532295537144134,0.5,347661,0.0,0.0,20,0,0,21,3,3.0,8,29,12,144.0,71.0,8,15,12,1242,1.2828912509721704,27.26381048298208
6,12,0,0,0,10.0,12,10.0,21.963421650264948,30,26.0,17.41259990472662,13,14.076923076923077,36.0,20,36.0,0,0.2,38692,0,7,0.0,153.74395155185465,False,0.0023753645778091504,14,0.34,39184,14,10,1.0,359.63421650264945,False,0.017757765810464145,0,0.2,58007,0,5,0.0,87.0629995236331,False,0.005082180510792092,13,1.7700000000000002,48888.0,64,0,0.0,1405.6589856169567,False,-0.14138841191875479,0,0.20900000000000002,81386,35,12,1.0,1041.4409966654316,False,0.0068435217988040585,0,0.20900000000000002,81290,48,10,1.0,1195.8047954268777,False,0.0066121991114128425,0.5,347447,0.0,0.0,19,0,0,17,4,3.2,7,24,9,42.0,52.0,4,8,9,840,0.9943056490155868,28.258116131997667
7,9,0,0,0,10.0,8,10.0,22.55428420572635,15,26.066666666666666,17.625131112875103,22,19.136363636363637,36.0,20,36.0,0,0.2,38692,0,7,0.0,157.87998944008444,False,0.0024288335372454847,5,0.37600000000000006,39382,12,10,1.0,345.5428420572635,False,0.02269492000487702,0,0.2,57816,5,10,1.0,289.02273215738273,False,0.003523579238511147,17,1.9270000000000003,48487.0,64,0,0.0,1443.4741891664864,False,-0.14800392862192904,0,0.20900000000000002,81458,34,13,1.0,1067.2544578377535,False,0.007887243133606371,1,0.21900000000000003,81474,51,10,1.0,1258.8816867566302,False,0.009261719033537924,0.6666666666666666,347309,0.0,0.0,13,0,0,16,5,3.7857142857142856,8,24,15,54.0,63.0,3,6,15,928,1.0799954890389927,29.33811162103666
8,15,0,0,0,10.0,11,10.0,23.940064452895903,32,28.0,18.10022807170982,17,22.58823529411765,36.0,20,36.0,0,0.2,38692,0,7,0.0,167.58045117027132,False,0.002554237029374998,22,0.5910000000000001,39604,13,10,1.0,369.40064452895905,False,0.028743189033908472,0,0.2,57573,11,15,1.0,534.8441300575023,False,0.0014443628482911754,12,2.0300000000000002,47819.0,80,0,0.0,1915.2051562316724,False,-0.1554858704898828,0,0.20900000000000002,81635,30,12,1.0,975.0068421512947,False,0.009496046970813056,0,0.21800000000000003,81633,52,11,1.0,1337.2118597289107,False,0.011697675843447499,0.6666666666666666,346956,0.0,0.0,18,0,0,20,4,3.375,8,28,19,126.0,84.0,7,8,19,1035,1.2044783749734052,30.542589996010065
9,19,0,0,0,10.0,13,10.0,24.549039270564023,22,27.681818181818183,20.404251255472023,81,24.950617283950617,36.0,20,36.0,0,0.2,38881,0,0,0.0,0.0,False,0.0052744525169997674,5,0.6190000000000002,39784,16,10,1.0,405.49039270564026,False,0.03386367082123282,0,0.2,57573,1,25,1.0,534.6553206573645,False,0.0014427283329930482,81,2.8280000000000007,45376.0,102,0,0.0,2504.0020055975306,False,-0.19268658339597336,0,0.20900000000000002,81947,28,10,1.0,931.3190351532166,False,0.013062809066706975,0,0.21800000000000003,80020,115,13,1.0,2814.4888943792826,False,0.0009495322334314093,0.6666666666666666,343581,0.0,0.0,19,0,0,22,4,3.333333333333333,10,32,19,150.0,102.0,10,9,19,1039,1.3301877829944715,31.872777779004537
