index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,26.0,0,,37.0,0,,0,0.2,30619,8,0,0.0,80.0,False,-0.001302974038242288,0,0.2,30579,2,10,1.0,160.0,False,-0.001302974038242288,0,0.2,43108,0,0,0.0,0.0,False,0.0,0,0.2,43108,0,0,0.0,0.0,False,0.0,0,0.2,55387,0,0,0.0,0.0,False,0.0,0,0.2,55387,0,0,0.0,0.0,False,0.0,0,0.2,79178,0,0,0.0,0.0,False,0.0,0,0.2,79178,0,0,0.0,0.0,False,0.0,0.125,416544,0.0,0.0,9,0,0,261,0,0.0,790,1051,46,0.0,0.0,0,0,46,200,1.5114608249859884,1.5114608249859884
1,46,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,24.7,5,13.0,37.0,0,,0,0.2,30529,17,0,0.0,170.0,False,-0.002768819831264862,0,0.2,30469,3,20,1.0,310.0,False,-0.00244307632170429,0,0.2,43108,0,0,0.0,0.0,False,0.0,0,0.2,43108,0,0,0.0,0.0,False,0.0,0,0.2,55387,0,0,0.0,0.0,False,0.0,5,0.25,55297,0,0,0.0,0.0,False,-0.0016249300377344864,0,0.2,79178,0,0,0.0,0.0,False,0.0,0,0.2,79113,0,5,0.5,185.0,False,0.0003473186996387886,0.1875,416189,0.0,0.0,8,0,0,33,1,1.0,29,62,28,738.0,90.0,41,5,28,200,3.662525122985244,5.173985947971232
2,28,0,0,0,10.0,20,10.0,14.0,0,,17.0,20,10.25,23.259615384615383,7,14.0,37.0,0,,0,0.2,30399,30,0,0.0,300.0,False,-0.00488615264340858,0,0.2,30399,0,30,1.0,420.0,False,-0.002931691586045148,10,0.30000000000000004,42943,0,0,0.0,0.0,False,-0.0038275958058828987,10,0.30000000000000004,42948,0,0,0.0,0.0,False,-0.0037116080541894775,0,0.2,55182,10,10,1.0,402.5961538461538,False,-6.683740005636625e-05,7,0.31500000000000006,55178,0,0,0.0,0.0,False,-0.0037734486431834184,0,0.2,79080,0,7,0.7,259.0,False,0.0003978377832226123,0,0.2,79113,0,5,0.0,185.0,False,0.0003473186996387886,0.3375,415242,0.0,0.0,12,0,0,21,5,5.0,25,46,29,267.0,57.0,24,4,29,200,3.303217867971398,8.47720381594263
3,29,0,0,0,10.0,20,10.0,14.0,0,,15.343949044585987,20,10.5,23.259615384615383,0,,37.0,0,,0,0.2,30299,40,0,0.0,400.0,False,-0.00651487019121144,0,0.2,30299,0,40,1.0,560.0,False,-0.003908922114726864,5,0.34,42873,0,0,0.0,0.0,False,-0.0054514243295907955,15,0.44000000000000006,42673,0,0,0.0,0.0,False,-0.010090934397327642,0,0.2,54972,20,20,1.0,772.0712885840273,False,-0.0005229450179280966,0,0.30800000000000005,55178,0,0,0.0,0.0,False,-0.0037734486431834184,0,0.2,79080,0,7,0.0,259.0,False,0.0003978377832226123,0,0.2,79113,0,5,0.0,185.0,False,0.0003473186996387886,0.25,414487,0.0,0.0,12,0,0,19,4,4.0,19,38,22,294.0,183.0,18,11,22,200,2.346980975999031,10.824184791941661
4,22,0,0,0,10.0,20,10.0,15.68421052631579,12,22.0,14.258883248730964,18,10.0,22.054832713754646,7,14.0,37.0,12,37.0,0,0.2,30209,49,0,0.0,490.0,False,-0.007980715984234015,0,0.2,30453,1,38,1.0,606.0,False,0.0018567380044952604,5,0.385,42803,0,0,0.0,0.0,False,-0.007075252853298692,13,0.5550000000000002,42187,12,0,0.0,188.21052631578948,False,-0.019181932282687827,0,0.2,54872,20,30,1.0,946.8226463872586,False,-0.000750874335247837,7,0.37800000000000006,54979,8,0,0.0,114.07106598984771,False,-0.006336585606822478,5,0.25,79190,0,7,0.7,259.0,False,0.0017871125817777666,0,0.2,79113,0,5,0.0,185.0,False,0.0003473186996387886,0.3375,413806,0.0,0.0,17,0,0,22,7,7.0,19,41,10,342.0,39.0,19,3,10,723,1.7781132300151512,12.602298021956813
5,10,0,0,0,10.0,20,10.0,15.68421052631579,0,,13.505378985115684,22,10.772727272727273,19.890309850920783,20,14.65,37.0,10,37.0,0,0.2,30099,60,0,0.0,600.0,False,-0.00977230528681716,0,0.2,30363,0,48,1.0,752.8421052631579,False,0.0013166895544343496,11,0.49000000000000005,42625,0,0,0.0,0.0,False,-0.011204416813584486,11,0.6520000000000001,42014,12,0,0.0,188.21052631578948,False,-0.0231951084912802,0,0.2,54767,20,40,1.0,1065.719973739145,False,-0.0015732936091578413,20,0.5710000000000002,54403,20,0,0.0,270.10757970231367,False,-0.015327535525463487,3,0.275,79131,10,10,1.0,568.9030985092079,False,0.002998958665975463,0,0.2,79113,0,5,0.0,185.0,False,0.0003473186996387886,0.375,412515,0.0,0.0,15,0,0,15,8,7.5,14,29,10,114.0,36.0,8,2,10,422,1.4046595109975897,14.006957532954402
6,10,0,0,0,10.0,20,10.0,16.388254486133768,10,20.0,13.304156857233211,8,11.0,19.890309850920783,0,,37.00000000000001,9,37.0,0,0.2,29989,71,0,0.0,710.0,False,-0.011563894589400306,0,0.2,30473,0,47,0.9,770.2479608482871,False,0.005183360383860874,8,0.559,42521,0,0,0.0,0.0,False,-0.013616962048807645,0,0.6410000000000001,41814,22,0,0.0,360.5415986949429,False,-0.02583578919579965,0,0.2,54767,10,50,1.0,1127.5570611183712,False,-0.001015066160666178,0,0.5510000000000002,54315,28,0,0.0,372.5163920025299,False,-0.015991871811051897,0,0.272,79464,0,11,1.0,407.00000000000006,False,0.0061822728535704365,0,0.2,79113,0,5,0.0,185.00000000000003,False,0.0003473186996387886,0.3625,412456,0.0,0.0,16,0,0,16,1,1.0,12,28,10,126.0,54.0,7,3,10,733,1.2873121309676208,15.294269663922023
7,10,0,0,0,10.0,20,10.0,18.520744514921493,41,21.390243902439025,13.022744549823198,10,10.5,23.129422784492622,66,26.151515151515152,37.00000000000001,7,37.0,0,0.2,29909,79,0,0.0,790.0,False,-0.012866868627642594,0,0.2,31230,2,16,1.0,316.3319122387439,False,0.022449133721599197,5,0.6010000000000001,41903,26,0,0.0,481.53935738795883,False,-0.022367781416582126,5,0.6910000000000001,41420,37,0,0.0,685.2675470520952,False,-0.031209200762595205,0,0.2,54862,10,55,1.0,1402.3456986453261,False,0.003180761718862945,61,1.161,53585,28,0,0.0,364.63684739504953,False,-0.029242991609989326,0,0.272,77997,56,14,1.0,1813.2476759315869,False,-0.003465308065803784,0,0.2,79113,0,5,0.0,185.00000000000003,False,0.0003473186996387886,0.375,410019,0.0,0.0,21,0,0,18,4,4.0,15,33,8,144.0,36.0,8,2,8,1536,1.1410617840010673,16.43533144792309
8,8,0,0,0,10.0,20,10.0,18.520744514921493,0,,12.863117164731586,5,10.0,23.285012660924078,11,24.90909090909091,37.0,9,37.0,0,0.2,29849,85,0,0.0,850.0,False,-0.01384409915632431,0,0.2,31090,6,26,1.0,541.5393573879588,False,0.02155671776585484,0,0.5960000000000001,41903,26,0,0.0,481.53935738795883,False,-0.022367781416582126,5,0.7360000000000002,41350,37,0,0.0,685.2675470520952,False,-0.032833029286303106,0,0.2,55086,5,54,1.0,1321.7062695135583,False,0.006497068531546696,0,1.1,53585,28,0,0.0,360.1672806124844,False,-0.02928334012843732,0,0.272,78056,57,15,1.0,1882.2457216726725,False,-0.0022844368279530828,0,0.2,79113,0,5,0.0,185.0,False,0.0003473186996387886,0.375,410032,0.0,0.0,19,0,0,14,1,1.0,17,31,12,126.0,18.0,7,1,12,807,1.1625221309950575,17.597853578918148
9,12,0,0,0,10.000000000000002,20,10.0,18.901495457002394,30,20.0,12.759855201135696,5,11.0,23.285012660924078,0,,36.99999999999999,11,37.0,0,0.2,29749,95,0,0.0,950.0000000000001,False,-0.01547281670412717,4,0.24000000000000002,31522,6,10,1.0,249.01495457002397,False,0.030864441098570408,0,0.5960000000000001,41603,41,0,0.0,774.9613137370982,False,-0.025923711216745093,5,0.7810000000000001,40985,52,0,0.0,982.8777637641244,False,-0.03784822116818087,0,0.2,55031,0,64,1.0,1490.240810299141,False,0.007025482606921721,0,1.1,53585,28,0,0.0,357.2759456317995,False,-0.029309441334322117,0,0.272,78463,47,14,1.0,1612.3955950634318,False,0.0011518072890413138,0,0.2,79113,0,5,0.0,184.99999999999997,False,0.0003473186996387886,0.375,410051,0.0,0.0,18,0,0,18,2,1.2666666666666666,11,29,16,150.0,36.0,10,2,16,907,1.600850752030965,19.198704330949113
