index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,28.0,0,,37.0,0,,0,0.2,27278,1,10,1.0,170.0,False,-0.0009128085292828977,0,0.2,27298,9,0,0.0,90.0,False,-0.0016430553527092158,0,0.2,46462,0,0,0.0,0.0,False,0.0,0,0.2,46462,0,0,0.0,0.0,False,0.0,0,0.2,61036,0,0,0.0,0.0,False,0.0,0,0.2,61036,0,0,0.0,0.0,False,0.0,0.16666666666666666,269572,0.0,0.0,10,0,0,0,0,0.0,645,645,120,0.0,0.0,0,0,120,200,4.184924483997747,4.184924483997747
1,120,0,0,0,10.0,20,10.0,14.235294117647058,6,1.0,22.44,30,14.1,37.0,0,,0,0.2,27158,3,20,1.0,314.70588235294116,False,-0.0026525141968573064,6,0.26,27110,17,0,0.0,170.0,False,-0.007046881846063969,0,0.2,46456,0,6,0.6,134.64000000000001,False,0.0013197882140243578,30,0.5,45361,0,0,0.0,0.0,False,-0.023696784469028453,0,0.2,61036,0,0,0.0,0.0,False,0.0,0,0.2,60613,30,0,0.0,673.2,False,-0.0014155580313257989,0.26666666666666666,267734,0.0,0.0,10,0,0,59,7,7.0,77,136,70,2082.0,12.0,116,4,70,200,9.158743441978004,13.343667925975751
2,70,0,0,0,10.0,20,10.0,10.647887323943662,18,1.5,21.740939597315435,7,15.0,37.0,0,,0,0.2,27078,1,30,1.0,329.4366197183099,False,-0.005304574636367904,18,0.43400000000000005,26603,29,0,0.0,290.0,False,-0.023367898349642178,0,0.2,46447,0,15,0.9,326.1140939597315,False,0.0031866266406926566,7,0.54,45195,9,0,0.0,95.83098591549296,False,-0.026238313181573138,0,0.2,61036,0,0,0.0,0.0,False,0.0,0,0.2,60508,37,0,0.0,804.4147651006712,False,-0.0020609577536153728,0.31666666666666665,266867,0.0,0.0,11,0,0,51,4,4.0,38,89,32,655.0,10.0,67,3,32,200,8.453235472959932,21.796903398935683
3,32,0,0,0,10.0,20,10.0,9.778307508939214,18,7.0,20.382059000602048,16,14.6875,37.0,20,37.0,0,0.2,27080,0,29,0.8,283.5709177592372,False,-0.006068882033021101,9,0.506,26356,42,0,0.0,420.0,False,-0.030013144442821674,0,0.2,46447,0,15,0.0,305.7308850090307,False,0.0029672730942386675,16,0.6930000000000001,44643,27,0,0.0,264.0143027413588,False,-0.036309088042471724,8,0.28,60845,0,6,0.6,222.0,False,-0.001310701880857199,12,0.32000000000000006,60174,47,0,0.0,957.9567730282963,False,-0.006275339365060771,0.2333333333333333,265545,0.0,0.0,11,0,0,25,15,15.0,21,46,29,252.0,19.0,26,6,29,272,2.9003586570033804,24.697262055939063
4,29,0,0,0,10.0,20,10.0,8.427406461293867,44,6.340909090909091,19.384783911929805,17,15.0,37.0,20,37.0,1,0.21000000000000002,27181,2,10,1.0,104.27406461293867,False,-0.0056544095112286644,14,0.637,26013,50,0,0.0,500.0,False,-0.04107638381773039,0,0.2,46447,0,15,0.0,290.7717586789471,False,0.002806290717994827,17,0.847,43911,71,0,0.0,598.3458587518645,False,-0.04846599523533351,5,0.322,60930,0,6,0.6,222.0,False,8.191886755357494e-05,9,0.398,59896,58,0,0.0,1124.3174668919287,False,-0.00946722043636605,0.26666666666666666,264378,0.0,0.0,13,0,0,18,12,11.1,22,40,23,228.0,29.0,19,10,23,582,2.009804002009332,26.707066057948396
5,23,0,0,0,10.0,20,10.0,8.073405229794291,50,7.36,18.240414162571128,27,14.74074074074074,37.0,20,37.0,2,0.229,27329,1,10,1.0,90.73405229794291,False,-0.0004977717924283814,38,1.0030000000000003,24928,61,0,0.0,610.0,False,-0.07868409522418578,0,0.2,46447,0,15,0.0,273.6062124385669,False,0.002621563992494559,27,1.1,42650,121,0,0.0,976.8820328051092,False,-0.07153284369156399,6,0.377,60987,0,7,0.7,259.0,False,0.0013188937676125564,8,0.4690000000000001,59500,78,0,0.0,1422.752304680548,False,-0.013510450351591326,0.2833333333333333,261841,0.0,0.0,14,0,0,9,15,14.166666666666668,21,30,20,168.0,50.0,11,12,20,422,1.4489029929973185,28.155969050945714
6,20,0,0,0,10.0,20,10.0,8.652368275815245,39,10.666666666666666,17.862992049793277,13,15.0,37.0,20,37.0,7,0.29700000000000004,27467,3,10,1.0,116.52368275815246,False,0.005011751182235904,22,1.1850000000000003,24305,69,0,0.0,690.0,False,-0.09997079012706295,0,0.2,46447,0,15,0.0,267.9448807468992,False,0.0025606396705576775,13,1.203,41931,160,0,0.0,1384.3789241304394,False,-0.08262258486364736,2,0.39100000000000007,61140,0,6,0.6,222.0,False,0.0035225113048037225,11,0.571,59234,85,0,0.0,1518.3543242324286,False,-0.017085373187689042,0.26666666666666666,260524,0.0,0.0,12,0,0,11,14,12.745098039215687,18,29,14,160.0,28.0,10,10,14,385,1.5469368399935775,29.70290589093929
7,14,0,0,0,10.0,20,10.0,8.377737042022883,19,6.105263157894737,17.611336260001604,7,14.0,37.00000000000001,20,37.0,3,0.32000000000000006,27424,2,10,1.0,103.77737042022883,False,0.003209021659490039,6,1.2230000000000003,24093,80,0,0.0,800.0,False,-0.10570322769095955,0,0.2,46447,0,15,0.0,264.17004390002404,False,0.0025200168298827744,7,1.2600000000000002,41675,179,0,0.0,1499.614930522096,False,-0.08689235363821951,4,0.42900000000000005,61328,0,0,0.0,0.0,False,0.004784061865128777,10,0.6600000000000001,58996,92,0,0.0,1620.2429359201476,False,-0.020150051314632766,0.16666666666666666,259963,0.0,0.0,15,0,0,7,10,9.6,22,29,13,137.0,15.0,9,5,13,486,1.3997505280422047,31.102656418981496
8,13,0,0,0,10.0,20,10.0,7.711655811821265,29,4.06896551724138,18.143077652022413,25,20.2,37.00000000000001,20,37.0,0,0.31700000000000006,27384,4,10,1.0,117.11655811821265,False,0.001992050498725975,19,1.4070000000000003,23642,88,0,0.0,880.0,False,-0.12070979991237038,0,0.2,46657,0,10,0.0,181.43077652022413,False,0.006149442302529215,20,1.453,40995,208,0,0.0,1604.024408858823,False,-0.10040436906656168,7,0.49500000000000005,61247,0,0,0.0,0.0,False,0.0034569762107608624,13,0.78,58272,117,0,0.0,2122.740085286622,False,-0.027895503593890272,0.16666666666666666,258197,0.0,0.0,13,0,0,11,15,15.0,21,32,13,175.0,3.0,12,1,13,490,1.4060422869515605,32.50869870593306
9,13,0,0,0,10.000000000000002,20,10.0,8.80543253289164,24,16.5,21.35521525236071,68,26.529411764705884,37.00000000000001,20,37.0,11,0.42700000000000005,27455,1,10,1.0,98.0543253289164,False,0.004236423348344426,3,1.4180000000000004,23473,101,0,0.0,1010.0000000000002,False,-0.12450708339418723,0,0.2,47077,0,0,0.0,0.0,False,0.013236623477250227,58,2.0130000000000003,38875,232,0,0.0,2042.8603476308604,False,-0.14131052959804932,13,0.6180000000000001,59523,43,10,1.0,1288.2742558515106,False,-0.014235252507933708,7,0.8370000000000002,57895,132,0,0.0,2818.888413311614,False,-0.028369417939317715,0.3333333333333333,254298,0.0,0.0,13,0,0,11,17,16.285714285714285,20,31,13,175.0,3.0,12,1,13,620,1.360297086997889,33.868995792930946
