index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,35.0,0,,45.0,0,,0,0.2,53772,0,10,1.0,230.0,False,0.00027843777843777846,0,0.2,53772,10,0,0.0,100.0,False,-0.0009281259281259281,0,0.2,86337,0,0,0.0,0.0,False,0.0,0,0.2,86337.0,0,0,0.0,0.0,False,0.0,0,0.2,112706,0,0,0.0,0.0,False,0.0,0,0.2,112706,0,0,0.0,0.0,False,0.0,0.16666666666666666,505630,0.0,0.0,7,0,0,284,0,0.0,865,1149,166,0.0,0.0,0,0,166,200,5.965373670042027,5.965373670042027
1,166,0,0,0,10.0,20,10.0,23.0,0,,28.324324324324323,29,17.96551724137931,45.0,0,,0,0.2,53672,0,20,1.0,460.0,False,0.0005568755568755569,0,0.2,53672,20,0,0.0,200.0,False,-0.0018562518562518563,0,0.2,86337,0,0,0.0,0.0,False,0.0,29,0.49000000000000005,85092.0,0,0,0.0,0.0,False,-0.01442023697835227,0,0.2,112570,0,8,0.8,360.0,False,0.00039039625219597894,0,0.2,112321,21,0,0.0,594.8108108108108,False,-0.0007771954873263224,0.3,503664,0.0,0.0,9,0,0,55,4,4.0,124,179,151,2874.0,60.0,161,5,151,200,32.25649640400661,38.22187007404864
2,151,0,0,0,10.0,20,10.0,21.20408163265306,4,1.0,24.623781676413255,36,17.77777777777778,45.0,0,,0,0.2,53552,2,30,1.0,656.1224489795918,False,0.00014963662922841083,4,0.24000000000000002,53484,28,0,0.0,280.0,False,-0.0046035046035046035,0,0.2,86337,0,0,0.0,0.0,False,0.0,36,0.8210000000000002,83316.0,4,0,0.0,84.81632653061224,False,-0.034499598512048014,0,0.2,112570,0,8,0.0,360.0,False,0.00039039625219597894,0,0.2,111681,57,0,0.0,1403.5555555555557,False,-0.0028678350950456853,0.16666666666666666,500940,0.0,0.0,9,0,0,23,6,6.0,81,104,19,1126.0,273.0,85,66,19,200,13.428311768977437,51.650181843026076
3,19,0,0,0,10.0,20,10.0,20.235668789808916,3,6.0,23.603072983354675,17,18.058823529411764,45.0,7,45.0,0,0.2,53452,2,40,1.0,829.4267515923566,False,-9.813305991650027e-05,3,0.266,53318,38,0,0.0,380.0,False,-0.006756756756756757,0,0.2,86319,0,3,0.3,70.80921895006402,False,0.00020158923144234143,17,0.9550000000000001,82781.0,4,0,0.0,80.94267515923566,False,-0.040718679852443186,0,0.2,112570,0,8,0.0,360.0,False,0.00039039625219597894,7,0.27,111289,74,0,0.0,1746.627400768246,False,-0.004823933948644032,0.21666666666666667,499729,0.0,0.0,9,0,0,12,5,5.0,24,36,18,242.0,40.0,16,3,18,200,3.9740365329780616,55.62421837600414
4,18,0,0,0,10.0,20,10.0,15.908233709378683,17,5.117647058823529,22.30901232795879,27,17.59259259259259,45.0,9,45.0,0,0.2,53334,5,49,1.0,829.5034517595554,False,-0.0022877983761550656,16,0.42300000000000004,52844,45,0,0.0,450.0,False,-0.014905702405702406,0,0.2,86302,0,6,0.3,133.85407396775275,False,0.00036979553359368255,27,1.208,81626.0,18,0,0.0,286.3482067688163,False,-0.05290693325706938,0,0.2,112570,0,8,0.0,360.0,False,0.00039039625219597894,9,0.35300000000000004,110681,101,0,0.0,2253.210245123838,False,-0.00797113620781577,0.21666666666666667,497357,0.0,0.0,10,0,0,10,10,10.0,25,35,19,264.0,39.0,15,3,19,212,3.9964362890459597,59.6206546650501
5,19,0,0,0,10.0,20,10.0,12.474437026773595,18,2.2777777777777777,21.240097430296093,36,17.88888888888889,45.0,10,45.0,0,0.2,53216,8,58,1.0,803.5173475528685,False,-0.004719359337384246,17,0.5770000000000002,52222,52,0,0.0,520.0,False,-0.025801900801900802,0,0.2,86278,0,12,0.6,254.88116916355312,False,0.0007927144165512107,36,1.5410000000000001,79899.0,30,0,0.0,374.23311080320786,False,-0.07240098039772515,0,0.2,112570,0,8,0.0,360.0,False,0.00039039625219597894,10,0.44400000000000006,109862,137,0,0.0,2909.8933479505645,False,-0.012324573013191113,0.26666666666666666,494047,0.0,0.0,11,0,0,15,13,13.0,21,36,16,227.0,18.0,18,1,16,212,4.57296859100461,64.1936232560547
6,16,0,0,0,10.0,20,10.0,10.608958774522849,18,3.9444444444444446,20.661759237370045,37,18.56756756756757,45.0,8,45.0,0,0.2,53126,7,68,1.0,791.4091966675537,False,-0.0065023648957942175,18,0.7400000000000002,51549,63,0,0.0,630.0,False,-0.03727353727353727,0,0.2,86449,0,3,0.0,61.98527771211013,False,0.0016562150509753194,28,1.7850000000000004,78718.0,48,0,0.0,509.2300211770968,False,-0.08529813393344052,0,0.2,112570,0,8,0.0,360.0,False,0.00039039625219597894,8,0.514,109057,174,0,0.0,3595.146107302388,False,-0.016427048660664044,0.16666666666666666,491469,0.0,0.0,10,0,0,10,11,11.0,23,33,15,223.0,21.0,14,2,15,371,3.3975062380195595,67.59112949407427
7,15,0,0,0,10.0,20,10.0,18.581990133704153,78,26.15384615384616,20.437551887927036,24,19.0,44.99999999999999,12,45.0,0,0.2,55045,3,21,1.0,420.2217928077872,False,0.02567402168851897,21,0.9320000000000002,50718,77,0,0.0,770.0,False,-0.0513996138996139,0,0.2,84842,41,13,1.0,1027.5497700249216,False,-0.01136505918653112,24,1.9970000000000006,77409.0,75,0,0.0,1393.6492600278116,False,-0.09533775055869557,0,0.2,112570,0,8,0.0,359.99999999999994,False,0.00039039625219597894,12,0.6260000000000001,108387,198,0,0.0,4046.635273809553,False,-0.020368767972381484,0.3333333333333333,488971,0.0,0.0,12,0,0,11,13,13.0,20,31,15,181.0,36.0,13,2,15,2179,3.520492520008702,71.11162201408297
8,15,0,0,0,10.0,20,10.0,17.146088047069476,31,10.806451612903226,22.524718386699004,55,28.6,45.0,8,45.0,0,0.2,55241,4,22,1.0,417.2139370355285,False,0.02928435863746964,22,1.1310000000000002,49846,86,0,0.0,860.0,False,-0.06675081675081675,21,0.41000000000000003,84599,46,10,1.0,1013.9672340321858,False,-0.014258271459326828,21,2.1830000000000003,76636.0,91,0,0.0,1560.2940122833222,False,-0.10332595519717315,0,0.2,112570,0,8,0.0,360.0,False,0.00039039625219597894,8,0.6940000000000002,106700,253,0,0.0,5698.753751834848,False,-0.028007587209931795,0.3333333333333333,485592,0.0,0.0,11,0,0,8,15,14.235294117647058,21,29,17,190.0,39.0,12,3,17,506,2.7563398579950444,73.86796187207801
9,17,0,0,0,10.000000000000002,20,10.0,18.9894443495924,47,24.914893617021278,22.305465682022003,8,17.0,44.99999999999999,10,45.0,13,0.33000000000000007,55922,5,10,1.0,239.894443495924,False,0.04027968558338215,12,1.2290000000000003,49404,95,0,0.0,950.0000000000001,False,-0.07412013662013663,0,0.38900000000000007,83436,75,20,1.0,1870.3176398598703,False,-0.02276939411920811,8,2.242000000000001,76428.0,99,0,0.0,1879.9549906096477,False,-0.1038838795035174,0,0.2,112570,0,8,0.0,359.99999999999994,False,0.00039039625219597894,10,0.7860000000000003,106401,261,0,0.0,5821.726543007743,False,-0.03011496041467296,0.3333333333333333,484161,0.0,0.0,11,0,0,12,8,7.764705882352941,19,31,17,228.0,42.0,13,4,17,794,5.573444914014544,79.44140678609256
