index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,25.0,0,,34.0,0,,0,0.2,39148,12,0,0.0,120.0,False,-0.0015279616990934095,0,0.2,39188,8,0,0.0,80.0,False,-0.0010186411327289396,0,0.2,57499,0,0,0.0,0.0,False,0.0,0,0.2,57499,0,0,0.0,0.0,False,0.0,0,0.2,84847,0,0,0.0,0.0,False,0.0,0,0.2,84847,0,0,0.0,0.0,False,0.0,0.0,363028,0.0,0.0,7,0,0,0,0,0.0,587,587,78,0.0,0.0,0,0,78,200,3.5860689990222454,3.5860689990222454
1,78,0,0,0,10.0,20,10.0,12.810344827586206,13,1.7692307692307692,25.0,0,,34.0,0,,3,0.23,38994,22,0,0.0,220.0,False,-0.004176428644188652,10,0.30000000000000004,38918,18,0,0.0,180.0,False,-0.006621167362738108,0,0.2,57499,0,0,0.0,0.0,False,0.0,0,0.2,57476,3,10,1.0,288.4310344827586,False,0.002108132615199861,0,0.2,84847,0,0,0.0,0.0,False,0.0,0,0.2,84847,0,0,0.0,0.0,False,0.0,0.16666666666666666,362581,0.0,0.0,6,0,0,49,2,2.0,42,91,40,1328.0,0.0,78,0,40,200,7.346052915789187,10.932121914811432
2,40,0,0,0,10.0,20,10.0,11.073529411764707,9,1.0,25.0,0,,34.0,0,,6,0.28700000000000003,38792,31,0,0.0,310.0,False,-0.00817459509014974,3,0.32000000000000006,38754,29,0,0.0,290.0,False,-0.009396964449424467,0,0.2,57494,0,5,0.5,125.0,False,0.0010000173916068105,0,0.2,57472,0,17,0.7,425.0,False,0.0032261430633576237,0,0.2,84847,0,0,0.0,0.0,False,0.0,0,0.2,84847,0,0,0.0,0.0,False,0.0,0.19999999999999998,362206,0.0,0.0,6,0,0,8,3,3.0,43,51,15,519.0,6.0,38,2,15,200,2.1495319437235594,13.081653858534992
3,15,0,0,0,10.0,20,10.0,9.355611045828436,13,2.076923076923077,25.0,0,,34.0,20,34.0,3,0.31100000000000005,38667,39,0,0.0,390.0,False,-0.010339207497198737,10,0.41700000000000004,38432,41,0,0.0,410.0,False,-0.016069063868799024,0,0.2,57467,3,15,1.0,403.06683313748533,False,0.002948458522213351,0,0.2,57472,0,17,0.0,425.0,False,0.0032261430633576237,10,0.30000000000000004,84726,0,0,0.0,0.0,False,-0.0014260963852581706,10,0.30000000000000004,84735,0,0,0.0,0.0,False,-0.001320023100404257,0.16666666666666666,361499,0.0,0.0,6,0,0,5,11,11.0,13,18,15,108.0,42.0,6,9,15,200,1.3226128751412034,14.404266733676195
4,15,0,0,0,10.0,20,10.0,8.904844343669566,4,2.0,25.0,0,,34.0,20,34.0,3,0.3380000000000001,38481,52,0,0.0,520.0,False,-0.013420596923703778,1,0.41700000000000004,38348,48,0,0.0,480.0,False,-0.017316899256391974,0,0.2,57459,0,22,0.7,550.0,False,0.004087027600480009,0,0.2,57472,0,17,0.0,425.0,False,0.0032261430633576237,7,0.36000000000000004,84661,0,0,0.0,0.0,False,-0.0021921812203142127,13,0.42000000000000004,84553,0,0,0.0,0.0,False,-0.0034650606385611747,0.11666666666666665,360974,0.0,0.0,6,0,0,8,8,8.0,11,19,14,111.0,39.0,7,8,14,200,1.3273433400318027,15.731610073707998
5,14,0,0,0,10.0,20,10.0,8.904844343669566,0,,25.0,20,25.0,34.0,20,34.0,0,0.3350000000000001,38351,65,0,0.0,650.0,False,-0.015075888764388305,0,0.41600000000000004,38278,55,0,0.0,550.0,False,-0.018208210247529794,0,0.2,57579,0,12,0.0,300.0,False,0.004000069566427242,0,0.2,57852,0,7,0.0,175.0,False,0.007661002800048697,7,0.42300000000000004,84594,0,0,0.0,0.0,False,-0.0029818378964489023,13,0.5370000000000001,83872,20,0,0.0,500.0,False,-0.0085447923910097,0.0,360526,0.0,0.0,8,0,0,6,6,6.0,15,21,12,117.0,14.0,8,6,12,700,1.3347740191966295,17.066384092904627
6,12,0,0,0,10.0,20,10.0,8.601749459063758,3,2.6666666666666665,25.0,0,,34.0,20,34.0,2,0.35500000000000004,38215,75,0,0.0,750.0,False,-0.017265967199755525,1,0.42600000000000005,38165,65,0,0.0,650.0,False,-0.019812570031577874,0,0.2,57571,0,15,0.3,375.0,False,0.004513121967338563,0,0.2,57852,0,7,0.0,175.0,False,0.007661002800048697,10,0.516,84476,0,0,0.0,0.0,False,-0.0043725765200891015,10,0.6240000000000001,83750,20,0,0.0,500.0,False,-0.009982674696807194,0.049999999999999996,360029,0.0,0.0,5,0,0,11,8,8.0,13,24,7,146.0,6.0,10,2,7,200,1.4201893880963326,18.48657348100096
7,7,0,0,0,10.0,20,10.0,8.601749459063758,0,,25.0,0,,34.0,20,34.0,0,0.35300000000000004,38135,83,0,0.0,830.0,False,-0.018284608332484464,0,0.42500000000000004,38045,77,0,0.0,770.0,False,-0.021340531730671283,0,0.2,57571,0,15,0.0,375.0,False,0.004513121967338563,0,0.2,57852,0,7,0.0,175.0,False,0.007661002800048697,13,0.6360000000000001,84295,0,0,0.0,0.0,False,-0.006505828137706696,7,0.6840000000000002,83695,20,0,0.0,500.0,False,-0.010630900326469999,0.0,359593,0.0,0.0,7,0,0,8,5,5.0,11,19,3,104.0,3.0,6,1,3,200,0.8940706485882401,19.3806441295892
8,3,0,0,0,10.0,20,10.0,7.0699973117348085,16,1.75,26.94326241134752,12,36.416666666666664,34.0,20,34.0,13,0.4830000000000001,37794,93,0,0.0,930.0,False,-0.0256952225730875,3,0.45500000000000007,37889,87,0,0.0,870.0,False,-0.024039930732402976,0,0.2,57728,6,20,1.0,581.2852320973592,False,0.009037420060325933,0,0.2,58104,0,0,0.0,0.0,False,0.010521922120384702,8,0.7030000000000001,83768,2,10,1.0,393.88652482269504,False,-0.010395850620394897,12,0.7970000000000002,83545,20,0,0.0,538.8652482269504,False,-0.01216975704369666,0.3333333333333333,358828,0.0,0.0,8,0,0,4,11,11.0,10,14,5,36.0,3.0,2,1,5,637,0.8921034187078476,20.272747548297048
9,5,0,0,0,10.000000000000002,20,10.0,6.47501026699681,7,1.0,26.408880053015242,12,23.583333333333332,33.99999999999999,20,34.0,1,0.4800000000000001,37706,100,0,0.0,1000.0000000000002,False,-0.027044922073953346,6,0.512,37641,100,0,0.0,1000.0000000000002,False,-0.028700213914637875,0,0.2,58004,3,18,1.0,494.7848717552648,False,0.013085313412018207,0,0.2,58104,0,0,0.0,0.0,False,0.010521922120384702,0,0.6950000000000001,83791,4,11,1.0,479.6355202120609,False,-0.009619459024997577,11,0.8950000000000002,83398,20,0,0.0,528.1776010603048,False,-0.01396526924310638,0.3333333333333333,358644,0.0,0.0,11,0,0,4,8,8.0,12,16,5,62.0,3.0,4,1,5,789,0.9109639571979642,21.183711505495012
10,5,0,0,0,10.000000000000002,20,10.0,6.4551602244851765,5,6.2,24.722644821533063,9,12.0,33.99999999999999,20,34.0,1,0.4890000000000001,37550,114,0,0.0,1140.0000000000002,False,-0.029235000509320565,4,0.546,37533,106,0,0.0,1060.0000000000002,False,-0.030686564123459305,0,0.2,58081,0,17,0.8,420.28496196606204,False,0.013776630567192956,0,0.2,58104,0,0,0.0,0.0,False,0.010521922120384702,2,0.7150000000000001,84042,3,10,1.0,414.1679344645991,False,-0.007046990851387728,7,0.9540000000000002,83334,20,0,0.0,494.45289643066127,False,-0.014918306502111732,0.3,358644,0.0,0.0,10,0,0,5,6,5.2,12,17,7,61.0,3.0,4,1,7,546,0.8656228138133883,22.0493343193084
11,7,0,0,0,10.000000000000002,20,10.0,6.094689715122866,5,1.6,24.722644821533063,0,,33.99999999999999,20,34.0,4,0.5280000000000001,37338,128,0,0.0,1280.0000000000002,False,-0.0328511765305083,1,0.552,37458,112,0,0.0,1120.0000000000002,False,-0.03183253539777936,0,0.2,58073,0,22,0.5,543.8981860737274,False,0.014712414007841231,0,0.2,58104,0,0,0.0,0.0,False,0.010521922120384702,0,0.7130000000000001,84348,0,4,0.3,135.99999999999997,False,-0.005079731752448525,11,1.0570000000000002,83189,20,0,0.0,494.45289643066127,False,-0.01662726498031367,0.13333333333333333,358510,0.0,0.0,9,0,0,8,6,6.0,11,19,8,94.0,3.0,6,1,8,506,0.9843275733292103,23.03366189263761
12,8,0,0,0,10.000000000000002,20,10.0,6.027777716564906,2,4.0,26.39877168952654,10,38.0,34.0,20,34.0,1,0.5340000000000001,37230,137,0,0.0,1370.0000000000002,False,-0.03445553631455638,1,0.5609999999999999,37336,123,0,0.0,1230.0000000000002,False,-0.033538759295100334,0,0.2,58445,0,14,0.2,369.58280365337157,False,0.019666279445324078,0,0.2,58104,0,0,0.0,0.0,False,0.010521922120384702,6,0.7730000000000001,84235,0,5,0.5,170.0,False,-0.006211180124223602,10,1.1460000000000004,82875,25,0,0.0,659.9692922381635,False,-0.0193526624851901,0.11666666666666665,358225,0.0,0.0,9,0,0,9,8,7.333333333333333,11,20,6,98.0,3.0,7,1,6,580,1.0578174563124776,24.091479348950088
13,6,0,0,0,10.000000000000002,20,10.0,4.929709189268406,16,1.0625,27.15907871031503,5,38.0,34.0,20,34.0,5,0.5830000000000002,37076,143,0,0.0,1430.0000000000002,False,-0.03761332382601609,11,0.6700000000000002,36991,137,0,0.0,1370.0000000000002,False,-0.040541917082611796,0,0.2,58618,6,19,1.0,545.600750631596,False,0.02420564488627276,0,0.2,58104,0,0,0.0,0.0,False,0.010521922120384702,9,0.857,84310,0,0,0.0,0.0,False,-0.00632903932961684,6,1.1960000000000004,82631,30,0,0.0,814.7723613094508,False,-0.02131617876112625,0.16666666666666666,357730,0.0,0.0,10,0,0,7,8,7.714285714285714,11,18,6,90.0,3.0,5,1,6,492,0.9423686638474464,25.033848012797534
14,6,0,0,0,10.000000000000002,20,10.0,4.749310324902581,5,2.4,27.894917031437924,5,38.0,34.0,20,34.0,3,0.6080000000000001,36925,153,0,0.0,1530.0000000000002,False,-0.04018539268615667,2,0.679,36858,147,0,0.0,1470.0000000000002,False,-0.04265559743302435,0,0.2,58796,1,24,1.0,674.2273190794127,False,0.02841986225046877,0,0.2,58104,0,0,0.0,0.0,False,0.010521922120384702,9,0.9380000000000002,84214,0,0,0.0,0.0,False,-0.007460487701391917,11,1.3000000000000003,82290,35,0,0.0,976.3220961003274,False,-0.024383171496338472,0.16666666666666666,357187,0.0,0.0,7,0,0,11,10,10.0,9,20,8,85.0,0.0,6,0,8,390,0.9919670186936855,26.02581503149122
