index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,16,10.0,17.0,0,,24.0,0,,35.0,0,,0,0.2,41915,0,8,0.8,136.0,False,-0.00028574830336944876,0,0.2,41915.0,8,0,0.0,80.0,False,-0.0009524943445648292,0,0.2,65243,0,0,0.0,0.0,False,0.0,0,0.2,65243,0,0,0.0,0.0,False,0.0,0,0.2,88639,0,0,0.0,0.0,False,0.0,0,0.2,88639,0,0,0.0,0.0,False,0.0,0.13333333333333333,391594,0.0,0.0,6,0,0,264,0,0.0,784,1048,258,0.0,0.0,0,0,258,160,4.834594546991866,4.834594546991866
1,258,0,0,0,10.0,16,10.0,17.0,0,,16.66949152542373,73,12.150684931506849,35.0,0,,0,0.2,41845,0,15,0.7,255.0,False,-0.0005357780688177164,0,0.2,41825.0,17,0,0.0,170.0,False,-0.002024050482200262,0,0.2,65243,0,0,0.0,0.0,False,0.0,73,0.9300000000000002,61166,0,0,0.0,0.0,False,-0.06248946247106969,0,0.2,88639,0,0,0.0,0.0,False,0.0,0,0.2,87752,73,0,0.0,1216.8728813559323,False,-0.0031426748871494024,0.11666666666666665,386470,0.0,0.0,6,0,0,22,10,10.0,135,157,115,2443.0,615.0,137,121,115,160,20.088739114056807,24.923333661048673
2,115,0,0,0,10.0,12,10.0,8.928571428571429,53,2.0754716981132075,15.670258620689658,33,12.454545454545455,35.0,0,,0,0.2,41835,0,16,0.1,142.85714285714286,False,-0.002109094620107811,53,0.7300000000000002,39667.0,28,0,0.0,280.0,False,-0.05210144064769615,0,0.2,65183,10,10,1.0,245.98830049261085,False,0.0009655311718698457,33,1.1870000000000003,60087,33,0,0.0,294.64285714285717,False,-0.07676959323496119,0,0.2,88548,0,7,0.7,245.0,False,0.0003553740452848069,0,0.2,87432,99,0,0.0,1551.3556034482763,False,-0.004866054426108768,0.3,382752,0.0,0.0,7,0,0,14,14,14.0,61,75,31,794.0,177.0,56,59,31,120,7.5227840230218135,32.44611768407049
3,31,0,0,0,10.000000000000002,18,10.0,7.891389432485322,14,1.3571428571428572,15.587639232673274,4,13.0,35.0,20,35.0,0,0.2,41775,0,22,0.6,173.6105675146771,False,-0.003171680348676238,14,0.8170000000000002,39225.0,40,0,0.0,400.00000000000006,False,-0.06119776163829027,0,0.2,65180,1,20,1.0,319.6441740859508,False,0.001484022608447991,4,1.1940000000000002,60007,46,0,0.0,363.00391389432485,False,-0.07747188270086963,0,0.2,88706,0,5,0.4,175.0,False,0.001743025079254053,14,0.34,87193,99,0,0.0,1543.1762840346541,False,-0.0076085228622014625,0.3333333333333333,382086,0.0,0.0,10,0,0,13,12,12.0,17,30,31,170.0,70.0,12,19,31,390,1.7036313220160082,34.149749006086495
4,31,0,0,0,10.000000000000002,10,10.0,6.8109151047409044,35,3.9714285714285715,14.83179085276203,36,12.38888888888889,35.0,20,35.0,0,0.2,41800,0,21,0.0,143.02921719955899,False,-0.002940478423627177,34,1.1430000000000002,38131.0,50,0,0.0,500.0000000000001,False,-0.08605786403143231,0,0.2,65110,5,30,1.0,479.0083011065654,False,0.0016324226438589014,36,1.5500000000000003,58702,67,0,0.0,456.3313120176406,False,-0.09675879931933198,7,0.27,88546,11,10,1.0,513.1496993803823,False,0.0018454049536907483,8,0.406,86931,114,0,0.0,1690.8241572148713,False,-0.009731471715526636,0.3333333333333333,379220,0.0,0.0,6,0,0,8,21,20.8,20,28,30,151.0,76.0,10,21,30,265,1.6409480149741285,35.79069702106062
5,30,0,0,0,10.000000000000002,12,10.0,7.187714827048507,5,15.8,14.47189540795703,41,13.268292682926829,35.0,20,35.0,0,0.2,41875,0,18,0.0,129.3788668868731,False,-0.0013170750459949978,2,1.1290000000000002,37973.0,62,0,0.0,620.0000000000001,False,-0.08839147517561614,0,0.2,65142,0,36,0.7,520.9882346864531,False,0.0024446165464988346,40,1.9140000000000004,57179,70,0,0.0,503.14003789339546,False,-0.1197435737328649,0,0.263,88448,25,14,1.0,851.7973851989257,False,0.0026500602736884288,14,0.538,86458,131,0,0.0,1895.8182984423709,False,-0.013911380439522239,0.2833333333333333,377075,0.0,0.0,10,0,0,10,14,14.0,19,29,33,157.0,54.0,11,19,33,441,3.176090758002829,38.96678777906345
6,33,0,0,0,10.000000000000002,10,10.0,8.331162820368393,40,11.4,14.502871011610104,12,14.916666666666666,34.99999999999999,20,35.0,0,0.2,42235,0,3,0.0,24.99348846110518,False,0.006012543022515767,25,1.3770000000000002,37248.0,72,0,0.0,720.0000000000001,False,-0.10446481724014764,0,0.2,65116,0,44,0.9,638.1263245108446,False,0.0029438125508548206,11,1.9840000000000004,56574,101,0,0.0,841.4474448572076,False,-0.12642392712737602,0,0.263,88816,19,12,1.0,695.5545492205919,False,0.00592038803021582,8,0.6040000000000001,86237,139,0,0.0,2015.8990706138045,False,-0.015727281046639664,0.31666666666666665,376226,0.0,0.0,10,0,0,10,11,11.0,16,26,33,163.0,65.0,10,23,33,916,1.8119354390073568,40.77872321807081
7,33,0,0,0,10.000000000000002,8,10.0,6.758966860182584,56,3.0357142857142856,14.374741853748727,21,13.428571428571429,35.0,20,35.0,0,0.2,42235,0,3,0.0,20.276900580547753,False,0.0059563864814923895,56,1.9120000000000004,35204.0,80,0,0.0,800.0000000000001,False,-0.15218478390284557,0,0.2,65034,13,53,1.0,849.7278874310562,False,0.003308614620963611,20,2.1730000000000005,56021,134,0,0.0,905.7015592644663,False,-0.134407510696439,0,0.263,89011,17,13,1.0,699.3706115137284,False,0.008141848461251435,11,0.7060000000000002,85924,152,0,0.0,2184.9607617698066,False,-0.018304805098377574,0.3333333333333333,373429,0.0,0.0,10,0,0,14,13,13.0,20,34,27,179.0,60.0,13,20,27,431,1.6037249179789796,42.38244813604979
8,27,0,0,0,10.000000000000002,9,10.0,5.7721488565692765,46,2.130434782608696,14.312081832462118,19,13.789473684210526,35.0,20,35.0,0,0.2,42235,0,3,0.0,17.31644656970783,False,0.0059211387852090075,46,2.3160000000000007,33665.0,89,0,0.0,890.0000000000001,False,-0.18776044767234196,0,0.2,65040,6,62,1.0,921.9819667520669,False,0.003954309019757401,18,2.3330000000000006,55531,177,0,0.0,1021.6703476127619,False,-0.14102914988877918,0,0.263,89090,18,16,1.0,817.617472984318,False,0.009700117741537609,13,0.8250000000000002,85615,160,0,0.0,2289.933093193939,False,-0.021198721255914734,0.3333333333333333,371176,0.0,0.0,7,0,0,11,14,14.0,18,29,23,124.0,69.0,8,19,23,371,1.404109093011357,43.786557229061145
9,23,0,0,0,10.000000000000002,10,10.0,4.983627168048513,54,2.1481481481481484,14.63171023926872,11,19.272727272727273,35.00000000000001,20,35.0,0,0.2,42235,0,3,0.0,14.950881504145539,False,0.005892973943375975,54,2.8100000000000005,31915.0,99,0,0.0,990.0000000000002,False,-0.22824145731634718,0,0.2,65148,0,65,0.6,951.0611655524668,False,0.0058325120361760645,8,2.3950000000000005,55287,231,0,0.0,1151.2178758192065,False,-0.14377620682817158,0,0.263,89403,10,15,1.0,671.3171023926873,False,0.012406035167323068,9,0.9020000000000001,85369,169,0,0.0,2472.759030436414,False,-0.02294272819844297,0.26666666666666666,369357,0.0,0.0,13,0,0,12,8,8.0,18,30,20,133.0,35.0,11,12,20,593,1.37200071697589,45.158557946037035
10,20,0,0,0,10.000000000000002,11,10.0,4.5114835189950675,40,1.875,14.4084914853433,35,13.428571428571429,35.00000000000001,20,35.0,0,0.2,42235,0,3,0.0,13.534450556985202,False,0.005876109662542934,40,3.1560000000000006,30752.0,110,0,0.0,1100.0000000000002,False,-0.25462555066079295,0,0.2,65154,0,67,0.3,965.3689295180011,False,0.006034125726269549,34,2.7270000000000008,54150,268,0,0.0,1209.077583090678,False,-0.1607599467905317,0,0.263,89412,11,20,1.0,858.4934063387764,False,0.013563405534464303,15,1.0430000000000004,84798,193,0,0.0,2780.838856671257,False,-0.02764675336662605,0.21666666666666667,366501,0.0,0.0,8,0,0,9,16,16.0,18,27,17,119.0,39.0,7,13,17,321,1.3269255800405517,46.48548352607759
11,17,0,0,0,10.000000000000002,12,10.0,4.505999092640815,50,4.48,14.450014033431337,11,15.090909090909092,35.00000000000001,20,35.0,0,0.2,42260,0,2,0.0,9.01199818528163,False,0.006417573499050801,49,3.606000000000001,29063.0,122,0,0.0,1220.0000000000002,False,-0.29341588284319564,0,0.2,65172,0,74,0.8,1069.3010384739189,False,0.007106517469107274,10,2.7930000000000006,53754,310,0,0.0,1396.8597187186526,False,-0.1653904655003705,0,0.263,89639,6,21,1.0,821.7000842005881,False,0.01591680910321977,11,1.1380000000000001,84557,199,0,0.0,2875.552792652836,False,-0.029831379005557202,0.3,364445,0.0,0.0,9,0,0,9,13,13.0,19,28,17,136.0,27.0,8,9,17,496,1.2797908429638483,47.765274369041435
12,17,0,0,0,10.000000000000002,9,10.0,4.80692995189819,9,13.444444444444445,14.326260756014412,28,13.607142857142858,35.00000000000001,20,35.0,0,0.2,42285,0,1,0.0,4.80692995189819,False,0.006962816168018781,8,3.637000000000001,28901.0,131,0,0.0,1310.0000000000002,False,-0.29620192880104773,0,0.2,65148,0,80,0.8,1146.100860481153,False,0.007327229438262729,26,3.043000000000001,53024,311,0,0.0,1494.955215040337,False,-0.17582763503333437,0,0.263,89883,0,20,0.7,700.0000000000001,False,0.01798305486298356,12,1.247,84033,226,0,0.0,3237.734930859257,False,-0.03369998008292474,0.25,363274,0.0,0.0,11,0,0,11,9,9.0,15,26,17,126.0,27.0,8,9,17,467,1.1830473360023461,48.94832170504378
13,17,0,0,0,10.000000000000002,9,10.0,4.634180183375139,34,3.411764705882353,14.276161437095212,42,14.071428571428571,35.00000000000001,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,33,3.9590000000000014,28113.0,140,0,0.0,1400.0000000000002,False,-0.31389451125133944,0,0.2,65195,0,79,0.1,1127.8167535305217,False,0.007907490102620401,40,3.4170000000000007,51513,344,0,0.0,1594.1579830810479,False,-0.19822695168001891,0,0.263,89913,12,21,1.0,906.3139372451426,False,0.0194852939295634,11,1.3450000000000002,83569,246,0,0.0,3511.935713525422,False,-0.037387968537971855,0.18333333333333335,360613,0.0,0.0,12,0,0,10,15,15.0,17,27,17,122.0,27.0,8,9,17,502,1.301742120005656,50.25006382504944
14,17,0,0,0,10.000000000000002,12,10.0,4.507909221441675,26,3.3076923076923075,14.206188725723775,41,13.878048780487806,35.0,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,26,4.186000000000001,27355.0,152,0,0.0,1520.0000000000002,False,-0.3305155375639957,0,0.2,65266,0,78,0.1,1108.0827206064546,False,0.008844494586441782,39,3.767000000000001,50051,369,0,0.0,1663.4185027119781,False,-0.22010469703483912,0,0.263,90127,10,22,1.0,912.0618872572377,False,0.02193200446336961,11,1.4440000000000002,82945,279,0,0.0,3963.5266544769333,False,-0.04188039883980561,0.18333333333333335,358054,0.0,0.0,12,0,0,11,15,15.0,17,28,17,133.0,27.0,8,9,17,507,1.2112863299553283,51.461350155004766
15,17,0,0,0,10.000000000000002,9,10.0,3.9186501049542266,51,1.0784313725490196,14.165223992013617,46,13.978260869565217,35.0,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,51,4.670000000000001,25662.0,161,0,0.0,1610.0000000000002,False,-0.3697583045600667,0,0.2,65372,0,76,0.1,1076.5570233930348,False,0.010227587813198722,43,4.158000000000001,48376,419,0,0.0,1641.914393975821,False,-0.24594274945989744,0,0.263,90375,7,21,1.0,834.1565679440953,False,0.024290417129841816,9,1.5230000000000004,82321,318,0,0.0,4504.54122946033,False,-0.04586840313259214,0.18333333333333335,354416,0.0,0.0,12,0,0,7,15,15.0,18,25,14,132.0,27.0,8,9,14,583,1.1806062089744955,52.64195636397926
16,14,0,0,0,10.0,11,10.0,3.6666061818658653,50,2.32,14.165996954957551,17,14.176470588235293,35.0,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,50,5.1190000000000015,23828.0,172,0,0.0,1720.0,False,-0.41212049053458744,0,0.2,65444,0,74,0.0,1048.2837746668588,False,0.011114477987422915,15,4.265000000000001,47916,469,0,0.0,1719.6382992950907,False,-0.2523976648889912,0,0.263,90527,6,23,1.0,889.9959817297453,False,0.02632022011603095,12,1.6340000000000003,82026,326,0,0.0,4618.115007316162,False,-0.04855585573327672,0.16666666666666666,352051,0.0,0.0,11,0,0,7,13,13.0,18,25,17,96.0,24.0,6,8,17,462,1.2030086710001342,53.844965034979396
17,17,0,0,0,10.0,7,10.0,3.555283963354028,14,1.2857142857142858,14.385952077500432,26,16.26923076923077,35.0,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,14,5.2090000000000005,23430.0,179,0,0.0,1790.0,False,-0.4207643767115133,0,0.2,65580,0,74,0.4,1064.560453735032,False,0.013323731693323652,22,4.470000000000001,47355,479,0,0.0,1702.9810184465794,False,-0.2611239441898244,0,0.263,90700,0,24,0.8,840.0,False,0.02798993670957479,13,1.7520000000000002,81469,350,0,0.0,5035.083227125151,False,-0.052487712930396654,0.20000000000000004,350844,0.0,0.0,10,0,0,10,12,12.0,16,26,15,134.0,27.0,8,9,15,459,1.3173488799948245,55.16231391497422
18,15,0,0,0,10.0,10,10.0,3.6870579690856196,24,5.166666666666667,14.469845351463158,9,16.555555555555557,35.0,20,35.0,0,0.2,42310,0,0,0.0,0.0,False,0.007500892963448029,24,5.435000000000001,22820.0,189,0,0.0,1890.0,False,-0.43409929753542087,0,0.2,65619,0,80,0.8,1157.5876281170526,False,0.014634425364537683,7,4.518000000000001,47138,495,0,0.0,1825.0936946973816,False,-0.2635141417876448,0,0.263,90936,0,22,0.9,770.0,False,0.03025756156996356,9,1.829,81357,350,0,0.0,5064.445873012105,False,-0.05358563457951863,0.2833333333333334,350180,0.0,0.0,13,0,0,9,9,9.0,18,27,17,109.0,24.0,7,8,17,557,1.0937259870115668,56.25603990198579
