index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,24.0,0,,32.0,0,,41.0,0,,0,0.2,50610,8,0,0.0,80.0,False,-0.000789110278161373,0,0.2,50570,2,10,1.0,200.0,False,-0.0003945551390806865,0,0.2,66213,0,0,0.0,0.0,False,0.0,0,0.2,66213,0,0,0.0,0.0,False,0.0,0,0.2,88706,0,0,0.0,0.0,False,0.0,0,0.2,88706.0,0,0,0.0,0.0,False,0.0,0,0.2,114368,0,0,0.0,0.0,False,0.0,0,0.2,114368,0,0,0.0,0.0,False,0.0,0.125,639754,0.0,0.0,6,0,0,0,0,0.0,411,411,131,0.0,0.0,0,0,131,200,2.7232060749083757,2.7232060749083757
1,131,0,0,0,10.0,20,10.0,15.711538461538462,7,1.0,24.0,0,,24.983333333333334,15,3.933333333333333,41.0,0,,7,0.27,50373,17,0,0.0,170.0,False,-0.004576839613335964,0,0.2,50460,3,20,1.0,344.2307692307692,False,-0.0011419336236854817,0,0.2,66213,0,0,0.0,0.0,False,0.0,0,0.2,66206,0,7,0.7,168.0,False,0.0011629136272333228,0,0.2,88706,0,0,0.0,0.0,False,0.0,15,0.35000000000000003,88071.0,0,0,0.0,0.0,False,-0.007158478569657069,0,0.2,114368,0,0,0.0,0.0,False,0.0,0,0.2,114309,15,0,0.0,374.75,False,0.0011224730693900392,0.2125,638706,0.0,0.0,7,0,0,56,5,5.0,76,132,74,1881.0,167.0,118,13,74,200,9.419222788885236,12.142428863793612
2,74,0,0,0,10.0,20,10.0,14.431899641577061,9,7.777777777777778,24.0,0,,20.913235294117648,14,5.214285714285714,41.0,0,,4,0.30300000000000005,50235,24,0,0.0,240.0,False,-0.0066087985796014995,0,0.2,50380,6,25,1.0,420.7974910394265,False,-0.001964909340704025,0,0.2,66143,0,9,0.9,216.0,False,0.0005739054264268346,0,0.2,66206,0,7,0.0,168.0,False,0.0011629136272333228,0,0.2,88706,0,0,0.0,0.0,False,0.0,14,0.4750000000000001,87527.0,0,0,0.0,0.0,False,-0.01329109643090659,0,0.2,114368,0,0,0.0,0.0,False,0.0,0,0.2,114236,29,0,0.0,606.4838235294118,False,0.001497288680091527,0.2375,637801,0.0,0.0,7,0,0,22,4,4.0,20,42,65,383.0,187.0,31,43,65,250,3.64084492623806,15.783273790031672
3,65,0,0,0,10.0,20,10.0,11.266990291262138,26,5.153846153846154,26.705882352941178,6,47.0,14.216975308641976,36,2.8333333333333335,41.0,0,,18,0.4790000000000001,49681,36,0,0.0,360.0,False,-0.016354310514894457,0,0.2,50380,4,27,1.0,344.2087378640777,False,-0.002720371494731981,0,0.2,66113,0,19,1.0,507.4117647058824,False,0.002321385262001977,0,0.2,66384,6,11,1.0,361.36664762992575,False,0.005311393892663913,0,0.2,88706,0,0,0.0,0.0,False,0.0,36,0.8210000000000002,85114.0,6,0,0.0,160.23529411764707,False,-0.03959013316958464,0,0.2,114331,4,10,1.0,466.8679012345679,False,0.0017175604243956674,0,0.2,114171,51,0,0.0,725.0657407407408,False,0.001447370508974283,0.5,634880,0.0,0.0,9,0,0,21,10,10.0,26,47,53,429.0,157.0,33,32,53,562,3.1100681656971574,18.89334195572883
4,53,0,0,0,10.0,20,10.0,11.133840052875085,1,2.0,26.705882352941178,0,,11.069715012041744,62,6.629032258064516,41.0,20,41.0,1,0.4710000000000001,49551,47,0,0.0,470.0,False,-0.01783389228644703,0,0.2,50290,3,37,1.0,441.95208195637815,False,-0.0035317411525313002,0,0.2,66111,0,20,0.1,534.1176470588235,False,0.0024928461711357683,0,0.2,66384,0,17,0.6,454.0,False,0.00601090420310211,0,0.2,88706,0,0,0.0,0.0,False,0.0,62,1.4050000000000002,80783.0,6,0,0.0,160.23529411764707,False,-0.08841433897302521,0,0.2,114400,36,12,1.0,890.5097404335028,False,0.004172975571984778,12,0.32000000000000006,113825,71,0,0.0,785.9497658549639,False,-0.001311775296171343,0.3375,630050,0.0,0.0,10,0,0,17,12,12.0,20,37,43,257.0,115.0,23,30,43,528,2.7885604752227664,21.681902430951595
5,43,0,0,0,10.0,20,10.0,9.41230575882369,19,3.736842105263158,27.755517826825127,13,31.46153846153846,10.561156809244844,15,6.0,41.0,20,41.0,19,0.66,49068,55,0,0.0,550.0,False,-0.02657328861708424,0,0.2,50170,5,47,1.0,492.37837066471343,False,-0.005401673203149456,0,0.2,66105,9,25,1.0,778.5986975000413,False,0.00424840059731504,0,0.2,66728,0,9,0.0,249.79966044142614,False,0.009664262761402115,0,0.2,88641,0,5,0.5,52.80578404622422,False,-0.0004351127091391035,15,1.4930000000000003,79848.0,14,0,0.0,388.5772495755518,False,-0.09766770427267855,0,0.2,114786,30,12,1.0,808.8347042773453,False,0.007190974329695975,10,0.40800000000000003,113633,82,0,0.0,866.0148583580772,False,-0.0026405338103399813,0.4375,628979,0.0,0.0,11,0,0,15,8,8.0,17,32,43,221.0,75.0,20,23,43,1019,2.5690807914361358,24.25098322238773
6,43,0,0,0,10.0,20,10.0,13.169438698859956,41,19.902439024390244,27.755517826825127,0,,10.111891328838897,22,7.363636363636363,41.0,20,41.0,6,0.7010000000000001,48837,65,0,0.0,650.0,False,-0.030144012625764452,0,0.2,50880,5,22,1.0,339.72765137491905,False,0.007099306089711224,0,0.2,65289,40,35,1.0,1498.2206718932775,False,-0.0026413191375313605,0,0.2,66728,0,9,0.0,249.79966044142614,False,0.009664262761402115,0,0.2,88726,0,0,0.0,0.0,False,0.00022546389195770298,17,1.6480000000000004,79124.0,14,0,0.0,388.5772495755518,False,-0.10582949716154741,0,0.2,115193,25,10,1.0,662.7972832209724,False,0.010111208044299883,8,0.4780000000000001,113460,99,0,0.0,1001.0772415550508,False,-0.003562721908422548,0.375,628237,0.0,0.0,13,0,0,18,7,7.0,19,37,32,297.0,105.0,23,20,32,1587,2.394187916070223,26.645171138457954
7,32,0,0,0,10.0,20,10.0,14.131919146084506,67,15.611940298507463,29.414238924323392,5,47.0,8.227434601446179,86,5.1395348837209305,41.0,20,41.0,40,1.0950000000000002,47839,76,0,0.0,760.0,False,-0.04874728743341882,5,0.25,51382,4,10,1.0,181.31919146084505,False,0.015440118282312556,0,0.2,64478,97,40,1.0,2547.365714143133,False,-0.006967168727114413,0,0.2,66728,0,9,0.0,264.72815031891054,False,0.009776993568626257,18,0.38000000000000006,88217,0,0,0.0,0.0,False,-0.005512592158365838,68,2.311000000000001,74005.0,19,0,0.0,558.8705395621445,False,-0.16257710560975505,2,0.22000000000000003,115542,60,10,1.0,903.6460760867708,False,0.014215716267167227,8,0.55,112957,140,0,0.0,1151.840844202465,False,-0.007301689090469072,0.375,621148,0.0,0.0,11,0,0,12,14,13.023809523809524,18,30,35,190.0,48.0,16,16,35,1142,2.2897462686523795,28.934917407110333
8,35,0,0,0,10.0,20,10.0,15.294343970696213,14,28.0,29.707154804638314,1,45.0,9.570567159465062,24,21.0,41.00000000000001,20,41.0,0,1.0550000000000002,47749,85,0,0.0,850.0,False,-0.049635036496350364,4,0.28500000000000003,51576,5,10,1.0,202.94343970696212,False,0.01948060208825169,0,0.2,64086,101,50,1.0,3030.086481272233,False,-0.009242244866776592,0,0.2,66773,0,8,0.0,237.6572384371065,False,0.010252195478509474,0,0.36200000000000004,88217,0,0,0.0,0.0,False,-0.005512592158365838,24,2.4830000000000005,73552.0,20,0,0.0,594.1430960927663,False,-0.16748504556572966,0,0.21800000000000003,115366,74,12,1.0,1200.2219698004146,False,0.013973410262487843,12,0.6620000000000001,112767,140,0,0.0,1339.8794023251087,False,-0.008140916155195901,0.375,620086,0.0,0.0,11,0,0,12,6,5.285714285714286,19,31,26,195.0,66.0,17,18,26,573,1.894021418876946,30.82893882598728
9,26,0,0,0,10.000000000000002,20,10.0,16.527968158486896,20,25.8,37.083566062251435,33,47.78787878787879,8.677104406293958,82,6.439024390243903,41.00000000000001,20,41.0,3,1.085,47671,90,0,0.0,900.0000000000001,False,-0.050680607614914185,7,0.35100000000000003,51748,10,10,1.0,265.27968158486897,False,0.02348865339894329,0,0.2,65147,111,27,1.0,2835.8607492728343,False,0.005315125045480746,0,0.2,66773,0,8,0.0,296.6685284980115,False,0.010697812578330575,0,0.36200000000000004,88217,0,0,0.0,0.0,False,-0.005512592158365838,82,3.2790000000000004,65308.0,53,0,0.0,1965.429001299326,False,-0.2526918754013296,0,0.21800000000000003,115335,116,11,1.0,1457.5441111300993,False,0.014827329808731856,9,0.7400000000000002,112621,170,0,0.0,1475.107749069973,False,-0.008826298662781623,0.375,612820,0.0,0.0,13,0,0,13,12,11.411764705882353,16,29,31,165.0,33.0,15,11,31,2228,1.584312311373651,32.41325113736093
10,31,0,0,0,10.000000000000002,20,10.0,17.279089499562993,21,22.761904761904763,37.5367656511741,41,38.34146341463415,8.809921260185106,65,9.338461538461539,41.00000000000001,20,41.0,6,1.1420000000000001,47521,97,0,0.0,970.0000000000002,False,-0.05294929966462813,5,0.394,51928,13,10,1.0,302.79089499562997,False,0.027409655701278682,6,0.26,65715,122,10,1.0,2483.4165754584265,False,0.011232058473852754,0,0.2,67125,0,0,0.0,0.0,False,0.01377373023424403,33,0.6920000000000002,85664,23,10,1.0,951.4448225788553,False,-0.02893014664972569,32,3.5170000000000012,63253.0,61,0,0.0,2289.74270472162,False,-0.27403026455526336,0,0.21800000000000003,115723,118,11,1.0,1490.5707087018425,False,0.018364274572878134,10,0.8310000000000002,111894,223,0,0.0,1964.6124410212788,False,-0.013042929661175855,0.5,608823,0.0,0.0,11,0,0,11,14,12.520833333333332,16,27,35,177.0,80.0,13,18,35,998,1.8232928225770593,34.23654395993799
11,35,0,0,0,10.000000000000002,20,10.0,18.057706575428636,15,26.2,37.16588026073316,18,35.05555555555556,8.349343191345133,52,5.769230769230769,41.00000000000001,20,41.0,1,1.1460000000000001,47420,105,0,0.0,1050.0000000000002,False,-0.05415269283882423,4,0.42900000000000005,52112,15,10,1.0,330.5770657542864,False,0.03131364239252603,8,0.3340000000000001,65721,127,10,1.0,2664.9875376867685,False,0.012693787758346332,0,0.2,67125,0,0,0.0,0.0,False,0.01377373023424403,2,0.679,85137,31,10,1.0,1235.6357199961794,False,-0.03326925055804467,40,3.8850000000000007,60876.0,61,0,0.0,2267.1186959047227,False,-0.3009541705414249,0,0.21800000000000003,115992,112,14,1.0,1509.126437430655,False,0.02079745399688133,13,0.9510000000000001,111384,271,0,0.0,2262.6720048545308,False,-0.016199146593214277,0.5,605767,0.0,0.0,10,0,0,13,14,11.92296918767507,20,33,34,216.0,73.0,19,16,34,523,1.8316718535497785,36.06821581348777
12,34,0,0,0,10.000000000000002,20,10.0,17.39468767558773,9,6.0,36.642604711508504,12,31.916666666666668,8.684691874071024,40,11.275,41.0,20,41.0,9,1.235,47176,113,0,0.0,1130.0000000000002,False,-0.05817715525744723,0,0.42500000000000004,51992,17,20,1.0,517.8937535117547,False,0.03079398060279896,2,0.34600000000000003,65992,126,10,1.0,2558.156694239139,False,0.01597991855254369,0,0.2,67125,0,0,0.0,0.0,False,0.01377373023424403,0,0.6770000000000002,85137,21,20,1.0,943.1885364230991,False,-0.034917657563055975,40,4.245000000000001,58728.0,73,0,0.0,2674.9101439401206,False,-0.322870436363154,0,0.21800000000000003,116043,127,13,1.0,1635.9558680070202,False,0.02179786246155845,9,1.0280000000000002,111207,286,0,0.0,2483.821875984313,False,-0.016779947730202877,0.5,603400,0.0,0.0,12,0,0,15,10,9.285714285714285,17,32,34,247.0,60.0,19,15,34,866,3.0076743764802814,39.07589018996805
13,34,0,0,0,10.000000000000002,20,10.0,16.15973836870521,12,1.0,36.63672757068146,1,36.0,9.008534248978453,34,12.0,41.00000000000001,20,41.0,12,1.346,46786,123,0,0.0,1230.0000000000002,False,-0.06488459262181889,0,0.42500000000000004,51892,17,30,1.0,654.7921510611563,False,0.03017155406452124,0,0.3440000000000001,66016,128,19,1.0,2764.5443350372143,False,0.017900898124516392,0,0.2,67125,0,0,0.0,0.0,False,0.01377373023424403,3,0.7070000000000001,85344,12,10,1.0,529.726073337962,False,-0.03491462768393372,11,4.315000000000001,58322.0,73,0,0.0,2674.4811126597465,False,-0.3274497716464515,0,0.21800000000000003,116412,117,14,1.0,1627.998507130479,False,0.02498950102795574,11,1.129,110627,320,0,0.0,2882.7309596731047,False,-0.020107324777590356,0.5,602524,0.0,0.0,11,0,0,18,10,9.5,16,34,32,258.0,104.0,20,14,32,860,2.1421374836936593,41.21802767366171
14,32,0,0,0,10.000000000000002,20,10.0,15.728749071476198,45,14.355555555555556,36.63672757068146,0,,8.978718361244265,31,8.67741935483871,41.00000000000001,20,41.0,28,1.6140000000000003,46029,134,0,0.0,1340.0000000000002,False,-0.078733478003551,0,0.42500000000000004,52244,16,23,1.0,521.7612286439526,False,0.035803523659932474,0,0.3440000000000001,65370,163,29,1.0,3626.2511982003825,False,0.014651588043136488,0,0.2,67125,0,0,0.0,0.0,False,0.01377373023424403,7,0.774,85333,2,10,1.0,163.06063875380556,False,-0.03710537822270301,14,4.444000000000002,57698.0,73,0,0.0,2674.4811126597465,False,-0.3344842450755318,0,0.21800000000000003,116853,117,13,1.0,1583.5100482655794,False,0.028650977757176697,9,1.2080000000000002,110242,341,0,0.0,3061.7429611842945,False,-0.022691036998180016,0.5,600894,0.0,0.0,13,0,0,12,11,10.7,16,28,33,157.0,103.0,14,18,33,1198,1.9533102111890912,43.1713378848508
15,33,0,0,0,10.000000000000002,20,10.0,15.042294650679041,9,2.111111111111111,35.63787881997866,13,28.076923076923077,9.277302543756837,27,12.703703703703704,41.00000000000001,20,41.0,9,1.6760000000000002,45755,142,0,0.0,1420.0000000000002,False,-0.08334977313079503,0,0.42500000000000004,52124,18,33,1.0,676.3957234724083,False,0.03496148869079116,0,0.3440000000000001,65716,162,26,1.0,3363.43658272945,False,0.017892533057930114,0,0.2,67125,0,0,0.0,0.0,False,0.01377373023424403,9,0.8570000000000002,85255,0,2,0.2,18.554605087513675,False,-0.038799209720382345,8,4.510000000000001,57073.0,86,0,0.0,3064.8575785181647,False,-0.3393295967661818,0,0.21800000000000003,117164,115,14,1.0,1640.8897925320366,False,0.03162112563187276,11,1.3090000000000002,109789,360,0,0.0,3339.8289157524614,False,-0.025436184440785575,0.4,600001,0.0,0.0,12,0,0,15,9,8.166666666666666,18,33,29,267.0,72.0,20,13,29,934,1.9224139731377363,45.093751857988536
16,29,0,0,0,10.000000000000002,20,10.0,15.116251492284444,1,27.0,34.84871531916244,19,30.68421052631579,9.250079991436335,33,9.0,41.00000000000001,20,41.0,0,1.667,45645,153,0,0.0,1530.0000000000002,False,-0.08443479976326691,0,0.42500000000000004,52061,17,42,1.0,804.8825626759467,False,0.034986018570486783,0,0.3440000000000001,66272,153,17,1.0,2905.2146387452813,False,0.022829464295117997,0,0.2,67125,0,0,0.0,0.0,False,0.01377373023424403,9,0.9380000000000002,84495,9,10,1.0,406.13923778682533,False,-0.04518217912099059,22,4.722000000000001,56101.0,86,0,0.0,2996.98951744797,False,-0.3506696868450388,0,0.21800000000000003,117419,115,15,1.0,1678.7591990151786,False,0.03401632973827987,11,1.4080000000000004,109430,383,0,0.0,3542.7806367201165,False,-0.027687899426762176,0.5,598548,0.0,0.0,13,0,0,14,10,9.818181818181818,18,32,28,246.0,64.0,19,10,28,1179,1.8734565479680896,46.967208405956626
