index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,27.0,0,,38.0,0,,54.0,0,,0,0.2,40405,10,0,0.0,100.0,False,-0.0012344155042587335,0,0.2,40405,0,10,1.0,190.0,False,-0.00012344155042587335,0,0.2,63795,0,0,0.0,0.0,False,0.0,0,0.2,63795,0,0,0.0,0.0,False,0.0,0,0.2,79743,0,0,0.0,0.0,False,0.0,0,0.2,79743.0,0,0,0.0,0.0,False,0.0,0,0.2,114298,0,0,0.0,0.0,False,0.0,0,0.2,114298,0,0,0.0,0.0,False,0.0,0.125,596482,0.0,0.0,8,0,0,0,0,0.0,527,527,129,0.0,0.0,0,0,129,200,3.0339438831433654,3.0339438831433654
1,129,0,0,0,10.0,20,10.0,19.0,0,,27.0,0,,26.98507462686567,22,4.454545454545454,54.0,0,,0,0.2,40295,21,0,0.0,210.0,False,-0.0025922725589433405,0,0.2,40315,0,19,0.9,361.0,False,-0.00023453894580915935,0,0.2,63795,0,0,0.0,0.0,False,0.0,0,0.2,63795,0,0,0.0,0.0,False,0.0,0,0.2,79743,0,0,0.0,0.0,False,0.0,22,0.42000000000000004,78500.0,0,0,0.0,0.0,False,-0.015587575084960436,0,0.2,114298,0,0,0.0,0.0,False,0.0,0,0.2,114200,22,0,0.0,593.6716417910447,False,0.001739626422995309,0.1125,594941,0.0,0.0,9,0,0,30,5,5.0,66,96,66,1214.0,327.0,80,49,66,200,9.30043224338442,12.334376126527786
2,66,0,0,0,10.0,20,10.0,16.547169811320753,8,2.75,26.717391304347824,1,14.0,21.193195625759415,22,5.318181818181818,54.0,0,,8,0.28,40018,31,0,0.0,310.0,False,-0.00819651894827799,0,0.2,40215,0,29,1.0,479.86792452830184,False,-0.001236045864358742,0,0.2,63785,0,5,0.5,133.58695652173913,False,0.0008902496788286195,1,0.21000000000000002,63765,0,3,0.3,80.15217391304347,False,0.0001579447755548265,0,0.2,79729,0,1,0.1,21.193195625759415,False,-4.267963566857723e-05,22,0.6180000000000001,77286.0,0,0,0.0,0.0,False,-0.03081148188555735,0,0.2,114225,0,8,0.8,432.0,False,0.0012511155050832035,0,0.2,114156,36,0,0.0,762.955042527339,False,0.0020952030767264007,0.3375,593179,0.0,0.0,9,0,0,33,8,8.0,28,61,58,513.0,172.0,42,24,58,200,3.6546347001567483,15.989010826684535
3,58,0,0,0,10.0,20,10.0,13.41786283891547,15,3.466666666666667,26.417452830188683,1,14.0,19.4742814851363,7,1.2857142857142858,54.0,0,,15,0.42200000000000004,39559,42,0,0.0,420.0,False,-0.018170596222688556,0,0.2,40125,0,38,0.9,509.8787878787879,False,-0.0030875350218641604,0,0.2,63733,5,15,1.0,463.3511066474076,False,0.0026596998718347994,0,0.20900000000000002,63779,0,2,0.0,52.834905660377366,False,0.00016329575719395355,0,0.2,79715,0,2,0.1,38.9485629702726,False,-0.00010691494569887927,7,0.6660000000000001,76960.0,0,0,0.0,0.0,False,-0.03489961501323,0,0.2,114216,0,15,0.7,810.0,False,0.002825946210782341,0,0.2,114156,36,0,0.0,701.0741334649067,False,0.0018245031998150494,0.33749999999999997,592243,0.0,0.0,9,0,0,24,4,4.0,21,45,45,365.0,162.0,28,30,45,214,2.6582696055993438,18.64728043228388
4,45,0,0,0,10.0,20,10.0,13.43693970281223,25,13.48,26.417452830188683,0,,14.079855547926044,45,5.333333333333333,54.0,20,54.0,14,0.5470000000000002,39137,49,0,0.0,490.0,False,-0.027724972225651155,0,0.2,40303,3,37,1.0,527.1667690040525,False,0.0015203896926805154,0,0.2,63733,0,20,0.5,528.3490566037736,False,0.003169128118220706,0,0.20900000000000002,63442,15,12,1.0,518.5635295044476,False,-0.0014690529860925737,0,0.2,79715,0,2,0.0,28.15971109585209,False,-0.0001745625879647511,45,1.1090000000000002,73544.0,0,0,0.0,0.0,False,-0.07773723085411886,0,0.2,114756,0,5,0.0,270.0,False,0.0051881922693310465,10,0.30000000000000004,113730,81,0,0.0,1140.4682993820095,False,1.9546708525157895e-05,0.3125,588360,0.0,0.0,15,0,0,10,13,13.0,30,40,44,278.0,153.0,23,22,44,1048,2.706711808219552,21.35399224050343
5,44,0,0,0,10.0,20,10.0,11.47654289871344,14,1.2142857142857142,28.806385869565222,6,44.0,11.07310608810076,44,3.8181818181818183,54.0,20,54.0,14,0.6730000000000002,38728,57,0,0.0,570.0,False,-0.036834958647080605,0,0.2,40183,5,47,1.0,589.3975162395317,False,-0.0006740215252495205,0,0.2,63983,0,15,0.0,432.0957880434783,False,0.006333535449827358,0,0.20900000000000002,63439,19,21,1.0,822.988418336425,False,0.0008698833634016715,0,0.2,79701,0,3,0.1,33.21931826430228,False,-0.00031840212768324773,44,1.5040000000000002,70020.0,5,0,0.0,144.03192934782612,False,-0.12102609677747364,2,0.22000000000000003,115001,0,5,0.5,270.0,False,0.007331711840977095,13,0.42000000000000004,113267,120,0,0.0,1328.7727305720912,False,-0.0032075244948639044,0.325,584322,0.0,0.0,13,0,0,18,14,13.666666666666666,23,41,39,246.0,139.0,22,22,39,680,2.755981291644275,24.109973532147706
6,39,0,0,0,10.0,20,10.0,12.42173029760476,16,17.0625,27.737406163571713,21,25.714285714285715,9.253869048353469,31,1.3225806451612903,54.0,20,54.0,7,0.7290000000000001,38453,69,0,0.0,690.0,False,-0.042142945315393164,0,0.2,40364,3,48,1.0,626.2430542850285,False,0.004249389634428272,0,0.2,63983,0,15,0.0,416.06109245357567,False,0.006207861842257013,0,0.20900000000000002,63706,25,10,1.0,587.9173190758361,False,0.0032127699590550215,0,0.2,79701,0,3,0.0,27.761607145060406,False,-0.0003526227559469384,31,1.7700000000000002,67421.0,26,0,0.0,721.1725602528645,False,-0.1499995450368505,4,0.258,115212,0,5,0.5,270.0,False,0.009177763390435528,11,0.5170000000000001,113006,146,0,0.0,1351.0648810596065,False,-0.005393511342894875,0.3125,581846,0.0,0.0,12,0,0,17,14,13.2,16,33,31,183.0,110.0,17,22,31,1055,2.190481735393405,26.30045526754111
7,31,0,0,0,10.0,20,10.0,13.92388697189573,11,25.545454545454547,27.737406163571713,0,,11.447088081974467,56,17.303571428571427,54.0,20,54.0,1,0.7320000000000002,38381,74,0,0.0,740.0,False,-0.04330329588939637,0,0.2,40494,8,48,1.0,748.3465746509951,False,0.008966134732144058,0,0.2,63983,0,15,0.0,416.06109245357567,False,0.006207861842257013,0,0.20900000000000002,63425,26,20,1.0,916.7691845407232,False,0.0013854470141917421,7,0.27,79936,0,0,0.0,0.0,False,0.0024202751338675494,46,2.1990000000000007,64137.0,26,0,0.0,721.1725602528645,False,-0.19118184316960196,7,0.32400000000000007,114769,18,10,1.0,746.0475854755405,False,0.007384414361911624,8,0.5860000000000001,112492,174,0,0.0,1991.7933262635572,False,-0.007087642276052298,0.375,577617,0.0,0.0,10,0,0,13,17,16.4,17,30,26,178.0,46.0,14,17,26,750,1.9884711988270283,28.28892646636814
8,26,0,0,0,10.0,20,10.0,16.670775451837457,20,28.55,26.6955864888603,10,21.0,13.59975286441413,13,44.23076923076923,54.0,20,54.0,0,0.7310000000000001,38261,86,0,0.0,860.0,False,-0.04478459449450685,0,0.2,40985,6,38,1.0,693.4894671698233,False,0.020410930344029472,0,0.2,63983,0,15,0.0,400.43379733290453,False,0.006085381278571278,0,0.20900000000000002,63064,36,20,1.0,1134.0596460433544,False,-0.0025702669014549813,10,0.36300000000000004,79931,0,5,0.5,67.99876432207066,False,0.0027839356703540192,3,2.1830000000000007,63868.0,31,0,0.0,827.5631811546693,False,-0.1938880956249786,0,0.31700000000000006,115093,8,14,1.0,864.798022915313,False,0.01073858695215716,14,0.7180000000000002,111568,187,0,0.0,2543.1537856454424,False,-0.012759830506021811,0.4375,576753,0.0,0.0,15,0,0,12,9,9.0,18,30,24,176.0,63.0,15,11,24,1305,2.139218494296074,30.428144960664213
9,24,0,0,0,10.000000000000002,20,10.0,18.62673731050892,20,28.0,28.856185638186506,40,32.0,14.811660001026274,5,58.0,54.0,20,54.0,0,0.7310000000000001,38181,94,0,0.0,940.0000000000001,False,-0.04577212689791384,0,0.2,41425,8,28,1.0,601.5486446942497,False,0.03013885501412483,0,0.2,63968,0,20,1.0,577.1237127637302,False,0.007235078867965583,15,0.35900000000000004,63319,36,10,1.0,959.1243995601862,False,5.583822838924304e-05,0,0.35300000000000004,79206,25,10,1.0,869.5212409649255,False,-0.0012821110256389942,0,2.1800000000000006,63603.0,36,0,0.0,1038.8226829747143,False,-0.19588664407550058,0,0.31700000000000006,115343,3,14,1.0,800.4349800030789,False,0.012644293775932545,10,0.8040000000000003,111361,187,0,0.0,2769.7804201919134,False,-0.013579500865317388,0.625,576406,0.0,0.0,18,0,0,14,6,5.5,16,30,30,176.0,63.0,13,11,30,2060,2.0434981863945723,32.471643147058785
