index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,13,10.0,22.0,0,,30.0,0,,37.0,0,,43.0,0,,0,0.2,41835,0,9,0.9,198.0,False,0.0002146690518783542,0,0.2,41885,0,4,0.4,88.0,False,9.540846750149076e-05,0,0.2,56930,0,0,0.0,0.0,False,0.0,0,0.2,56930,0,0,0.0,0.0,False,0.0,0,0.2,71824,0,0,0.0,0.0,False,0.0,0,0.2,71824,0,0,0.0,0.0,False,0.0,0,0.2,88484,0,0,0.0,0.0,False,0.0,0,0.2,88484,0,0,0.0,0.0,False,0.0,0.1625,518196,0.0,0.0,7,0,0,163,0,0.0,522,685,190,0.0,0.0,0,0,190,130,3.0392795719671994,3.0392795719671994
1,190,0,0,0,10.0,12,10.0,22.0,0,,30.0,0,,37.0,0,,43.0,0,,0,0.2,41725,1,19,1.0,428.0,False,0.00033392963625521763,0,0.2,41875,0,5,0.1,110.0,False,0.00011926058437686345,0,0.2,56930,0,0,0.0,0.0,False,0.0,0,0.2,56930,0,0,0.0,0.0,False,0.0,0,0.2,71824,0,0,0.0,0.0,False,0.0,0,0.2,71824,0,0,0.0,0.0,False,0.0,0,0.2,88484,0,0,0.0,0.0,False,0.0,0,0.2,88484,0,0,0.0,0.0,False,0.0,0.1375,518076,0.0,0.0,8,0,0,32,0,0.0,47,79,26,990.0,1770.0,55,135,26,120,8.477314570045564,11.516594142012764
2,26,0,0,0,10.0,15,10.0,22.0,0,,27.666666666666668,9,16.0,37.0,0,,43.0,0,,0,0.2,41655,0,27,0.8,594.0,False,0.0006440071556350626,0,0.2,41795,0,13,0.8,286.0,False,0.000310077519379845,3,0.23,56870,0,0,0.0,0.0,False,-0.0010539258738802037,6,0.26,56798,0,0,0.0,0.0,False,-0.002318636922536448,0,0.2,71728,0,6,0.6,222.0,False,0.00020884384049899756,0,0.2,71776,0,3,0.3,111.0,False,0.00010442192024949878,0,0.2,88484,0,0,0.0,0.0,False,0.0,0,0.2,88484,0,0,0.0,0.0,False,0.0,0.3125,517590,0.0,0.0,10,0,0,21,3,3.0,23,44,26,306.0,117.0,17,9,26,150,1.8521483989898115,13.368742541002575
3,26,0,0,0,9.999999999999998,17,10.0,22.0,0,,26.98837209302326,3,16.0,38.125,3,55.0,43.0,0,,0,0.2,41575,0,35,0.8,770.0,False,0.0008348240906380441,0,0.2,41705,0,22,0.9,484.0,False,0.0005247465712581991,3,0.257,56810,0,0,0.0,0.0,False,-0.0021078517477604074,0,0.254,56798,0,0,0.0,0.0,False,-0.002318636922536448,0,0.2,71728,0,6,0.0,228.75,False,0.000255833704611272,0,0.2,71893,0,3,0.3,114.375,False,0.0017568988081978168,0,0.2,88484,0,0,0.0,0.0,False,0.0,0,0.2,88319,3,0,0.0,114.375,False,-0.001218440622033362,0.25,517312,0.0,0.0,11,0,0,22,1,1.0,20,42,27,366.0,72.0,22,4,27,335,2.1397386810276657,15.508481222030241
4,27,0,0,0,9.999999999999998,15,10.0,26.415584415584416,32,32.625,25.204545454545453,9,16.0,37.01149425287356,9,31.666666666666668,43.0,20,43.0,0,0.2,42155,0,23,0.8,607.5584415584416,False,0.01273176435967138,0,0.2,42019,0,17,0.7,449.06493506493507,False,0.007597673644185245,3,0.28400000000000003,56090,20,0,0.0,528.3116883116883,False,-0.010114950919447663,6,0.31400000000000006,56282,12,0,0.0,316.987012987013,False,-0.008598392648981112,0,0.2,71800,0,3,0.3,111.03448275862068,False,0.0004388121154391892,0,0.2,71962,0,6,0.6,222.06896551724137,False,0.0034672878530661506,10,0.30000000000000004,88196,0,6,0.6,258.0,False,-0.0017969350391031148,10,0.30000000000000004,87984,6,0,0.0,222.06896551724137,False,-0.004395885326628281,0.375,516488,0.0,0.0,16,0,0,19,15,15.0,20,39,32,327.0,84.0,19,8,32,1479,2.2518856109818444,17.760366833012085
5,32,0,0,0,9.999999999999998,15,10.0,27.23985239852399,12,32.0,23.42002714230322,12,16.0,40.671414038657176,12,55.0,43.0,20,43.0,0,0.2,42389,5,21,1.0,622.0369003690038,False,0.018485830654370893,0,0.2,42019,0,17,0.0,463.0774907749078,False,0.007764788202443824,4,0.32100000000000006,55626,32,0,0.0,871.6752767527677,False,-0.015249646260734542,8,0.38800000000000007,56098,12,0,0.0,326.87822878228786,False,-0.011743560260123983,3,0.23,71870,0,8,0.8,325.3713123092574,False,0.002905514259225748,0,0.2,72228,0,4,0.4,162.6856561546287,False,0.00675739067828731,4,0.33000000000000007,88082,0,6,0.6,258.0,False,-0.003085303557705348,10,0.39,87485,12,0,0.0,488.0569684638861,False,-0.008532294152254217,0.35000000000000003,515797,0.0,0.0,14,0,0,23,12,11.4,24,47,27,387.0,99.0,24,8,27,1158,2.3510685460059904,20.111435379018076
6,27,0,0,0,10.0,14,10.0,29.232226679184095,44,32.54545454545455,23.42002714230322,0,,40.288218214751865,22,39.36363636363637,43.0,20,43.0,22,0.42000000000000004,42987,9,10,1.0,382.32226679184095,False,0.029890545817434052,0,0.2,42051,0,16,0.0,467.7156268669455,False,0.008583370624531302,0,0.31700000000000006,54642,62,0,0.0,1812.3980541094138,False,-0.02427192996566467,0,0.38000000000000006,55650,26,0,0.0,760.0378936587865,False,-0.01580855529897435,8,0.30700000000000005,72051,0,0,0.0,0.0,False,0.0031605034528848297,2,0.22000000000000003,72473,0,0,0.0,0.0,False,0.009035976832256628,3,0.35600000000000004,87979,0,6,0.6,258.0,False,-0.004249355815740699,11,0.49000000000000005,86753,28,0,0.0,1128.0701100130523,False,-0.01318842892492971,0.2,514586,0.0,0.0,16,0,0,23,13,11.274358974358975,17,40,31,342.0,99.0,19,8,31,1296,2.0097975590033457,22.12123293802142
7,31,0,0,0,10.000000000000002,10,10.0,29.53598473656218,13,32.0,22.922926185467556,4,16.0,41.15232110073797,4,55.75,43.0,20,43.0,3,0.42800000000000005,43225,9,10,1.0,385.3598473656218,False,0.03560357599720473,0,0.2,42051,0,16,0.0,472.5757557849949,False,0.008641332806022672,4,0.35700000000000004,54146,75,0,0.0,2215.1988552421635,False,-0.02944669897029538,0,0.38000000000000006,55650,26,0,0.0,767.9356031506167,False,-0.01573919196249238,0,0.29900000000000004,72051,0,0,0.0,0.0,False,0.0031605034528848297,4,0.258,72450,0,4,0.4,164.6092844029519,False,0.009861670781374945,4,0.393,87972,0,4,0.4,172.0,False,-0.004814429727408345,10,0.5790000000000001,86585,28,0,0.0,1152.2649908206631,False,-0.01495035830873002,0.225,514130,0.0,0.0,8,0,0,23,12,11.23076923076923,23,46,32,405.0,78.0,25,6,32,358,2.075641509029083,24.196874447050504
8,32,0,0,0,10.000000000000002,14,10.0,30.021172549927805,13,34.0,22.025821987127074,8,16.0,43.134098630382915,10,55.9,43.0,20,43.0,3,0.45500000000000007,43449,13,10,1.0,430.21172549927803,False,0.04148135629695023,0,0.2,42051,0,16,0.0,480.3387607988449,False,0.008733914857469775,4,0.393,54066,75,0,0.0,2251.587941244585,False,-0.030532338474929043,4,0.42000000000000004,55128,39,0,0.0,1170.8257294471844,False,-0.021369877661626697,6,0.35900000000000004,71977,0,8,0.8,345.0727890430633,False,0.004532418056938292,0,0.254,72673,0,0,0.0,0.0,False,0.01182056137224326,5,0.43900000000000006,87750,0,6,0.6,258.0,False,-0.006837394331178518,11,0.679,86171,32,0,0.0,1380.2911561722533,False,-0.018340653925160155,0.3,513265,0.0,0.0,11,0,0,30,13,11.430769230769231,20,50,27,423.0,63.0,26,6,27,363,2.0370213839923963,26.2338958310429
9,27,0,0,0,10.0,10,10.0,30.021172549927805,0,,20.678558021650097,16,16.0,44.79255113928357,10,55.9,43.00000000000001,20,43.0,0,0.45200000000000007,43349,13,20,1.0,730.4234509985561,False,0.042676487191395995,0,0.2,42051,0,16,0.0,480.3387607988449,False,0.008733914857469775,6,0.44900000000000007,53946,75,0,0.0,2251.587941244585,False,-0.03264019022268945,10,0.516,54892,39,0,0.0,1170.8257294471844,False,-0.025515319432222166,0,0.35300000000000004,72249,0,6,0.4,268.7553068357014,False,0.00778817182860669,4,0.29400000000000004,72522,2,10,1.0,489.2826274361359,False,0.013124322144660062,6,0.49400000000000005,87596,0,6,0.6,258.00000000000006,False,-0.008577821979114868,8,0.748,85828,36,0,0.0,1612.5318410142083,False,-0.020904729436879998,0.375,512433,0.0,0.0,11,0,0,23,13,12.666666666666666,18,41,24,330.0,81.0,20,7,24,651,1.8488450860022567,28.082740917045157
