index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,19,10.0,15.0,0,,20.0,0,,32.0,0,,41.0,0,,0,0.2,27708,0,3,0.3,45.0,False,-0.00027038719446247024,0,0.2,27578,6,10,1.0,210.0,False,-0.001982839426058115,0,0.2,39873.0,0,0,0.0,0.0,False,0.0,0,0.2,39873.0,0,0,0.0,0.0,False,0.0,0,0.2,57209,0,0,0.0,0.0,False,0.0,0,0.2,57209,0,0,0.0,0.0,False,0.0,0,0.2,79052,0,0,0.0,0.0,False,0.0,0,0.2,79052,0,0,0.0,0.0,False,0.0,0.1625,407554,0.0,0.0,10,0,0,341,0,0.0,1069,1410,324,0.0,0.0,0,0,324,190,5.695000848965719,5.695000848965719
1,324,0,0,0,10.0,15,10.0,15.0,0,,20.0,0,,32.0,0,,41.0,0,,0,0.2,27668,0,7,0.4,105.0,False,-0.000630903453745764,0,0.2,27468,7,20,1.0,370.0,False,-0.0030643882039079963,0,0.2,39873.0,0,0,0.0,0.0,False,0.0,0,0.2,39873.0,0,0,0.0,0.0,False,0.0,0,0.2,57209,0,0,0.0,0.0,False,0.0,0,0.2,57209,0,0,0.0,0.0,False,0.0,0,0.2,79052,0,0,0.0,0.0,False,0.0,0,0.2,79052,0,0,0.0,0.0,False,0.0,0.175,407404,0.0,0.0,9,0,0,66,0,0.0,126,192,57,3042.0,1935.0,169,155,57,150,18.696147793962155,24.391148642927874
2,57,0,0,0,10.0,14,10.0,16.56896551724138,13,22.0,17.666666666666668,15,10.666666666666666,32.0,0,,41.0,0,,0,0.2,27702,0,6,0.1,99.41379310344828,False,0.0004941559071210844,0,0.2,27580,10,19,1.0,414.8103448275862,False,0.0017811367947866998,0,0.2,39829.0,2,0,0.0,33.13793103448276,False,-0.000687960135499232,15,0.35000000000000003,39356.0,11,0,0.0,182.25862068965517,False,-0.010680678395284375,0,0.2,57104,0,10,1.0,320.0,False,0.0009613871943225717,0,0.2,57154,0,5,0.5,160.0,False,0.00043699417923753254,0,0.2,79052,0,0,0.0,0.0,False,0.0,0,0.2,79052,0,0,0.0,0.0,False,0.0,0.325,406829,0.0,0.0,11,0,0,24,3,3.0,28,52,47,486.0,374.0,27,30,47,426,2.7353388789924793,27.126487521920353
3,47,0,0,0,10.0,19,10.0,17.71752265861027,14,22.0,15.166666666666666,30,10.666666666666666,32.0,0,,41.0,0,,0,0.2,27708,0,9,0.6,159.45770392749245,False,0.0017928059688423004,0,0.2,27692,13,18,1.0,448.9154078549849,False,0.00643369038602249,20,0.4,39343.0,5,0,0.0,88.58761329305136,False,-0.012181330558359578,10,0.43500000000000005,38959.0,22,0,0.0,389.78549848942595,False,-0.018034942210400244,0,0.2,56944,5,20,1.0,715.8333333333334,False,0.0016241616994994536,0,0.2,56994,5,15,1.0,555.8333333333334,False,0.0010997686844144146,0,0.2,79052,0,0,0.0,0.0,False,0.0,0,0.2,79052,0,0,0.0,0.0,False,0.0,0.45,405744,0.0,0.0,13,0,0,24,6,6.0,19,43,28,361.0,286.0,20,27,28,498,2.1930165950325318,29.319504116952885
4,28,0,0,0,10.0,15,10.0,18.435456831517183,12,22.0,13.793560606060606,30,10.333333333333334,33.7,5,49.0,41.0,20,41.0,0,0.2,27712,0,11,0.4,202.790025146689,False,0.002718112790155971,0,0.2,27802,14,18,1.0,471.83822296730926,False,0.010812571615965607,15,0.53,38799.0,17,0,0.0,313.4027661357921,False,-0.0230055079109197,15,0.5750000000000001,38679.0,22,0,0.0,405.580050293378,False,-0.02485917725913042,0,0.2,56789,10,30,1.0,1148.9356060606062,False,0.0027000612321541,0,0.2,57084,10,20,1.0,811.935606060606,False,0.004911251779096014,9,0.29000000000000004,78918,0,0,0.0,0.0,False,-0.001695086778323129,11,0.31000000000000005,78621,5,0,0.0,168.5,False,-0.004386353286444366,0.425,404404,0.0,0.0,10,0,0,15,17,17.0,19,34,30,234.0,176.0,13,15,30,659,1.9175982039887458,31.23710232094163
5,30,0,0,0,10.0,12,10.0,19.03398258892821,13,22.0,12.817979857819903,40,10.5,33.09821428571429,11,30.636363636363637,41.0,20,41.0,0,0.2,27712,0,11,0.0,209.37380847821032,False,0.002836790837086469,0,0.2,27968,16,15,1.0,445.50973883392317,False,0.01632254918944985,20,0.7150000000000001,38379.0,17,0,0.0,323.5777040117796,False,-0.0334113597671133,20,0.76,37973.0,35,0,0.0,666.1893906124874,False,-0.039297401868275655,0,0.2,56681,20,34,1.0,1381.698882870684,False,0.002846570319973096,0,0.2,57109,20,25,1.0,1083.8149542992555,False,0.007724439811037262,11,0.39100000000000007,78630,0,6,0.6,246.0,False,-0.0037823204979001166,9,0.389,78256,10,0,0.0,330.9821428571429,False,-0.007975875734597921,0.45,402708,0.0,0.0,11,0,0,20,20,20.0,21,41,33,342.0,152.0,19,11,33,743,2.2672627470456064,33.50436506798724
6,33,0,0,0,10.0,11,10.0,19.947239664758968,31,22.0,12.359082990180552,30,10.5,35.3998344370861,10,47.0,41.0,20,41.0,0,0.2,27800,0,7,0.0,139.63067765331277,False,0.004752157286994543,12,0.32000000000000006,28216,17,10,1.0,369.4723966475897,False,0.0238927175111325,10,0.7950000000000002,37850.0,34,0,0.0,678.2061486018049,False,-0.04223150818095194,20,0.9400000000000002,37240.0,49,0,0.0,977.4147435731894,False,-0.05377806104916627,0,0.2,56706,30,39,1.0,1751.3660327517744,False,0.006514412354277927,0,0.2,57239,20,30,1.0,1309.1766929161938,False,0.011966444903041452,4,0.42000000000000004,78603,0,5,0.5,205.0,False,-0.004383190811111673,10,0.48000000000000004,77861,15,0,0.0,530.9975165562914,False,-0.011707499389286205,0.4375,401515,0.0,0.0,12,0,0,21,16,15.117647058823529,21,42,38,360.0,189.0,20,13,38,914,2.462485096999444,35.96685016498668
7,38,0,0,0,10.0,14,10.0,20.40492713345868,26,22.0,12.153294744165583,20,10.75,38.05269607843138,15,47.666666666666664,41.0,20,41.0,0,0.2,27844,0,5,0.0,102.02463566729341,False,0.005660549348678603,14,0.44800000000000006,28328,21,10,1.0,414.0492713345868,False,0.02873403402074029,5,0.8350000000000002,37516.0,46,0,0.0,938.6266481390993,False,-0.04734247926994342,15,1.0700000000000003,36662.0,63,0,0.0,1285.510409407897,False,-0.06441062361237053,0,0.2,56836,30,44,1.0,2038.9174697759483,False,0.011299948170532124,0,0.2,57609,20,30,1.0,1384.646777236253,False,0.01909355850684553,5,0.4660000000000001,78507,0,5,0.5,205.0,False,-0.005597581338865557,10,0.5700000000000001,77237,25,0,0.0,951.3174019607845,False,-0.016942535280822856,0.4375,400539,0.0,0.0,16,0,0,22,14,13.166666666666668,21,43,46,396.0,228.0,22,16,46,1104,2.9694115149904974,38.93626167997718
8,46,0,0,0,10.000000000000002,10,10.0,20.543688683137187,10,22.0,11.91900372236343,25,10.6,39.915291124199214,15,47.666666666666664,41.00000000000001,20,41.0,0,0.2,27844,0,5,0.0,102.71844341568594,False,0.005673055797384237,0,0.43400000000000005,28448,21,10,1.0,415.4368868313719,False,0.03308524202955095,15,0.9800000000000002,37241.0,46,0,0.0,945.0096794243107,False,-0.05415933489548925,10,1.1550000000000002,36282.0,73,0,0.0,1499.6892738690146,False,-0.0712551190797155,0,0.2,57211,30,44,1.0,2113.8429211356683,False,0.018509700581514014,0,0.2,57684,25,35,1.0,1695.0102824060582,False,0.023117081948697403,5,0.5110000000000001,78415,0,5,0.5,205.00000000000003,False,-0.006761372261296362,10,0.6600000000000001,76609,35,0,0.0,1397.0351893469724,False,-0.022067530300644112,0.4375,399734,0.0,0.0,13,0,0,19,13,12.666666666666666,22,41,52,345.0,273.0,20,26,52,1199,2.586167072004173,41.52242875198135
9,52,0,0,0,10.0,15,10.0,20.817913422416634,24,22.0,11.737220174852734,30,10.833333333333334,41.17023473812493,15,47.0,41.00000000000001,20,41.0,0,0.2,27844,0,5,0.0,104.08956711208317,False,0.005697771416686163,14,0.5740000000000001,28550,26,10,1.0,468.1791342241663,False,0.03771322976105276,15,1.1150000000000002,36702.0,58,0,0.0,1207.4389785001647,False,-0.06438643971484251,15,1.2950000000000002,35748.0,85,0,0.0,1769.522640905414,False,-0.08126398012558102,0,0.2,57391,25,49,1.0,2310.77200653944,False,0.023377195952904602,0,0.2,57884,40,35,1.0,1910.447022828482,False,0.02849592741376774,8,0.5860000000000001,78040,0,10,1.0,410.00000000000006,False,-0.010208470373931083,7,0.7200000000000002,76290,40,0,0.0,1646.8093895249972,False,-0.024523039331547553,0.5,398449,0.0,0.0,12,0,0,24,15,14.166666666666668,24,48,49,468.0,318.0,26,26,49,1060,2.7251285340171307,44.24755728599848
