index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,27.0,0,,36.0,0,,0,0.2,29593,2,10,1.0,160.0,False,-0.00134621209571568,0,0.2,29633,0,8,0.8,112.0,False,-0.000807727257429408,0,0.2,60235,0,0,0.0,0.0,False,0.0,0,0.2,60235,0,0,0.0,0.0,False,0.0,0,0.2,86031,0,0,0.0,0.0,False,0.0,0,0.2,86031,0,0,0.0,0.0,False,0.0,0.3,351758,0.0,0.0,7,0,0,0,0,0.0,809,809,110,0.0,0.0,0,0,110,200,4.000757973000873,4.000757973000873
1,110,0,0,0,10.0,20,10.0,14.0,0,,27.0,0,,36.0,0,,0,0.2,29473,4,20,1.0,320.0,False,-0.00269242419143136,0,0.2,29553,0,16,0.8,224.0,False,-0.001615454514858816,0,0.2,60235,0,0,0.0,0.0,False,0.0,0,0.2,60235,0,0,0.0,0.0,False,0.0,0,0.2,86031,0,0,0.0,0.0,False,0.0,0,0.2,86031,0,0,0.0,0.0,False,0.0,0.3,351558,0.0,0.0,7,0,0,65,0,0.0,51,116,66,1822.0,72.0,101,9,66,200,10.441547221969813,14.442305194970686
2,66,0,0,0,10.0,20,10.0,12.285714285714286,18,8.0,27.0,0,,36.0,0,,0,0.2,29413,4,25,1.0,347.14285714285717,False,-0.004254991802529952,0,0.2,29557,0,13,1.0,159.71428571428572,False,-0.002562610882201686,0,0.2,60171,0,8,0.8,216.0,False,0.0007304723167593592,0,0.2,60155,0,10,1.0,270.0,False,0.000913090395949199,0,0.2,86031,0,0,0.0,0.0,False,0.0,0,0.2,86031,0,0,0.0,0.0,False,0.0,0.6333333333333333,351358,0.0,0.0,11,0,0,11,0,0.0,22,33,36,312.0,168.0,19,47,36,344,3.833560466009658,18.275865660980344
3,36,0,0,0,10.0,20,10.0,11.643178410794603,10,8.0,27.0,0,,36.0,20,36.0,0,0.2,29383,1,30,1.0,359.2953523238381,False,-0.005060152924244618,0,0.2,29467,3,18,1.0,239.57721139430285,False,-0.0042476826406909075,0,0.2,60171,0,8,0.0,216.0,False,0.0007304723167593592,0,0.2,60075,0,20,1.0,540.0,False,0.001826180791898398,8,0.28,85941,0,0,0.0,0.0,False,-0.001046134532900931,12,0.32000000000000006,85851,0,0,0.0,0.0,False,-0.002092269065801862,0.5,350888,0.0,0.0,10,0,0,15,8,8.0,19,34,38,300.0,45.0,20,16,38,280,2.422388909966685,20.69825457094703
4,38,0,0,0,10.0,20,10.0,11.643178410794603,0,,27.0,0,,36.0,20,36.0,0,0.2,29303,0,39,0.9,454.0839580209895,False,-0.006157507521606927,0,0.2,29347,5,28,1.0,376.00899550224887,False,-0.0059904924527606,0,0.2,60171,0,8,0.0,216.0,False,0.0007304723167593592,0,0.2,60075,0,20,0.0,540.0,False,0.001826180791898398,13,0.402,85743,0,0,0.0,0.0,False,-0.0033476305052829794,7,0.37800000000000006,85782,0,0,0.0,0.0,False,-0.002894305541025909,0.31666666666666665,350421,0.0,0.0,8,0,0,14,7,7.0,16,30,25,257.0,92.0,16,22,25,200,2.7480761320330203,23.44633070298005
5,25,0,0,0,10.0,20,10.0,15.016735931708414,29,22.0,26.774193548387096,17,26.176470588235293,36.0,20,36.0,0,0.2,29467,0,37,1.0,555.6192294732114,False,0.0010705622029618348,0,0.2,29621,5,21,1.0,365.3514545658767,False,0.0030517190214026913,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,0.2,59554,19,21,1.0,847.5760472185889,False,-0.004270141552099329,12,0.5090000000000001,85231,8,0,0.0,214.19354838709677,False,-0.008054111027495373,8,0.45100000000000007,85576,0,9,0.9,324.0,False,-0.003405749090444142,0.65,349948,0.0,0.0,11,0,0,13,8,8.0,16,29,19,222.0,46.0,14,11,19,1283,1.804935903986916,25.251266606966965
6,19,0,0,0,10.0,20,10.0,17.093856611951544,38,21.473684210526315,25.29780564263323,8,15.0,36.0,20,36.0,0,0.2,29633,2,34,1.0,601.1911248063525,False,0.00742421035920902,4,0.24000000000000002,30003,3,10,1.0,200.93856611951543,False,0.01314136179651183,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,0.2,58858,47,23,1.0,1385.260790542287,False,-0.01136166024286302,13,0.6270000000000001,85027,8,0,0.0,202.38244514106583,False,-0.01049399376305598,0,0.44300000000000006,85708,0,10,0.8,360.0,False,-0.0016621915356092572,0.6333333333333333,349728,0.0,0.0,12,0,0,11,6,5.266666666666667,16,27,16,204.0,17.0,13,6,16,1058,1.5974962059990503,26.848762812966015
7,16,0,0,0,10.0,20,10.0,17.343709242973564,10,20.0,24.13434247871334,6,13.0,36.0,20,36.0,0,0.2,29543,1,44,1.0,773.1232066908368,False,0.007288446247279545,0,0.23600000000000002,30093,4,10,1.0,213.43709242973563,False,0.016380659853090108,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,0,0.2,58736,47,27,1.0,1466.7815813450175,False,-0.012710371201585339,8,0.6940000000000002,84859,14,0,0.0,337.88079470198676,False,-0.01165928098765572,2,0.4630000000000001,86054,0,0,0.0,0.0,False,0.000267345491741349,0.5,349784,0.0,0.0,13,0,0,13,4,3.6666666666666665,13,26,23,173.0,15.0,11,5,23,802,1.5234103070106357,28.37217311997665
8,23,0,0,0,10.0,20,10.0,18.69487188791753,67,20.80597014925373,27.06008703935449,50,30.4,36.0,20,36.0,0,0.2,30233,0,15,1.0,280.4230783187629,False,0.022219618993685585,18,0.41600000000000004,30235,5,10,1.0,236.9487188791753,False,0.021555358241833127,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,23,0.43000000000000005,57914,104,10,1.0,2214.867546736968,False,-0.020147193934282714,11,0.7960000000000003,83811,49,0,0.0,1325.9442649283699,False,-0.018098451343536784,9,0.5510000000000002,85322,5,10,1.0,495.30043519677247,False,-0.005362599323518366,0.6666666666666666,348014,0.0,0.0,11,0,0,16,13,11.430769230769231,11,27,22,204.0,31.0,13,10,22,1610,1.708095921028871,30.080269041005522
9,22,0,0,0,10.000000000000002,20,10.0,18.774203950053472,10,20.0,26.12257404754764,11,17.90909090909091,36.0,20,36.0,0,0.2,30313,2,15,1.0,301.6130592508021,False,0.02526862079310075,0,0.398,30155,3,20,1.0,405.48407900106946,False,0.021698988304800444,0,0.2,60499,0,0,0.0,0.0,False,0.004382833900556155,1,0.41700000000000004,57879,104,10,1.0,2213.7429512810377,False,-0.020737586525433435,7,0.8550000000000002,83541,60,0,0.0,1567.3544428528585,False,-0.01983381314379195,3,0.5720000000000001,85657,0,5,0.5,180.0,False,-0.0033011356371540493,0.5833333333333334,348044,0.0,0.0,13,0,0,10,6,4.833333333333334,14,24,25,132.0,54.0,9,13,25,805,1.5371297670062631,31.617398808011785
