index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,39.0,0,,49.0,0,,0,0.2,38686,0,10,1.0,170.0,False,-0.00038673748259681327,0,0.2,38686,10,0,0.0,100.0,False,-0.0012891249419893776,0,0.2,56241,0,0,0.0,0.0,False,0.0,0,0.2,56241.0,0,0,0.0,0.0,False,0.0,0,0.2,90759,0,0,0.0,0.0,False,0.0,0,0.2,90759,0,0,0.0,0.0,False,0.0,0,0.2,113126,0,0,0.0,0.0,False,0.0,0,0.2,113126,0,0,0.0,0.0,False,0.0,0.125,597624,0.0,0.0,8,0,0,0,0,0.0,711,711,217,0.0,0.0,0,0,217,200,6.745237739756703,6.745237739756703
1,217,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,38.03508771929825,12,34.416666666666664,49.0,0,,0,0.2,38606,0,18,0.8,306.0,False,-0.000696127468674264,0,0.2,38566,22,0,0.0,220.0,False,-0.0028360748723766306,0,0.2,56241,0,0,0.0,0.0,False,0.0,0,0.2,56241.0,0,0,0.0,0.0,False,0.0,0,0.2,90759,0,0,0.0,0.0,False,0.0,12,0.32000000000000006,90528,0,0,0.0,0.0,False,-0.0025452021287145077,0,0.2,113126,0,0,0.0,0.0,False,0.0,0,0.2,112713,12,0,0.0,456.42105263157896,False,-0.0016334836702810458,0.1,596780,0.0,0.0,9,0,0,24,3,3.0,117,141,57,1988.0,511.0,125,92,57,200,15.929115477018058,22.67435321677476
2,57,0,0,0,10.0,20,10.0,17.0,0,,22.1875,19,13.157894736842104,34.84033613445377,32,29.71875,49.0,0,,0,0.2,38536,0,25,0.7,425.0,False,-0.0009668437064920332,0,0.2,38436,35,0,0.0,350.0,False,-0.004511937296962821,0,0.2,56241,0,0,0.0,0.0,False,0.0,19,0.39,55754.0,0,0,0.0,0.0,False,-0.008659163243896801,0,0.2,90717,0,3,0.3,104.52100840336132,False,0.00011305219539307733,32,0.6280000000000001,88981,16,0,0.0,355.0,False,-0.017634614748950516,0,0.2,112879,3,10,1.0,594.5210084033613,False,0.00044428782244294244,0,0.2,112009,31,0,0.0,1080.050420168067,False,-0.00510028454922803,0.25,593553,0.0,0.0,9,0,0,12,10,10.0,48,60,61,748.0,57.0,45,12,61,200,6.301778216846287,28.97613143362105
3,61,0,0,0,10.0,20,10.0,14.765625,19,9.473684210526315,21.191950464396285,7,13.0,33.44774408669375,21,28.476190476190474,49.0,0,,0,0.2,38446,0,34,0.9,502.03125,False,-0.0022942395451967207,19,0.39,38004,46,0,0.0,460.0,False,-0.01423193935956273,0,0.2,56151,0,10,1.0,211.91950464396285,False,0.0002837743340619505,7,0.44100000000000006,55538.0,9,0,0.0,132.890625,False,-0.011318338711971694,2,0.22000000000000003,90773,0,0,0.0,0.0,False,0.00015425467446754593,16,0.756,88434,23,0,0.0,487.41486068111453,False,-0.022932079128895718,0,0.2,112719,1,20,1.0,1013.4477440866938,False,0.0008815291979151783,0,0.2,111571,44,0,0.0,1471.7007398145251,False,-0.007241037693304274,0.3625,591636,0.0,0.0,9,0,0,16,10,9.4,35,51,23,515.0,175.0,34,27,23,200,4.153459242545068,33.12959067616612
4,23,0,0,0,10.0,20,10.0,13.223860589812334,17,8.0,18.506208911614323,24,12.0,32.08538103004491,43,29.348837209302324,49.0,20,49.0,0,0.2,38346,0,44,1.0,581.8498659517427,False,-0.0038435277425907547,17,0.5410000000000001,37683,56,0,0.0,560.0,False,-0.021218996545145155,0,0.2,56151,0,10,0.0,185.06208911614323,False,4.500354826672659e-05,24,0.6740000000000002,54946.0,26,0,0.0,343.8203753351207,False,-0.01996923618592196,2,0.23800000000000002,90795,0,0,0.0,0.0,False,0.00039665487720226094,41,1.1500000000000001,86060,47,0,0.0,869.7918188458732,False,-0.046982713456264,0,0.2,112978,8,16,1.0,1040.6830482403593,False,0.003291387692662808,6,0.26,110654,70,0,0.0,2245.9766721031433,False,-0.01192485957205623,0.25,587613,0.0,0.0,12,0,0,4,12,12.0,25,29,34,204.0,63.0,12,11,34,886,2.2983576776459813,35.4279483538121
5,34,0,0,0,10.0,20,10.0,12.986364914253587,4,9.0,17.065493262901597,23,12.434782608695652,31.77725503583371,23,30.217391304347824,49.0,20,49.0,0,0.2,38236,1,54,1.0,711.2637053696936,False,-0.005011296532644559,4,0.5640000000000001,37545,65,0,0.0,650.0,False,-0.0236167689372454,0,0.2,56151,0,10,0.0,170.65493262901597,False,-8.308055840924366e-05,23,0.8800000000000001,54357.0,30,0,0.0,389.5909474276076,False,-0.030035108306861433,5,0.28600000000000003,90732,0,5,0.5,158.88627517916856,False,0.0005778285083526719,18,1.2890000000000001,85218,65,0,0.0,1109.2570620886038,False,-0.05494079340842996,0,0.2,113289,10,15,1.0,1052.7725503583372,False,0.006093968452691467,9,0.3440000000000001,110034,81,0,0.0,2573.9576579025306,False,-0.015955847206201357,0.3125,585562,0.0,0.0,12,0,0,10,13,13.0,25,35,37,280.0,107.0,17,17,37,739,2.615376202389598,38.043324556201696
6,37,0,0,0,10.0,20,10.0,14.285262231027463,45,16.133333333333333,16.0993038407597,23,12.434782608695652,30.968250107675065,15,24.2,49.0,20,49.0,0,0.2,38670,1,43,1.0,624.266275934181,False,0.005056802402080345,24,0.8000000000000003,37133,75,0,0.0,750.0,False,-0.03295003351724849,0,0.2,56151,0,10,0.0,160.993038407597,False,-0.00016897780615921063,23,1.0870000000000004,53078.0,75,0,0.0,1071.3946673270598,False,-0.04671507736947196,0,0.281,90778,0,8,0.5,247.74600086140052,False,0.00157420201225994,13,1.401,84539,83,0,0.0,1336.242218783055,False,-0.0611716622110035,0,0.2,113318,15,17,1.0,1297.523751615126,False,0.007432083480433937,12,0.45500000000000007,109796,81,0,0.0,2508.4282587216803,False,-0.018349326155253046,0.3125,583463,0.0,0.0,14,0,0,13,11,11.0,23,36,33,290.0,93.0,20,17,33,1242,2.5661360705271363,40.60946062672883
7,33,0,0,0,10.0,20,10.0,13.50046912598084,14,8.0,14.81575823168392,47,12.106382978723405,32.63424641514431,51,36.76470588235294,49.00000000000001,20,49.0,0,0.2,38570,1,53,1.0,725.5248636769845,False,0.003783902228600306,14,0.9160000000000001,36851,85,0,0.0,850.0,False,-0.03893157324807921,0,0.2,56151,0,10,0.0,148.1575823168392,False,-0.0002830890069803287,47,1.5340000000000003,51234.0,89,0,0.0,1201.5417522122948,False,-0.07834549748215458,0,0.281,91086,0,4,0.0,130.53698566057724,False,0.004322089190386535,47,1.8580000000000003,81536,130,0,0.0,1926.0485701189098,False,-0.0910099903584278,0,0.2,113403,13,22,1.0,1502.2452033968761,False,0.009088296251069107,15,0.5930000000000001,107737,124,0,0.0,4046.6465554778947,False,-0.029751575431475087,0.25,576568,0.0,0.0,10,0,0,10,17,17.0,22,32,30,202.0,86.0,15,18,30,753,3.864848433062434,44.47430905979127
8,30,0,0,0,10.0,20,10.0,12.460999556777933,54,10.518518518518519,14.35054212123508,32,12.4375,32.78973409145986,42,33.38095238095238,49.00000000000001,20,49.0,1,0.21000000000000002,39017,1,10,1.0,134.60999556777932,False,0.00769104825926595,0,0.9020000000000004,36751,95,0,0.0,950.0,False,-0.04022069819006858,0,0.2,56151,0,10,0.0,143.5054212123508,False,-0.00032444816759703344,32,1.8070000000000004,49752.0,143,0,0.0,1781.9229366192444,False,-0.09953661086556742,3,0.31100000000000005,91416,0,4,0.4,131.15893636583945,False,0.007961518617249131,35,2.1610000000000005,79511,158,0,0.0,2267.3856551551426,False,-0.11144136859619903,0,0.2,113870,14,18,1.0,1341.0562772804383,False,0.012504005610029704,6,0.6380000000000001,106472,155,0,0.0,5082.4087841762785,False,-0.03635588289086381,0.3,572940,0.0,0.0,15,0,0,12,13,11.622727272727271,24,36,33,288.0,63.0,19,11,33,1298,2.4274081019684672,46.901717161759734
9,33,0,0,0,10.000000000000002,20,10.0,13.33578939545598,15,21.466666666666665,14.12403346248423,27,12.88888888888889,33.820081632222575,28,40.5,49.00000000000001,20,49.0,1,0.21900000000000003,39162,3,10,1.0,163.35789395455978,False,0.011800106919436846,4,0.9420000000000002,36623,103,0,0.0,1030.0000000000002,False,-0.042489558087969885,0,0.2,56151,0,10,0.0,141.2403346248423,False,-0.00034458549256906367,27,2.0450000000000004,48661.0,158,0,0.0,2107.0547244820445,False,-0.11604474738640806,4,0.3480000000000001,91773,0,4,0.4,135.2803265288903,False,0.011917717948241398,20,2.326000000000001,78518,181,0,0.0,2556.4500567096457,False,-0.12078994889372051,0,0.2,114122,16,18,1.0,1423.1213061155613,False,0.01509432538105987,10,0.7320000000000002,105400,171,0,0.0,5783.23395911006,False,-0.04273449976526154,0.3,570410,0.0,0.0,14,0,0,15,16,14.59090909090909,22,37,32,317.0,61.0,23,10,32,918,2.5473487516865134,49.44906591344625
