index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,36.0,0,,47.0,0,,0,0.2,41596,0,10,1.0,180.0,False,-0.00023983115886415962,0,0.2,41596.0,10,0,0.0,100.0,False,-0.001199155794320798,0,0.2,59764,0,0,0.0,0.0,False,0.0,0,0.2,59764.0,0,0,0.0,0.0,False,0.0,0,0.2,84365,0,0,0.0,0.0,False,0.0,0,0.2,84365,0,0,0.0,0.0,False,0.0,0,0.2,106740,0,0,0.0,0.0,False,0.0,0,0.2,106740,0,0,0.0,0.0,False,0.0,0.125,584930,0.0,0.0,6,0,0,187,0,0.0,587,774,182,0.0,0.0,0,0,182,200,7.506484339013696,7.506484339013696
1,182,0,0,0,10.0,20,10.0,18.0,0,,25.0,0,,33.68674698795181,38,30.94736842105263,47.0,0,,0,0.2,41486,1,20,1.0,370.0,False,-0.000599577897160399,0,0.2,41506.0,19,0,0.0,190.0,False,-0.0022783960092095166,0,0.2,59764,0,0,0.0,0.0,False,0.0,0,0.2,59764.0,0,0,0.0,0.0,False,0.0,0,0.2,84365,0,0,0.0,0.0,False,0.0,38,0.5800000000000001,82820,0,0,0.0,0.0,False,-0.018313281574112487,0,0.2,106686,0,3,0.3,141.0,False,0.0001545812254075323,0,0.2,105618,35,0,0.0,1179.0361445783133,False,-0.004988588417751988,0.1625,582009,0.0,0.0,6,0,0,57,7,7.0,118,175,162,2377.0,234.0,164,18,162,200,25.456262098625302,32.962746437639
2,162,0,0,0,10.0,20,10.0,16.363636363636363,10,9.0,24.73913043478261,1,13.0,33.45723336853221,20,32.6,47.0,0,,0,0.2,41376,2,30,1.0,510.9090909090909,False,-0.0015480011163050622,10,0.30000000000000004,41266.0,28,0,0.0,280.0,False,-0.006955103607060629,0,0.2,59674,0,10,1.0,247.3913043478261,False,0.000563811862892579,1,0.21000000000000002,59747.0,0,0,0.0,0.0,False,-0.0002844521785690382,0,0.2,84365,0,0,0.0,0.0,False,0.0,20,0.7420000000000002,82330,1,0,0.0,24.73913043478261,False,-0.02397475771685661,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,0,0.2,104966,55,0,0.0,1840.1478352692714,False,-0.00800005698299944,0.25,580410,0.0,0.0,7,0,0,27,8,8.0,80,107,90,1552.0,385.0,93,69,90,200,13.419944820925593,46.38269125856459
3,90,0,0,0,10.0,20,10.0,17.496688741721854,26,19.653846153846153,22.136029411764707,13,13.846153846153847,32.66712315367309,17,28.705882352941178,47.0,0,,0,0.2,41747,1,19,1.0,342.4370860927152,False,0.005329493069991313,5,0.34,41096.0,39,0,0.0,390.0,False,-0.009713161933998465,0,0.2,59163,16,20,1.0,722.6676081028438,False,-0.004010210092172196,13,0.3390000000000001,59511.0,0,0,0.0,0.0,False,-0.004233317716350981,0,0.2,84352,0,1,0.1,32.66712315367309,False,3.95135610363315e-05,17,0.8920000000000001,81769,13,0,0.0,287.76838235294116,False,-0.029065558096645815,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,0,0.2,104478,72,0,0.0,2352.032867064462,False,-0.010174101241032104,0.2625,578802,0.0,0.0,9,0,0,17,7,7.0,50,67,43,901.0,177.0,54,36,43,661,6.719101476483047,53.10179273504764
4,43,0,0,0,10.0,20,10.0,16.560739806641447,51,15.313725490196079,18.548457087753132,34,13.382352941176471,32.56731648533848,25,32.2,47.0,8,47.0,0,0.2,42053,2,13,1.0,235.2896174863388,False,0.011383461452973209,35,0.685,40276.0,48,0,0.0,480.0,False,-0.028300076745970838,0,0.2,59018,21,30,1.0,904.2292485720643,False,-0.0049174314924363485,34,0.6660000000000001,57813.0,36,0,0.0,596.186633039092,False,-0.027657229828666998,0,0.2,84339,0,2,0.1,65.13463297067696,False,7.784408801441415e-05,25,1.1250000000000002,80691,46,0,0.0,853.2290260366441,False,-0.038492093723483334,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,8,0.28,103557,97,0,0.0,3159.0296990778324,False,-0.015022345423094295,0.2625,574433,0.0,0.0,8,0,0,19,14,14.0,23,42,31,433.0,163.0,29,14,31,616,3.8069565379992127,56.90874927304685
5,31,0,0,0,10.0,20,10.0,15.516322240291936,19,9.631578947368421,18.40370969425023,2,13.0,32.55764205472489,9,32.44444444444444,47.0,8,47.0,0,0.2,41923,5,23,1.0,406.8754115267145,False,0.010323237379205529,19,0.8400000000000001,39869.0,55,0,0.0,550.0,False,-0.037221795855717575,0,0.2,58981,16,39,1.0,966.00583392043,False,-0.005019695519707298,1,0.6420000000000001,57663.0,50,0,0.0,775.8161120145968,False,-0.02866427856222311,6,0.26,84319,0,2,0.2,65.11528410944977,False,-0.00015933571914028907,1,1.11,80676,46,0,0.0,846.5706459355107,False,-0.03870935431793093,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,8,0.35200000000000004,103144,106,0,0.0,3451.110057800838,False,-0.01752337428423818,0.275,573261,0.0,0.0,7,0,0,12,9,8.75,23,35,31,354.0,57.0,22,9,31,213,3.321554253809154,60.230303526856005
6,31,0,0,0,10.0,20,10.0,15.439229869800682,70,15.314285714285715,17.748929392871638,67,17.074626865671647,32.59668505419247,5,33.4,47.0,9,47.0,3,0.23,42433,5,10,1.0,204.3922986980068,False,0.020126538501271145,44,1.2610000000000001,38817.0,65,0,0.0,650.0,False,-0.06125287797390637,0,0.2,59437,11,28,1.0,666.8015515682133,False,0.00010710085978364918,46,1.1010000000000002,54891.0,115,0,0.0,1775.5114350270785,False,-0.06668302460488694,0,0.254,84306,0,3,0.1,97.7900551625774,False,-0.0001197768318463558,5,1.1590000000000003,79485,112,0,0.0,1987.8800920016233,False,-0.046062466117456076,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,9,0.43400000000000005,102834,111,0,0.0,3618.2320410153643,False,-0.019644781520445114,0.2625,568889,0.0,0.0,10,0,0,12,14,13.3,25,37,33,341.0,99.0,23,8,33,1117,3.4523736778646708,63.682677204720676
7,33,0,0,0,10.0,20,10.0,16.648123435789714,50,20.64,17.867533337142916,19,18.63157894736842,32.57287433089412,18,32.44444444444444,46.99999999999999,11,47.0,20,0.42700000000000005,42715,2,10,1.0,186.48123435789714,False,0.026674995615381523,20,1.4170000000000003,38318.0,78,0,0.0,780.0,False,-0.0716615502686109,0,0.2,59089,26,33,1.0,1022.4798094562489,False,-0.0027401126978093588,14,1.1950000000000003,54128.0,140,0,0.0,2330.73728101056,False,-0.07480475469337261,0,0.254,84108,0,9,0.6,293.1558689780471,False,-0.0013088610858884853,18,1.3340000000000003,78977,125,0,0.0,2233.4416671428644,False,-0.050628568321324736,0,0.2,106686,0,3,0.0,140.99999999999997,False,0.0001545812254075323,11,0.5350000000000001,102053,129,0,0.0,4201.9007886853415,False,-0.02422755860649552,0.325,566074,0.0,0.0,6,0,0,13,15,14.285714285714285,21,34,35,340.0,111.0,21,12,35,385,2.9191904170438647,66.60186762176454
8,35,0,0,0,10.0,20,10.0,15.808258763011032,96,14.114583333333334,17.213235233799367,20,13.05,32.63973857689994,22,32.95454545454545,46.99999999999999,10,47.0,8,0.48700000000000004,42917,1,10,1.0,168.0825876301103,False,0.031298956586124686,78,2.1770000000000005,35313.0,89,0,0.0,890.0,False,-0.142411742133538,0,0.2,58103,71,43,1.0,1862.555487227156,False,-0.012210063857613609,20,1.3810000000000002,53286.0,181,0,0.0,2861.294836104997,False,-0.08445473164358984,0,0.254,84095,0,10,0.1,326.39738576899936,False,-0.001265943307242341,22,1.5360000000000003,78204,144,0,0.0,2478.705873667109,False,-0.058337545939269146,0,0.2,106686,0,3,0.0,140.99999999999997,False,0.0001545812254075323,10,0.6240000000000001,101165,151,0,0.0,4928.60052511189,False,-0.029142774381150968,0.2625,559769,0.0,0.0,7,0,0,10,20,19.444444444444443,25,35,37,318.0,114.0,22,13,37,200,2.7797167114913464,69.38158433325589
9,37,0,0,0,10.000000000000002,20,10.0,15.881909648794736,44,16.318181818181817,17.213235233799367,0,,32.63973857689994,0,,47.0,12,47.0,6,0.5390000000000001,43103,4,10,1.0,198.81909648794735,False,0.036128394767938735,28,2.3790000000000004,34611.0,96,0,0.0,960.0000000000002,False,-0.15840848042977743,0,0.2,57385,105,53,1.0,2579.9019805148137,False,-0.018222491964102028,0,1.3610000000000002,53286.0,181,0,0.0,2874.625646431847,False,-0.08434320287772035,0,0.254,84095,0,10,0.0,326.39738576899936,False,-0.001265943307242341,0,1.514,78204,144,0,0.0,2478.705873667109,False,-0.058337545939269146,0,0.2,106686,0,3,0.0,141.0,False,0.0001545812254075323,12,0.7340000000000002,100939,151,0,0.0,4928.60052511189,False,-0.03126006874127838,0.25,558309,0.0,0.0,6,0,0,13,11,10.375,24,37,34,414.0,96.0,25,12,34,200,2.807519720867276,72.18910405412316
