index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,37.0,0,,0,0.2,48422.0,9,0,0.0,90.0,False,-0.0009276055408970976,0,0.2,48402,1,10,1.0,200.0,False,-0.00020613456464379948,0,0.2,76621,0,0,0.0,0.0,False,0.0,0,0.2,76621,0,0,0.0,0.0,False,0.0,0,0.2,98165,0,0,0.0,0.0,False,0.0,0,0.2,98165,0,0,0.0,0.0,False,0.0,0.16666666666666666,446396,0.0,0.0,9,0,0,210,0,0.0,632,842,168,0.0,0.0,0,0,168,200,3.924624484963715,3.924624484963715
1,168,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,37.0,0,,0,0.2,48282.0,23,0,0.0,230.0,False,-0.002370547493403694,0,0.2,48342,0,17,0.7,323.0,False,-0.00017521437994722956,0,0.2,76621,0,0,0.0,0.0,False,0.0,0,0.2,76621,0,0,0.0,0.0,False,0.0,0,0.2,98165,0,0,0.0,0.0,False,0.0,0,0.2,98165,0,0,0.0,0.0,False,0.0,0.11666666666666665,446196,0.0,0.0,8,0,0,36,0,0.0,37,73,34,969.0,1124.0,56,112,34,200,6.9782415656372905,10.902866050601006
2,34,0,0,0,10.0,20,10.0,17.73469387755102,4,3.5,29.0,0,,37.0,0,,4,0.24000000000000002,48099.0,33,0,0.0,330.0,False,-0.005112137203166227,0,0.2,48242,0,27,1.0,478.83673469387753,False,-0.0006303931533035562,0,0.2,76613,0,3,0.3,87.0,False,0.0004633194555017554,0,0.2,76615,0,1,0.1,29.0,False,0.0001109356442750682,0,0.2,98165,0,0,0.0,0.0,False,0.0,0,0.2,98165,0,0,0.0,0.0,False,0.0,0.23333333333333336,445899,0.0,0.0,8,0,0,16,3,3.0,14,30,34,93.0,84.0,12,22,34,200,1.6867259312421083,12.589591981843114
3,34,0,0,0,10.0,20,10.0,18.884940778341793,15,22.266666666666666,29.0,0,,37.0,10,37.0,4,0.276,47930.0,43,0,0.0,430.0,False,-0.007565138522427441,0,0.2,48450,0,26,1.0,491.0084602368866,False,0.003782656458576104,0,0.2,76613,0,3,0.0,87.0,False,0.0004633194555017554,0,0.2,76281,5,11,1.0,413.424703891709,False,-0.0017395707189170775,0,0.2,98165,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,98026,0,0,0.0,0.0,False,-0.0014159832934345234,0.3333333333333333,445465,0.0,0.0,7,0,0,21,6,6.0,13,34,35,141.0,126.0,17,17,35,508,1.8444478744640946,14.434039856307209
4,35,0,0,0,10.0,20,10.0,19.658161020677515,15,22.4,29.0,0,,37.0,9,37.0,3,0.30200000000000005,47757.0,55,0,0.0,550.0,False,-0.009894459102902375,0,0.2,48688,0,22,0.8,432.4795424549053,False,0.008085417447795477,0,0.2,76289,3,13,1.0,435.97448306203256,False,-0.0014880092725100271,0,0.2,76269,0,18,0.7,522.0,False,-0.0011876639563566124,0,0.2,98165,0,0,0.0,0.0,False,0.0,9,0.38000000000000006,97908,0,0,0.0,0.0,False,-0.0026180410533285796,0.4166666666666667,445076,0.0,0.0,10,0,0,17,6,6.0,18,35,36,201.0,129.0,17,18,36,518,2.053515766747296,16.487555623054504
5,36,0,0,0,10.0,20,10.0,17.433037146872334,29,12.724137931034482,26.636363636363637,10,16.0,37.00000000000001,11,37.0,19,0.4890000000000001,47206.0,65,0,0.0,650.0,False,-0.020221800791556728,0,0.2,48868,0,22,1.0,383.52681723119133,False,0.01129129717627795,0,0.2,76437,0,9,0.6,239.72727272727272,False,-0.0008370598613482936,0,0.2,75912,16,28,1.0,1024.7467761681391,False,-0.0025662235146490693,0,0.2,98165,0,0,0.0,0.0,False,0.0,11,0.4810000000000001,97587,0,10,1.0,370.00000000000006,False,-0.004003463556257322,0.6,444175,0.0,0.0,10,0,0,24,8,8.0,14,38,34,273.0,120.0,21,15,34,640,2.142748516984284,18.63030414003879
6,34,0,0,0,10.0,20,10.0,21.064985960230402,40,28.45,25.0,9,16.0,37.0,11,37.0,0,0.4700000000000001,47096.0,76,0,0.0,760.0,False,-0.021355540897097625,18,0.38000000000000006,49425,0,9,0.9,189.5848736420736,False,0.020774085521541825,0,0.2,75868,10,19,1.0,685.649859602304,False,-0.0053532983150683154,0,0.2,75487,26,29,1.0,1272.6896349659905,False,-0.006495023329335335,0,0.2,98165,0,0,0.0,0.0,False,0.0,1,0.48000000000000004,97806,0,9,0.9,333.0,False,-0.001960984057454286,0.6333333333333333,443847,0.0,0.0,16,0,0,20,3,1.9696969696969695,13,33,33,231.0,126.0,17,17,33,1162,1.7889504535123706,20.41925459355116
7,33,0,0,0,10.0,20,10.0,20.925927566419436,38,20.526315789473685,25.0,0,,37.0,13,37.0,20,0.6700000000000002,46660.0,88,0,0.0,880.0,False,-0.029106200527704486,9,0.45200000000000007,49660,0,8,0.8,167.40742053135548,False,0.025389670808576764,0,0.2,75547,13,29,1.0,997.0370583634526,False,-0.007510753851010396,0,0.2,75028,41,39,1.0,1832.9630302231967,False,-0.00882941341001024,0,0.2,98165,0,0,0.0,0.0,False,0.0,4,0.5190000000000001,98105,0,0,0.0,0.0,False,-0.0006112158101156216,0.4666666666666666,443165,0.0,0.0,11,0,0,13,6,5.25,18,31,28,161.0,113.0,15,18,28,683,1.6696315575391054,22.088886151090264
8,28,0,0,0,10.0,20,10.0,18.855912767486313,40,11.999999999999998,25.0,0,,37.0,12,37.0,29,0.9400000000000002,45944.0,99,0,0.0,990.0,False,-0.04273169525065963,3,0.47300000000000003,49820,0,9,0.9,169.7032149073768,False,0.02871148597158825,0,0.2,75228,14,39,1.0,1238.9827787448085,False,-0.010095256008504189,0,0.2,74867,60,49,1.0,2356.3547660491786,False,-0.007515206235567342,0,0.2,98165,0,0,0.0,0.0,False,0.0,12,0.6350000000000001,97939,0,0,0.0,0.0,False,-0.0023022462181021748,0.48333333333333334,441963,0.0,0.0,8,0,0,16,7,6.2727272727272725,16,32,23,161.0,54.0,15,13,23,200,1.4789690561592579,23.567855207249522
9,23,0,0,0,10.000000000000002,20,10.0,18.391489094795087,36,16.38888888888889,26.270962047661076,4,43.0,37.0,11,37.0,25,1.161,45365.0,110,0,0.0,1100.0000000000002,False,-0.05353314643799472,2,0.49000000000000005,50003,0,9,0.9,165.52340185315578,False,0.032440668307358624,0,0.2,74989,24,49,1.0,1728.6728786104748,False,-0.01001897078731376,0,0.2,74688,66,55,1.0,2658.7411928778347,False,-0.007878119622049793,0,0.2,98165,0,0,0.0,0.0,False,0.0,11,0.7330000000000001,97603,0,4,0.4,148.0,False,-0.004971221922273723,0.5499999999999999,440813,0.0,0.0,9,0,0,11,12,11.181818181818182,11,22,23,78.0,63.0,7,16,23,372,1.219983346760273,24.787838554009795
