index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,25.0,0,,0,0.2,45741,0,10,1.0,150.0,False,-0.0005453633210444798,0,0.2,45741,0,10,1.0,150.0,False,-0.0005453633210444798,0,0.2,58448,0,0,0.0,0.0,False,0.0,0,0.2,58448,0,0,0.0,0.0,False,0.0,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,0.2,73837,0,0,0.0,0.0,False,0.0,0.3333333333333333,356052,0.0,0.0,9,0,0,246,0,0.0,753,999,176,0.0,0.0,0,0,176,200,9.884965072385967,9.884965072385967
1,176,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,25.0,0,,0,0.2,45651,0,19,0.9,285.0,False,-0.0010361903099845118,0,0.2,45631,1,20,1.0,310.0,False,-0.0011997993062978557,0,0.2,58448,0,0,0.0,0.0,False,0.0,0,0.2,58448,0,0,0.0,0.0,False,0.0,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,0.2,73837,0,0,0.0,0.0,False,0.0,0.31666666666666665,355852,0.0,0.0,10,0,0,72,0,0.0,96,168,132,2628.0,150.0,146,30,132,200,9.638156422413886,19.523121494799852
2,132,0,0,0,10.0,20,10.0,14.847826086956522,1,8.0,20.0,0,,25.0,0,,0,0.2,45569,0,27,0.9,400.89130434782606,False,-0.0015609246706242863,0,0.2,45521,2,30,1.0,465.4347826086956,False,-0.0019040293339075425,0,0.2,58448,0,0,0.0,0.0,False,0.0,0,0.2,58440,0,1,0.1,20.0,False,3.421845058855735e-05,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,0.2,73837,0,0,0.0,0.0,False,0.0,0.3333333333333333,355652,0.0,0.0,11,0,0,62,0,0.0,17,79,128,222.0,219.0,59,73,128,208,10.64428443647921,30.167405931279063
3,128,0,0,0,10.0,20,10.0,16.125,9,22.0,17.864406779661017,14,11.0,25.0,10,25.0,0,0.2,45677,0,27,0.9,435.375,False,0.0011711677319430204,0,0.2,45411,3,40,1.0,675.0,False,-0.0020178442878645755,7,0.27,58159,0,9,0.9,160.77966101694915,False,-0.0035691583885081937,6,0.26,58373,0,0,0.0,0.0,False,-0.0012831918970709006,0,0.2,73837,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,73588,4,10,1.0,321.45762711864404,False,-0.0011954871736483575,0.6333333333333333,355045,0.0,0.0,12,0,0,56,7,6.857142857142858,22,78,113,605.0,399.0,55,73,113,398,7.526181661523879,37.69358759280294
4,113,0,0,0,10.0,20,10.0,17.43368745716244,13,22.0,17.864406779661017,0,,25.0,8,25.0,0,0.2,45567,1,37,1.0,655.0464359150102,False,0.0011675839959316599,0,0.2,45607,2,37,1.0,665.0464359150102,False,0.0021492379738117236,0,0.263,58159,0,9,0.0,160.77966101694915,False,-0.0035691583885081937,0,0.254,58087,3,10,1.0,230.94513016809748,False,-0.004200784199903363,0,0.2,73837,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,73788,0,6,0.4,150.0,False,0.00035212698240719425,0.5666666666666667,355045,0.0,0.0,13,0,0,38,0,0.0,27,65,105,669.0,449.0,43,70,105,686,4.944648009724915,42.63823560252786
5,105,0,0,0,10.0,20,10.0,19.660635558503373,50,22.0,17.864406779661017,0,,25.0,9,25.0,0,0.2,46009,4,21,1.0,452.8733467285708,False,0.00860445176510726,0,0.2,46065,0,22,0.9,432.5339822870742,False,0.009604218737451995,0,0.263,57609,15,19,1.0,634.33326219111,False,-0.008928164674658581,0,0.254,57537,18,20,1.0,711.179575646281,False,-0.009502638450877005,0,0.2,73837,0,0,0.0,0.0,False,0.0,3,0.32000000000000006,73921,0,0,0.0,0.0,False,0.0011376410200847813,0.65,354978,0.0,0.0,18,0,0,46,2,2.0,14,60,104,581.0,218.0,37,68,104,1450,4.505745614878833,47.14398121740669
6,104,0,0,0,10.0,20,10.0,20.511213437900476,46,22.217391304347824,17.864406779661017,0,,24.999999999999996,11,25.0,0,0.2,46237,2,17,1.0,368.6906284443081,False,0.01265996191667187,10,0.30000000000000004,46479,2,10,1.0,225.11213437900477,False,0.01637302997730198,0,0.263,57059,30,29,1.0,1133.4041997471836,False,-0.014068880032275018,0,0.254,57065,29,30,1.0,1130.7573930889444,False,-0.013988867086222382,0,0.2,73837,0,0,0.0,0.0,False,0.0,11,0.42700000000000005,73805,0,0,0.0,0.0,False,-0.0004333870552703929,0.6666666666666666,354482,0.0,0.0,14,0,0,27,8,7.909090909090909,26,53,92,543.0,594.0,31,73,92,980,4.075506455264986,51.219487672671676
7,92,0,0,0,10.0,20,10.0,20.891750583037897,31,22.419354838709676,17.864406779661017,0,,24.999999999999993,8,25.0,1,0.21000000000000002,46515,2,10,1.0,228.91750583037896,False,0.017199859359856687,3,0.32000000000000006,46624,2,10,1.0,228.91750583037896,False,0.01957764343961062,0,0.263,56584,41,39,1.0,1553.2736383113333,False,-0.018603941637769152,0,0.254,56845,29,40,1.0,1320.4370380945397,False,-0.01613026076089402,0,0.2,73837,0,0,0.0,0.0,False,0.0,8,0.49600000000000005,73737,0,0,0.0,0.0,False,-0.0013543345477199779,0.6666666666666666,354142,0.0,0.0,12,0,0,36,6,4.330769230769231,18,54,75,576.0,375.0,32,60,75,376,4.831680081784725,56.0511677544564
8,75,0,0,0,10.0,20,10.0,21.22603785866289,32,22.6875,17.864406779661017,0,,24.999999999999993,10,25.0,0,0.20900000000000002,46625,3,10,1.0,242.26037858662892,False,0.019744992240424763,12,0.43700000000000006,46806,1,10,1.0,222.26037858662892,False,0.023475277356369006,0,0.263,56157,50,49,1.0,1936.6578251365345,False,-0.022629877625098136,0,0.254,56546,32,50,1.0,1572.4535504602634,False,-0.019090015479911477,0,0.2,73837,0,0,0.0,0.0,False,0.0,10,0.5880000000000001,73639,0,0,0.0,0.0,False,-0.0026815824044855562,0.6666666666666666,353610,0.0,0.0,9,0,0,38,8,7.230769230769231,12,50,75,459.0,321.0,28,47,75,420,4.046037615276873,60.097205369733274
9,75,0,0,0,10.000000000000002,20,10.0,20.625588081556675,35,17.97142857142857,17.864406779661017,0,,24.999999999999993,11,25.0,12,0.32900000000000007,46669,0,10,1.0,206.25588081556674,False,0.020312121035923884,3,0.45500000000000007,46921,4,10,1.0,246.25588081556674,False,0.026245673968887825,0,0.263,55858,53,59,1.0,2147.1561683225036,False,-0.025944804199266862,0,0.254,56216,44,60,1.0,1979.3902823681547,False,-0.021254873713658667,0,0.2,73837,0,0,0.0,0.0,False,0.0,11,0.6880000000000001,73529,0,0,0.0,0.0,False,-0.004171350406977531,0.6666666666666666,353030,0.0,0.0,10,0,0,33,7,5.776223776223777,23,56,55,582.0,318.0,34,41,55,200,3.8401642506942153,63.93736962042749
