index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,22.0,0,,31.0,0,,0,0.2,44193,0,10,1.0,170.0,False,-0.0003386539633802181,0,0.2,44193,0,10,1.0,170.0,False,-0.0003386539633802181,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.2,93014,0,0,0.0,0.0,False,0.0,0,0.2,93014,0,0,0.0,0.0,False,0.0,0.3333333333333333,394954,0.0,0.0,6,0,0,3,0,0.0,461,464,94,0.0,0.0,0,0,94,200,2.039157025516033,2.039157025516033
1,94,0,0,0,10.0,20,10.0,17.0,0,,22.0,0,,31.0,0,,0,0.2,44093,0,20,1.0,340.0,False,-0.0006773079267604362,0,0.2,44093,0,20,1.0,340.0,False,-0.0006773079267604362,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.2,93014,0,0,0.0,0.0,False,0.0,0,0.2,93014,0,0,0.0,0.0,False,0.0,0.3333333333333333,394754,0.0,0.0,5,0,0,32,0,0.0,20,52,35,720.0,762.0,40,54,35,200,3.568044872954488,5.607201898470521
2,35,0,0,0,10.0,20,10.0,17.0,0,,21.53191489361702,2,11.0,31.0,0,,0,0.2,43993,0,30,1.0,510.0,False,-0.0010159618901406542,0,0.2,43993,0,30,1.0,510.0,False,-0.0010159618901406542,0,0.2,60270,0,0,0.0,0.0,False,0.0,2,0.22000000000000003,60238,0,0,0.0,0.0,False,-0.0005309440849510536,0,0.2,93003,0,1,0.1,31.0,False,4.837981379147225e-05,0,0.2,93003,0,1,0.1,31.0,False,4.837981379147225e-05,0.3666666666666667,394500,0.0,0.0,6,0,0,10,2,2.0,8,18,35,93.0,97.0,6,29,35,200,1.5640741540119052,7.171276052482426
3,35,0,0,0,10.0,20,10.0,18.517241379310345,13,23.76923076923077,21.53191489361702,0,,31.0,20,31.0,0,0.2,44183,1,28,1.0,528.4827586206897,False,0.003482296961378724,0,0.2,43912,0,38,0.9,703.6551724137931,False,-0.0006586235701601029,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.21800000000000003,59929,3,10,1.0,270.87087307410127,False,-0.003410727782693666,11,0.31000000000000005,92911,0,0,0.0,0.0,False,-0.0011073601823381426,7,0.27,92972,0,0,0.0,0.0,False,-0.00045154492872040766,0.48333333333333334,394177,0.0,0.0,9,0,0,12,5,4.666666666666666,11,23,28,123.0,72.0,11,24,28,540,1.5201909905299544,8.69146704301238
4,28,0,0,0,10.0,20,10.0,18.338345864661655,1,9.0,21.53191489361702,0,,31.0,20,31.0,0,0.2,44113,0,36,0.8,660.1804511278195,False,0.003388576650123235,0,0.2,43791,3,47,1.0,891.9022556390978,False,-0.0012654115137933854,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.21800000000000003,59920,0,14,0.4,301.4468085106383,False,-0.0033063978056194245,9,0.389,92816,0,0,0.0,0.0,False,-0.002128711806824779,11,0.37300000000000005,92847,0,0,0.0,0.0,False,-0.0017954286451501923,0.3666666666666667,393757,0.0,0.0,7,0,0,11,6,6.0,6,17,25,60.0,69.0,5,23,25,209,1.206100756302476,9.897567799314857
5,25,0,0,0,10.0,20,10.0,17.96391339214114,2,9.0,21.53191489361702,0,,31.0,20,31.0,0,0.2,44041,0,43,0.9,772.4482758620691,False,0.003030369086109233,0,0.2,43681,4,57,1.0,1063.943063352045,False,-0.0018067971987442853,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.21800000000000003,59902,0,16,0.2,344.51063829787233,False,-0.0032477962643282714,4,0.42000000000000004,92792,0,0,0.0,0.0,False,-0.002386737480379298,16,0.522,92609,0,0,0.0,0.0,False,-0.004354183241232503,0.35000000000000003,393295,0.0,0.0,7,0,0,7,6,6.0,7,14,34,36.0,84.0,2,23,34,218,1.2701864745467901,11.167754273861647
6,34,0,0,0,10.0,20,10.0,20.34292478601348,21,25.428571428571427,21.53191489361702,0,,31.0,20,31.0,0,0.2,44175,0,44,1.0,895.0886905845931,False,0.007440099909518414,0,0.2,43881,4,55,1.0,1158.8608632307414,False,0.0037800652838004215,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.21800000000000003,59368,11,26,1.0,783.6019598801909,False,-0.00846522349526967,11,0.526,92673,0,0,0.0,0.0,False,-0.003666114778420453,9,0.5960000000000001,92514,0,0,0.0,0.0,False,-0.005375534865719139,0.5,392881,0.0,0.0,8,0,0,10,6,6.0,7,17,36,90.0,117.0,5,29,36,734,1.4892666367813945,12.657020910643041
7,36,0,0,0,10.0,20,10.0,21.972759619124453,24,26.0,21.53191489361702,0,,31.0,20,31.0,0,0.2,44437,0,37,0.5,812.9921059076048,False,0.012428511343864725,0,0.2,44043,9,53,1.0,1254.556259813596,False,0.008517782265974331,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.21800000000000003,58744,25,36,1.0,1324.467926648324,False,-0.014331608373582803,9,0.6050000000000001,92583,0,0,0.0,0.0,False,-0.0046337110542498975,11,0.6970000000000001,92389,0,0,0.0,0.0,False,-0.006719418582148924,0.4166666666666667,392466,0.0,0.0,9,0,0,9,6,6.0,10,19,26,78.0,135.0,6,30,26,824,1.5048583839088678,14.161879294551909
8,26,0,0,0,10.0,20,10.0,22.52841656192094,12,26.0,21.53191489361702,0,,31.0,20,31.0,0,0.2,44327,1,47,1.0,1068.8355784102844,False,0.012833129144676242,0,0.2,44265,8,51,1.0,1228.949244657968,False,0.013240797018241799,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.21800000000000003,58432,27,46,1.0,1598.7353322782483,False,-0.017232990440698162,9,0.6860000000000002,92487,0,0,0.0,0.0,False,-0.005665813748467973,11,0.796,92275,0,0,0.0,0.0,False,-0.007945040531532888,0.5,392056,0.0,0.0,7,0,0,12,6,6.0,8,20,25,108.0,90.0,6,20,25,512,1.4439727794378996,15.605852073989809
9,25,0,0,0,10.000000000000002,20,10.0,22.989882943354985,12,26.0,25.51683748169839,26,32.0,31.0,20,31.0,0,0.2,44569,0,43,0.8,988.5649665642643,False,0.017390614392390112,0,0.2,44135,11,61,1.0,1512.3828595446541,False,0.013505326570165194,0,0.2,60270,0,0,0.0,0.0,False,0.0,0,0.21800000000000003,58952,29,30,1.0,1432.2117298082462,False,-0.009986629087371454,11,0.7870000000000001,91541,16,10,1.0,718.2693997071742,False,-0.0119752435133035,9,0.8750000000000002,92182,0,0,0.0,0.0,False,-0.008944890016556647,0.6333333333333333,391649,0.0,0.0,7,0,0,14,5,5.0,9,23,25,150.0,75.0,10,15,25,1344,1.49094626493752,17.09679833892733
