index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,14,10.0,18.0,0,,25.0,0,,34.0,0,,0,0.2,44569,1,10,1.0,190.0,False,-0.00033572819445377023,0,0.2,44649,0,3,0.3,54.0,False,-6.714563889075404e-05,0,0.2,67765.0,0,0,0.0,0.0,False,0.0,0,0.2,67765.0,0,0,0.0,0.0,False,0.0,0,0.2,85784,0,0,0.0,0.0,False,0.0,0,0.2,85784,0,0,0.0,0.0,False,0.0,0.21666666666666667,396316,0.0,0.0,5,0,0,180,0,0.0,547,727,218,0.0,0.0,0,0,218,140,4.742067273007706,4.742067273007706
1,218,0,0,0,10.0,20,10.0,18.0,0,,21.462365591397848,48,18.145833333333332,34.0,0,,0,0.2,44429,5,20,1.0,410.0,False,-0.0010071845833613106,0,0.2,44589,0,9,0.6,162.0,False,-0.00020143691667226215,31,0.51,66812.0,0,0,0.0,0.0,False,-0.014063307016896629,17,0.37000000000000005,67519.0,0,0,0.0,0.0,False,-0.003630192577289161,0,0.2,85784,0,0,0.0,0.0,False,0.0,0,0.2,84913,48,0,0.0,1030.1935483870966,False,-0.004148829919407517,0.26666666666666666,394046,0.0,0.0,7,0,0,54,13,13.0,176,230,94,3129.0,39.0,215,3,94,200,12.65500869101379,17.397075964021496
2,94,0,0,0,10.0,17,10.0,18.680851063829788,2,34.0,21.59355290819902,59,21.779661016949152,34.0,0,,0,0.2,44309,7,30,1.0,630.4255319148937,False,-0.0012262412776148275,0,0.2,44607,0,12,0.5,224.17021276595744,False,0.0008971800260295875,9,0.5690000000000002,66596.0,2,0,0.0,37.361702127659576,False,-0.01697512209748636,50,0.8530000000000002,65914.0,0,0,0.0,0.0,False,-0.027314985612041615,0,0.2,85784,0,0,0.0,0.0,False,0.0,0,0.2,83628,107,0,0.0,2310.5101611772952,False,-0.01166586915288816,0.25,390838,0.0,0.0,7,0,0,36,8,8.0,34,70,23,832.0,132.0,54,40,23,238,5.002473655040376,22.399549619061872
3,23,0,0,0,10.0,18,10.0,20.50088809946714,14,26.0,18.806831157225833,73,13.904109589041095,34.0,20,34.0,0,0.2,44563,8,26,1.0,613.0230905861456,False,0.004264006474922659,0,0.2,44537,0,19,0.7,389.5168738898757,False,0.0011808329851818438,46,1.0200000000000002,64618.0,2,0,0.0,41.00177619893428,False,-0.04613737345090438,27,1.0730000000000002,64920.0,14,0,0.0,287.01243339253995,False,-0.03986562064935782,11,0.31000000000000005,85501,12,10,1.0,565.68197388671,False,-1.8536446965329403e-06,9,0.29000000000000004,82642,158,0,0.0,2971.4793228416816,False,-0.019307333985115627,0.45,386781,0.0,0.0,7,0,0,12,19,19.0,19,31,22,269.0,23.0,18,5,22,544,2.021722798002884,24.421272417064756
4,22,0,0,0,9.999999999999998,9,10.0,20.68941979522184,5,22.6,17.852748923688743,41,13.634146341463415,34.0,20,34.0,0,0.2,44505,7,34,1.0,773.4402730375426,False,0.00476107649049379,0,0.2,44618,0,16,0.0,331.03071672354946,False,0.002339250170365767,24,1.2140000000000002,63859.0,4,0,0.0,82.75767918088737,False,-0.05702975223802197,17,1.2160000000000002,64537.0,17,0,0.0,351.7201365187713,False,-0.0450400639229782,2,0.31900000000000006,85688,12,10,1.0,554.2329870842649,False,0.0021113085603623716,8,0.36100000000000004,82134,189,0,0.0,3374.1695465771727,False,-0.022882066897223392,0.3333333333333333,385341,0.0,0.0,10,0,0,15,12,12.0,16,31,19,235.0,17.0,18,4,19,543,1.9620781629928388,26.383350580057595
5,19,0,0,0,9.999999999999996,9,10.0,23.56301030549524,48,26.5625,17.491928119626046,39,15.64102564102564,34.0,20,34.0,11,0.31000000000000005,45343,6,10,1.0,295.6301030549524,False,0.018169946765314256,0,0.2,44723,0,13,0.0,306.31913397143813,False,0.004412801696226857,21,1.4000000000000001,63234.0,7,0,0.0,164.94107213846667,False,-0.06564641723501466,18,1.379,62999.0,62,0,0.0,1460.9066389407049,False,-0.059552079694970055,1,0.32700000000000007,85901,12,10,1.0,549.9031374355126,False,0.0045690521393006,9,0.44300000000000006,81538,218,0,0.0,3813.240330078478,False,-0.02727058466568087,0.3333333333333333,383738,0.0,0.0,10,0,0,12,14,13.020833333333334,18,30,12,226.0,25.0,15,4,12,1221,1.835167890007142,28.218518470064737
6,12,0,0,0,9.999999999999996,10,10.0,23.56301030549524,0,,16.298123949293053,80,13.0875,34.0,20,34.0,0,0.29900000000000004,45243,6,20,1.0,531.2602061099047,False,0.01856868110420894,0,0.2,44723,0,13,0.0,306.31913397143813,False,0.004412801696226857,37,1.7490000000000003,61634.0,7,0,0.0,164.94107213846667,False,-0.08925742586778969,43,1.7910000000000006,61676.0,62,0,0.0,1460.9066389407049,False,-0.0790754324581959,0,0.32600000000000007,85968,39,12,1.0,1043.6268340224292,False,0.008227797922820305,12,0.554,80529,261,0,0.0,4253.810350765487,False,-0.036464781598168225,0.3333333333333333,379773,0.0,0.0,7,0,0,13,17,17.0,13,26,15,151.0,3.0,11,1,15,372,1.7731305390479974,29.991649009112734
7,15,0,0,0,9.999999999999998,10,10.0,24.16873825066012,9,30.11111111111111,15.747003455575342,34,11.441176470588236,34.0,20,34.0,0,0.29900000000000004,45143,6,30,1.0,785.0621475198036,False,0.019170775392464007,0,0.2,44994,0,4,0.0,96.67495300264048,False,0.008132175664211852,18,1.8920000000000003,60956.0,11,0,0.0,265.8561207572613,False,-0.09851799512464204,16,1.9080000000000004,61261.0,67,0,0.0,1619.305462794228,False,-0.08403080157312601,0,0.32600000000000007,86068,48,15,1.0,1265.8561658676165,False,0.010688800742956838,13,0.6720000000000002,80087,276,0,0.0,4346.172953738795,False,-0.04107891358680639,0.3333333333333333,378509,0.0,0.0,9,0,0,14,9,9.0,14,28,13,181.0,6.0,13,2,13,609,1.5431876640068367,31.53483667311957
8,13,0,0,0,10.0,11,10.0,21.63733180130175,23,12.0,15.760175903823168,44,15.840909090909092,34.0,20,34.0,0,0.29900000000000004,45185,7,21,1.0,524.3839678273368,False,0.0171935805168797,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,16,2.0340000000000007,60417.0,15,0,0.0,324.5599770195263,False,-0.10603881076500017,28,2.1720000000000006,60477.0,86,0,0.0,1860.8105349119508,False,-0.09381826507111372,0,0.32600000000000007,86245,58,15,1.0,1424.0902024217437,False,0.013674404331936816,10,0.7590000000000001,79425,300,0,0.0,4728.05277114695,False,-0.04657014844757203,0.3333333333333333,376867,0.0,0.0,10,0,0,10,12,12.0,17,27,12,153.0,6.0,11,2,12,726,1.4664613049826585,33.00129797810223
9,12,0,0,0,10.0,10,10.0,22.716513637703372,19,28.36842105263158,15.377512412673546,61,13.60655737704918,33.99999999999999,20,34.0,0,0.29900000000000004,45624,7,12,1.0,342.59816365244046,False,0.024984871680794527,0,0.2,45118,0,0,0.0,0.0,False,0.009825645157680342,32,2.3380000000000005,58982.0,22,0,0.0,499.7633000294742,False,-0.12592220689124567,29,2.434000000000001,59573.0,98,0,0.0,2226.2183364949306,False,-0.1044623453368632,0,0.32600000000000007,86515,77,12,1.0,1592.0684557758627,False,0.01780092124274836,7,0.8190000000000002,78695,332,0,0.0,5105.334121007618,False,-0.052880874516182404,0.3333333333333333,374507,0.0,0.0,12,0,0,16,11,11.0,10,26,14,138.0,19.0,10,2,14,1081,1.501075757027138,34.50237373512937
