index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,24.0,0,,35.0,0,,53.0,0,,0,0.2,54487,5,0,0.0,50.0,False,-0.00045840438601316537,0,0.2,54387,15,0,0.0,150.0,False,-0.0013752131580394961,0,0.2,65898,0,0,0.0,0.0,False,0.0,0,0.2,65898,0,0,0.0,0.0,False,0.0,0,0.2,96650,0,0,0.0,0.0,False,0.0,0,0.2,96650,0,0,0.0,0.0,False,0.0,0,0.2,127403,0,0,0.0,0.0,False,0.0,0,0.2,127403,0,0,0.0,0.0,False,0.0,0.0,688776,0.0,0.0,8,0,0,0,0,0.0,830,830,248,0.0,0.0,0,0,248,200,4.6655956748872995,4.6655956748872995
1,248,0,0,0,10.0,20,10.0,18.49056603773585,8,10.0,24.0,0,,35.0,0,,53.0,0,,8,0.28,54295,13,0,0.0,130.0,False,-0.0032455030529732107,0,0.2,54267,27,0,0.0,270.0,False,-0.002475383684471093,0,0.2,65898,0,0,0.0,0.0,False,0.0,0,0.2,65818,0,8,0.8,192.0,False,0.00024279947798112235,0,0.2,96650,0,0,0.0,0.0,False,0.0,0,0.2,96650,0,0,0.0,0.0,False,0.0,0,0.2,127403,0,0,0.0,0.0,False,0.0,0,0.2,127403,0,0,0.0,0.0,False,0.0,0.1,688384,0.0,0.0,9,0,0,12,1,1.0,60,72,29,912.0,1198.0,52,196,29,200,12.542224168777466,17.207819843664765
2,29,0,0,0,10.0,20,10.0,15.93703148425787,19,9.526315789473685,24.0,0,,35.0,0,,53.0,0,,17,0.44200000000000006,53887,21,0,0.0,210.0,False,-0.009993215615087005,2,0.22000000000000003,54104,39,0,0.0,390.0,False,-0.004364009754845334,0,0.2,65787,2,10,1.0,271.8740629685157,False,0.00037841863917345987,0,0.2,65748,0,15,0.7,360.0,False,0.00045524902121460436,0,0.2,96650,0,0,0.0,0.0,False,0.0,0,0.2,96650,0,0,0.0,0.0,False,0.0,0,0.2,127403,0,0,0.0,0.0,False,0.0,0,0.2,127403,0,0,0.0,0.0,False,0.0,0.2125,687632,0.0,0.0,9,0,0,5,5,5.0,26,31,36,237.0,53.0,14,15,36,200,2.2058886867016554,19.41370853036642
3,36,0,0,0,10.0,20,10.0,13.069840852295147,16,2.3125,24.51063829787234,2,36.0,35.0,0,,53.0,0,,0,0.42500000000000004,53777,32,0,0.0,320.0,False,-0.011001705264315969,16,0.37800000000000006,53604,48,0,0.0,480.0,False,-0.012706969580284944,0,0.2,65859,0,10,0.2,245.1063829787234,False,0.0012679169548296674,0,0.2,65711,6,25,1.0,691.1850025605795,False,0.002406636032660944,0,0.2,96614,0,1,0.1,35.0,False,-0.00019141231246766683,0,0.2,96614,0,1,0.1,35.0,False,-0.00019141231246766683,0,0.2,127403,0,0,0.0,0.0,False,0.0,0,0.2,127403,0,0,0.0,0.0,False,0.0,0.175,686985,0.0,0.0,13,0,0,11,2,2.0,22,33,40,230.0,90.0,15,21,40,272,2.550311508588493,21.964020038954914
4,40,0,0,0,10.0,20,10.0,11.796014310253529,9,2.111111111111111,24.77598152424942,1,36.0,37.0,6,52.0,53.0,20,53.0,0,0.42500000000000004,53647,45,0,0.0,450.0,False,-0.012193556667950198,9,0.45200000000000007,53317,55,0,0.0,550.0,False,-0.01732768579129765,0,0.2,65876,0,18,0.9,445.9676674364896,False,0.003049923119339655,0,0.2,65711,0,31,0.6,768.055427251732,False,0.0029898891260109026,5,0.25,96707,0,0,0.0,0.0,False,0.0005897568546301086,0,0.2,96578,0,2,0.1,74.0,False,-0.0003621314019658562,10,0.30000000000000004,127075,0,3,0.3,159.0,False,-0.0019505035203252672,10,0.30000000000000004,127045,3,0,0.0,111.0,False,-0.002374355391945245,0.2375,685956,0.0,0.0,12,0,0,10,12,11.666666666666666,23,33,44,214.0,107.0,14,26,44,236,2.5049484381452203,24.468968477100134
5,44,0,0,0,10.0,20,10.0,10.318468848584189,25,6.2,22.6439863918351,11,15.090909090909092,37.0,0,,53.0,20,53.0,10,0.5250000000000001,53407,53,0,0.0,530.0,False,-0.015860791756055523,15,0.5930000000000001,52812,67,0,0.0,670.0,False,-0.025487283862331993,0,0.2,65887,15,17,1.0,539.7248013899596,False,0.003928228484855125,0,0.2,65711,0,31,0.0,701.963578146888,False,0.002488418299090127,0,0.24500000000000002,96606,0,6,0.6,222.0,False,0.0006932229694774961,0,0.2,96513,0,7,0.5,259.0,False,-7.759958613554062e-05,7,0.36000000000000004,127118,0,0,0.0,0.0,False,-0.002236995989105437,10,0.39,126846,3,0,0.0,111.0,False,-0.003936328029952199,0.2625,684900,0.0,0.0,14,0,0,16,13,13.0,18,34,44,235.0,102.0,16,28,44,525,2.607539606280625,27.07650808338076
6,44,0,0,0,10.0,20,10.0,9.924778440418317,6,4.333333333333333,23.47920705396785,3,36.0,37.35874439461883,21,38.142857142857146,53.00000000000001,20,53.0,0,0.5150000000000001,53327,61,0,0.0,610.0,False,-0.016594238773676585,6,0.6380000000000001,52566,79,0,0.0,790.0,False,-0.028897812494269946,0,0.2,65969,11,24,1.0,672.6735321398298,False,0.00618132213526837,0,0.2,65711,0,31,0.0,727.8554186730034,False,0.002684872216706258,3,0.275,96879,0,2,0.2,74.71748878923766,False,0.002755910443813929,5,0.25,96597,0,1,0.1,37.35874439461883,False,-0.00035510220178677586,11,0.4630000000000001,126410,0,9,0.9,477.00000000000006,False,-0.0059221525395791305,9,0.4700000000000001,126349,15,0,0.0,560.3811659192825,False,-0.006073714253513369,0.275,683808,0.0,0.0,16,0,0,9,13,12.555555555555555,23,32,51,198.0,127.0,13,31,51,782,3.7568140057846904,30.83332208916545
7,51,0,0,0,10.0,20,10.0,9.924778440418317,0,,24.03352244680215,2,36.0,39.87494806813461,12,52.5,53.00000000000001,20,53.0,0,0.5150000000000001,53217,72,0,0.0,720.0,False,-0.01760272842290555,0,0.6320000000000001,52476,88,0,0.0,880.0,False,-0.029722940389093642,0,0.2,66041,1,32,1.0,778.9974967380871,False,0.008080651133100386,0,0.2,65711,0,31,0.0,745.0391958508666,False,0.002815253845722707,7,0.342,96993,0,1,0.1,39.87494806813461,False,0.0037551730370829982,2,0.265,96636,0,1,0.1,39.87494806813461,False,6.143273703126522e-05,0,0.45200000000000007,126519,0,7,0.6,371.00000000000006,False,-0.005482602450491747,12,0.5810000000000001,125758,21,0,0.0,837.3739094308268,False,-0.009625464433997472,0.225,683351,0.0,0.0,13,0,0,14,10,9.0,26,40,51,330.0,111.0,20,31,51,696,2.632121244445443,33.46544333361089
8,51,0,0,0,10.0,20,10.0,9.088224801000864,19,5.473684210526316,24.855807612465302,3,36.0,41.47147548959981,9,53.0,53.00000000000001,20,53.0,5,0.5650000000000001,53087,78,0,0.0,780.0,False,-0.019436345966958212,14,0.7720000000000002,51989,102,0,0.0,1020.0,False,-0.037369125547793244,0,0.2,66009,10,40,1.0,1085.1145525086206,False,0.009917710344082007,0,0.2,65747,0,30,0.0,745.6742283739591,False,0.0033663709700899355,2,0.35500000000000004,97032,0,1,0.1,41.47147548959981,False,0.004166950209465143,5,0.31300000000000006,96663,0,2,0.2,82.94295097919962,False,0.0005635951938913363,7,0.522,126614,0,3,0.3,159.00000000000003,False,-0.005568942646562483,6,0.6290000000000002,125351,27,0,0.0,1119.7298382191948,False,-0.011711930495281977,0.2,682492,0.0,0.0,15,0,0,13,15,13.583333333333334,22,35,47,269.0,111.0,17,34,47,520,2.6059157764539123,36.071359110064805
9,47,0,0,0,10.000000000000002,20,10.0,8.715909981092517,11,5.636363636363637,25.39557835904437,2,36.0,43.374926945121054,14,52.42857142857143,53.00000000000001,20,53.0,5,0.6100000000000001,52907,89,0,0.0,890.0000000000001,False,-0.02172836789702404,6,0.8180000000000001,51762,111,0,0.0,1110.0000000000002,False,-0.040706309477969084,0,0.2,66019,11,48,1.0,1314.8627710261474,False,0.011812670877918525,0,0.2,65747,0,30,0.0,761.8673507713312,False,0.0034892360221199788,7,0.42300000000000004,97098,0,1,0.1,43.374926945121054,False,0.0048596737038029345,4,0.3480000000000001,96771,0,1,0.1,43.374926945121054,False,0.0014763317482933641,5,0.5650000000000001,126344,0,7,0.7,371.00000000000006,False,-0.006856196478889822,12,0.7430000000000001,124715,34,0,0.0,1474.7475161341158,False,-0.015310677471746687,0.2375,681363,0.0,0.0,11,0,0,14,15,14.083333333333334,22,36,43,274.0,94.0,18,29,43,431,2.3768553100526333,38.44821442011744
