index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,34.0,0,,48.0,0,,0,0.2,52371,10,0,0.0,100.0,False,-0.0009529073202340341,0,0.2,52371,10,0,0.0,100.0,False,-0.0009529073202340341,0,0.2,79854,0,0,0.0,0.0,False,0.0,0,0.2,79854,0,0,0.0,0.0,False,0.0,0,0.2,106090,0,0,0.0,0.0,False,0.0,0,0.2,106090,0,0,0.0,0.0,False,0.0,0,0.2,136096,0,0,0.0,0.0,False,0.0,0,0.2,136096,0,0,0.0,0.0,False,0.0,0.0,748822,0.0,0.0,11,0,0,316,0,0.0,980,1296,210,0.0,0.0,0,0,210,200,4.267429061233997,4.267429061233997
1,210,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,34.0,0,,48.0,0,,0,0.2,52271,20,0,0.0,200.0,False,-0.0019058146404680682,0,0.2,52271,20,0,0.0,200.0,False,-0.0019058146404680682,0,0.2,79854,0,0,0.0,0.0,False,0.0,0,0.2,79854,0,0,0.0,0.0,False,0.0,0,0.2,106090,0,0,0.0,0.0,False,0.0,0,0.2,106090,0,0,0.0,0.0,False,0.0,0,0.2,136096,0,0,0.0,0.0,False,0.0,0,0.2,136096,0,0,0.0,0.0,False,0.0,0.0,748622,0.0,0.0,11,0,0,42,0,0.0,45,87,62,1105.0,1754.0,64,146,62,200,13.249682611785829,17.517111673019826
2,62,0,0,0,10.0,20,10.0,16.452830188679247,8,2.125,30.0,0,,34.0,0,,48.0,0,,0,0.2,52121,35,0,0.0,350.0,False,-0.0033351756208191193,8,0.28,52035,25,0,0.0,250.0,False,-0.005927083531855692,0,0.2,79837,0,8,0.8,240.0,False,0.0012898539835199238,0,0.2,79854,0,0,0.0,0.0,False,0.0,0,0.2,106090,0,0,0.0,0.0,False,0.0,0,0.2,106090,0,0,0.0,0.0,False,0.0,0,0.2,136096,0,0,0.0,0.0,False,0.0,0,0.2,136096,0,0,0.0,0.0,False,0.0,0.1,748219,0.0,0.0,10,0,0,24,3,3.0,24,48,62,410.0,347.0,25,37,62,200,2.872345143929124,20.38945681694895
3,62,0,0,0,10.0,20,10.0,14.804387568555759,7,3.5714285714285716,28.352941176470587,6,16.0,34.0,0,,48.0,0,,0,0.2,52041,43,0,0.0,430.0,False,-0.004097501477006347,7,0.342,51763,37,0,0.0,370.0,False,-0.009967410569647997,0,0.2,79921,0,4,0.2,113.41176470588235,False,0.001549150729493036,0,0.2,79841,0,5,0.5,141.76470588235293,False,0.0007248522671522373,0,0.2,106042,0,3,0.3,102.0,False,2.827787727401263e-05,0,0.2,106042,0,3,0.3,102.0,False,2.827787727401263e-05,0,0.2,136096,0,0,0.0,0.0,False,0.0,0,0.2,136096,0,0,0.0,0.0,False,0.0,0.16249999999999998,747842,0.0,0.0,15,0,0,26,3,3.0,22,48,45,411.0,266.0,27,35,45,296,2.9909431664273143,23.380399983376265
4,45,0,0,0,10.0,20,10.0,13.468810064651407,8,5.25,30.08644400785855,5,46.0,34.0,0,,48.0,8,48.0,2,0.22000000000000003,51954,49,0,0.0,490.0,False,-0.005183815822073145,6,0.395,51502,51,0,0.0,510.0,False,-0.013607516532942007,0,0.2,79891,0,10,0.6,300.8644400785855,False,0.0023471863656083928,0,0.2,80059,0,2,0.2,60.1728880157171,False,0.002943953264806503,0,0.2,106042,0,3,0.0,102.0,False,2.827787727401263e-05,0,0.2,105812,0,8,0.5,272.0,False,-0.0013384861909699311,0,0.2,136096,0,0,0.0,0.0,False,0.0,8,0.28,135964,0,0,0.0,0.0,False,-0.0009699035974606161,0.1625,747320,0.0,0.0,11,0,0,20,9,9.0,21,41,41,319.0,186.0,21,24,41,430,2.5285969506949186,25.908996934071183
5,41,0,0,0,10.0,20,10.0,12.167875215191193,6,1.0,31.62708908588868,23,34.69565217391304,34.0,0,,47.99999999999999,10,48.0,0,0.21800000000000003,51834,61,0,0.0,610.0,False,-0.006327304606353986,6,0.44900000000000007,51282,59,0,0.0,590.0,False,-0.01703798288578453,0,0.2,80327,0,4,0.4,126.50835634355472,False,0.006715432892175391,11,0.31000000000000005,79964,0,2,0.2,63.25417817177736,False,0.0017735753886578861,0,0.2,105758,0,12,0.9,408.0,False,-0.0012065227636912056,0,0.2,105298,4,18,1.0,738.5083563435547,False,-0.003984784822586731,0,0.2,136096,0,0,0.0,0.0,False,0.0,10,0.372,135778,0,0,0.0,0.0,False,-0.0023365859393369385,0.3125,746337,0.0,0.0,15,0,0,18,10,9.5,23,41,45,322.0,106.0,19,22,45,640,2.513952238485217,28.4229491725564
6,45,0,0,0,10.0,20,10.0,11.342603376189075,5,2.8,34.16961093995762,15,44.666666666666664,37.58620689655172,13,50.0,47.99999999999999,8,48.0,1,0.228,51701,73,0,0.0,730.0,False,-0.007718549293895676,4,0.4830000000000001,51114,67,0,0.0,670.0,False,-0.019477425625583657,1,0.21000000000000002,80497,0,5,0.5,170.84805469978812,False,0.009121947896785223,8,0.379,80106,0,0,0.0,0.0,False,0.0031557592606506874,0,0.2,105088,5,22,1.0,997.744606423926,False,-0.0047424610876429475,0,0.2,105948,0,9,0.4,338.2758620689655,False,0.0002558010277545315,0,0.2,136096,0,0,0.0,0.0,False,0.0,8,0.44200000000000006,134996,13,0,0.0,488.6206896551724,False,-0.006287397536829927,0.2375,745546,0.0,0.0,16,0,0,12,10,8.8,29,41,49,277.0,146.0,18,27,49,850,2.5649187117815018,30.987867884337902
7,49,0,0,0,10.0,20,10.0,11.292016095501433,2,10.0,36.15754528046764,15,45.333333333333336,41.02493074792243,20,50.0,47.99999999999999,13,48.0,2,0.24700000000000003,51604,80,0,0.0,800.0,False,-0.008900154370985878,0,0.47900000000000004,50984,80,0,0.0,800.0,False,-0.0207162051418879,0,0.20900000000000002,80717,0,1,0.1,36.15754528046764,False,0.011033621016357778,10,0.4710000000000001,80151,0,1,0.1,36.15754528046764,False,0.003945685534102663,0,0.2,105358,0,22,1.0,902.5484764542936,False,-0.0026461095463554195,1,0.21000000000000002,105957,0,10,1.0,410.24930747922434,False,0.0006798440356264239,0,0.2,136096,0,0,0.0,0.0,False,0.0,13,0.5640000000000001,133701,33,0,0.0,1353.8227146814402,False,-0.01262409360054136,0.275,744568,0.0,0.0,16,0,0,18,13,12.2,28,46,39,361.0,186.0,23,26,39,1180,3.840722986496985,34.82859087083489
8,39,0,0,0,10.0,20,10.0,10.7093128386842,4,3.75,36.642770690520734,5,44.0,41.66619034009717,5,50.0,48.0,14,48.0,1,0.255,51461,93,0,0.0,930.0,False,-0.010386689790550971,3,0.5090000000000001,50848,87,0,0.0,870.0,False,-0.022641077928760647,4,0.24900000000000003,80792,0,1,0.1,36.642770690520734,False,0.011975873285561921,0,0.4610000000000001,80137,0,4,0.3,146.57108276208294,False,0.004461711891465007,0,0.2,105388,0,22,0.5,916.6561874821376,False,-0.002296841420104868,0,0.20900000000000002,105957,0,10,0.0,416.66190340097165,False,0.000710066469040266,0,0.2,136096,0,0,0.0,0.0,False,0.0,14,0.6910000000000002,133131,38,0,0.0,1583.3152329236923,False,-0.01596918633566115,0.1125,743810,0.0,0.0,12,0,0,19,11,10.8,22,41,42,260.0,124.0,18,21,42,450,2.257937495596707,37.086528366431594
9,42,0,0,0,10.000000000000002,20,10.0,9.42532371151298,9,2.7777777777777777,37.90068564059182,15,44.0,43.39745069374984,15,50.666666666666664,48.0,8,48.0,0,0.254,51341,105,0,0.0,1050.0000000000002,False,-0.011530178574831813,9,0.5960000000000001,50562,95,0,0.0,950.0000000000001,False,-0.027329381944312097,9,0.3350000000000001,80874,0,2,0.2,75.80137128118363,False,0.013247936053805575,1,0.4710000000000001,80300,0,7,0.7,265.30479948414273,False,0.007246379639618224,0,0.2,105668,0,17,0.5,737.7566617937473,False,-0.0005007226798296686,0,0.20900000000000002,105777,0,15,1.0,650.9617604062475,False,0.00011764426621847894,0,0.2,136096,0,0,0.0,0.0,False,0.0,8,0.7570000000000001,132239,53,0,0.0,2300.0648867687414,False,-0.019890133116444435,0.3,742857,0.0,0.0,15,0,0,18,11,10.0,24,42,43,280.0,133.0,19,23,43,960,2.2122540175914764,39.29878238402307
