index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,34.0,0,,42.0,0,,57.0,0,,0,0.2,40372,12,0,0.0,120.0,False,-0.0014817741776153315,0,0.2,40412,8,0,0.0,80.0,False,-0.0009878494517435543,0,0.2,76049,0,0,0.0,0.0,False,0.0,0,0.2,76049,0,0,0.0,0.0,False,0.0,0,0.2,91866,0,0,0.0,0.0,False,0.0,0,0.2,91866,0,0,0.0,0.0,False,0.0,0,0.2,122487,0,0,0.0,0.0,False,0.0,0,0.2,122487,0,0,0.0,0.0,False,0.0,0.0,661588,0.0,0.0,12,0,0,0,0,0.0,812,812,146,0.0,0.0,0,0,146,200,2.8863282511010766,2.8863282511010766
1,146,0,0,0,10.0,20,10.0,21.0,0,,34.0,0,,42.0,0,,57.0,0,,0,0.2,40272,22,0,0.0,220.0,False,-0.0027165859922947742,0,0.2,40312,18,0,0.0,180.0,False,-0.0022226612664229973,0,0.2,76049,0,0,0.0,0.0,False,0.0,0,0.2,76049,0,0,0.0,0.0,False,0.0,0,0.2,91866,0,0,0.0,0.0,False,0.0,0,0.2,91866,0,0,0.0,0.0,False,0.0,0,0.2,122487,0,0,0.0,0.0,False,0.0,0,0.2,122487,0,0,0.0,0.0,False,0.0,0.0,661388,0.0,0.0,9,0,0,24,0,0.0,44,68,44,847.0,591.0,49,97,44,200,7.53502307459712,10.421351325698197
2,44,0,0,0,10.0,20,10.0,17.803571428571427,11,4.7272727272727275,32.69387755102041,4,18.0,42.0,0,,57.0,0,,2,0.22000000000000003,40184,28,0,0.0,280.0,False,-0.004148967697322928,9,0.29000000000000004,39947,32,0,0.0,320.0,False,-0.00950805097303171,0,0.2,76027,0,2,0.2,65.38775510204081,False,0.00014061825337638502,4,0.24000000000000002,75921,0,9,0.9,294.2448979591837,False,0.00025144905231608435,0,0.2,91830,0,2,0.2,84.0,False,6.531252041016262e-05,0,0.2,91830,0,2,0.2,84.0,False,6.531252041016262e-05,0,0.2,122487,0,0,0.0,0.0,False,0.0,0,0.2,122487,0,0,0.0,0.0,False,0.0,0.1875,660713,0.0,0.0,11,0,0,23,6,6.0,20,43,41,296.0,211.0,22,22,41,200,2.78427332919091,13.205624654889107
3,41,0,0,0,10.0,20,10.0,15.004201680672267,21,8.285714285714286,31.471933471933472,4,18.0,42.0,0,,57.0,0,,12,0.3380000000000001,39904,36,0,0.0,360.0,False,-0.010076064407784253,9,0.37100000000000005,39630,44,0,0.0,440.0,False,-0.015854983700484045,0,0.2,75864,10,12,1.0,527.7052184699244,False,0.0010368658264403726,0,0.23600000000000002,75982,0,6,0.1,188.83160083160084,False,0.000360501787213433,0,0.2,91794,0,4,0.2,168.0,False,0.00013062504082032525,0,0.2,91794,0,4,0.2,168.0,False,0.00013062504082032525,0,0.2,122487,0,0,0.0,0.0,False,0.0,0,0.2,122487,0,0,0.0,0.0,False,0.0,0.1875,659942,0.0,0.0,14,0,0,15,6,6.0,29,44,34,351.0,177.0,20,21,34,272,2.241914805956185,15.447539460845292
4,34,0,0,0,10.0,20,10.0,14.942844008581059,1,11.0,30.598833441348024,3,18.0,42.0,0,,57.0,20,57.0,1,0.3360000000000001,39790,46,0,0.0,460.0,False,-0.01165662353057394,0,0.36200000000000004,39530,54,0,0.0,540.0,False,-0.01708979551516349,0,0.2,75864,0,22,1.0,673.1743357096565,False,0.001993282855196364,0,0.23600000000000002,76025,0,4,0.1,122.3953337653921,False,0.0004891276266972265,0,0.2,91740,0,7,0.3,294.0,False,0.0002285938214355692,0,0.2,91794,0,4,0.0,168.0,False,0.00013062504082032525,10,0.30000000000000004,122265,0,0,0.0,0.0,False,-0.0018124372382375272,10,0.30000000000000004,122266,0,0,0.0,0.0,False,-0.0018042731065337546,0.17500000000000002,659274,0.0,0.0,10,0,0,10,12,12.0,25,35,26,174.0,155.0,10,24,26,254,1.942323325201869,17.38986278604716
5,26,0,0,0,10.0,20,10.0,14.36247448731655,3,3.0,29.012777742808584,6,18.0,44.0,5,62.0,57.0,20,57.0,0,0.3350000000000001,39710,54,0,0.0,540.0,False,-0.012644472982317495,3,0.392,39344,66,0,0.0,660.0,False,-0.020201521288155683,0,0.2,75864,0,22,0.0,638.2811103417888,False,0.0017638700728594531,2,0.256,76042,0,3,0.3,87.03833322842576,False,0.0004802057438522533,0,0.2,91686,0,10,0.3,440.0,False,0.0004354168027344175,1,0.21000000000000002,92000,0,3,0.3,132.0,False,0.0021770840136720875,6,0.35000000000000003,121857,0,5,0.5,285.0,False,-0.003980014205589164,14,0.43000000000000005,121886,0,0,0.0,0.0,False,-0.00490664315396736,0.17500000000000002,658389,0.0,0.0,12,0,0,13,13,11.866666666666667,21,34,24,175.0,59.0,10,16,24,254,1.878970350138843,19.268833136186004
6,24,0,0,0,10.0,20,10.0,14.36247448731655,0,,32.98049906512726,10,50.0,50.57142857142857,25,62.4,57.0,20,57.0,0,0.3350000000000001,39640,61,0,0.0,610.0,False,-0.013508841252593105,0,0.389,39214,79,0,0.0,790.0,False,-0.02180677664723896,0,0.2,75864,0,22,0.0,725.5709794327997,False,0.0023377755094269093,7,0.32400000000000007,76240,0,0,0.0,0.0,False,0.0025115386132625018,5,0.25,92126,0,5,0.5,252.85714285714283,False,0.004206437326416359,7,0.279,92000,0,5,0.5,252.85714285714283,False,0.002834874397802943,6,0.404,121740,0,5,0.5,285.0,False,-0.004935217614930564,9,0.506,120447,20,0,0.0,1011.4285714285713,False,-0.012526110642645425,0.1875,657271,0.0,0.0,18,0,0,10,14,12.3,25,35,31,148.0,69.0,11,13,31,1058,2.0997927179560065,21.36862585414201
7,31,0,0,0,10.0,20,10.0,12.577139927448009,9,1.5555555555555556,38.45920289515292,20,51.5,53.44578313253012,20,62.5,57.0,20,57.0,0,0.3350000000000001,39530,72,0,0.0,720.0,False,-0.014867134248740492,9,0.47900000000000004,38893,88,0,0.0,880.0,False,-0.028622937864269487,0,0.2,76124,0,17,0.0,653.8064492175996,False,0.005284793023035184,15,0.4670000000000001,76256,0,9,0.9,346.1328260563763,False,0.0049976516854685115,0,0.24500000000000002,92176,0,5,0.5,267.2289156626506,False,0.004828929721891942,10,0.372,91615,5,10,1.0,726.7538458010658,False,0.0012232700117619853,9,0.4880000000000001,121524,0,5,0.5,285.0,False,-0.006698670062945456,6,0.5570000000000002,119406,35,0,0.0,1870.602409638554,False,-0.017517767560481717,0.3625,655524,0.0,0.0,16,0,0,13,17,16.5,20,33,32,166.0,89.0,11,20,32,1261,1.9853502763435245,23.353976130485535
8,32,0,0,0,10.0,20,10.0,12.577139927448009,0,,41.43944221820183,22,49.68181818181818,55.992359121298946,30,62.333333333333336,57.0,20,57.0,0,0.3350000000000001,39420,83,0,0.0,830.0,False,-0.016225427244887878,0,0.4700000000000001,38803,97,0,0.0,970.0,False,-0.029734268497480985,0,0.2,76957,0,0,0.0,0.0,False,0.011939670475614407,0,0.45200000000000007,76516,0,4,0.0,165.75776887280733,False,0.007230586653820597,15,0.395,91423,12,10,1.0,1057.1968978314114,False,0.0009317750736476243,0,0.36200000000000004,92235,0,5,0.5,279.9617956064947,False,0.005540470879359638,5,0.5290000000000001,120793,5,10,1.0,849.9617956064947,False,-0.010360439084937565,10,0.6510000000000001,118253,50,0,0.0,2799.6179560649475,False,-0.023138708776992818,0.3125,654400,0.0,0.0,17,0,0,14,12,11.666666666666668,22,36,31,203.0,102.0,13,19,31,2461,2.1167176822200418,25.470693812705576
9,31,0,0,0,10.000000000000002,20,10.0,11.881695516677564,5,3.8,41.97743346182346,5,50.0,54.07718802437516,19,44.578947368421055,57.00000000000001,20,57.0,1,0.3450000000000001,39326,91,0,0.0,910.0000000000001,False,-0.01755902400474168,4,0.51,38588,109,0,0.0,1090.0000000000002,False,-0.033562185122987254,0,0.2,76957,0,0,0.0,0.0,False,0.011939670475614407,1,0.4620000000000001,76706,0,5,0.5,209.8871673091173,False,0.010019113777361437,0,0.38000000000000006,91743,2,15,1.0,895.1126872892744,False,0.0035329321364230416,9,0.45200000000000007,92062,0,5,0.5,270.3859401218758,False,0.003605174602801173,0,0.524,120836,9,10,1.0,1056.6946922193765,False,-0.0091654841239504,10,0.7410000000000001,117708,55,0,0.0,2974.245341340634,False,-0.026875320069310895,0.375,653926,0.0,0.0,19,0,0,16,11,10.2,22,38,32,204.0,108.0,15,16,32,1410,3.7118880823254585,29.182581895031035
