index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,20.0,0,,28.0,0,,40.0,0,,0,0.2,49111,13,0,0.0,130.0,False,-0.001320038179565809,0,0.2,49171,7,0,0.0,70.0,False,-0.0007107897889969741,0,0.2,56791,0,0,0.0,0.0,False,0.0,0,0.2,56791,0,0,0.0,0.0,False,0.0,0,0.2,75503,0,0,0.0,0.0,False,0.0,0,0.2,75503.0,0,0,0.0,0.0,False,0.0,0,0.2,110791,0,0,0.0,0.0,False,0.0,0,0.2,110791,0,0,0.0,0.0,False,0.0,0.0,584452,0.0,0.0,8,0,0,0,0,0.0,686,686,39,0.0,0.0,0,0,39,200,1.1616679059807211,1.1616679059807211
1,39,0,0,0,10.0,20,10.0,14.333333333333334,9,1.0,20.0,0,,28.0,0,,40.0,0,,9,0.29000000000000004,48801,26,0,0.0,260.0,False,-0.006295566702544627,0,0.2,49101,14,0,0.0,140.0,False,-0.0014215795779939481,0,0.2,56782,0,9,0.9,180.0,False,0.0014262823334683311,0,0.2,56791,0,0,0.0,0.0,False,0.0,0,0.2,75503,0,0,0.0,0.0,False,0.0,0,0.2,75503.0,0,0,0.0,0.0,False,0.0,0,0.2,110791,0,0,0.0,0.0,False,0.0,0,0.2,110791,0,0,0.0,0.0,False,0.0,0.1125,584063,0.0,0.0,9,0,0,32,1,1.0,25,57,26,689.0,0.0,39,0,26,200,2.320045828993898,3.481713734974619
2,26,0,0,0,10.0,20,10.0,12.228668941979523,10,2.0,19.0,5,10.0,25.833333333333332,9,15.0,40.0,0,,0,0.281,48721,34,0,0.0,340.0,False,-0.0071078978899697404,10,0.30000000000000004,48791,26,0,0.0,260.0,False,-0.006498649499400906,0,0.2,56762,0,19,1.0,361.0,False,0.0026676762163018787,5,0.25,56721,0,0,0.0,0.0,False,-0.001232589670898558,4,0.24000000000000002,75377,0,5,0.5,129.16666666666666,False,-0.0008134334618051139,5,0.25,75408.0,0,0,0.0,0.0,False,-0.0012582281498748394,0,0.2,110716,0,5,0.5,200.0,False,0.0002256500979321425,0,0.2,110731,0,4,0.4,160.0,False,0.000180520078345714,0.3,583227,0.0,0.0,7,0,0,23,4,4.0,19,42,36,246.0,16.0,24,2,36,200,3.2178976020077243,6.699611336982343
3,36,0,0,0,10.0,20,10.0,9.416277151498488,20,2.0,17.454545454545453,10,10.5,23.833892617449663,11,15.0,40.0,0,,0,0.281,48651,41,0,0.0,410.0,False,-0.007818687678966714,20,0.49000000000000005,48201,39,0,0.0,390.0,False,-0.017160496334355516,0,0.2,56722,10,29,1.0,600.344589696803,False,0.0040705797546865185,10,0.34500000000000003,56561,0,0,0.0,0.0,False,-0.004049937490095261,0,0.23600000000000002,75347,0,10,1.0,238.33892617449663,False,-0.0004878022980907826,6,0.30500000000000005,75294.0,0,0,0.0,0.0,False,-0.002768101929724647,0,0.2,110626,0,11,0.6,440.0,False,0.0004964302154507135,0,0.2,110656,0,9,0.5,360.0,False,0.0004061701762778565,0.3875,582058,0.0,0.0,10,0,0,23,5,5.0,18,41,28,398.0,197.0,24,12,28,275,2.499769869958982,9.199381206941325
4,28,0,0,0,10.0,20,10.0,9.416277151498488,0,,14.953020134228188,25,10.0,21.326045627376427,20,14.6,40.0,20,40.0,0,0.281,48581,48,0,0.0,480.0,False,-0.00852947746796369,0,0.4700000000000001,48071,52,0,0.0,520.0,False,-0.018480534513921325,0,0.2,56722,0,39,1.0,583.1677852348994,False,0.003919351527837993,25,0.5850000000000001,55979,0,0,0.0,0.0,False,-0.01429804018242327,0,0.23600000000000002,75387,0,9,0.5,191.93441064638785,False,-0.00026532448613708604,14,0.43900000000000006,74736.0,20,0,0.0,299.06040268456377,False,-0.008178082972302067,1,0.21000000000000002,111016,0,3,0.3,120.0,False,0.0025724111164264246,0,0.2,110726,7,11,1.0,589.2823193916349,False,0.002072742006984507,0.35,581218,0.0,0.0,16,0,0,17,8,7.5,19,36,22,342.0,132.0,19,9,22,1010,1.706522894965019,10.905904101906344
5,22,0,0,0,10.0,20,10.0,9.416277151498488,0,,14.169408897014016,15,10.666666666666666,20.356239460370997,12,15.0,40.0,20,40.0,0,0.281,48491,57,0,0.0,570.0,False,-0.009443350053816942,0,0.4700000000000001,47961,63,0,0.0,630.0,False,-0.019597489896630856,0,0.2,56722,0,39,0.0,552.6069469835467,False,0.003650287430962206,15,0.7100000000000002,55729,0,0,0.0,0.0,False,-0.01870014614991812,0,0.23600000000000002,75427,0,8,0.5,162.84991568296797,False,7.185089124258945e-05,6,0.48500000000000004,74512.0,30,0,0.0,425.08226691042046,False,-0.010310303783224447,9,0.29900000000000004,111006,0,0,0.0,0.0,False,0.0019405908422164256,0,0.2,110866,9,13,1.0,703.206155143339,False,0.003850521049287979,0.1875,580714,0.0,0.0,14,0,0,14,7,6.5,17,31,11,288.0,48.0,16,6,11,690,1.3883931900491007,12.294297291955445
6,11,0,0,0,10.0,20,10.0,9.416277151498488,0,,13.634306939051156,15,11.0,21.8939916753562,22,26.818181818181817,40.0,20,40.0,0,0.281,48411,65,0,0.0,650.0,False,-0.010255681241242055,0,0.4700000000000001,47841,75,0,0.0,750.0,False,-0.020815986677768527,0,0.2,56722,0,39,0.0,531.737970622995,False,0.0034665525402176275,15,0.8450000000000002,55478,0,0,0.0,0.0,False,-0.023119860541282948,2,0.256,75692,0,7,0.7,153.2579417274934,False,0.0035181247217163382,12,0.5990000000000001,74148.0,38,0,0.0,518.1036636839439,False,-0.01451529301031776,10,0.39,110565,1,10,1.0,421.8939916753562,False,-0.00013586847453608914,0,0.2,110971,10,13,1.0,738.939916753562,False,0.004959517996739624,0.3375,579828,0.0,0.0,15,0,0,13,9,8.4,13,26,11,132.0,6.0,9,2,11,805,1.163850619981531,13.458147911936976
7,11,0,0,0,10.0,20,10.0,9.416277151498488,0,,13.12606967475433,13,10.0,21.8939916753562,0,,40.0,20,40.0,0,0.281,48291,77,0,0.0,770.0,False,-0.011474178022379725,0,0.4700000000000001,47761,83,0,0.0,830.0,False,-0.02162831786519364,0,0.2,56722,0,39,0.0,511.91671731541885,False,0.003292042025280527,13,0.9600000000000002,55256,0,0,0.0,0.0,False,-0.027028930640418378,0,0.254,75642,0,12,0.5,262.7279001042744,False,0.0035808371859679554,0,0.5870000000000002,74068.0,46,0,0.0,603.7992050386991,False,-0.015007355965731849,2,0.4,110949,0,1,0.1,40.0,False,0.0016066286972768547,0,0.2,111291,0,15,1.0,600.0,False,0.00722080313382856,0.2,579980,0.0,0.0,16,0,0,13,3,2.6666666666666665,13,26,6,114.0,39.0,8,3,6,880,1.0882939280127175,14.546441839949694
8,6,0,0,0,10.0,20,10.0,9.416277151498488,0,,14.572194897938807,14,23.214285714285715,21.732167646516178,2,15.0,40.0,20,40.0,0,0.281,48181,88,0,0.0,880.0,False,-0.012591133405089255,0,0.4700000000000001,47671,92,0,0.0,920.0,False,-0.02254219045104689,0,0.2,56992,0,30,0.0,437.16584693816424,False,0.007388193965048736,5,0.9970000000000001,55191,0,0,0.0,0.0,False,-0.028173478191967038,0,0.254,75317,4,22,1.0,536.3964678151111,False,0.0010886750712893805,2,0.6070000000000001,74030.0,46,0,0.0,670.3209653051852,False,-0.015070123271226478,10,0.49800000000000005,110805,0,2,0.2,80.0,False,0.0004874042115334278,0,0.2,111651,0,6,0.0,240.0,False,0.008845483838939986,0.15,579838,0.0,0.0,11,0,0,12,6,5.666666666666666,11,23,10,78.0,3.0,5,1,10,830,0.9658329969970509,15.512274836946744
9,10,0,0,0,10.000000000000002,20,10.0,9.416277151498488,0,,15.623432113890058,17,21.058823529411764,24.402782558575176,75,27.133333333333333,40.0,20,40.0,0,0.281,48081,98,0,0.0,980.0000000000002,False,-0.013606547389370647,0,0.4700000000000001,47571,102,0,0.0,1020.0000000000002,False,-0.023557604435328283,0,0.2,57262,0,21,0.0,328.0920743916912,False,0.011182159799895177,8,1.0720000000000003,55087,0,0,0.0,0.0,False,-0.030004754274444895,0,0.254,75522,0,21,0.4,512.4584337300787,False,0.003645275245553761,70,1.3050000000000002,72254.0,63,0,0.0,984.2762231750736,False,-0.03651327614018594,6,0.548,110608,0,5,0.5,200.0,False,-0.0007491583251347131,6,0.26,109989,60,10,1.0,1864.1669535145106,False,0.001174133970785103,0.2375,576374,0.0,0.0,13,0,0,13,10,9.333333333333334,12,25,10,144.0,21.0,8,2,10,915,1.1956770229735412,16.707951859920286
