index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,27.0,0,,37.0,0,,0,0.2,34922,8,0,0.0,80.0,False,-0.001142791840466259,0,0.2,34882,12,0,0.0,120.0,False,-0.0017141877606993885,0,0.2,54253,0,0,0.0,0.0,False,0.0,0,0.2,54253,0,0,0.0,0.0,False,0.0,0,0.2,66504,0,0,0.0,0.0,False,0.0,0,0.2,66504.0,0,0,0.0,0.0,False,0.0,0,0.2,92901,0,0,0.0,0.0,False,0.0,0,0.2,92901,0,0,0.0,0.0,False,0.0,0.0,497120,0.0,0.0,11,0,0,0,0,0.0,1420,1420,98,0.0,0.0,0,0,98,200,4.973900348995812,4.973900348995812
1,98,0,0,0,10.0,20,10.0,15.0,0,,18.653846153846153,7,10.0,27.0,0,,37.0,0,,0,0.2,34842,16,0,0.0,160.0,False,-0.002285583680932518,0,0.2,34762,24,0,0.0,240.0,False,-0.003428375521398777,0,0.2,54253,0,0,0.0,0.0,False,0.0,7,0.27,54155,0,0,0.0,0.0,False,-0.0018063517224853926,0,0.2,66434,0,7,0.7,189.0,False,0.00036839889329965113,0,0.2,66504.0,0,0,0.0,0.0,False,0.0,0,0.2,92901,0,0,0.0,0.0,False,0.0,0,0.2,92901,0,0,0.0,0.0,False,0.0,0.0875,496752,0.0,0.0,11,0,0,28,1,1.0,89,117,97,1683.0,20.0,96,2,97,200,14.35514682898065,19.329047177976463
2,97,0,0,0,10.0,20,10.0,13.938775510204081,4,2.0,16.88963210702341,13,10.538461538461538,22.186666666666667,30,14.966666666666667,37.0,0,,1,0.21000000000000002,34726,26,0,0.0,260.0,False,-0.004171190217701845,3,0.23,34614,34,0,0.0,340.0,False,-0.0062282155305411115,0,0.2,54245,0,4,0.4,67.55852842809364,False,0.0004751675338515557,13,0.393,53938,0,0,0.0,0.0,False,-0.00580613053656019,0,0.2,66357,0,14,0.7,310.61333333333334,False,0.00012490476763308878,30,0.5,65466.0,6,0,0.0,101.33779264214046,False,-0.01484619126186291,0,0.2,92587,11,10,1.0,614.0533333333333,False,-7.506198354514914e-05,0,0.2,92766,0,9,0.9,333.0,False,0.00033907062356702296,0.37499999999999994,494699,0.0,0.0,12,0,0,15,9,9.0,51,66,75,784.0,161.0,46,51,75,200,9.319292447005864,28.648339624982327
3,75,0,0,0,10.0,20,10.0,13.442516268980478,2,2.5,16.42551792173627,7,12.857142857142858,19.552709359605913,34,14.323529411764707,37.0,0,,1,0.21900000000000003,34551,42,0,0.0,420.0,False,-0.006885320838809211,1,0.23700000000000002,34558,38,0,0.0,380.0,False,-0.007256728186960745,0,0.2,54270,0,5,0.2,82.12758960868135,False,0.0010702411812129112,6,0.44000000000000006,53854,0,0,0.0,0.0,False,-0.007354432012976241,0,0.2,66357,0,14,0.0,273.7379310344828,False,-0.00015233722005842122,34,0.81,64230.0,13,0,0.0,213.5317329825715,False,-0.03258802678799337,0,0.2,92430,13,20,1.0,994.1852216748769,False,0.00028086469292516324,0,0.2,92436,12,19,1.0,937.632512315271,False,4.107874143046759e-05,0.275,492686,0.0,0.0,13,0,0,17,7,7.0,61,78,28,803.0,69.0,59,16,28,230,5.241372959979344,33.88971258496167
4,28,0,0,0,10.0,20,10.0,9.33580091352969,22,1.5909090909090908,16.28946399276842,5,14.8,17.745861944344053,47,14.23404255319149,37.0,20,37.0,7,0.28800000000000003,34342,51,0,0.0,510.0,False,-0.011570767384720872,15,0.38600000000000007,34158,49,0,0.0,490.0,False,-0.01711330781098223,0,0.2,54285,0,14,1.0,228.0524958987579,False,0.002691579229708511,4,0.4740000000000001,53782,12,0,0.0,112.02961096235629,False,-0.00764907368290823,0,0.2,66357,0,14,0.0,248.44206722081674,False,-0.00034252024524233823,47,1.246,62130.0,18,0,0.0,293.2103518698316,False,-0.06356602345821434,0,0.2,92337,30,22,1.0,1346.3758583303215,False,0.0011753148961276701,0,0.2,92600,22,17,1.0,1019.4089627755692,False,0.002246525671282197,0.375,489991,0.0,0.0,22,0,0,14,10,10.0,18,32,32,178.0,63.0,12,16,32,970,1.7806001830031164,35.67031276796479
5,32,0,0,0,10.0,20,10.0,5.5369583086591065,56,1.6607142857142858,16.094663077179643,5,14.0,18.449846282422467,43,20.488372093023255,37.0,20,37.0,26,0.541,33801,59,0,0.0,590.0,False,-0.02588423518656077,30,0.671,33336,61,0,0.0,610.0,False,-0.03888349237186446,0,0.2,54296,2,23,1.0,381.25116739245,False,0.004306224240064563,4,0.5100000000000001,53652,56,0,0.0,310.06966528490995,False,-0.008220101512497791,0,0.2,66825,0,2,0.0,36.89969256484493,False,0.00510420194698705,31,1.5090000000000003,60999.0,23,0,0.0,370.17725077513177,False,-0.0799938556269162,0,0.2,92480,31,24,1.0,1459.9452347550964,False,0.003325826604423436,0,0.2,92316,44,15,1.0,1366.7932364265885,False,0.001059155641094292,0.375,487705,0.0,0.0,24,0,0,17,12,12.0,19,36,29,175.0,53.0,14,18,29,1438,1.937537764024455,37.60785053198924
6,29,0,0,0,10.0,20,10.0,5.492836018590466,1,1.0,16.07042848218018,4,15.75,17.00270620378331,65,13.646153846153846,37.0,20,37.0,1,0.5250000000000001,33674,70,0,0.0,700.0,False,-0.027941260499400034,0,0.6410000000000001,33246,70,0,0.0,700.0,False,-0.040169133192389,0,0.2,54325,0,25,0.3,401.7607120545045,False,0.005029774501451531,3,0.536,53613,56,0,0.0,307.59881704106607,False,-0.008961727305023953,0,0.2,66825,0,2,0.0,34.00541240756662,False,0.005082441750929032,65,2.1280000000000006,57244.0,27,0,0.0,433.90156901886485,False,-0.1359775233894287,0,0.2,92432,57,22,1.0,1783.1542536156485,False,0.004548682218790155,0,0.2,92217,63,17,1.0,1700.1704908383483,False,0.0017877659596686496,0.2875,483576,0.0,0.0,22,0,0,13,10,10.0,19,32,20,177.0,51.0,12,17,20,970,1.5327630100073293,39.14061354199657
7,20,0,0,0,10.0,20,10.0,4.1282520139820615,49,1.5510204081632653,15.405314942880931,10,12.0,16.50278632225131,28,13.035714285714286,37.0,20,37.0,1,0.534,33558,80,0,0.0,800.0,False,-0.029826867036169363,48,1.1210000000000002,31751,80,0,0.0,800.0,False,-0.08145248842923261,0,0.2,54350,0,28,0.4,431.34881840066606,False,0.005763264873838046,9,0.623,53396,101,0,0.0,416.9534534121882,False,-0.011953685018227635,0,0.2,66825,0,2,0.0,33.00557264450262,False,0.0050749246108842995,28,2.3430000000000004,56210.0,37,0,0.0,569.9966528865945,False,-0.15050225059480188,0,0.2,92758,56,20,1.0,1664.1560340460733,False,0.0074173369180422465,0,0.2,92266,72,19,1.0,1891.2006152020945,False,0.0033433473009015285,0.3,481114,0.0,0.0,25,0,0,12,13,13.0,15,27,27,82.0,42.0,6,14,27,970,1.3710928800283,40.51170642202487
8,27,0,0,0,10.0,20,10.0,3.6950111142767876,42,2.380952380952381,15.062600452051617,14,13.714285714285714,16.21352354986629,18,13.0,37.00000000000001,20,37.0,19,0.7230000000000001,33116,87,0,0.0,870.0,False,-0.041454774012913545,23,1.3030000000000004,31113,93,0,0.0,930.0,False,-0.09782298154391178,0,0.2,54398,0,35,0.9,527.1910158218066,False,0.007531297954231184,12,0.7340000000000002,53152,134,0,0.0,495.13148931308956,False,-0.015730637113955993,0,0.2,66795,0,3,0.1,48.64057064959887,False,0.004741373230554449,18,2.495000000000001,55610.0,50,0,0.0,753.1300226025809,False,-0.15814740449745446,0,0.2,93013,52,21,1.0,1620.1032245930473,False,0.009925098893408252,0,0.2,92517,74,18,1.0,1865.8007426901058,False,0.00590844416470276,0.375,479714,0.0,0.0,23,0,0,17,11,11.0,18,35,25,142.0,56.0,12,15,25,1000,1.529356890998315,42.04106331302319
9,25,0,0,0,10.000000000000002,20,10.0,3.327024241106689,37,1.8108108108108107,15.299059495563142,1,30.0,16.49702965334569,39,17.923076923076923,37.00000000000001,20,37.0,0,0.7040000000000002,33036,95,0,0.0,950.0000000000001,False,-0.04259756585337981,37,1.6500000000000001,30040,105,0,0.0,1050.0000000000002,False,-0.1267641849037198,0,0.2,54410,0,40,0.6,611.9623798225257,False,0.008533743570148397,0,0.7220000000000002,53103,165,0,0.0,548.9589997826037,False,-0.016137734320843117,0,0.2,66795,0,3,0.0,49.491088960037075,False,0.004747767720438084,39,2.8670000000000013,54277.0,51,0,0.0,780.2520342737203,False,-0.1779873989964985,0,0.2,93045,69,20,1.0,1878.295046080853,False,0.011659158922298275,0,0.2,92526,76,19,1.0,1956.7742536542728,False,0.006494947598272702,0.325,477232,0.0,0.0,22,0,0,14,9,9.0,20,34,24,178.0,36.0,13,12,24,970,1.5350274600205012,43.57609077304369
