index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,32.0,0,,47.0,0,,66.0,0,,0,0.2,32892.0,11,0,0.0,110.0,False,-0.0016665656626871099,0,0.2,32912.0,9,0,0.0,90.0,False,-0.0013635537240167263,0,0.2,54763,0,0,0.0,0.0,False,0.0,0,0.2,54763,0,0,0.0,0.0,False,0.0,0,0.2,81783,0,0,0.0,0.0,False,0.0,0,0.2,81783.0,0,0,0.0,0.0,False,0.0,0,0.2,104678,0,0,0.0,0.0,False,0.0,0,0.2,104678,0,0,0.0,0.0,False,0.0,0.0,548252,0.0,0.0,7,0,0,140,0,0.0,436,576,56,0.0,0.0,0,0,56,200,1.2659647510154173,1.2659647510154173
1,56,0,0,0,10.0,20,10.0,19.0,0,,32.0,0,,44.411764705882355,6,25.0,66.0,0,,0,0.2,32762.0,24,0,0.0,240.0,False,-0.0036361432640446036,0,0.2,32842.0,16,0,0.0,160.0,False,-0.002424095509363069,0,0.2,54763,0,0,0.0,0.0,False,0.0,0,0.2,54763,0,0,0.0,0.0,False,0.0,0,0.2,81783,0,0,0.0,0.0,False,0.0,6,0.26,81597.0,0,0,0.0,0.0,False,-0.0022743112871868236,0,0.2,104528,0,6,0.6,396.0,False,0.0004585490743040562,0,0.2,104678,0,0,0.0,0.0,False,0.0,0.075,547716,0.0,0.0,7,0,0,32,1,1.0,27,59,32,791.0,120.0,46,10,32,200,3.169054016005248,4.435018767020665
2,32,0,0,0,10.0,20,10.0,18.652173913043477,1,3.0,32.0,0,,42.16763005780347,6,25.0,66.0,0,,0,0.2,32682.0,32,0,0.0,320.0,False,-0.004848191018726138,1,0.21000000000000002,32702.0,28,0,0.0,280.0,False,-0.004848191018726138,0,0.2,54760,0,1,0.1,32.0,False,0.00023738655661669376,0,0.2,54763,0,0,0.0,0.0,False,0.0,0,0.2,81783,0,0,0.0,0.0,False,0.0,6,0.31400000000000006,81411.0,0,0,0.0,0.0,False,-0.004548622574373647,0,0.2,104528,0,6,0.0,396.0,False,0.0004585490743040562,0,0.2,104528,0,6,0.6,396.0,False,0.0004585490743040562,0.0875,547157,0.0,0.0,7,0,0,20,2,2.0,12,32,35,177.0,73.0,18,14,35,200,3.510495809954591,7.945514576975256
3,35,0,0,0,10.0,20,10.0,16.036437246963562,8,2.5,30.235294117647058,6,17.0,42.16763005780347,0,,66.0,0,,4,0.24000000000000002,32516.0,41,0,0.0,410.0,False,-0.00851463547663778,4,0.24900000000000003,32504.0,39,0,0.0,390.0,False,-0.009181261741712623,2,0.22000000000000003,54715,0,8,0.8,241.88235294117646,False,0.0013319426706094879,3,0.23,54700,0,0,0.0,0.0,False,-0.0011504117743732082,0,0.2,81681,0,6,0.6,253.0057803468208,False,0.00029960860048425724,0,0.30800000000000005,81411.0,0,0,0.0,0.0,False,-0.004548622574373647,0,0.2,104528,0,6,0.0,396.0,False,0.0004585490743040562,0,0.2,104528,0,6,0.0,396.0,False,0.0004585490743040562,0.175,546583,0.0,0.0,7,0,0,14,4,3.6666666666666665,17,31,37,274.0,157.0,16,19,37,200,2.8011046649771743,10.74661924195243
4,37,0,0,0,10.0,20,10.0,12.292807703882032,22,4.7272727272727275,29.094188376753507,4,16.0,42.16763005780347,0,,66.0,12,66.0,18,0.41600000000000004,31961.0,54,0,0.0,540.0,False,-0.023362220471486575,4,0.28500000000000003,32362.0,46,0,0.0,460.0,False,-0.012423489485485727,0,0.21800000000000003,54681,2,18,1.0,548.2810061893272,False,0.0035085824935570105,4,0.267,54542,10,0,0.0,122.92807703882032,False,-0.0029132071194162656,0,0.2,81681,0,6,0.0,253.0057803468208,False,0.00029960860048425724,0,0.30800000000000005,81347.0,4,0,0.0,116.37675350701403,False,-0.0046196840816122705,0,0.2,104528,0,6,0.0,396.0,False,0.0004585490743040562,6,0.26,104832,0,0,0.0,0.0,False,0.001471178280058847,0.125,545934,0.0,0.0,9,0,0,22,7,6.333333333333333,14,36,26,334.0,72.0,22,15,26,464,3.30089178099297,14.0475110229454
5,26,0,0,0,10.0,20,10.0,7.479941975926916,56,2.3392857142857144,28.469704556835254,15,26.6,42.16763005780347,0,,66.0,9,66.0,36,0.7580000000000002,30744.0,64,0,0.0,640.0,False,-0.05872371371432034,20,0.4810000000000001,31734.0,56,0,0.0,560.0,False,-0.0299375795406339,0,0.21800000000000003,54941,4,19,1.0,570.8441544835775,False,0.008462320859737235,6,0.32300000000000006,54322,54,0,0.0,403.9168667000535,False,-0.004365019568869049,0,0.2,81378,0,15,0.9,632.5144508670521,False,-0.0010851005045850045,0,0.30800000000000005,81251.0,10,0,0.0,284.69704556835256,False,-0.0047644556596826496,0,0.2,104528,0,6,0.0,396.0,False,0.0004585490743040562,9,0.3440000000000001,104657,0,0,0.0,0.0,False,-0.00020061522000802462,0.2375,543555,0.0,0.0,10,0,0,11,11,11.0,16,27,22,146.0,48.0,13,13,22,503,3.8445003970409743,17.892011419986375
6,22,0,0,0,10.0,20,10.0,7.479941975926916,0,,30.04222746482459,5,47.0,42.1143861999665,13,41.92307692307692,65.99999999999999,9,66.0,0,0.722,30644.0,74,0,0.0,740.0,False,-0.06023877340767226,0,0.4610000000000001,31634.0,66,0,0.0,660.0,False,-0.03145263923398582,0,0.21800000000000003,55176,0,18,0.4,540.7600943668426,False,0.012478864327801953,0,0.31700000000000006,54322,54,0,0.0,403.9168667000535,False,-0.004365019568869049,0,0.2,81488,0,15,0.5,631.7157929994976,False,0.0002550395130986051,8,0.38800000000000007,81003.0,10,0,0.0,300.4222746482459,False,-0.0077007307469263726,0,0.2,104528,0,6,0.0,395.9999999999999,False,0.0004585490743040562,9,0.42500000000000004,103924,3,10,1.0,786.3431585998994,False,-0.0034470320478042593,0.2375,542719,0.0,0.0,10,0,0,13,4,4.0,14,27,17,162.0,33.0,11,11,17,780,2.2167326259659603,20.108744045952335
7,17,0,0,0,10.0,20,10.0,7.245168852045583,6,3.1666666666666665,32.49646823345026,40,35.75,40.395470295786666,6,25.0,65.99999999999999,12,66.0,5,0.772,30454.0,83,0,0.0,830.0,False,-0.06463244651839282,1,0.4710000000000001,31505.0,77,0,0.0,770.0,False,-0.03369492758014666,0,0.21800000000000003,55627,0,14,0.6,454.9505552683036,False,0.019930889060755408,30,0.6170000000000001,54142,54,0,0.0,391.2391180104615,False,-0.007767661395372235,0,0.2,80293,25,25,1.0,1822.298463230923,False,-0.007077886215772694,6,0.44000000000000006,80582.0,15,0,0.0,487.44702350175385,False,-0.011705079151524368,0,0.2,104528,0,6,0.0,395.9999999999999,False,0.0004585490743040562,2,0.43600000000000005,104410,0,9,0.9,593.9999999999999,False,0.0002770400657253673,0.3125,541541,0.0,0.0,12,0,0,12,5,4.666666666666667,12,24,16,125.0,21.0,10,7,16,1264,2.0660239489516243,22.17476799490396
8,16,0,0,0,10.0,20,10.0,5.982888625660446,45,3.2,34.04393434835906,10,47.0,38.849872249858194,6,25.0,65.99999999999999,12,66.0,10,0.8670000000000002,30164.0,90,0,0.0,900.0,False,-0.0723592509544876,35,0.8200000000000001,30455.0,90,0,0.0,900.0,False,-0.06354160353917944,0,0.21800000000000003,56034,8,14,1.0,524.4781898823104,False,0.02799771917062901,0,0.5870000000000002,54061,81,0,0.0,484.61397867849615,False,-0.008394226223193657,0,0.2,80058,20,35,1.0,2040.624215712218,False,-0.008616557134659905,6,0.4940000000000001,80140.0,20,0,0.0,680.8786869671812,False,-0.015927034426670643,0,0.2,104528,0,6,0.0,395.9999999999999,False,0.0004585490743040562,3,0.464,104818,0,6,0.6,395.9999999999999,False,0.0032289497315577294,0.325,540258,0.0,0.0,13,0,0,12,8,7.6,12,24,17,153.0,30.0,11,5,17,1132,1.9629685550462455,24.137736549950205
9,17,0,0,0,10.000000000000002,20,10.0,5.660184047184323,18,3.3333333333333335,34.04393434835906,0,,41.41415621636783,5,69.0,65.99999999999999,11,66.0,8,0.937,29920.0,100,0,0.0,1000.0000000000002,False,-0.07823768256469305,10,0.8850000000000002,30129.0,100,0,0.0,1000.0000000000002,False,-0.07190473304648203,0,0.21800000000000003,56030,0,24,1.0,817.0544243606174,False,0.030595971955157796,0,0.5870000000000002,54005,97,0,0.0,549.0378525768793,False,-0.00882860825213305,0,0.2,80403,10,40,1.0,1997.0055921383037,False,-0.004664749445860981,0,0.48800000000000004,80140.0,20,0,0.0,680.8786869671812,False,-0.015927034426670643,0,0.2,104528,0,6,0.0,395.9999999999999,False,0.0004585490743040562,5,0.5110000000000001,104789,0,5,0.5,329.99999999999994,False,0.0026366571772483234,0.3125,539944,0.0,0.0,11,0,0,11,5,4.6,12,23,17,141.0,54.0,9,8,17,809,1.5395062050083652,25.67724275495857
