index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,37.0,0,,0,0.2,44977,8,0,0.0,80.0,False,-0.0008877643873316022,0,0.2,44937,12,0,0.0,120.0,False,-0.0013316465809974033,0,0.2,68336,0,0,0.0,0.0,False,0.0,0,0.2,68336,0,0,0.0,0.0,False,0.0,0,0.2,99876,0,0,0.0,0.0,False,0.0,0,0.2,99876,0,0,0.0,0.0,False,0.0,0.0,426338,0.0,0.0,9,0,0,0,0,0.0,499,499,90,0.0,0.0,0,0,90,200,2.219150285993237,2.219150285993237
1,90,0,0,0,10.0,20,10.0,18.0,0,,27.0,0,,37.0,0,,0,0.2,44917,14,0,0.0,140.0,False,-0.0015535876778303038,0,0.2,44797,26,0,0.0,260.0,False,-0.002885234258827707,0,0.2,68336,0,0,0.0,0.0,False,0.0,0,0.2,68336,0,0,0.0,0.0,False,0.0,0,0.2,99876,0,0,0.0,0.0,False,0.0,0,0.2,99876,0,0,0.0,0.0,False,0.0,0.0,426138,0.0,0.0,9,0,0,6,0,0.0,24,30,27,270.0,705.0,15,75,27,200,3.622248856991064,5.841399142984301
2,27,0,0,0,10.0,20,10.0,15.0,26,9.807692307692308,27.0,0,,37.0,0,,13,0.33000000000000007,44641,22,0,0.0,220.0,False,-0.006791397563086757,13,0.33000000000000007,44486,38,0,0.0,380.0,False,-0.008455955789333511,0,0.2,68241,0,10,1.0,270.0,False,0.0005853430110044487,0,0.2,68176,6,10,1.0,360.0,False,0.0002926715055022243,0,0.2,99876,0,0,0.0,0.0,False,0.0,0,0.2,99876,0,0,0.0,0.0,False,0.0,0.3333333333333333,425296,0.0,0.0,7,0,0,11,4,4.0,19,30,22,252.0,204.0,14,13,22,200,1.5314371570129879,7.372836299997289
3,22,0,0,0,10.0,20,10.0,13.922686945500633,15,9.333333333333334,27.0,0,,37.0,20,37.0,10,0.4170000000000001,44391,32,0,0.0,320.0,False,-0.011230219499744768,5,0.3670000000000001,44326,48,0,0.0,480.0,False,-0.010897307854495417,0,0.2,68101,5,20,1.0,609.6134347275032,False,0.001021521853250903,0,0.2,68176,0,16,0.6,432.0,False,0.000819480215406228,9,0.29000000000000004,99765,0,0,0.0,0.0,False,-0.0011113781088549803,11,0.31000000000000005,99707,0,0,0.0,0.0,False,-0.0016920982017701951,0.26666666666666666,424466,0.0,0.0,8,0,0,11,11,11.0,15,26,23,183.0,153.0,11,11,23,200,1.4466634989948943,8.819499798992183
4,23,0,0,0,10.0,20,10.0,12.849182376835747,25,9.8,28.3,5,40.0,37.0,20,37.0,5,0.4570000000000001,44191,46,0,0.0,460.0,False,-0.014115453758572476,20,0.562,43891,54,0,0.0,540.0,False,-0.019885922276227888,0,0.2,68056,20,25,1.0,964.4836475367149,False,0.002959520951890067,0,0.2,68176,0,16,0.0,452.8,False,0.0009716693982672995,11,0.39100000000000007,99397,0,5,0.5,185.0,False,-0.0038697985502022508,9,0.389,99587,0,0,0.0,0.0,False,-0.0028935880491809843,0.25,423298,0.0,0.0,8,0,0,9,14,14.0,19,28,23,201.0,153.0,12,11,23,400,1.464834097016137,10.28433389600832
5,23,0,0,0,10.0,20,10.0,12.378437811239634,15,9.666666666666666,28.3,0,,37.0,20,37.0,15,0.6020000000000001,43821,58,0,0.0,580.0,False,-0.02099562776039239,0,0.542,43811,62,0,0.0,620.0,False,-0.02077368666355949,0,0.2,67911,25,35,1.0,1299.960945280991,False,0.0032922686818148295,0,0.2,68176,0,16,0.0,452.8,False,0.0009716693982672995,7,0.45000000000000007,99501,0,0,0.0,0.0,False,-0.0037546557731587167,8,0.4600000000000001,99518,0,0,0.0,0.0,False,-0.003584444711442188,0.16666666666666666,422738,0.0,0.0,10,0,0,12,8,7.666666666666666,18,30,15,237.0,147.0,14,9,15,348,1.5056882180506364,11.790022114058957
6,15,0,0,0,10.0,20,10.0,11.995664738524544,15,9.666666666666666,31.823076923076922,20,39.75,37.0,20,37.0,10,0.687,43596,66,0,0.0,660.0,False,-0.025101538051801053,5,0.5920000000000001,43631,74,0,0.0,740.0,False,-0.0234369798255543,0,0.2,68171,30,35,1.0,1473.6776344634286,False,0.008368046377190953,0,0.2,68566,0,6,0.0,190.93846153846152,False,0.004762778488194088,12,0.5630000000000002,99120,0,5,0.5,185.0,False,-0.006643237614642156,8,0.532,98835,15,0,0.0,477.3461538461538,False,-0.008033230436510493,0.25,421919,0.0,0.0,12,0,0,9,11,11.0,17,26,18,132.0,108.0,9,6,18,995,1.4629822470014915,13.253004361060448
7,18,0,0,0,10.0,20,10.0,11.607280150541385,20,9.75,31.823076923076922,0,,37.00000000000001,20,37.0,15,0.8270000000000002,43246,76,0,0.0,760.0,False,-0.031759770956788065,5,0.6370000000000001,43471,84,0,0.0,840.0,False,-0.025878331890716203,0,0.2,67976,40,45,1.0,1896.3296675601168,False,0.008606954369293754,0,0.2,68566,0,6,0.0,190.93846153846152,False,0.004762778488194088,3,0.5810000000000001,99284,0,0,0.0,0.0,False,-0.005927349913893228,12,0.6440000000000001,98647,15,0,0.0,477.3461538461538,False,-0.009915564530787397,0.16666666666666666,421190,0.0,0.0,11,0,0,10,10,10.0,16,26,18,165.0,129.0,10,8,18,385,1.273223819967825,14.526228181028273
8,18,0,0,0,10.0,20,10.0,11.227310117129452,20,9.25,32.545669291338584,5,41.0,37.00000000000001,20,37.0,10,0.9120000000000001,42991,87,0,0.0,870.0,False,-0.03619859289344608,10,0.7320000000000002,43231,93,0,0.0,930.0,False,-0.030206183278957764,0,0.2,67996,50,50,1.0,2188.648970423402,False,0.011038464136205016,0,0.2,68566,0,6,0.0,195.2740157480315,False,0.004794500817636599,9,0.6680000000000001,99166,0,0,0.0,0.0,False,-0.007108814930513837,11,0.7420000000000002,98282,20,0,0.0,650.9133858267717,False,-0.012701182537212273,0.16666666666666666,420232,0.0,0.0,10,0,0,11,12,12.0,16,27,20,165.0,129.0,10,8,20,405,1.2527130060479976,15.77894118707627
9,20,0,0,0,10.000000000000002,20,10.0,11.08197394887297,15,10.0,33.22582461786002,5,41.0,37.00000000000001,20,37.0,5,0.9520000000000002,42831,97,0,0.0,970.0000000000002,False,-0.03863994495860799,10,0.8220000000000001,42991,103,0,0.0,1030.0000000000002,False,-0.034423064118782876,0,0.2,68051,55,55,1.0,2436.9289211703144,False,0.013659922450613877,0,0.2,68566,0,6,0.0,199.35494770716014,False,0.0048243601301448,11,0.7690000000000001,98793,0,5,0.5,185.00000000000003,False,-0.009917297448836557,9,0.8210000000000002,98164,20,0,0.0,664.5164923572004,False,-0.013814547577209808,0.25,419396,0.0,0.0,8,0,0,7,12,12.0,19,26,22,165.0,150.0,10,10,22,405,1.2925004709977657,17.071441658074036
