index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,36.0,0,,0,0.2,39685,10,0,0.0,100.0,False,-0.0012567550584391101,0,0.2,39685,10,0,0.0,100.0,False,-0.0012567550584391101,0,0.2,57439,0,0,0.0,0.0,False,0.0,0,0.2,57439,0,0,0.0,0.0,False,0.0,0,0.2,73352,0,0,0.0,0.0,False,0.0,0,0.2,73352,0,0,0.0,0.0,False,0.0,0.0,340952,0.0,0.0,8,0,0,230,0,0.0,702,932,174,0.0,0.0,0,0,174,200,4.58348178101005,4.58348178101005
1,174,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,36.0,0,,0,0.2,39585,20,0,0.0,200.0,False,-0.0025135101168782203,0,0.2,39585,20,0,0.0,200.0,False,-0.0025135101168782203,0,0.2,57439,0,0,0.0,0.0,False,0.0,0,0.2,57439,0,0,0.0,0.0,False,0.0,0,0.2,73352,0,0,0.0,0.0,False,0.0,0,0.2,73352,0,0,0.0,0.0,False,0.0,0.0,340752,0.0,0.0,7,0,0,71,0,0.0,58,129,71,2034.0,873.0,113,61,71,200,17.828541719005443,22.412023500015493
2,71,0,0,0,10.0,20,10.0,16.659574468085108,2,9.0,26.0,0,,36.0,0,,1,0.21000000000000002,39463,31,0,0.0,310.0,False,-0.004197561895186628,1,0.21000000000000002,39483,29,0,0.0,290.0,False,-0.003946210883498806,0,0.2,57421,0,2,0.2,52.0,False,0.00013927819077630182,0,0.2,57439,0,0,0.0,0.0,False,0.0,0,0.2,73352,0,0,0.0,0.0,False,0.0,0,0.2,73352,0,0,0.0,0.0,False,0.0,0.03333333333333333,340510,0.0,0.0,8,0,0,16,2,2.0,58,74,30,1029.0,115.0,58,13,30,200,4.636179693043232,27.048203193058725
3,30,0,0,0,10.0,20,10.0,16.152317880794705,3,9.0,26.0,0,,36.0,10,36.0,1,0.21900000000000003,39331,43,0,0.0,430.0,False,-0.006007289179338947,2,0.229,39379,37,0,0.0,370.0,False,-0.005554857358300867,0,0.2,57412,0,3,0.1,78.0,False,0.00020891728616445274,0,0.2,57421,0,2,0.2,52.0,False,0.00013927819077630182,0,0.2,73352,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,73219,0,0,0.0,0.0,False,-0.0018131748282255425,0.05000000000000001,340114,0.0,0.0,8,0,0,13,7,7.0,19,32,27,243.0,86.0,16,14,27,200,2.2953750010346994,29.343578194093425
4,27,0,0,0,10.0,20,10.0,15.981086904476902,1,9.0,27.4,5,40.0,36.0,8,36.0,1,0.228,39179,57,0,0.0,570.0,False,-0.008068367475179087,0,0.227,39319,43,0,0.0,430.0,False,-0.006308910393364333,0,0.2,57403,0,4,0.1,109.6,False,0.0003273037483243599,3,0.23,57528,0,0,0.0,0.0,False,0.0015494698723863577,0,0.2,73352,0,0,0.0,0.0,False,0.0,8,0.37000000000000005,72927,5,0,0.0,137.0,False,-0.004860126513251173,0.016666666666666666,339708,0.0,0.0,7,0,0,10,5,4.6,18,28,28,219.0,87.0,13,14,28,200,2.2028027559863403,31.546380950079765
5,28,0,0,0,10.0,20,10.0,14.756146776917511,8,9.0,27.4,0,,36.0,10,36.0,4,0.267,39029,67,0,0.0,670.0,False,-0.010581877592057308,4,0.267,39169,53,0,0.0,530.0,False,-0.008822420510242554,0,0.2,57367,0,8,0.4,219.2,False,0.0006546074966485932,0,0.227,57492,0,4,0.4,109.6,False,0.0018767736207107176,0,0.2,73352,0,0,0.0,0.0,False,0.0,10,0.4620000000000001,72792,5,0,0.0,137.0,False,-0.006700567128367325,0.13333333333333333,339201,0.0,0.0,8,0,0,14,8,8.0,17,31,25,261.0,78.0,17,11,25,200,2.490946547011845,34.03732749709161
6,25,0,0,0,10.0,20,10.0,14.02184603805357,6,9.0,28.66,5,40.0,35.99999999999999,9,36.0,4,0.30300000000000005,38909,74,0,0.0,740.0,False,-0.012718361191403795,2,0.28300000000000003,39015,66,0,0.0,660.0,False,-0.01105944451426417,0,0.2,57349,0,10,0.2,286.6,False,0.0009279409460471615,1,0.23700000000000002,57625,0,4,0.4,114.64,False,0.004236146172461214,0,0.2,73352,0,0,0.0,0.0,False,0.0,9,0.542,72513,10,0,0.0,286.6,False,-0.009484403969898532,0.10000000000000002,338763,0.0,0.0,8,0,0,14,6,5.2,15,29,26,222.0,78.0,14,11,26,200,2.3935486290138215,36.43087612610543
7,26,0,0,0,10.0,20,10.0,13.588277268907865,4,9.0,28.101785714285715,11,25.818181818181817,36.0,12,36.0,2,0.31900000000000006,38755,87,0,0.0,870.0,False,-0.014955385195425412,2,0.30100000000000005,38921,73,0,0.0,730.0,False,-0.01254241548322232,0,0.2,57415,0,6,0.2,168.6107142857143,False,0.0010499026296219224,1,0.24600000000000002,57776,0,2,0.2,56.20357142857143,False,0.006356339520435366,0,0.2,73352,0,0,0.0,0.0,False,0.0,12,0.653,72045,21,0,0.0,590.1375,False,-0.013795550905224045,0.06666666666666667,338264,0.0,0.0,9,0,0,17,8,7.2,14,31,22,246.0,44.0,17,9,22,284,2.5399311340297572,38.97080726013519
8,22,0,0,0,10.0,20,10.0,13.011102767521608,6,9.0,28.254154302670624,17,28.705882352941178,36.00000000000001,9,36.0,4,0.35700000000000004,38595,98,0,0.0,980.0,False,-0.017594570818147543,2,0.319,38807,82,0,0.0,820.0,False,-0.014276737463868292,1,0.21000000000000002,57464,0,2,0.2,56.50830860534125,False,0.0009271427828246888,8,0.32500000000000007,57862,0,4,0.4,113.0166172106825,False,0.008348131210594576,0,0.2,73352,0,0,0.0,0.0,False,0.0,9,0.7310000000000001,71442,38,0,0.0,1073.6578635014837,False,-0.018720294855617513,0.10000000000000002,337522,0.0,0.0,8,0,0,11,10,8.742857142857144,15,26,28,165.0,96.0,10,12,28,200,4.13416335900547,43.10497061914066
9,28,0,0,0,10.000000000000002,20,10.0,12.51922021677951,6,9.0,29.148598842522087,5,40.0,36.00000000000001,9,36.0,4,0.393,38445,108,0,0.0,1080.0000000000002,False,-0.020108080935025762,2,0.3370000000000001,38683,92,0,0.0,920.0000000000001,False,-0.016136734950358174,3,0.23900000000000002,57553,0,2,0.2,58.297197685044175,False,0.002492184732368587,0,0.31700000000000006,57826,0,8,0.4,233.1887907401767,False,0.008767464534028999,0,0.2,73352,0,0,0.0,0.0,False,0.0,9,0.812,71128,43,0,0.0,1253.3897502284497,False,-0.02177589056720718,0.10000000000000002,336987,0.0,0.0,7,0,0,13,8,7.6,14,27,27,219.0,91.0,13,15,27,200,2.5297880319994874,45.634758651140146
