index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,29.0,0,,38.0,0,,0,0.2,37425,4,10,1.0,240.0,False,-0.0005324104884866232,0,0.2,37505,6,0,0.0,60.0,False,-0.0007986157327299348,0,0.2,59165,0,0,0.0,0.0,False,0.0,0,0.2,59165.0,0,0,0.0,0.0,False,0.0,0,0.2,74779,0,0,0.0,0.0,False,0.0,0,0.2,74779,0,0,0.0,0.0,False,0.0,0.16666666666666666,342818,0.0,0.0,6,0,0,0,0,0.0,401,401,57,0.0,0.0,0,0,57,200,1.7585960609721951,1.7585960609721951
1,57,0,0,0,10.0,20,10.0,18.653846153846153,7,10.0,29.0,0,,38.0,0,,0,0.2,37315,5,20,1.0,423.0769230769231,False,-0.0010238663240127518,7,0.27,37317,15,0,0.0,150.0,False,-0.00460535072540929,0,0.2,59095,0,7,0.7,203.0,False,0.0005324093636440463,0,0.2,59165.0,0,0,0.0,0.0,False,0.0,0,0.2,74779,0,0,0.0,0.0,False,0.0,0,0.2,74779,0,0,0.0,0.0,False,0.0,0.2833333333333333,342450,0.0,0.0,6,0,0,16,1,1.0,46,62,54,918.0,108.0,51,6,54,200,4.009537816978991,5.768133877951186
2,54,0,0,0,10.0,20,10.0,14.711981566820274,40,10.1,24.560606060606062,21,15.047619047619047,38.0,0,,0,0.2,37235,3,30,1.0,471.3594470046082,False,-0.0025108552242165817,40,0.663,35983,27,0,0.0,270.0,False,-0.03851989884200719,0,0.2,59025,0,14,0.7,343.8484848484849,False,0.0005395798601240635,21,0.41000000000000003,58219.0,33,0,0.0,485.49539170506904,False,-0.01188628926134477,0,0.2,74591,3,10,1.0,453.6818181818182,False,0.0005194093139907158,0,0.2,74651,0,8,0.8,304.0,False,0.0003209457200550957,0.5833333333333334,339704,0.0,0.0,5,0,0,11,9,9.0,27,38,20,456.0,126.0,27,27,20,200,2.4754679210018367,8.243601798953023
3,20,0,0,0,10.0,20,10.0,17.140883977900547,16,29.0,20.932572614107883,37,15.108108108108109,38.0,20,38.0,0,0.2,37589,4,24,1.0,451.38121546961315,False,0.0066468949217304155,0,0.623,35893,36,0,0.0,360.0,False,-0.03971782244110209,0,0.2,59025,0,14,0.0,293.0560165975104,False,0.00011033564267306611,37,0.7590000000000001,56247.0,49,0,0.0,839.9033149171267,False,-0.04222172471125556,1,0.21000000000000002,74741,7,10,1.0,526.5280082987551,False,0.0030123965839255985,1,0.21000000000000002,74612,13,10,1.0,652.1234439834025,False,0.00212709078740962,0.5,338107,0.0,0.0,10,0,0,10,8,6.75,11,21,24,132.0,89.0,9,11,24,1196,1.5714930570102297,9.815094855963252
4,24,0,0,0,10.0,20,10.0,16.73468712792697,6,11.0,21.4798663777537,24,23.458333333333332,38.0,20,38.0,0,0.2,37509,2,34,1.0,588.979362349517,False,0.006348720382663659,6,0.683,35687,48,0,0.0,480.0,False,-0.04360441900705444,0,0.2,59333,0,7,0.0,150.35906464427592,False,0.004110192382694797,17,0.8920000000000001,55705.0,55,0,0.0,920.4077920359834,False,-0.05070220745342698,0,0.20900000000000002,74558,21,10,1.0,831.0771939328278,False,0.0026015137534123258,0,0.20900000000000002,74992,3,10,1.0,444.43959913326114,False,0.005820080498089512,0.5,337784,0.0,0.0,12,0,0,16,6,6.0,11,27,21,210.0,72.0,15,9,21,1268,1.710701183998026,11.525796039961278
5,21,0,0,0,10.0,20,10.0,18.006596197199475,25,22.16,22.883613164444114,8,40.375,38.0,20,38.0,0,0.2,37823,7,28,1.0,574.1846935215854,False,0.014510644130461695,9,0.7670000000000001,35511,53,0,0.0,530.0,False,-0.04762411819512844,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,1,0.8850000000000002,55131.0,80,0,0.0,1440.527695775958,False,-0.056008385905721596,3,0.23900000000000002,74898,12,10,1.0,654.6033579733294,False,0.005968275571840583,0,0.20900000000000002,74950,0,13,1.0,494.0,False,0.005589804624292916,0.5,337954,0.0,0.0,12,0,0,10,4,3.2,9,19,14,132.0,61.0,9,12,14,1466,1.3458075849921443,12.871603624953423
6,14,0,0,0,10.0,20,10.0,19.775239201139797,30,25.433333333333334,20.02979743268879,53,14.81132075471698,38.0,20,38.0,0,0.2,38386,10,15,1.0,396.62858801709694,False,0.027134681059724355,7,0.8280000000000001,35331,60,0,0.0,600.0,False,-0.05148409423665646,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,53,1.4140000000000001,51617.0,110,0,0.0,2175.276312125378,False,-0.109192290102887,0,0.23600000000000002,75015,18,11,1.0,778.5363537883982,False,0.008361547719201893,0,0.20900000000000002,74808,27,12,1.0,996.8045306825974,False,0.007052812492027142,0.5,334798,0.0,0.0,14,0,0,10,9,9.0,8,18,13,129.0,48.0,8,6,13,1653,1.0957522080279887,13.967355832981411
7,13,0,0,0,10.0,20,10.0,20.415114351111104,30,22.833333333333332,19.266861495647262,26,15.307692307692308,38.0,20,38.0,5,0.25,38756,9,10,1.0,294.15114351111106,False,0.03562027343951973,10,0.921,35055,71,0,0.0,710.0,False,-0.05736723013443365,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,26,1.6210000000000004,50117.0,140,0,0.0,2858.1160091555544,False,-0.12877447807694117,0,0.23600000000000002,75337,14,10,1.0,649.7360609390616,False,0.011806363156361143,0,0.20900000000000002,74848,37,13,1.0,1206.8738753389487,False,0.008992323214665632,0.5,333754,0.0,0.0,12,0,0,10,7,6.25,9,19,16,114.0,61.0,8,5,16,960,1.1734885539626703,15.140844386944082
8,16,0,0,0,10.0,20,10.0,20.178476259913936,3,10.0,18.84238167545594,16,15.0,38.0,20,38.0,0,0.24500000000000002,38676,7,20,1.0,473.5695251982787,False,0.03587873719151182,3,0.9410000000000001,34893,83,0,0.0,830.0,False,-0.06008252362571543,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,16,1.7550000000000003,49658.0,143,0,0.0,2885.5221051676926,False,-0.13630083575451962,2,0.256,75463,20,10,1.0,756.8476335091189,False,0.01420751570299891,0,0.20900000000000002,75152,27,15,1.0,1078.7443052373103,False,0.012200914061683847,0.5,333483,0.0,0.0,9,0,0,14,5,4.333333333333333,8,22,17,168.0,75.0,11,5,17,732,1.3492543680476956,16.490098754991777
9,17,0,0,0,10.000000000000002,20,10.0,20.178476259913936,0,,18.506800866061017,11,14.090909090909092,37.99999999999999,20,38.0,0,0.24500000000000002,38616,3,30,1.0,635.354287797418,False,0.03643490333817949,0,0.9380000000000002,34753,97,0,0.0,970.0000000000002,False,-0.06194596033541861,0,0.2,59641,0,0,0.0,0.0,False,0.008045297050621144,11,1.8490000000000004,49418.0,143,0,0.0,2885.5221051676926,False,-0.14035728804895045,0,0.254,75676,11,14,1.0,735.5748095266711,False,0.016913671014099383,0,0.20900000000000002,75544,27,11,1.0,917.6836233836474,False,0.01636611631195681,0.5,333648,0.0,0.0,11,0,0,10,2,2.0,13,23,13,141.0,46.0,12,5,13,960,1.4861605880432762,17.976259343035053
