index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,24.0,0,,32.0,0,,42.0,0,,0,0.2,51513,1,10,1.0,250.0,False,0.0002905681576041687,0,0.2,51533.0,9,0,0.0,90.0,False,-0.0008717044728125061,0,0.2,78982,0,0,0.0,0.0,False,0.0,0,0.2,78982,0,0,0.0,0.0,False,0.0,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.2,101696,0,0,0.0,0.0,False,0.0,0.16666666666666666,464402,0.0,0.0,7,0,0,153,0,0.0,498,651,68,0.0,0.0,0,0,68,200,2.7087270339834504,2.7087270339834504
1,68,0,0,0,10.0,20,10.0,24.0,0,,32.0,0,,42.0,0,,0,0.2,51403,2,20,1.0,500.0,False,0.0005811363152083374,0,0.2,51443.0,18,0,0.0,180.0,False,-0.0017434089456250122,0,0.2,78982,0,0,0.0,0.0,False,0.0,0,0.2,78982,0,0,0.0,0.0,False,0.0,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.2,101696,0,0,0.0,0.0,False,0.0,0.16666666666666666,464202,0.0,0.0,7,0,0,32,0,0.0,27,59,53,772.0,240.0,46,22,53,200,6.0153699109796435,8.724096944963094
2,53,0,0,0,10.0,20,10.0,16.823529411764707,23,2.782608695652174,32.0,0,,42.0,0,,0,0.2,51303,2,30,1.0,524.7058823529412,False,-0.0011166933115768466,23,0.43000000000000005,50492.0,28,0,0.0,280.0,False,-0.019196869612382077,0,0.2,78954,0,10,1.0,320.0,False,0.0016712668709326175,0,0.2,78946,3,10,1.0,370.47058823529414,False,0.001889484871459959,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.2,101696,0,0,0.0,0.0,False,0.0,0.5,463087,0.0,0.0,6,0,0,22,6,6.0,19,41,42,437.0,175.0,29,24,42,200,6.174061869038269,14.898158814001363
3,42,0,0,0,10.0,20,10.0,15.55952380952381,6,2.6666666666666665,29.272727272727273,10,17.0,42.0,7,42.0,0,0.2,51213,1,40,1.0,632.3809523809524,False,-0.001817204033270569,6,0.4670000000000001,50219.0,39,0,0.0,390.0,False,-0.023419793502895997,0,0.2,79023,0,11,0.6,322.0,False,0.0025575447570332483,0,0.2,79031,0,8,0.3,234.1818181818182,False,0.002102895711566075,0,0.2,101696,0,0,0.0,0.0,False,0.0,7,0.27,101446,0,10,1.0,420.0,False,-0.0003933291378225299,0.4833333333333334,462628,0.0,0.0,9,0,0,20,4,4.0,10,30,31,210.0,84.0,17,25,31,370,5.357052423001733,20.255211237003095
4,31,0,0,0,10.0,20,10.0,16.911530815109344,20,21.0,29.272727272727273,0,,42.0,11,42.0,0,0.2,51558,0,33,0.8,558.0805168986084,False,0.0041462189033823265,5,0.5110000000000001,49949.0,52,0,0.0,520.0,False,-0.027390891656819634,0,0.2,78668,5,21,1.0,699.2849268028194,False,0.0004512732445545957,0,0.2,78966,0,13,0.5,380.54545454545456,False,0.0022064866333179793,0,0.2,101696,0,0,0.0,0.0,False,0.0,1,0.273,101858,0,0,0.0,0.0,False,0.0015929830081812461,0.3833333333333333,462695,0.0,0.0,11,0,0,19,2,2.0,9,28,23,130.0,62.0,15,16,23,1035,4.95053013402503,25.205741371028125
5,23,0,0,0,10.0,20,10.0,20.998790379963,40,28.4,26.878048780487806,12,17.0,42.00000000000001,11,42.0,0,0.2,52483,2,10,1.0,229.98790379963,False,0.018886813085249102,7,0.5760000000000001,49757.0,60,0,0.0,600.0,False,-0.03033531565387521,0,0.2,78124,21,25,1.0,1112.9258174914182,False,-0.0038177950831111617,0,0.2,78578,4,17,1.0,540.9219907881447,False,-0.0016907523816304076,0,0.2,101696,0,0,0.0,0.0,False,0.0,11,0.382,101473,2,10,1.0,473.75609756097566,False,0.00013646602403723495,0.6666666666666666,462111,0.0,0.0,12,0,0,12,5,5.0,11,23,21,115.0,66.0,9,14,21,1449,3.305818098015152,28.511559469043277
6,21,0,0,0,10.0,20,10.0,22.91040099395164,16,35.0,25.9119804400978,6,17.0,42.00000000000001,13,42.0,6,0.26,52729,6,10,1.0,289.1040099395164,False,0.024224706138150802,0,0.5690000000000002,49697.0,66,0,0.0,660.0,False,-0.030916451969083547,0,0.2,77564,27,35,1.0,1525.5001422401174,False,-0.008296193169075795,0,0.2,78680,0,15,0.4,388.679706601467,False,-0.001363097246198785,0,0.2,101696,0,0,0.0,0.0,False,0.0,3,0.401,101767,0,8,0.8,336.00000000000006,False,0.002350141598489616,0.5333333333333333,462133,0.0,0.0,11,0,0,11,2,0.975,12,23,23,96.0,66.0,9,12,23,638,2.634347240033094,31.14590670907637
7,23,0,0,0,10.0,20,10.0,23.714760797373987,45,25.6,26.168109118604168,17,27.0,42.000000000000014,13,42.0,18,0.43400000000000005,53005,9,10,1.0,327.14760797373987,False,0.029939635511048692,17,0.7390000000000001,49204.0,73,0,0.0,730.0,False,-0.03978846638126417,0,0.2,77249,46,40,1.0,2137.60336142337,False,-0.008409489748149198,0,0.2,78302,6,13,1.0,482.4739833260981,False,-0.005555227878971716,0,0.2,101696,0,0,0.0,0.0,False,0.0,5,0.44800000000000006,101596,7,10,1.0,603.1767638302292,False,0.0019822646113428297,0.6666666666666666,461052,0.0,0.0,11,0,0,16,6,5.175,9,25,25,144.0,51.0,11,12,25,953,2.878318922012113,34.024225631088484
8,25,0,0,0,10.0,20,10.0,20.59153368645051,76,15.026315789473685,27.799109917349465,5,49.0,42.00000000000001,12,42.0,17,0.5860000000000001,53359,7,10,1.0,275.9153368645051,False,0.03630082847630422,49,1.212,47694.0,85,0,0.0,850.0,False,-0.0678767216163338,0,0.2,76805,48,50,1.0,2378.3491128170976,False,-0.012506969228323629,0,0.2,77849,60,18,1.0,1735.8759996993208,False,-0.003355979845412134,0,0.2,101696,0,0,0.0,0.0,False,0.0,2,0.4630000000000001,101755,2,10,1.0,475.59821983469897,False,0.0029184934502571617,0.6666666666666666,459158,0.0,0.0,11,0,0,15,5,3.833333333333333,9,24,24,147.0,57.0,11,14,24,781,2.9347017540130764,36.95892738510156
9,24,0,0,0,10.000000000000002,20,10.0,19.953319335829338,12,9.833333333333334,28.10802546983821,5,32.0,42.00000000000001,9,42.0,0,0.5690000000000002,53289,4,20,1.0,439.06638671658675,False,0.036525060406374925,12,1.2830000000000004,47279.0,98,0,0.0,980.0000000000002,False,-0.07465664529376441,0,0.2,76719,46,60,1.0,2604.334217638442,False,-0.01216521348130937,0,0.2,77977,54,23,1.0,1723.963829941063,False,-0.001810768086772568,0,0.2,101696,0,0,0.0,0.0,False,0.0,0,0.4610000000000001,101973,0,8,0.7,336.00000000000006,False,0.004375786658275645,0.6166666666666667,458933,0.0,0.0,9,0,0,15,3,3.0,10,25,18,167.0,49.0,13,11,18,738,2.9320021420135163,39.89092952711508
