index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,27.0,0,,37.0,0,,0,0.2,41125.0,13,0,0.0,130.0,False,-0.0015755665979881226,0,0.2,41185,0,7,0.7,112.0,False,-0.00033935280572051875,0,0.2,66303,0,0,0.0,0.0,False,0.0,0,0.2,66303,0,0,0.0,0.0,False,0.0,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.2,97392,0,0,0.0,0.0,False,0.0,0.11666666666666665,409700,0.0,0.0,9,0,0,278,0,0.0,867,1145,68,0.0,0.0,0,0,68,200,1.4993283301591873,1.4993283301591873
1,68,0,0,0,10.0,20,10.0,16.0,0,,27.0,0,,37.0,0,,0,0.2,40985.0,27,0,0.0,270.0,False,-0.0032723306265907163,0,0.2,41125,0,13,0.6,208.0,False,-0.000630226639195249,0,0.2,66303,0,0,0.0,0.0,False,0.0,0,0.2,66303,0,0,0.0,0.0,False,0.0,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.2,97392,0,0,0.0,0.0,False,0.0,0.09999999999999999,409500,0.0,0.0,8,0,0,33,0,0.0,25,58,60,756.0,393.0,42,26,60,200,2.7994424188509583,4.298770749010146
2,60,0,0,0,10.0,20,10.0,14.25,15,9.0,27.0,0,,37.0,0,,10,0.30000000000000004,40745.0,39,0,0.0,390.0,False,-0.007635438128711671,0,0.2,41090,0,16,0.8,228.0,False,-0.0012362137922676038,0,0.2,66258,0,5,0.5,135.0,False,0.0003393511605809692,0,0.2,66213,0,10,1.0,270.0,False,0.0006787023211619384,0,0.2,97392,0,0,0.0,0.0,False,0.0,0,0.2,97392,0,0,0.0,0.0,False,0.0,0.3833333333333333,409090,0.0,0.0,11,0,0,25,2,2.0,23,48,57,528.0,201.0,31,29,57,245,2.952195717021823,7.250966466031969
3,57,0,0,0,10.0,20,10.0,11.904494382022472,35,8.285714285714286,27.0,0,,37.0,9,37.0,25,0.54,40160.0,50,0,0.0,500.0,False,-0.020482365773845594,0,0.2,41090,0,15,0.9,178.56741573033707,False,-0.001835324012479169,0,0.2,66093,10,15,1.0,524.0449438202247,False,0.0007846171652882938,0,0.2,66088,5,20,1.0,599.5224719101124,False,0.0012783921686055665,0,0.2,97392,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,97279,0,0,0.0,0.0,False,-0.001160259569574503,0.48333333333333334,408102,0.0,0.0,12,0,0,30,9,9.0,17,47,40,414.0,162.0,28,29,40,290,2.84821873344481,10.099185199476779
4,40,0,0,0,10.0,20,10.0,11.341219768664564,15,8.333333333333334,24.454545454545453,10,13.0,36.99999999999999,9,37.0,15,0.665,39820.0,62,0,0.0,620.0,False,-0.027269421888255967,0,0.2,41010,0,23,0.8,260.848054679285,False,-0.002777262699317837,0,0.2,65968,15,25,1.0,781.4819328936048,False,0.0008407005180278355,0,0.2,66218,0,15,0.5,366.8181818181818,False,0.0014842328538540981,0,0.2,97392,0,0,0.0,0.0,False,0.0,9,0.37100000000000005,97030,0,10,1.0,369.99999999999994,False,-0.0018173977328733366,0.5499999999999999,407438,0.0,0.0,10,0,0,17,7,7.0,17,34,30,273.0,111.0,16,24,30,330,1.798227940686047,11.897413140162826
5,30,0,0,0,10.0,20,10.0,12.714752739662954,23,17.82608695652174,24.454545454545453,0,,37.0,13,37.0,10,0.7500000000000002,39575.0,74,0,0.0,740.0,False,-0.031753726820991396,0,0.2,41255,0,18,0.8,228.86554931393317,False,0.0027737916533018747,0,0.2,65928,10,35,1.0,983.0566183057205,False,0.00175751186451374,0,0.2,65848,8,25,1.0,713.08165828094,False,-0.0014849881733786606,0,0.2,97392,0,0,0.0,0.0,False,0.0,3,0.392,97379,0,0,0.0,0.0,False,-0.00013348118942007556,0.4666666666666666,407377,0.0,0.0,15,0,0,18,3,2.6,15,33,32,225.0,67.0,15,15,32,821,1.8294558925554156,13.726869032718241
6,32,0,0,0,10.0,20,10.0,14.249682034363415,32,18.9375,23.43243243243243,6,15.0,37.0,6,37.0,9,0.8300000000000001,39385.0,82,0,0.0,820.0,False,-0.03538964973942552,5,0.25,41569,2,10,1.0,162.49682034363414,False,0.009580618353455693,0,0.2,65552,22,45,1.0,1367.9524642154545,False,-0.001010870818700078,0,0.2,65708,8,29,1.0,793.5379968154479,False,-0.0029897742423762174,0,0.2,97392,0,0,0.0,0.0,False,0.0,6,0.44900000000000007,97229,0,6,0.6,222.0,False,-0.0005339247576803023,0.6,406835,0.0,0.0,10,0,0,21,6,5.384615384615385,11,32,22,174.0,135.0,14,18,22,520,2.038219585083425,15.765088617801666
7,22,0,0,0,10.0,20,10.0,15.214748396823166,76,16.69736842105263,23.43243243243243,0,,37.0,11,37.0,51,1.3310000000000002,38457.0,95,0,0.0,950.0,False,-0.05630832626348321,15,0.395,41746,0,9,0.9,136.9327355714085,False,0.013561177258167554,0,0.2,64888,58,55,1.0,2171.2391907995275,False,-0.004967805447720817,0,0.2,65103,28,39,1.0,1339.8778199759136,False,-0.007994526492195486,0,0.2,97392,0,0,0.0,0.0,False,0.0,5,0.4930000000000001,97404,0,0,0.0,0.0,False,0.0001232134056185313,0.48333333333333334,404990,0.0,0.0,14,0,0,18,10,9.285714285714285,13,31,18,168.0,63.0,11,11,18,422,1.4779406348243356,17.243029252626002
8,18,0,0,0,10.0,20,10.0,15.362653907778169,23,16.47826086956522,25.030937215650592,5,41.0,37.00000000000001,11,37.0,10,1.3800000000000001,38257.0,102,0,0.0,1020.0,False,-0.060307841473760754,4,0.42000000000000004,41839,3,10,1.0,183.6265390777817,False,0.016381366368655732,0,0.2,64509,71,65,1.0,2717.7593464695383,False,-0.006562603905784517,0,0.2,65308,18,44,1.0,1377.889007828633,False,-0.004616012791060473,0,0.2,97392,0,0,0.0,0.0,False,0.0,11,0.5980000000000001,97030,0,5,0.5,185.00000000000003,False,-0.002767167734516182,0.5833333333333334,404335,0.0,0.0,9,0,0,10,9,8.307692307692307,15,25,25,129.0,45.0,8,10,25,405,1.46168540045619,18.704714653082192
9,25,0,0,0,10.000000000000002,20,10.0,15.809433133970774,63,17.063492063492063,26.59569520307176,43,28.3953488372093,37.0,10,37.0,37,1.7400000000000002,37601.0,112,0,0.0,1120.0000000000002,False,-0.07499697006423464,16,0.5760000000000001,41994,3,10,1.0,188.09433133970774,False,0.020192635211970848,0,0.2,64534,106,57,1.0,3191.7545387759924,False,-0.002611084424716802,0,0.2,65429,26,29,1.0,1182.3204223723212,False,-0.004265867137442385,0,0.2,97392,0,0,0.0,0.0,False,0.0,5,0.6370000000000001,95947,33,10,1.0,1247.6579417013681,False,-0.008431606591396848,0.6666666666666666,402897,0.0,0.0,16,0,0,14,8,7.230769230769231,14,28,27,186.0,129.0,12,13,27,1606,1.5940170576795936,20.298731710761786
