index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,17,10.0,15.0,0,,22.0,0,,27.0,0,,0,0.2,31399,0,8,0.8,120.0,False,-0.0006353441977191143,0,0.2,31389,0,9,0.9,135.0,False,-0.0007147622224340036,0,0.2,48400,0,0,0.0,0.0,False,0.0,0,0.2,48400.0,0,0,0.0,0.0,False,0.0,0,0.2,60991,0,0,0.0,0.0,False,0.0,0,0.2,60991,0,0,0.0,0.0,False,0.0,0.2833333333333334,281570,0.0,0.0,4,0,0,197,0,0.0,587,784,194,0.0,0.0,0,0,194,170,5.198450138792396,5.198450138792396
1,194,0,0,0,9.999999999999998,17,10.0,15.0,0,,22.0,0,,27.0,0,,0,0.2,31269,3,18,1.0,300.0,False,-0.001906032593157343,0,0.2,31349,0,13,0.4,195.0,False,-0.0010324343212935608,0,0.2,48400,0,0,0.0,0.0,False,0.0,0,0.2,48400.0,0,0,0.0,0.0,False,0.0,0,0.2,60991,0,0,0.0,0.0,False,0.0,0,0.2,60991,0,0,0.0,0.0,False,0.0,0.2333333333333333,281400,0.0,0.0,5,0,0,79,0,0.0,115,194,105,3276.0,141.0,182,12,105,170,11.501810413785279,16.700260552577674
2,105,0,0,0,10.0,20,10.0,15.0,0,,20.823529411764707,6,12.0,27.0,0,,0,0.2,31159,4,28,1.0,460.0,False,-0.0028590488897360143,0,0.2,31259,0,22,0.9,330.0,False,-0.0017471965437275644,0,0.2,48400,0,0,0.0,0.0,False,0.0,6,0.26,48316.0,0,0,0.0,0.0,False,-0.0017355371900826446,0,0.2,60991,0,0,0.0,0.0,False,0.0,0,0.2,60919,0,6,0.6,162.0,False,0.00014756275516059747,0.4166666666666667,281044,0.0,0.0,5,0,0,41,1,1.0,20,61,107,248.0,168.0,49,56,107,200,9.63800593931228,26.338266491889954
3,107,0,0,0,9.999999999999998,13,10.0,15.571428571428571,4,22.0,19.513914656771803,8,12.0,27.0,20,27.0,0,0.2,31059,4,38,1.0,631.7142857142857,False,-0.003308328000980295,0,0.2,31317,0,21,0.3,327.0,False,4.7650814828933574e-05,0,0.2,48400,0,0,0.0,0.0,False,0.0,8,0.3340000000000001,48116.0,4,0,0.0,62.285714285714285,False,-0.005224321133412086,12,0.32000000000000006,60871,0,0,0.0,0.0,False,-0.0019675034021412996,2,0.22000000000000003,60975,0,8,0.8,216.0,False,0.0015084192749749963,0.35000000000000003,280738,0.0,0.0,6,0,0,47,5,4.666666666666666,9,56,86,514.0,186.0,45,62,86,353,8.351953032426536,34.69021952431649
4,86,0,0,0,9.999999999999998,14,10.0,16.63855421686747,14,20.0,17.83106702927532,14,12.0,27.0,20,27.0,0,0.2,31199,8,34,1.0,645.710843373494,False,0.0013613971754740857,0,0.2,31317,0,21,0.0,349.4096385542168,False,0.0004035966605389994,0,0.2,48384,0,2,0.2,35.66213405855064,False,3.783196341482685e-05,14,0.4660000000000001,47600.0,16,0,0.0,266.2168674698795,False,-0.013778751369112842,9,0.398,60714,0,7,0.7,189.0,False,-0.0029922447574232264,3,0.24800000000000003,61088,0,7,0.7,189.0,False,0.003139807512583824,0.4333333333333333,280302,0.0,0.0,7,0,0,34,7,6.2,10,44,72,489.0,159.0,33,53,72,528,5.363173077814281,40.05339260213077
5,72,0,0,0,9.999999999999998,14,10.0,17.486302267662868,24,19.333333333333332,15.875577816818057,24,11.291666666666666,27.0,20,27.0,0,0.2,31224,12,33,1.0,697.0479748328746,False,0.0029709961376294127,0,0.2,31616,0,8,0.0,139.89041814130294,False,0.006574071891440354,0,0.2,48219,1,12,1.0,207.99323606947954,False,-0.0015909789662243781,24,0.6920000000000002,46731.0,29,0,0.0,507.10276576222316,False,-0.02924480613882006,4,0.42900000000000005,60784,0,9,0.9,243.0,False,-0.001401846174025676,2,0.265,61095,5,10,1.0,349.37788908409027,False,0.00456934538771369,0.65,279669,0.0,0.0,10,0,0,40,5,4.133333333333334,8,48,62,489.0,99.0,38,34,62,847,5.367599065415561,45.42099166754633
6,62,0,0,0,9.999999999999998,7,10.0,17.486302267662868,0,,15.284463430287063,13,12.0,27.0,20,27.0,0,0.2,31154,9,43,1.0,841.9109975095033,False,0.003048238468653789,0,0.2,31616,0,8,0.0,139.89041814130294,False,0.006574071891440354,0,0.2,48219,0,13,0.1,198.69802459373182,False,-0.001687003878163944,13,0.7980000000000003,46501.0,29,0,0.0,507.10276576222316,False,-0.03399687225452254,1,0.43500000000000005,60866,3,10,1.0,315.85339029086117,False,0.0005398615393325863,0,0.263,61365,0,5,0.5,135.0,False,0.007238772933711531,0.43333333333333335,279721,0.0,0.0,6,0,0,30,3,2.25,8,38,57,468.0,108.0,26,36,57,502,3.6459754137322307,49.06696708127856
7,57,0,0,0,9.999999999999998,10,10.0,18.157808606389704,12,22.0,17.841459219006726,64,20.90625,27.0,20,27.0,0,0.2,31208,9,46,1.0,925.2591958939264,False,0.006087537658342432,0,0.2,31726,0,3,0.0,54.47342581916911,False,0.008711735217433328,0,0.2,48065,0,20,0.7,356.8291843801345,False,-0.0032352356985522555,64,1.4250000000000003,45624.0,34,0,0.0,617.36549261725,False,-0.05097762920849953,2,0.45400000000000007,59872,50,10,1.0,1162.0729609503364,False,-0.008820375457441817,3,0.29300000000000004,61401,0,7,0.7,189.0,False,0.008271712219835713,0.5666666666666668,277896,0.0,0.0,8,0,0,29,4,3.0,5,34,28,414.0,98.0,23,34,28,634,3.4097127662971616,52.476679847575724
8,28,0,0,0,10.0,11,10.0,18.702833149516103,12,22.0,19.178332538777266,60,22.0,27.0,20,27.0,0,0.2,31362,10,44,1.0,922.9246585787085,False,0.010942607112340153,0,0.2,31726,0,3,0.0,56.10849944854831,False,0.008737706081015121,0,0.2,48065,0,20,0.0,383.5666507755453,False,-0.002959022202731898,60,1.9610000000000005,45120.0,46,0,0.0,860.3303248777407,False,-0.05888088507357709,0,0.45200000000000007,58687,100,15,1.0,2322.8332538777267,False,-0.018733638947732188,8,0.37000000000000005,61530,0,0,0.0,0.0,False,0.008837369447951337,0.3333333333333333,276490,0.0,0.0,8,0,0,28,3,2.6,2,30,12,360.0,24.0,20,8,12,644,2.5992114320397377,55.07589127961546
9,12,0,0,0,10.0,12,10.0,19.119068470556343,11,22.0,19.911798478321725,59,22.0,26.999999999999996,20,27.0,0,0.2,31484,12,43,1.0,942.1199442339228,False,0.015123097052541699,0,0.2,31726,0,3,0.0,57.35720541166903,False,0.008757540033223207,0,0.2,48065,0,20,0.0,398.2359695664345,False,-0.0028074796532393128,59,2.491000000000001,44642.0,57,0,0.0,1089.7869028217115,False,-0.06638649893779225,0,0.45200000000000007,57605,149,17,1.0,3425.857973269937,False,-0.02743144092349737,12,0.48200000000000004,61411,0,0,0.0,0.0,False,0.0068862619074945485,0.3333333333333333,274933,0.0,0.0,6,0,0,10,4,4.0,3,13,15,36.0,45.0,2,10,15,578,1.038523705676198,56.11441498529166
