index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,28.0,0,,42.0,0,,57.0,0,,0,0.2,50432,1,10,1.0,220.0,False,0.0,0,0.2,50452,9,0,0.0,90.0,False,-0.0008903486209489138,0,0.2,65853,0,0,0.0,0.0,False,0.0,0,0.2,65853,0,0,0.0,0.0,False,0.0,0,0.2,102718.0,0,0,0.0,0.0,False,0.0,0,0.2,102718,0,0,0.0,0.0,False,0.0,0,0.2,140327,0,0,0.0,0.0,False,0.0,0,0.2,140327,0,0,0.0,0.0,False,0.0,0.125,718680,0.0,0.0,8,0,0,217,0,0.0,705,922,184,0.0,0.0,0,0,184,200,8.612942692823708,8.612942692823708
1,184,0,0,0,10.0,20,10.0,21.0,0,,28.0,0,,26.425531914893618,49,12.122448979591837,57.0,0,,0,0.2,50362,0,18,0.8,378.0,False,0.00017806972418978276,0,0.2,50322,22,0,0.0,220.0,False,-0.002176407740097345,0,0.2,65853,0,0,0.0,0.0,False,0.0,0,0.2,65853,0,0,0.0,0.0,False,0.0,27,0.4700000000000001,100923.0,0,0,0.0,0.0,False,-0.01747502871940653,22,0.42000000000000004,101709,0,0,0.0,0.0,False,-0.00982301057263576,0,0.2,140255,0,9,0.9,513.0,False,0.001314786177998532,0,0.2,139805,40,0,0.0,1057.0212765957447,False,4.63961910244267e-05,0.21250000000000002,715082,0.0,0.0,7,0,0,28,12,12.0,160,188,143,2696.0,78.0,174,10,143,200,36.174440898001194,44.7873835908249
2,143,0,0,0,10.0,20,10.0,20.404255319148938,2,7.0,28.0,0,,23.728873239436616,29,15.862068965517242,57.0,0,,0,0.2,50242,2,28,1.0,591.3191489361702,False,-8.587759748166475e-05,2,0.22000000000000003,50206,30,0,0.0,300.0,False,-0.0036801076332555103,0,0.2,65853,0,0,0.0,0.0,False,0.0,0,0.2,65839,0,2,0.2,56.0,False,0.000212594718539778,10,0.543,100372.0,0,0,0.0,0.0,False,-0.02283922973578146,19,0.5880000000000001,100971,0,0,0.0,0.0,False,-0.017007729901283124,0,0.2,140255,0,9,0.0,513.0,False,0.001314786177998532,0,0.2,139345,69,0,0.0,1637.2922535211264,False,-0.0011640943883887112,0.15,713083,0.0,0.0,7,0,0,39,9,9.0,52,91,72,1214.0,286.0,76,67,72,200,19.63837142661214,64.42575501743704
3,72,0,0,0,10.0,20,10.0,19.30443974630021,5,10.0,28.0,0,,21.587199060481502,34,15.147058823529411,57.0,0,,0,0.2,50132,3,38,1.0,763.568710359408,False,-0.0005582613434429778,5,0.268,50041,39,0,0.0,390.0,False,-0.006054370622452614,0,0.2,65803,0,5,0.5,140.0,False,0.00030370674077111144,0,0.2,65839,0,2,0.0,56.0,False,0.000212594718539778,14,0.673,99593.0,0,0,0.0,0.0,False,-0.030423100138242568,20,0.7690000000000001,100224,0,0,0.0,0.0,False,-0.024280067758328628,0,0.2,140255,0,9,0.0,513.0,False,0.001314786177998532,0,0.2,138830,103,0,0.0,2223.4815032295946,False,-0.0027454392125906336,0.1875,710717,0.0,0.0,7,0,0,16,6,6.0,46,62,27,677.0,300.0,47,25,27,200,5.956719756126404,70.38247477356344
4,27,0,0,0,10.0,20,10.0,16.31710100817957,10,3.6,29.5,5,43.0,19.17976090913563,40,11.8,57.0,11,57.0,0,0.2,50074,1,46,1.0,760.5866463762602,False,-0.001735322638832407,8,0.3430000000000001,49717,51,0,0.0,510.0,False,-0.011277749198686241,0,0.2,65786,0,12,0.7,354.0,False,0.0016703870742411128,3,0.23,65933,0,3,0.3,88.5,False,0.0018867781270405298,18,0.8390000000000002,98546.0,0,0,0.0,0.0,False,-0.040616055608559354,22,0.9690000000000003,99096,5,0,0.0,147.5,False,-0.03454360482096614,0,0.2,140255,0,9,0.0,513.0,False,0.001314786177998532,11,0.31000000000000005,138122,143,0,0.0,2742.705810006395,False,-0.0059407462213030395,0.25,707529,0.0,0.0,10,0,0,9,13,12.6,23,32,27,238.0,67.0,18,9,27,222,3.6433982951566577,74.0258730687201
5,27,0,0,0,10.0,20,10.0,16.161519518792133,27,15.888888888888888,29.5,0,,18.541743748595792,21,14.095238095238095,57.00000000000001,7,57.0,0,0.2,50295,1,45,1.0,737.2683783456459,False,0.002406596279783596,16,0.49500000000000005,49282,61,0,0.0,610.0,False,-0.018895176289026948,0,0.2,65784,0,14,0.2,413.0,False,0.002087983842801391,0,0.227,65506,15,13,1.0,625.922792781882,False,-0.000516887668125431,10,0.921,98047.0,0,0,0.0,0.0,False,-0.04547401623863393,11,1.0570000000000002,98799,5,0,0.0,147.5,False,-0.03743501625810471,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,7,0.369,137705,164,0,0.0,3040.8459747697098,False,-0.007850071708332202,0.275,705673,0.0,0.0,10,0,0,9,10,10.0,25,34,30,287.0,73.0,20,7,30,521,3.699703331105411,77.72557639982551
6,30,0,0,0,10.0,20,10.0,20.370941343027166,39,27.58974358974359,29.5,0,,17.217149915705296,53,13.452830188679245,57.00000000000001,9,57.0,0,0.2,51175,0,24,1.0,488.90259223265195,False,0.0173608344766002,8,0.5589999999999999,49058,72,0,0.0,720.0,False,-0.022238929998812867,0,0.2,65152,11,24,1.0,932.0803547732988,False,-0.0035679440969029965,0,0.227,65062,23,23,1.0,1147.0316508896249,False,-0.003302570491172492,27,1.181,96285.0,0,0,0.0,0.0,False,-0.06262777702058062,26,1.3060000000000003,97671,5,0,0.0,147.5,False,-0.04841653848400475,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,9,0.45200000000000007,136812,217,0,0.0,3736.121531708049,False,-0.011736438704924749,0.375,701470,0.0,0.0,11,0,0,17,16,16.0,22,39,28,330.0,34.0,24,6,28,1170,3.937302245758474,81.66287864558399
7,28,0,0,0,10.0,20,10.0,19.93363296275168,20,17.85,32.607142857142854,25,38.2,16.54196922777858,77,14.935064935064934,57.00000000000001,11,57.0,0,0.2,51395,0,24,1.0,478.40719110604033,False,0.02160982144657953,10,0.651,48735,82,0,0.0,820.0,False,-0.02764037829923628,0,0.2,65000,21,29,1.0,1364.213435074928,False,-0.002595072091818705,0,0.227,65812,13,13,1.0,683.0300856586289,False,0.004563422210519076,32,1.4740000000000002,93863.0,5,0,0.0,163.03571428571428,False,-0.08541328825383229,45,1.7300000000000002,93973,25,0,0.0,815.1785714285713,False,-0.08116796193739861,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,11,0.553,135426,294,0,0.0,4863.338952966902,False,-0.017596973665200185,0.375,694459,0.0,0.0,12,0,0,11,16,16.0,25,36,28,283.0,39.0,20,8,28,1475,3.241228978149593,84.90410762373358
8,28,0,0,0,10.0,20,10.0,20.798099931976164,53,22.49056603773585,34.61986301369863,10,47.3,15.087844444073621,41,6.780487804878049,57.00000000000001,10,57.0,10,0.30000000000000004,52035,3,10,1.0,237.98099931976165,False,0.03189407818566495,19,0.8310000000000002,48274,89,0,0.0,890.0,False,-0.036069011910886,0,0.2,64504,32,38,1.0,1981.093992343785,False,-0.005443229675612473,0,0.227,65589,35,14,1.0,1212.6115798109465,False,0.005198028789963545,34,1.7820000000000003,91195.0,9,0,0.0,311.57876712328766,False,-0.11066425180044742,7,1.7550000000000003,93506,31,0,0.0,1073.2157534246574,False,-0.08445834345769655,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,10,0.6420000000000001,134941,335,0,0.0,5054.427888764663,False,-0.02037231648661822,0.375,690299,0.0,0.0,11,0,0,15,14,13.588235294117647,19,34,20,272.0,27.0,19,9,20,1183,2.808413197286427,87.71252082102001
9,20,0,0,0,10.000000000000002,20,10.0,21.35926776695162,19,25.526315789473685,40.95894788593903,36,52.52777777777778,14.77984294706779,35,12.6,57.00000000000001,9,57.0,6,0.35000000000000003,52245,5,10,1.0,263.5926776695162,False,0.03630240866674758,3,0.8420000000000001,48122,97,0,0.0,970.0000000000002,False,-0.038284990700803295,0,0.2,65574,25,28,1.0,1680.8322349800833,False,0.008525292962963517,2,0.24700000000000003,65857,41,10,1.0,1285.3194573044068,False,0.009819745928844563,22,1.9680000000000004,88047.0,45,0,0.0,1843.1526548672564,False,-0.133856029834755,13,1.8780000000000003,93109,31,0,0.0,1269.72738446411,False,-0.087366735214548,0,0.2,140255,0,9,0.0,513.0000000000001,False,0.001314786177998532,9,0.7220000000000002,134326,370,0,0.0,5468.541890415082,False,-0.023279404924159027,0.375,687535,0.0,0.0,10,0,0,11,13,11.5,19,30,23,201.0,15.0,15,5,23,1275,2.4351653708145022,90.14768619183451
