index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,29.0,0,,43.0,0,,58.0,0,,0,0.2,40302.0,10,0,0.0,100.0,False,-0.0012375624969060937,0,0.2,40302.0,10,0,0.0,100.0,False,-0.0012375624969060937,0,0.2,56337,0,0,0.0,0.0,False,0.0,0,0.2,56337,0,0,0.0,0.0,False,0.0,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,110542,0,0,0.0,0.0,False,0.0,0,0.2,110542,0,0,0.0,0.0,False,0.0,0.0,570132,0.0,0.0,11,0,0,0,0,0.0,843,843,151,0.0,0.0,0,0,151,200,14.903140386973973,14.903140386973973
1,151,0,0,0,10.0,20,10.0,22.0,0,,29.0,0,,43.0,0,,58.0,0,,0,0.2,40202.0,20,0,0.0,200.0,False,-0.0024751249938121875,0,0.2,40202.0,20,0,0.0,200.0,False,-0.0024751249938121875,0,0.2,56337,0,0,0.0,0.0,False,0.0,0,0.2,56337,0,0,0.0,0.0,False,0.0,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,110542,0,0,0.0,0.0,False,0.0,0,0.2,110542,0,0,0.0,0.0,False,0.0,0.0,569932,0.0,0.0,11,0,0,32,0,0.0,42,74,50,936.0,822.0,52,99,50,200,26.052597061963752,40.955737448937725
2,50,0,0,0,10.0,20,10.0,18.742424242424242,21,11.761904761904763,29.0,0,,43.0,0,,58.0,0,,13,0.33000000000000007,39891.0,26,0,0.0,260.0,False,-0.009430226226424435,8,0.28,39930.0,34,0,0.0,340.0,False,-0.007474877481312806,0,0.2,56241,0,8,0.8,232.0,False,0.00035500647886823933,0,0.2,56186,3,10,1.0,346.22727272727275,False,0.0003925242090214188,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,110542,0,0,0.0,0.0,False,0.0,0,0.2,110542,0,0,0.0,0.0,False,0.0,0.225,569102,0.0,0.0,9,0,0,12,5,5.0,23,35,53,237.0,233.0,14,36,53,200,7.213888697035145,48.16962614597287
3,53,0,0,0,10.0,20,10.0,16.739077669902912,23,11.565217391304348,29.0,0,,43.0,0,,58.0,0,,13,0.44700000000000006,39549.0,35,0,0.0,350.0,False,-0.01678134745804663,10,0.372,39645.0,45,0,0.0,450.0,False,-0.013167664967080838,0,0.2,56078,4,18,1.0,588.9563106796116,False,0.0006297487501962495,0,0.2,56083,2,20,1.0,613.4781553398059,False,0.0009361357131175436,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,110542,0,0,0.0,0.0,False,0.0,0,0.2,110542,0,0,0.0,0.0,False,0.0,0.25,568209,0.0,0.0,10,0,0,12,5,5.0,29,41,56,297.0,282.0,19,34,56,200,8.024686057004146,56.19431220297702
4,56,0,0,0,10.0,20,10.0,15.565767805681347,23,11.782608695652174,29.0,0,,43.0,0,,58.0,20,58.0,9,0.5240000000000001,39309.0,44,0,0.0,440.0,False,-0.021607841195980398,14,0.502,39260.0,56,0,0.0,560.0,False,-0.021335577446661057,0,0.2,55963,4,28,1.0,874.2630712227253,False,0.001120605208146738,0,0.2,55927,5,30,1.0,947.8288390284067,False,0.0011345016510321785,0,0.2,77885,0,0,0.0,0.0,False,0.0,0,0.2,77885,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,110350,0,0,0.0,0.0,False,-0.0017368963832751353,11,0.31000000000000005,110292,0,0,0.0,0.0,False,-0.002261583832389499,0.25,566871,0.0,0.0,9,0,0,13,16,16.0,28,41,60,316.0,284.0,19,37,60,200,15.008312630990986,71.202624833968
5,60,0,0,0,10.0,20,10.0,14.72452028939918,27,12.0,30.142857142857142,4,43.0,43.0,0,,58.0,20,58.0,13,0.6450000000000002,39003.0,50,0,0.0,500.0,False,-0.028439186178902034,14,0.6280000000000001,38850.0,70,0,0.0,700.0,False,-0.029751002425622494,0,0.2,55967,8,34,1.0,1142.6533051723363,False,0.0035736133018472597,0,0.2,55771,8,40,1.0,1323.5104480294792,False,0.0016996862455356434,0,0.2,77713,0,4,0.4,172.0,False,-0.001104192078063812,0,0.2,77885,0,0,0.0,0.0,False,0.0,10,0.38100000000000006,110120,0,0,0.0,0.0,False,-0.0038175535090734744,10,0.399,110066,0,0,0.0,0.0,False,-0.004306055616869606,0.3,565375,0.0,0.0,12,0,0,19,19,19.0,21,40,52,351.0,279.0,22,38,52,372,8.943152369000018,80.14577720296802
6,52,0,0,0,10.0,20,10.0,14.209648691806901,24,12.0,32.11708253358925,8,43.0,43.47826086956522,1,65.0,57.99999999999999,20,58.0,15,0.7820000000000003,38618.0,59,0,0.0,590.0,False,-0.036854611157863475,9,0.7040000000000002,38590.0,81,0,0.0,810.0,False,-0.03482500866293748,0,0.2,56079,3,40,1.0,1327.3122474189906,False,0.0072005276054723155,0,0.2,55715,17,46,1.0,1718.9498243058229,False,0.004215256619147441,0,0.2,77434,0,11,0.8,478.2608695652174,False,-0.002720287156928702,0,0.2,77885,0,0,0.0,0.0,False,0.0,13,0.5010000000000001,109781,0,0,0.0,0.0,False,-0.006884261185793635,7,0.4590000000000001,109873,1,0,0.0,43.47826086956522,False,-0.005855338871788245,0.35,563975,0.0,0.0,14,0,0,24,16,16.0,23,47,53,357.0,249.0,24,28,53,609,8.223299734992906,88.36907693796093
7,53,0,0,0,10.0,20,10.0,13.739723656363429,28,11.821428571428571,33.848970668609944,8,44.0,44.47004608294931,2,65.0,58.0,20,58.0,19,0.9570000000000003,38124.0,66,0,0.0,660.0,False,-0.048215434879461415,9,0.7850000000000001,38310.0,94,0,0.0,940.0,False,-0.04014652739963368,0,0.2,56032,12,46,1.0,1721.9293346324184,False,0.00986855294595392,0,0.2,55783,16,52,1.0,1979.982053269532,False,0.007738981959187837,0,0.2,77212,0,17,0.8,755.9907834101383,False,-0.003787694784553208,0,0.2,77885,0,0,0.0,0.0,False,0.0,10,0.5880000000000001,109485,0,1,0.1,58.0,False,-0.00929963271878562,10,0.552,109596,2,0,0.0,88.94009216589862,False,-0.008155542272774619,0.3625,562427,0.0,0.0,14,0,0,19,17,17.0,24,43,42,369.0,240.0,23,30,42,682,8.15493774600327,96.5240146839642
8,42,0,0,0,10.0,20,10.0,13.360693983037734,32,11.84375,35.26372362850821,8,44.0,44.98252621068397,1,65.0,58.0,20,58.0,14,1.0780000000000003,37744.0,77,0,0.0,770.0,False,-0.05625959110935102,18,0.9560000000000002,37824.0,103,0,0.0,1030.0,False,-0.05106182862234543,0,0.2,56052,15,52,1.0,2034.124038427993,False,0.012994337987716735,0,0.2,55736,25,58,1.0,2379.3133200294196,False,0.01044884640670807,0,0.2,76925,0,24,0.8,1079.5806290564153,False,-0.005395258207251673,0,0.2,77885,0,0,0.0,0.0,False,0.0,11,0.6880000000000002,109295,0,0,0.0,0.0,False,-0.011280780155958821,8,0.6220000000000001,109374,3,0,0.0,134.94757863205191,False,-0.009955729140815075,0.35,560835,0.0,0.0,14,0,0,15,16,16.0,27,42,42,342.0,219.0,19,23,42,675,8.011793130019214,104.53580781398341
9,42,0,0,0,10.000000000000002,20,10.0,13.140820377174599,19,11.473684210526315,36.64811412094211,10,43.8,50.47090960981775,13,65.6923076923077,58.0,20,58.0,5,1.1140000000000003,37544.0,90,0,0.0,900.0000000000001,False,-0.05960100985099748,14,1.078,37474.0,110,0,0.0,1100.0000000000002,False,-0.05885847235285382,0,0.2,56216,10,57,1.0,2220.3507086654463,False,0.01755818297624512,0,0.2,55792,29,63,1.0,2689.9149805574166,False,0.014199504593405866,0,0.2,77341,0,21,1.0,1059.889101806173,False,-0.00018046413426087152,0,0.2,77885,0,0,0.0,0.0,False,0.0,10,0.7770000000000001,108216,3,10,1.0,731.4127288294533,False,-0.01773347357190274,10,0.7140000000000002,109145,3,0,0.0,151.41272882945327,False,-0.011952865296315179,0.5,559613,0.0,0.0,19,0,0,17,16,16.0,20,37,46,309.0,153.0,18,24,46,1492,8.164689324970823,112.70049713895423
