index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,31.0,0,,36.0,0,,50.0,0,,0,0.2,52019,0,9,0.9,171.0,False,-8.635744305206395e-05,0,0.2,51999,1,10,1.0,200.0,False,-0.00019190542900458655,0,0.2,75251,0,0,0.0,0.0,False,0.0,0,0.2,75251.0,0,0,0.0,0.0,False,0.0,0,0.2,97014,0,0,0.0,0.0,False,0.0,0,0.2,97014,0,0,0.0,0.0,False,0.0,0,0.2,125980,0,0,0.0,0.0,False,0.0,0,0.2,125980,0,0,0.0,0.0,False,0.0,0.2375,700508,0.0,0.0,6,0,0,0,0,0.0,412,412,178,0.0,0.0,0,0,178,200,4.662450919044204,4.662450919044204
1,178,0,0,0,10.0,20,10.0,19.0,0,,31.0,0,,24.46728971962617,62,16.09677419354839,50.0,0,,0,0.2,51889,3,19,1.0,391.0,False,-0.000470168301061237,0,0.2,51929,0,18,0.8,342.0,False,-0.0001727148861041279,0,0.2,75251,0,0,0.0,0.0,False,0.0,0,0.2,75251.0,0,0,0.0,0.0,False,0.0,40,0.6000000000000001,94730,0,0,0.0,0.0,False,-0.023542993794710042,22,0.42000000000000004,96115,0,0,0.0,0.0,False,-0.009266703774712929,0,0.2,124982,62,0,0.0,1516.9719626168226,False,-0.0019012066890901846,0,0.2,125980,0,0,0.0,0.0,False,0.0,0.225,696127,0.0,0.0,6,0,0,65,11,11.0,120,185,74,2718.0,48.0,172,6,74,200,13.354291791969445,18.01674271101365
2,74,0,0,0,10.0,20,10.0,19.0,0,,29.636363636363637,32,27.71875,21.593543653705062,40,14.675,50.0,0,,0,0.2,51809,1,29,1.0,561.0,False,-0.00037421558655894373,0,0.2,51809,2,28,1.0,552.0,False,-0.0004605730296110077,0,0.2,75251,0,0,0.0,0.0,False,0.0,32,0.52,74326.0,0,0,0.0,0.0,False,-0.012292195452552125,32,0.8800000000000001,92915,11,0,0.0,326.0,False,-0.04057146391242501,8,0.4780000000000001,95223,21,0,0.0,622.3636363636364,False,-0.015253655985921377,0,0.2,124402,95,0,0.0,2051.386647101981,False,-0.00438408220708848,0,0.2,125973,0,7,0.7,350.0,False,0.0013335450071439911,0.3375,691708,0.0,0.0,7,0,0,24,14,14.0,38,62,68,516.0,70.0,50,24,68,200,8.1542934239842,26.17103613499785
3,68,0,0,0,10.0,20,10.0,19.14516129032258,17,19.529411764705884,29.320053120849938,6,25.666666666666668,19.075284822808722,52,13.134615384615385,50.0,0,,0,0.2,52001,2,25,1.0,498.6290322580645,False,0.002711902284231714,0,0.2,51749,1,35,1.0,680.0806451612902,False,-0.00038303704579546743,0,0.2,75171,0,8,0.8,234.5604249667995,False,0.0004954115225498388,6,0.548,73994.0,9,0,0.0,172.30645161290323,False,-0.015559218803651055,24,1.088,91884,15,0,0.0,439.80079681274907,False,-0.050612278656623017,28,0.7500000000000002,93654,23,0,0.0,674.3612217795486,False,-0.031158589369680946,0,0.2,123761,130,0,0.0,2479.787026965134,False,-0.007771920039033392,0,0.2,125931,7,17,1.0,983.5269937596611,False,0.0035145538726769126,0.475,688145,0.0,0.0,10,0,0,56,12,12.0,19,75,46,800.0,15.0,63,5,46,532,5.413992749003228,31.585028884001076
4,46,0,0,0,10.0,20,10.0,20.71238938053097,12,28.0,29.37535583570558,6,30.0,18.110163471629626,61,15.62295081967213,50.0,20,50.0,0,0.2,52197,6,23,1.0,536.3849557522122,False,0.006835527027502149,0,0.2,51689,0,42,0.7,869.9203539823006,False,0.0002870939183471814,0,0.2,75171,0,8,0.0,235.00284668564464,False,0.000498351162679869,6,0.6020000000000001,73616.0,21,0,0.0,434.9601769911503,False,-0.018837223578482987,34,1.4040000000000001,89876,21,0,0.0,616.8824725498172,False,-0.07039766181917131,27,0.9920000000000002,92441,23,0,0.0,675.6331842212284,False,-0.04365538384036725,10,0.30000000000000004,122754,166,0,0.0,3006.287136290518,False,-0.013675634480510741,0,0.2,126311,22,17,1.0,1248.4235963758517,False,0.007582249549038953,0.3375,684055,0.0,0.0,9,0,0,12,17,17.0,20,32,51,208.0,86.0,20,26,51,1036,3.7950179949984886,35.380046878999565
5,51,0,0,0,10.0,20,10.0,21.649100257069403,9,28.0,28.828793214037937,10,25.2,18.903074078349178,28,24.464285714285715,50.0,20,50.0,0,0.2,52107,5,33,1.0,764.4203084832903,False,0.007296439276164236,0,0.2,51831,1,43,1.0,940.9113110539844,False,0.0036933285138267004,0,0.2,75171,0,8,0.0,230.6303457123035,False,0.0004692983861496821,10,0.6960000000000002,73208.0,30,0,0.0,649.4730077120821,False,-0.022833762955229323,11,1.4800000000000002,89552,23,0,0.0,663.0622439228725,False,-0.07349938027540935,17,1.1350000000000002,91826,31,0,0.0,893.6925896351761,False,-0.048870819728929975,8,0.37000000000000005,121942,194,0,0.0,3667.1963711997405,False,-0.0174980299603122,0,0.2,126911,12,15,1.0,976.8368889401902,False,0.011267014164709438,0.375,682548,0.0,0.0,11,0,0,9,10,10.0,25,34,39,271.0,112.0,22,29,39,1052,2.870947737013921,38.250994616013486
6,39,0,0,0,10.0,20,10.0,23.88266433728346,32,28.28125,28.428153084769303,62,27.983870967741936,18.76590789228282,44,18.136363636363637,50.0,20,50.0,0,0.2,52315,5,32,1.0,814.2452587930708,False,0.011766156122676263,0,0.2,52328,1,32,1.0,774.2452587930708,False,0.011631822322373052,0,0.2,75171,0,8,0.0,227.42522467815442,False,0.0004480021838789806,62,1.3060000000000003,69264.0,62,0,0.0,1480.7251889115746,False,-0.06972182968391402,21,1.679,87971,52,0,0.0,1478.2639604080036,False,-0.08559453295190375,23,1.348,89999,64,0,0.0,1819.4017974252354,False,-0.06293214485834397,6,0.42200000000000004,121142,220,0,0.0,4128.49973630222,False,-0.02201738475828619,0,0.2,127539,20,11,1.0,925.3181578456564,False,0.016047460540743144,0.375,675729,0.0,0.0,13,0,0,7,16,16.0,20,27,44,210.0,94.0,16,23,44,1805,2.7159876320511103,40.966982248064596
7,44,0,0,0,10.0,20,10.0,24.286710576924918,19,26.105263157894736,28.20920319405464,18,26.77777777777778,17.591233075884794,44,11.681818181818182,49.99999999999999,20,50.0,0,0.2,52691,7,23,1.0,628.5943432692732,False,0.017200429323814246,0,0.2,52248,0,41,0.9,995.7551336539216,False,0.012222026268532481,0,0.2,75171,0,8,0.0,225.67362555243713,False,0.00043636380614506595,18,1.4240000000000004,68464.0,81,0,0.0,1967.2235567309183,False,-0.07712041330526555,28,1.9380000000000004,86169,68,0,0.0,1918.2258171957155,False,-0.10190165431177087,16,1.485,89271,66,0,0.0,1861.8074108076064,False,-0.07021766234354006,13,0.546,120378,255,0,0.0,4485.764434350623,False,-0.02666389730770509,0,0.2,127871,19,14,1.0,1034.233428441811,False,0.019115071552793312,0.3625,672263,0.0,0.0,10,0,0,11,18,18.0,22,33,41,283.0,89.0,20,24,41,1046,2.6960632880218327,43.66304553608643
8,41,0,0,0,10.0,20,10.0,24.570825411561795,18,26.055555555555557,30.20867902395927,28,38.92857142857143,15.660955419221708,62,8.225806451612904,49.99999999999999,20,50.0,0,0.2,52591,8,32,1.0,866.2664131699775,False,0.017561903060603457,0,0.2,52617,0,33,0.9,810.8372385815393,False,0.017528999199577285,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,20,1.6060000000000005,67675.0,99,0,0.0,2432.511715744618,False,-0.08451374921433188,24,2.1500000000000004,84698,78,0,0.0,2356.2769638688233,False,-0.11480674457362433,38,1.8490000000000004,86120,84,0,0.0,2537.529038012579,False,-0.09921491208478889,11,0.6430000000000001,119772,286,0,0.0,4479.0332498974085,False,-0.031500899944842765,0,0.2,128219,40,15,1.0,1376.4382167688682,False,0.023235585873824714,0.3625,667343,0.0,0.0,12,0,0,9,16,16.0,25,34,38,284.0,58.0,22,19,38,1599,2.411891873984132,46.07493741007056
9,38,0,0,0,10.000000000000002,20,10.0,25.006385383441355,11,29.0,30.20867902395927,0,,15.052317082240378,34,10.205882352941176,50.0,20,50.0,0,0.2,52561,1,42,1.0,1060.2681861045369,False,0.018847686446722658,0,0.2,52766,7,32,1.0,870.2043322701234,False,0.020958033470898703,0,0.2,75651,0,0,0.0,0.0,False,0.0053155439794820005,0,1.586,67356.0,110,0,0.0,2750.702392178549,False,-0.08663869986991164,24,2.366000000000001,83609,78,0,0.0,2356.2769638688233,False,-0.12603192856768705,10,1.9110000000000005,85709,84,0,0.0,2537.529038012579,False,-0.10345141403296132,6,0.6920000000000002,119412,302,0,0.0,4545.799758836594,False,-0.034093507863007626,0,0.2,128858,48,11,1.0,1272.5112199475382,False,0.02789534537207311,0.375,665922,0.0,0.0,11,0,0,9,9,9.0,19,28,24,212.0,84.0,15,23,24,1219,2.1311699140351266,48.20610732410569
