index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,12,10.0,20.0,0,,29.0,0,,42.0,0,,58.0,0,,0,0.2,60347,0,5,0.5,100.0,False,0.0,0,0.2,60327,7,0,0.0,70.0,False,-0.0005794989817375035,0,0.2,79186,0,0,0.0,0.0,False,0.0,0,0.2,79186,0,0,0.0,0.0,False,0.0,0,0.2,115088,0,0,0.0,0.0,False,0.0,0,0.2,115088.0,0,0,0.0,0.0,False,0.0,0,0.2,166593,0,0,0.0,0.0,False,0.0,0,0.2,166593,0,0,0.0,0.0,False,0.0,0.0625,842408,0.0,0.0,3,0,0,227,0,0.0,687,914,180,0.0,0.0,0,0,180,120,5.583205532981083,5.583205532981083
1,180,0,0,0,10.0,12,10.0,20.0,0,,29.0,0,,42.0,0,,58.0,0,,0,0.2,60307,0,9,0.4,180.0,False,0.0,0,0.2,60247,15,0,0.0,150.0,False,-0.0012417835322946504,0,0.2,79186,0,0,0.0,0.0,False,0.0,0,0.2,79186,0,0,0.0,0.0,False,0.0,0,0.2,115088,0,0,0.0,0.0,False,0.0,0,0.2,115088.0,0,0,0.0,0.0,False,0.0,0,0.2,166593,0,0,0.0,0.0,False,0.0,0,0.2,166593,0,0,0.0,0.0,False,0.0,0.05,842288,0.0,0.0,5,0,0,27,0,0.0,86,113,96,1728.0,783.0,99,81,96,120,20.527396439982112,26.110601972963195
2,96,0,0,0,10.0,20,10.0,21.7,5,37.0,22.838709677419356,17,6.529411764705882,37.672413793103445,13,22.692307692307693,58.0,0,,0,0.2,60412,0,12,0.8,260.4,False,0.002404092918522395,0,0.2,60127,27,0,0.0,270.0,False,-0.002235210358130371,11,0.31000000000000005,78652,5,0,0.0,108.5,False,-0.006058520445533302,6,0.26,79002,0,0,0.0,0.0,False,-0.00232364306821913,0,0.2,115025,1,10,1.0,399.56284760845375,False,0.0011884942288008635,13,0.33000000000000007,114601.0,6,0,0.0,137.03225806451613,False,-0.0036362076929631446,0,0.2,166342,1,10,1.0,617.6724137931035,False,0.00034717069082464884,0,0.2,166549,0,2,0.2,116.0,False,8.403714441783268e-05,0.375,840710,0.0,0.0,8,0,0,11,8,8.0,83,94,98,1133.0,127.0,82,14,98,385,11.892613516014535,38.00321548897773
3,98,0,0,0,10.0,17,10.0,22.088709677419356,17,23.11764705882353,18.515320334261837,16,3.4375,37.377819548872175,1,22.0,58.0,0,,0,0.2,60510,0,13,0.5,287.15322580645164,False,0.004248168169002222,13,0.33000000000000007,59889,39,0,0.0,390.0,False,-0.005182376608109674,2,0.31900000000000006,78289,17,0,0.0,375.508064516129,False,-0.008956709111988726,14,0.394,78367,5,0,0.0,110.44354838709678,False,-0.009645369456803658,0,0.2,115022,0,12,0.2,448.5338345864661,False,0.0013751817504278159,1,0.32700000000000007,114521.0,21,0,0.0,388.82172701949855,False,-0.0032374281983373514,0,0.2,166320,0,12,0.2,696.0,False,0.0004501989879526751,0,0.2,166549,0,2,0.0,116.0,False,8.403714441783268e-05,0.1125,839467,0.0,0.0,7,0,0,17,11,11.0,47,64,14,714.0,188.0,52,46,14,318,4.920079557981808,42.92329504695954
4,14,0,0,0,10.0,13,10.0,22.30277044854881,20,22.9,12.193518689007547,44,2.909090909090909,38.75536864710092,8,47.0,58.0,20,58.0,0,0.2,60700,0,8,0.0,178.42216358839048,False,0.006493883500740002,15,0.4670000000000001,59593,52,0,0.0,520.0,False,-0.009007069887577197,10,0.4170000000000001,77891,21,0,0.0,468.358179419525,False,-0.013396571493575036,34,0.7200000000000002,76240,21,0,0.0,468.358179419525,False,-0.03424621663286734,0,0.2,115320,0,13,0.6,503.819792412312,False,0.004204694635462901,3,0.3560000000000001,114321.0,59,0,0.0,719.4176026514452,False,-0.0035389545276161183,0,0.2,166842,0,3,0.0,174.0,False,0.0020168914660279843,9,0.29000000000000004,166115,0,8,0.8,464.0,False,-0.0014766526804847742,0.175,837022,0.0,0.0,9,0,0,12,17,16.333333333333336,10,22,17,139.0,14.0,9,5,17,1152,1.6481925640255213,44.57148761098506
5,17,0,0,0,10.0,10,10.0,22.119842148989193,4,19.0,11.82230389748226,4,2.75,32.196835241096,50,25.6,58.0,20,58.0,0,0.2,60700,0,8,0.0,176.95873719191354,False,0.006481768442074265,4,0.4920000000000001,59469,62,0,0.0,620.0,False,-0.010232296306107919,3,0.43700000000000006,77757,23,0,0.0,508.75636942675146,False,-0.014833705646031122,1,0.6960000000000002,76169,23,0,0.0,508.75636942675146,False,-0.03488775560435709,0,0.2,115619,0,12,0.4,386.36202289315196,False,0.006292411124066601,45,0.8030000000000002,111344.0,59,0,0.0,697.5159299514534,False,-0.029501268898792884,6,0.26,166879,0,2,0.2,116.0,False,0.002064912691409603,3,0.31100000000000005,165310,38,10,1.0,1803.4797391616478,False,-0.002288572331485495,0.2,833247,0.0,0.0,7,0,0,16,13,12.6,9,25,12,175.0,30.0,12,5,12,932,1.4320299859973602,46.00351759698242
6,12,0,0,0,10.0,11,10.0,21.148255876470458,28,18.892857142857142,10.194441039524897,21,3.0952380952380953,31.288874246677462,31,28.64516129032258,57.99999999999999,20,58.0,0,0.2,60700,0,8,0.0,169.18604701176366,False,0.006417421784292002,28,0.7680000000000002,58973,73,0,0.0,730.0,False,-0.017533983476000464,6,0.49400000000000005,77138,45,0,0.0,951.6715144411706,False,-0.01985406817845849,15,0.8450000000000002,75471,29,0,0.0,613.2994204176433,False,-0.04304233437465186,0,0.2,115903,2,17,1.0,552.2997442725667,False,0.009481004728001945,26,1.0180000000000002,110176.0,68,0,0.0,693.2219906876929,False,-0.03966867965953146,11,0.364,166121,9,10,1.0,861.599868220097,False,-0.00024730970622984606,0,0.30800000000000005,165470,40,13,1.0,2005.5549698670984,False,-0.0007216540614938523,0.375,829952,0.0,0.0,7,0,0,13,16,15.333333333333334,7,20,13,81.0,34.0,7,5,13,836,1.2798043219954707,47.28332191897789
7,13,0,0,0,10.0,9,10.0,20.85338172693752,9,18.11111111111111,8.430238977587626,25,1.28,35.160957065656426,15,63.333333333333336,58.0,20,58.0,0,0.2,60700,0,8,0.0,166.82705381550016,False,0.006397892724932569,9,0.8300000000000003,58804,82,0,0.0,820.0,False,-0.01958706558272762,7,0.558,76783,51,0,0.0,1063.5224680738136,False,-0.023630929279962257,18,1.0100000000000002,74689,32,0,0.0,667.3082152620007,False,-0.05257679251848818,0,0.2,116840,0,11,0.9,386.77052772222066,False,0.016903458778162045,0,0.9920000000000004,110157.0,86,0,0.0,725.0005520725358,False,-0.03969570870954166,0,0.35300000000000004,165781,9,15,1.0,1186.4486135909078,False,-0.0013132346089244143,2,0.32800000000000007,165882,35,10,1.0,1810.6334972979748,False,0.001166416047787112,0.3625,829636,0.0,0.0,12,0,0,13,9,8.5,11,24,15,123.0,24.0,10,3,15,1968,1.2755676270462573,48.55888954602415
8,15,0,0,0,10.0,8,10.0,21.307913666061637,10,25.1,7.644653498019631,16,2.0625,35.82139524513997,10,43.2,58.0,20,58.0,0,0.2,60817,0,5,0.0,106.53956833030819,False,0.007835981657452412,7,0.891,58684,90,0,0.0,900.0,False,-0.020911634683841912,4,0.5910000000000002,76537,54,0,0.0,1150.6273379673285,False,-0.026187537330037276,12,1.1120000000000003,74093,39,0,0.0,831.0086329764039,False,-0.05906973055226671,0,0.2,117244,0,8,0.6,286.57116196111974,False,0.01997849976522802,1,1.0020000000000002,110102.0,96,0,0.0,733.8867358098846,False,-0.04013499784595319,0,0.35300000000000004,165987,9,14,1.0,1134.3925572062597,False,-0.0002329252813555413,0,0.32600000000000007,166404,25,11,1.0,1533.5348811284991,False,0.003468137560187169,0.325,829868,0.0,0.0,13,0,0,9,8,8.0,10,19,22,83.0,97.0,6,9,22,1767,1.3689540829509497,49.9278436289751
9,22,0,0,0,10.0,10,10.0,21.60883165076768,11,23.90909090909091,6.615293575014679,49,4.163265306122449,37.72147266356364,58,41.310344827586206,58.0,20,58.0,0,0.2,60972,0,0,0.0,0.0,False,0.009520340414258987,6,0.9440000000000002,58539,100,0,0.0,1000.0,False,-0.022484560491415135,33,0.917,74868,57,0,0.0,1231.7034040937579,False,-0.046752561032924106,16,1.2600000000000002,73258,47,0,0.0,1015.615087586081,False,-0.06844887298521155,0,0.2,117220,0,15,0.7,565.8220899534546,False,0.02098316979160931,58,1.5810000000000002,109182.0,138,0,0.0,912.9105133520256,False,-0.04735111169995125,0,0.35300000000000004,166697,1,11,1.0,675.7214726635636,False,0.002652336750834585,0,0.32600000000000007,164458,71,14,1.0,3490.224559113018,False,-0.002340360762117754,0.3375,825194,0.0,0.0,10,0,0,16,15,15.0,14,30,17,226.0,63.0,16,6,17,1415,1.5474752630107105,51.47531889198581
