index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,27.0,0,,33.0,0,,41.0,0,,0,0.2,46657,9,0,0.0,90.0,False,-0.0009626286178792222,0,0.2,46637,11,0,0.0,110.0,False,-0.0011765460885190494,0,0.2,73145,0,0,0.0,0.0,False,0.0,0,0.2,73145,0,0,0.0,0.0,False,0.0,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,105731,0,0,0.0,0.0,False,0.0,0,0.2,105731,0,0,0.0,0.0,False,0.0,0.0,607236,0.0,0.0,11,0,0,1,0,0.0,1046,1047,124,0.0,0.0,0,0,124,200,3.8056083890260197,3.8056083890260197
1,124,0,0,0,10.0,20,10.0,19.0,0,,27.0,0,,33.0,0,,41.0,0,,0,0.2,46537,21,0,0.0,210.0,False,-0.002246133441718185,0,0.2,46557,19,0,0.0,190.0,False,-0.002032215971078358,0,0.2,73145,0,0,0.0,0.0,False,0.0,0,0.2,73145,0,0,0.0,0.0,False,0.0,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,105731,0,0,0.0,0.0,False,0.0,0,0.2,105731,0,0,0.0,0.0,False,0.0,0.0,607036,0.0,0.0,10,0,0,71,0,0.0,52,123,90,1818.0,264.0,101,23,90,200,10.245229305000976,14.050837694026995
2,90,0,0,0,10.0,20,10.0,19.0,0,,27.0,0,,33.0,0,,41.0,0,,0,0.2,46457,29,0,0.0,290.0,False,-0.003101803324277494,0,0.2,46437,31,0,0.0,310.0,False,-0.003315720794917321,0,0.2,73145,0,0,0.0,0.0,False,0.0,0,0.2,73145,0,0,0.0,0.0,False,0.0,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,105731,0,0,0.0,0.0,False,0.0,0,0.2,105731,0,0,0.0,0.0,False,0.0,0.0,606836,0.0,0.0,9,0,0,21,0,0.0,30,51,51,492.0,347.0,29,61,51,200,4.091618362988811,18.142456057015806
3,51,0,0,0,10.0,20,10.0,18.4375,3,10.0,27.0,0,,33.0,0,,41.0,0,,2,0.22000000000000003,46340,38,0,0.0,380.0,False,-0.00464200911288425,1,0.21000000000000002,46314,42,0,0.0,420.0,False,-0.004770359595268146,0,0.2,73125,0,2,0.2,54.0,False,9.570032127965001e-05,0,0.2,73135,0,1,0.1,27.0,False,4.785016063982501e-05,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,105731,0,0,0.0,0.0,False,0.0,0,0.2,105731,0,0,0.0,0.0,False,0.0,0.037500000000000006,606566,0.0,0.0,9,0,0,16,3,3.0,31,47,44,402.0,215.0,24,27,44,200,2.9338593339780346,21.07631539099384
4,44,0,0,0,10.0,20,10.0,18.246606334841626,1,10.0,29.363636363636363,10,40.0,33.0,0,,41.0,20,41.0,1,0.228,46227,48,0,0.0,480.0,False,-0.00598968917791516,0,0.20900000000000002,46214,52,0,0.0,520.0,False,-0.005839946948467282,8,0.28,73239,0,1,0.1,29.363636363636363,False,0.0014858407024652878,0,0.2,73135,0,1,0.0,29.363636363636363,False,6.400735773905904e-05,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,77695,0,10,1.0,330.0,False,-0.003009155515718036,14,0.34,105449,0,0,0.0,0.0,False,-0.002667145870179985,6,0.26,105657,0,0,0.0,0.0,False,-0.0006998893418202797,0.1375,605711,0.0,0.0,10,0,0,17,15,14.6,24,41,33,324.0,179.0,18,26,33,200,2.5533808229956776,23.62969621398952
5,33,0,0,0,10.0,20,10.0,17.851842987075152,2,10.0,31.15126050420168,10,40.0,33.0,0,,41.0,20,41.0,1,0.23700000000000002,46124,57,0,0.0,570.0,False,-0.007230410507626158,1,0.21900000000000003,46091,63,0,0.0,630.0,False,-0.007294585748818106,4,0.31200000000000006,73301,0,1,0.1,31.15126050420168,False,0.002345691848412113,4,0.24000000000000002,73197,0,1,0.1,31.15126050420168,False,0.0009238585036858845,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.2,77295,0,20,1.0,660.0,False,-0.006018311031436072,13,0.45600000000000007,105205,0,0,0.0,0.0,False,-0.004974889105371178,7,0.32400000000000007,105567,0,0,0.0,0.0,False,-0.0015511061088989983,0.15,604875,0.0,0.0,9,0,0,15,15,14.6,21,36,35,222.0,101.0,14,19,35,200,2.041286197025329,25.670982411014847
6,35,0,0,0,10.0,20,10.0,17.64843790477177,1,10.0,32.543666404405975,10,40.0,29.803030303030305,21,22.952380952380953,41.0,20,41.0,1,0.24600000000000002,45991,69,0,0.0,690.0,False,-0.008792008043296896,0,0.21800000000000003,46011,71,0,0.0,710.0,False,-0.008150255631377414,4,0.3480000000000001,73363,0,1,0.1,32.543666404405975,False,0.003202841386317657,4,0.276,73269,0,0,0.0,0.0,False,0.0016952628340966573,0,0.2,78095,0,0,0.0,0.0,False,0.0,1,0.21000000000000002,77338,0,10,1.0,298.03030303030306,False,-0.007785195575707127,17,0.6130000000000002,104612,0,4,0.4,164.0,False,-0.009807908749562569,3,0.3470000000000001,105257,17,0,0.0,506.6515151515152,False,-0.002087129057932302,0.1875,603936,0.0,0.0,12,0,0,15,16,14.7,24,39,35,288.0,131.0,18,17,35,522,2.0139721159939654,27.684954527008813
7,35,0,0,0,10.0,20,10.0,17.232103489758256,2,10.0,33.22349063429536,5,41.0,28.660447761194032,21,25.428571428571427,41.0,20,41.0,1,0.255,45838,83,0,0.0,830.0,False,-0.010567523049607461,1,0.228,45938,77,0,0.0,770.0,False,-0.00907010075512867,0,0.3440000000000001,73363,0,1,0.0,33.22349063429536,False,0.0032074884861186194,5,0.322,73294,0,2,0.2,66.44698126859072,False,0.0024912637997715884,0,0.2,78095,0,0,0.0,0.0,False,0.0,11,0.31900000000000006,77238,0,5,0.5,143.30223880597015,False,-0.010056327301325461,1,0.6060000000000001,104298,7,10,1.0,610.6231343283582,False,-0.01066563668967298,15,0.49400000000000005,104888,21,0,0.0,601.8694029850747,False,-0.005126834121567523,0.2125,602952,0.0,0.0,14,0,0,14,14,13.25,24,38,34,249.0,134.0,17,18,34,599,2.4097805810160935,30.094735108024906
8,34,0,0,0,10.0,20,10.0,16.63055810169897,3,10.0,34.79653542419567,15,40.666666666666664,29.281429836210712,18,31.77777777777778,41.00000000000001,20,41.0,1,0.264,45725,93,0,0.0,930.0,False,-0.011915203114638373,2,0.24700000000000003,45811,87,0,0.0,870.0,False,-0.01071726527905534,4,0.384,73425,0,1,0.1,34.79653542419567,False,0.004065872824008406,8,0.397,73408,0,2,0.2,69.59307084839133,False,0.004071317730865946,0,0.2,78095,0,0,0.0,0.0,False,0.0,13,0.43800000000000006,76643,5,10,1.0,466.7969754830855,False,-0.015604091327978109,0,0.6050000000000001,104487,7,11,1.0,655.9700088534751,False,-0.008663636923638886,11,0.5890000000000001,104318,29,0,0.0,849.1614652501106,False,-0.009348433925480222,0.2875,601912,0.0,0.0,20,0,0,14,13,12.149999999999999,24,38,39,295.0,125.0,17,17,39,765,2.05675713904202,32.151492247066926
9,39,0,0,0,10.000000000000002,20,10.0,16.069610752227142,3,10.0,35.91284192857446,15,40.666666666666664,29.281429836210712,0,,41.00000000000001,20,41.0,1,0.273,45612,103,0,0.0,1030.0000000000002,False,-0.013262883179669284,2,0.265,45684,97,0,0.0,970.0000000000002,False,-0.012364429802982009,4,0.42000000000000004,73487,0,1,0.1,35.91284192857446,False,0.004921135018993573,8,0.46900000000000003,73522,0,2,0.2,71.82568385714892,False,0.0056451273761510675,0,0.2,78095,0,0,0.0,0.0,False,0.0,0,0.42500000000000004,76033,10,20,1.0,944.7570160099589,False,-0.020354971406556302,2,0.6250000000000001,104922,0,7,0.7,287.00000000000006,False,-0.0062942750943431915,7,0.6480000000000001,104232,29,0,0.0,849.1614652501106,False,-0.010161818836244332,0.25,601587,0.0,0.0,18,0,0,16,11,10.399999999999999,25,41,33,276.0,142.0,17,22,33,651,3.0924227840150706,35.243915031082
