index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,5002e3b0-f537-464d-8b16-9ed5785fe08f,SELLER,00Ran@0,_SystemAgent,RandomAgent,17,2,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,17,,-1,-1
1,47c29cf7-03c1-4c41-857a-fa741617c6c9,SELLER,00Ran@0,_SystemAgent,RandomAgent,5,1,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,5,,-1,-1
2,b71c7931-c5a3-483b-b057-842b37aa615e,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,40,1,49,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
3,a62469ca-38a2-4b0e-b7a1-3705d24d0249,SELLER,00Ran@0,_SystemAgent,RandomAgent,65,2,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,65,,-1,-1
4,763a7943-418c-4eb4-bf19-d34cfe4837f5,SELLER,00Ran@0,_SystemAgent,RandomAgent,30,4,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,30,,-1,-1
5,b02bc299-9f53-4fb2-821c-5bf3c2e0121c,SELLER,00Ran@0,_SystemAgent,RandomAgent,45,3,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,45,,-1,-1
6,ccd22edf-e13b-4bd0-a9b5-10363ccc1e44,SELLER,00Ran@0,_SystemAgent,RandomAgent,63,2,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,63,,-1,-1
7,5e5474b6-9be5-43ae-a203-57ab3fa44024,SELLER,01Ran@0,_SystemAgent,RandomAgent,0,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,0,,-1,-1
8,40fb1585-e408-45d5-ac95-505521701eed,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,49,2,49,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,-1,04Ind@2:product(0.5),-1,-1
9,755a4c4b-49eb-4b9f-b7e5-6590a7c3d2fa,SELLER,00Ran@0,_SystemAgent,RandomAgent,23,2,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,23,,-1,-1
10,04eb0fd9-4ef8-495a-81ed-f0828e0653e6,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,50,2,49,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
11,462e570f-6be7-4e97-bf83-1d6c600459f9,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,53,2,49,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,True,3,0,-1,05Buy@2:product(1.0),-1,-1
12,43ea5e56-6134-4648-9ad4-ecef75552168,05Buy@2,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,44,1,49,0,-1,-1,BUYER|05Buy@2,[],05Buy@2,BUYER,p3,BUYER,False,3,0,-1,05Buy@2:product(1.0),-1,-1
13,fb587a7c-a829-4533-bcce-de68ded058a8,SELLER,01Ran@0,_SystemAgent,RandomAgent,20,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,20,,-1,-1
14,6ca6d91f-d5da-4b07-a8a7-64b02b6a2ec1,SELLER,01Ran@0,_SystemAgent,RandomAgent,9,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,9,,-1,-1
15,28a813a8-3166-4d6a-ae99-92acd4a7007f,SELLER,01Ran@0,_SystemAgent,RandomAgent,31,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,31,,-1,-1
16,1512dbfe-7f20-4b1b-ba37-dbb10241f7c9,SELLER,01Ran@0,_SystemAgent,RandomAgent,65,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,65,,-1,-1
