index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,32.0,0,,45.0,0,,0,0.2,61511,11,0,0.0,110.0,False,-0.0008925528634718683,0,0.2,61531,9,0,0.0,90.0,False,-0.0007302705246588014,0,0.2,97869,0,0,0.0,0.0,False,0.0,0,0.2,97869,0,0,0.0,0.0,False,0.0,0,0.2,144085,0,0,0.0,0.0,False,0.0,0,0.2,144085,0,0,0.0,0.0,False,0.0,0.0,606950,0.0,0.0,7,0,0,149,0,0.0,488,637,142,0.0,0.0,0,0,142,200,9.32070774299791,9.32070774299791
1,142,0,0,0,10.0,20,10.0,20.0,0,,32.0,0,,45.0,0,,0,0.2,61381,24,0,0.0,240.0,False,-0.0019473880657568036,0,0.2,61461,16,0,0.0,160.0,False,-0.001298258710504536,0,0.2,97869,0,0,0.0,0.0,False,0.0,0,0.2,97869,0,0,0.0,0.0,False,0.0,0,0.2,144085,0,0,0.0,0.0,False,0.0,0,0.2,144085,0,0,0.0,0.0,False,0.0,0.0,606750,0.0,0.0,8,0,0,60,0,0.0,48,108,52,1575.0,687.0,93,49,52,200,36.07200569100678,45.39271343400469
2,52,0,0,0,10.0,20,10.0,14.859375,19,2.6842105263157894,32.0,0,,45.0,0,,8,0.28,61046,38,0,0.0,380.0,False,-0.0062478700443030786,11,0.31000000000000005,61136,22,0,0.0,220.0,False,-0.006085587705490012,0,0.2,97827,2,10,1.0,349.71875,False,0.001357522555661139,0,0.2,97860,0,7,0.7,224.0,False,0.0010524272241465632,0,0.2,144085,0,0,0.0,0.0,False,0.0,0,0.2,144085,0,0,0.0,0.0,False,0.0,0.2833333333333333,606039,0.0,0.0,6,0,0,14,6,6.0,41,55,21,545.0,78.0,41,11,21,200,8.116228539030999,53.50894197303569
3,21,0,0,0,10.0,20,10.0,12.048941798941799,18,3.0555555555555554,32.0,0,,45.0,12,45.0,9,0.36200000000000004,60745,48,0,0.0,480.0,False,-0.01032115674851106,9,0.389,60814,32,0,0.0,320.0,False,-0.010499667321205433,0,0.2,97824,0,14,0.4,448.0,False,0.0018289754672061633,0,0.2,97808,6,17,1.0,616.2936507936508,False,0.002525282013679711,0,0.2,144085,0,0,0.0,0.0,False,0.0,12,0.32000000000000006,143861,0,0,0.0,0.0,False,-0.0015546378873581566,0.2333333333333333,605137,0.0,0.0,8,0,0,11,11,11.0,17,28,19,177.0,62.0,14,7,19,200,5.853732056973968,59.36267403000966
4,19,0,0,0,10.0,20,10.0,11.574264297612437,4,3.5,30.25,7,19.0,45.0,11,45.0,3,0.38300000000000006,60570,59,0,0.0,590.0,False,-0.012268544814267862,1,0.39,60705,41,0,0.0,410.0,False,-0.011538274289609062,0,0.2,97948,0,10,0.3,302.5,False,0.0023526346442693806,0,0.2,97803,0,24,0.7,726.0,False,0.003034668791956595,0,0.2,144085,0,0,0.0,0.0,False,0.0,11,0.41800000000000004,143538,7,0,0.0,211.75,False,-0.0030615608842002985,0.16666666666666666,604649,0.0,0.0,7,0,0,9,7,7.0,16,25,19,187.0,51.0,12,7,19,333,4.196237191965338,63.558911221974995
5,19,0,0,0,10.0,20,10.0,9.922809620490394,12,1.0,30.25,0,,44.99999999999999,8,45.0,7,0.45,60313,68,0,0.0,680.0,False,-0.015708930397104883,5,0.43900000000000006,60476,52,0,0.0,520.0,False,-0.014361986984956427,0,0.2,97947,0,11,0.1,332.75,False,0.0024969602223380233,0,0.2,97792,1,34,1.0,1038.4228096204904,False,0.004518401177188406,0,0.2,144085,0,0,0.0,0.0,False,0.0,8,0.48700000000000004,143425,7,0,0.0,211.75,False,-0.003845820175590797,0.18333333333333335,604038,0.0,0.0,7,0,0,11,7,7.0,14,25,21,146.0,66.0,12,7,21,200,8.045305311970878,71.60421653394587
6,21,0,0,0,10.0,20,10.0,8.876017012284485,13,3.3076923076923075,30.25,0,,44.99999999999999,8,45.0,9,0.5330000000000001,59990,79,0,0.0,790.0,False,-0.020058097077295077,4,0.47400000000000003,60306,61,0,0.0,610.0,False,-0.016390516220119764,0,0.2,97920,0,20,0.9,605.0,False,0.003611971104231166,0,0.2,97776,0,39,0.5,1179.75,False,0.005076939582503142,0,0.2,144085,0,0,0.0,0.0,False,0.0,8,0.5590000000000002,143308,7,0,0.0,211.75,False,-0.004657840857826977,0.2333333333333333,603385,0.0,0.0,7,0,0,9,7,7.0,15,24,21,161.0,76.0,10,11,21,200,5.1487347559886985,76.75295128993457
7,21,0,0,0,10.0,20,10.0,6.967052996102751,26,1.5384615384615385,31.969745222929934,16,37.0,44.99999999999999,11,45.0,21,0.7340000000000002,59263,88,0,0.0,880.0,False,-0.031125752584346245,5,0.52,60081,72,0,0.0,720.0,False,-0.019149315979941902,0,0.2,98377,9,20,1.0,702.0983814235235,False,0.008777541312486778,0,0.2,97871,0,40,0.7,1278.7898089171974,False,0.006553606396904069,0,0.2,144085,0,0,0.0,0.0,False,0.0,11,0.661,142529,23,0,0.0,735.3041401273885,False,-0.008247547835904569,0.2833333333333333,602206,0.0,0.0,10,0,0,10,11,11.0,14,24,25,140.0,76.0,10,11,25,792,5.0029240639996715,81.75587535393424
8,25,0,0,0,10.0,20,10.0,6.187416754839166,22,3.0,31.752517772511847,11,30.636363636363637,45.0,7,45.0,8,0.7930000000000001,58957,99,0,0.0,990.0,False,-0.035199039288554224,14,0.655,59630,81,0,0.0,810.0,False,-0.02573797893575242,0,0.2,98581,7,25,1.0,837.1248615966704,False,0.011551793017179474,0,0.2,97938,4,44,1.0,1421.8604490098778,False,0.007969124283531383,0,0.2,144085,0,0,0.0,0.0,False,0.0,7,0.7200000000000002,142095,34,0,0.0,1079.5856042654027,False,-0.010064942206803656,0.3333333333333333,601286,0.0,0.0,8,0,0,13,12,12.0,17,30,25,214.0,52.0,16,9,25,537,7.2498604750144295,89.00573582894867
9,25,0,0,0,10.000000000000002,20,10.0,6.124165600951393,3,4.0,31.381060356200532,12,29.5,45.0,11,45.0,0,0.7850000000000001,58847,110,0,0.0,1100.0000000000002,False,-0.03609159215202609,3,0.671,59480,90,0,0.0,900.0000000000001,False,-0.027441943493289624,0,0.2,98923,0,23,1.0,721.7643881926123,False,0.01445689844686581,0,0.2,97938,0,48,0.4,1506.2908970976255,False,0.008400468468552929,0,0.2,144085,0,0,0.0,0.0,False,0.0,11,0.8230000000000002,141548,46,0,0.0,1443.5287763852245,False,-0.012598366324096057,0.2333333333333333,600821,0.0,0.0,8,0,0,14,5,5.0,19,33,22,290.0,93.0,19,6,22,554,5.770648537960369,94.77638436690904
