index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,24.0,0,,32.0,0,,0,0.2,28598,0,10,1.0,140.0,False,-0.0010453690152623877,0,0.2,28598,0,10,1.0,140.0,False,-0.0010453690152623877,0,0.2,42330,0,0,0.0,0.0,False,0.0,0,0.2,42330,0,0,0.0,0.0,False,0.0,0,0.2,51178.0,0,0,0.0,0.0,False,0.0,0,0.2,51178.0,0,0,0.0,0.0,False,0.0,0,0.2,67201,0,0,0.0,0.0,False,0.0,0,0.2,67201,0,0,0.0,0.0,False,0.0,0.25,378614,0.0,0.0,4,0,0,0,0,0.0,600,600,436,0.0,0.0,0,0,436,200,10.594109616999049,10.594109616999049
1,436,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,14.504587155963304,173,12.034682080924856,32.0,0,,0,0.2,28508,0,19,0.9,266.0,False,-0.0019862011289985366,0,0.2,28488,1,20,1.0,290.0,False,-0.002264966199735173,0,0.2,42330,0,0,0.0,0.0,False,0.0,0,0.2,42330,0,0,0.0,0.0,False,0.0,53,0.7300000000000002,48862.0,0,0,0.0,0.0,False,-0.04525382000078158,120,1.4000000000000001,41085.0,0,0,0.0,0.0,False,-0.19721364648872564,0,0.2,66133,89,0,0.0,1290.908256880734,False,-0.006287791425122131,0,0.2,66187,84,0,0.0,1218.3853211009175,False,-0.006023829101494681,0.2375,363923,0.0,0.0,4,0,0,110,23,23.0,316,426,253,7507.0,102.0,417,19,253,200,66.02209474804113,76.61620436504018
2,253,0,0,0,10.0,20,10.0,14.0,0,,20.0,0,,14.075131480090157,70,12.871428571428572,32.0,0,,0,0.2,28398,1,29,1.0,416.0,False,-0.003205798313471322,0,0.2,28398,0,30,1.0,420.0,False,-0.003136107045787163,0,0.2,42330,0,0,0.0,0.0,False,0.0,0,0.2,42330,0,0,0.0,0.0,False,0.0,47,1.1470000000000002,47046.0,0,0,0.0,0.0,False,-0.0807378170307554,23,1.5100000000000002,40491.0,0,0,0.0,0.0,False,-0.20882019617804526,0,0.2,65809,115,0,0.0,1618.640120210368,False,-0.008670703410586457,0,0.2,65610,128,0,0.0,1801.61682945154,False,-0.010270555278555736,0.25,360412,0.0,0.0,5,0,0,49,9,9.0,43,92,203,573.0,510.0,83,170,203,200,33.917808522004634,110.53401288704481
3,203,0,0,0,10.0,20,10.0,11.768115942028986,24,7.583333333333333,20.0,0,,13.822064056939503,92,13.16304347826087,32.0,0,,0,0.2,28470,2,15,1.0,196.52173913043478,False,-0.004520842234120283,0,0.2,28308,0,39,0.9,458.95652173913044,False,-0.005593481745432988,0,0.2,42258,0,9,0.9,180.0,False,0.00042523033309709425,0,0.2,42220,5,10,1.0,258.84057971014494,False,0.0004587831291063558,48,1.5800000000000003,45191.0,0,0,0.0,0.0,False,-0.11698386025245222,44,1.9270000000000003,38899.0,0,0,0.0,0.0,False,-0.2399273125170972,0,0.2,65265,158,0,0.0,2183.8861209964416,False,-0.012560184216035193,0,0.2,64943,177,0,0.0,2446.505338078292,False,-0.015397796624467594,0.475,355554,0.0,0.0,9,0,0,105,11,11.0,23,128,136,1330.0,270.0,118,85,136,382,14.93138960597571,125.46540249302052
4,136,0,0,0,10.0,20,10.0,10.905317769131,15,7.333333333333333,20.0,0,,13.618149272491598,58,12.568965517241379,32.0,20,32.0,0,0.2,28510,0,9,0.9,98.14785992217901,False,-0.0048409669676949445,0,0.2,28178,3,49,1.0,564.360570687419,False,-0.00828697869734089,0,0.2,42258,0,9,0.0,180.0,False,0.00042523033309709425,0,0.2,42110,10,20,1.0,509.05317769131,False,0.0008156529375302641,37,1.9020000000000001,43943.0,0,0,0.0,0.0,False,-0.14136933838758842,21,2.0930000000000004,38386.0,0,0,0.0,0.0,False,-0.24995115088514597,9,0.29000000000000004,64989,174,0,0.0,2369.557973413538,False,-0.015285799516275617,11,0.31000000000000005,64284,219,0,0.0,2982.37469067566,False,-0.021217134487019007,0.3625,352658,0.0,0.0,8,0,0,39,13,13.0,22,61,125,653.0,374.0,51,85,125,310,14.701794933003839,140.16719742602436
5,125,0,0,0,10.0,20,10.0,14.331307899193147,31,22.0,21.5,9,29.0,13.588781749974318,16,13.0,32.0,20,32.0,0,0.2,28400,1,19,1.0,282.2948500846698,False,-0.005465627394162159,0,0.2,28770,2,28,1.0,421.2766211774081,False,0.009848711080517927,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41428,31,30,1.0,1089.2705448749875,False,-0.008442351229919784,7,1.9350000000000003,43831.0,0,0,0.0,0.0,False,-0.14355777873304937,9,2.1620000000000004,37981.0,9,0,0.0,193.5,False,-0.2559742467466489,9,0.37100000000000005,64697,190,0,0.0,2581.8685324951202,False,-0.018051304798328095,11,0.40900000000000003,64161,219,0,0.0,2975.9432032443756,False,-0.02309531700983328,0.375,351787,0.0,0.0,8,0,0,23,7,7.0,24,47,102,556.0,455.0,38,87,102,1143,7.462247459043283,147.62944488506764
6,102,0,0,0,10.0,20,10.0,14.331307899193147,0,,21.5,0,,13.4108328544441,68,12.617647058823529,32.0,20,32.0,0,0.2,28280,3,29,1.0,445.6079290766013,False,-0.006801729579123994,0,0.2,28690,0,38,1.0,544.5897001693396,False,0.009209521572397683,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41428,21,40,1.0,1160.957465883056,False,-0.007595588638281911,41,2.3380000000000005,42366.0,0,0,0.0,0.0,False,-0.1721833600375161,27,2.423000000000001,37258.0,9,0,0.0,193.5,False,-0.270101410762437,12,0.4820000000000001,64374,204,0,0.0,2735.8099023065965,False,-0.021712400839968244,8,0.47800000000000004,63411,273,0,0.0,3661.1573692632396,False,-0.02915762139504444,0.375,348326,0.0,0.0,5,0,0,17,13,13.0,23,40,95,557.0,376.0,31,71,95,200,5.384230731986463,153.0136756170541
7,95,0,0,0,10.0,20,10.0,14.331307899193147,0,,21.5,0,,13.312734398693003,60,12.766666666666667,32.0,20,32.0,0,0.2,28190,2,39,1.0,578.9210080685327,False,-0.007615147256454635,0,0.2,28580,1,48,1.0,697.902779161271,False,0.008047647556646246,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41428,11,50,1.0,1232.6443868911247,False,-0.006748826046643868,31,2.6070000000000007,41436.0,0,0,0.0,0.0,False,-0.19035523076321856,29,2.686000000000001,36413.0,9,0,0.0,193.5,False,-0.28661241158310213,13,0.6000000000000001,63816,234,0,0.0,3115.1798492941625,False,-0.027193197651120073,7,0.54,62972,303,0,0.0,4033.7585228039798,False,-0.032917973521197734,0.375,345354,0.0,0.0,5,0,0,13,13,13.0,19,32,78,366.0,193.0,22,73,78,200,4.793494433048181,157.8071700501023
8,78,0,0,0,10.0,20,10.0,14.331307899193147,0,,21.5,0,,13.162194182611037,64,12.328125,32.0,20,32.0,0,0.2,28100,1,49,1.0,712.2340870604642,False,-0.00842856493378515,0,0.2,28470,2,58,1.0,851.2158581532026,False,0.006885773540894936,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41428,1,60,1.0,1304.3313078991932,False,-0.005902063455005996,28,2.8560000000000008,40653.0,0,0,0.0,0.0,False,-0.20565477353550354,36,3.017000000000001,35243.0,9,0,0.0,193.5,False,-0.3094737973347923,8,0.6670000000000001,63339,266,0,0.0,3501.1436525745357,False,-0.03141959455533,12,0.6530000000000001,62442,335,0,0.0,4409.335051174698,False,-0.03801033428688042,0.375,342194,0.0,0.0,5,0,0,13,13,13.0,18,31,77,381.0,168.0,22,56,77,200,4.398080270038918,162.2052503201412
9,77,0,0,0,10.000000000000002,20,10.0,14.995925784799367,12,20.0,21.5,0,,13.146275024017136,41,13.0,32.0,20,32.0,0,0.2,28230,2,47,1.0,724.8085118855703,False,-0.003679550632699718,0,0.2,28380,1,68,1.0,1029.722953366357,False,0.006859762934113106,0,0.2,42519,0,0,0.0,0.0,False,0.00446491849751949,0,0.2,41188,3,70,1.0,1549.987777354398,False,-0.008670118387025756,25,3.0780000000000007,40007.0,0,0,0.0,0.0,False,-0.21827738481378717,16,3.141000000000001,34915.0,9,0,0.0,193.5,False,-0.3158828012036422,10,0.7590000000000001,63005,284,0,0.0,3733.5421068208666,False,-0.03466062925536177,10,0.7410000000000001,62043,358,0,0.0,4706.366458598135,False,-0.04173772370501829,0.375,340287,0.0,0.0,6,0,0,11,9,9.0,18,29,45,360.0,171.0,20,57,45,440,4.111854785005562,166.31710510514677
