index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,44.0,0,,62.0,0,,0,0.2,49014,2,10,1.0,220.0,False,-0.0002035250539341393,0,0.2,49054,0,8,0.8,160.0,False,0.0,0,0.2,81377.0,0,0,0.0,0.0,False,0.0,0,0.2,81377,0,0,0.0,0.0,False,0.0,0,0.2,114082.0,0,0,0.0,0.0,False,0.0,0,0.2,114082.0,0,0,0.0,0.0,False,0.0,0,0.2,153849,0,0,0.0,0.0,False,0.0,0,0.2,153849,0,0,0.0,0.0,False,0.0,0.225,796684,0.0,0.0,9,0,0,0,0,0.0,600,600,180,0.0,0.0,0,0,180,200,5.312190021038987,5.312190021038987
1,180,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,32.96875,51,23.235294117647058,62.0,0,,0,0.2,48934,0,20,1.0,400.0,False,0.0,0,0.2,48934,2,18,1.0,380.0,False,-0.0002035250539341393,0,0.2,81377.0,0,0,0.0,0.0,False,0.0,0,0.2,81377,0,0,0.0,0.0,False,0.0,19,0.39,113207.0,0,0,0.0,0.0,False,-0.007669921635314949,32,0.52,112240.0,0,0,0.0,0.0,False,-0.016146280745428728,0,0.2,153437,18,0,0.0,593.4375,False,-0.0007493142626861403,0,0.2,153076,33,0,0.0,1087.96875,False,-0.0014885740238805582,0.25,792582,0.0,0.0,9,0,0,21,20,20.0,161,182,79,2952.0,183.0,164,16,79,200,20.525423573039006,25.837613594077993
2,79,0,0,0,10.0,20,10.0,18.181818181818183,10,10.0,30.0,0,,28.383100381194406,71,22.802816901408452,62.0,0,,0,0.2,48914,2,20,1.0,383.6363636363637,False,-0.0005735706065416249,0,0.2,48854,0,28,1.0,509.0909090909091,False,-0.0005180637736505095,0,0.2,81277.0,0,10,1.0,300.0,False,0.0006144242230605699,0,0.2,81377,0,0,0.0,0.0,False,0.0,39,0.7610000000000001,110767.0,0,0,0.0,0.0,False,-0.029058045966936064,32,0.808,110481.0,0,0,0.0,0.0,False,-0.03156501463859329,0,0.2,152769,46,0,0.0,1305.6226175349427,False,-0.002776675124521629,0,0.2,152125,76,0,0.0,2157.115628970775,False,-0.004195296592857975,0.375,786564,0.0,0.0,11,0,0,41,12,12.0,48,89,61,1212.0,120.0,69,10,61,300,10.243852475017775,36.08146606909577
3,61,0,0,0,10.0,20,10.0,18.662068965517243,23,19.695652173913043,30.0,0,,26.598284458717146,95,23.936842105263157,62.0,0,,0,0.2,49104,4,20,1.0,413.2413793103449,False,0.003594673538795415,0,0.2,48917,0,23,0.8,429.2275862068966,False,-4.8565288731909285e-05,0,0.2,80912.0,5,20,1.0,693.3103448275863,False,-0.0014542785748577962,0,0.2,81289,0,8,0.8,240.0,False,0.00039323150275876476,42,1.1420000000000001,108072.0,0,0,0.0,0.0,False,-0.05268140460370611,53,1.306,106481.0,0,0,0.0,0.0,False,-0.0666275135428902,0,0.2,151548,97,0,0.0,2580.033592495563,False,-0.00657126925590825,0,0.2,151072,120,0,0.0,3191.7941350460574,False,-0.007677027036100088,0.45,777395,0.0,0.0,14,0,0,14,13,13.0,35,49,37,495.0,149.0,30,31,37,653,4.80411238403758,40.88557845313335
4,37,0,0,0,10.0,20,10.0,18.662068965517243,0,,30.0,0,,26.062475201826768,34,22.705882352941178,62.0,20,62.0,0,0.2,49024,2,30,1.0,579.8620689655173,False,0.0036620473497529383,0,0.2,48797,2,33,1.0,635.848275862069,False,-0.00038824158564266435,0,0.2,80912.0,0,25,0.5,750.0,False,-0.001105963601509026,0,0.2,81289,0,8,0.0,240.0,False,0.00039323150275876476,29,1.3900000000000001,106589.0,0,0,0.0,0.0,False,-0.06568082607247419,5,1.3030000000000002,106314.0,0,0,0.0,0.0,False,-0.0680913728721446,11,0.31000000000000005,150591,127,0,0.0,3309.9343506319997,False,-0.010419520599314865,9,0.29000000000000004,150787,124,0,0.0,3231.7469250265194,False,-0.009399648600164682,0.3125,774303,0.0,0.0,9,0,0,15,16,16.0,31,46,36,471.0,105.0,27,10,36,200,4.122083949041553,45.0076624021749
5,36,0,0,0,10.0,20,10.0,20.50094637223975,14,29.071428571428573,30.0,0,,25.40802232844695,60,22.983333333333334,62.0,20,62.0,0,0.2,48934,1,40,1.0,830.03785488959,False,0.004376173880506339,0,0.2,49094,3,29,1.0,624.5274447949528,False,0.0055412488785255495,0,0.2,80505.0,4,35,1.0,1132.003785488959,False,-0.003760252986169603,0,0.2,81289,0,8,0.0,240.0,False,0.00039323150275876476,29,1.6510000000000002,105112.0,0,0,0.0,0.0,False,-0.07862765379288582,31,1.6080000000000003,104708.0,0,0,0.0,0.0,False,-0.0821689661822198,10,0.399,149371,171,0,0.0,4344.771818164429,False,-0.014986214346000153,10,0.38100000000000006,150165,140,0,0.0,3557.123125982573,False,-0.012385120715823348,0.375,769178,0.0,0.0,12,0,0,7,16,16.0,32,39,41,366.0,102.0,22,14,41,607,4.20160551200388,49.20926791417878
6,41,0,0,0,10.0,20,10.0,24.494464386926133,61,29.16393442622951,30.0,0,,24.927022888003513,52,22.576923076923077,62.0,20,62.0,0,0.2,49166,1,38,1.0,940.7896467031931,False,0.010224993351886646,20,0.4,49870,3,10,1.0,274.9446438692613,False,0.01777735014317243,0,0.2,78726.0,55,45,1.0,2697.1955412809375,False,-0.01600454955773171,0,0.2,81289,0,8,0.0,240.0,False,0.00039323150275876476,17,1.7920000000000003,104427.0,0,0,0.0,0.0,False,-0.08463210673024667,35,1.9270000000000005,102635.0,0,0,0.0,0.0,False,-0.10034010623937167,9,0.47900000000000004,148378,205,0,0.0,5110.03969204072,False,-0.01895352036074103,11,0.4810000000000001,149521,158,0,0.0,3938.469616304555,False,-0.015331690110743134,0.375,764012,0.0,0.0,13,0,0,14,20,19.53846153846154,33,47,37,450.0,137.0,25,16,37,1199,4.879861155000981,54.08912906917976
7,37,0,0,0,10.0,20,10.0,26.19934949816436,60,29.583333333333332,21.22222222222222,63,14.952380952380953,24.604755929925666,36,22.13888888888889,62.0,20,62.0,0,0.2,49860,0,21,1.0,550.1863394614516,False,0.02037475413625441,23,0.6100000000000001,50097,4,10,1.0,301.9934949816436,False,0.022672624811552466,16,0.36000000000000004,77229.0,105,10,1.0,2963.15391952948,False,-0.032766298096946984,0,0.2,81377,0,6,0.0,127.33333333333333,False,0.0007823668440305187,33,2.1050000000000004,102175.0,23,0,0.0,488.1111111111111,False,-0.10223299420105221,3,1.9220000000000002,101980.0,40,0,0.0,848.8888888888889,False,-0.1023610697178833,7,0.54,147704,229,0,0.0,5634.489107952978,False,-0.02163001024396331,13,0.6000000000000001,148914,170,0,0.0,4182.808508087363,False,-0.018483030412653454,0.375,759336,0.0,0.0,15,0,0,8,18,16.775,33,41,42,360.0,139.0,20,17,42,1366,4.177750180999283,58.266879250179045
8,42,0,0,0,10.0,20,10.0,26.82802117250073,31,30.096774193548388,20.09375,18,14.0,23.802714115204697,82,21.0609756097561,62.0,20,62.0,10,0.30000000000000004,50463,0,9,0.9,241.45219055250658,False,0.02950555817308283,0,0.5870000000000002,49987,5,20,1.0,586.5604234500146,False,0.023329674191496935,8,0.42400000000000004,76260.0,126,10,1.0,3581.268167735092,False,-0.04087599587269697,0,0.2,81377,0,6,0.0,120.5625,False,0.0007407652039273996,37,2.4420000000000006,99614.0,41,0,0.0,823.84375,False,-0.12321030596413106,45,2.369000000000001,98789.0,40,0,0.0,803.75,False,-0.13053001349906207,10,0.6330000000000001,146569,272,0,0.0,6474.338239335678,False,-0.026277914580739272,10,0.687,147858,209,0,0.0,4974.767250077782,False,-0.022773085135172153,0.3625,750917,0.0,0.0,12,0,0,8,23,22.158730158730158,35,43,45,432.0,159.0,24,18,45,727,4.125895525969099,62.392774776148144
9,45,0,0,0,10.000000000000002,20,10.0,27.201372411249082,17,31.0,18.38013442867812,57,15.263157894736842,23.460531244367257,112,22.464285714285715,62.0,20,62.0,8,0.37000000000000005,50678,2,10,1.0,292.0137241124908,False,0.03439587377490628,0,0.5870000000000002,49907,3,30,1.0,846.0411723374725,False,0.024342015430633277,47,0.8860000000000001,73753.0,133,10,1.0,3801.5838749829095,False,-0.07032955334441612,0,0.2,81377,0,6,0.0,110.28080657206871,False,0.0006775919889653102,48,2.885000000000001,95474.0,86,0,0.0,1580.6915608663182,False,-0.15618287038767592,64,2.9640000000000004,92793.0,52,0,0.0,955.7669902912621,False,-0.18242243741216285,13,0.7530000000000001,144571,344,0,0.0,8070.422748062337,False,-0.0340774956351281,7,0.7470000000000001,146857,249,0,0.0,5841.672279847447,False,-0.026462075542098302,0.375,735410,0.0,0.0,10,0,0,15,28,26.80392156862745,31,46,41,471.0,171.0,27,18,41,200,4.465695353981573,66.85847013012972
