index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,34.0,0,,0,0.2,41712,0,10,1.0,170.0,False,-0.0003587486845881565,0,0.2,41712,10,0,0.0,100.0,False,-0.0011958289486271884,0,0.2,57005,0,0,0.0,0.0,False,0.0,0,0.2,57005.0,0,0,0.0,0.0,False,0.0,0,0.2,81256,0,0,0.0,0.0,False,0.0,0,0.2,81256,0,0,0.0,0.0,False,0.0,0.16666666666666666,359946,0.0,0.0,8,0,0,0,0,0.0,1215,1215,87,0.0,0.0,0,0,87,200,7.490782845008653,7.490782845008653
1,87,0,0,0,10.0,20,10.0,14.090909090909092,10,1.0,24.0,0,,34.0,0,,0,0.2,41622,0,19,0.9,267.72727272727275,False,-0.0013425897741404461,10,0.30000000000000004,41402,21,0,0.0,210.0,False,-0.007294556586625849,0,0.2,56995,0,10,1.0,240.0,False,0.0019296552933953162,0,0.2,57005.0,0,0,0.0,0.0,False,0.0,0,0.2,81256,0,0,0.0,0.0,False,0.0,0,0.2,81256,0,0,0.0,0.0,False,0.0,0.31666666666666665,359536,0.0,0.0,10,0,0,25,1,1.0,80,105,87,1522.0,29.0,85,2,87,200,115.0096333049587,122.50041614996735
2,87,0,0,0,10.0,20,10.0,10.26896551724138,23,2.0434782608695654,22.166666666666668,9,13.0,34.0,0,,0,0.2,41482,4,29,1.0,337.8,False,-0.003852960872476766,23,0.52,40765,27,0,0.0,270.0,False,-0.021811920022959917,0,0.2,56968,0,19,0.9,421.1666666666667,False,0.003045054527380682,9,0.29000000000000004,56823.0,14,0,0.0,143.7655172413793,False,-0.0019317119792879598,0,0.2,81139,0,9,0.9,306.0,False,0.00044304420596632865,0,0.2,81256,0,0,0.0,0.0,False,0.0,0.4666666666666666,358433,0.0,0.0,9,0,0,16,6,6.0,46,62,21,574.0,155.0,45,42,21,200,19.46109624102246,141.9615123909898
3,21,0,0,0,10.0,20,10.0,7.751122194513717,35,3.057142857142857,20.183441558441558,13,12.76923076923077,34.0,20,34.0,0,0.2,41422,0,39,1.0,302.29376558603497,False,-0.005712549440519114,35,0.8470000000000002,39578,41,0,0.0,410.0,False,-0.04852673873529131,0,0.2,56968,0,19,0.0,383.4853896103896,False,0.0027145460013190833,13,0.41100000000000003,56447.0,49,0,0.0,379.8049875311721,False,-0.006457284558098676,1,0.21000000000000002,81363,0,6,0.6,204.0,False,0.002572117751304519,10,0.30000000000000004,81032,0,7,0.7,238.0,False,-0.001292212267401792,0.3833333333333333,356810,0.0,0.0,11,0,0,16,16,15.5,15,31,23,187.0,39.0,13,8,23,472,3.7937966589815915,145.7553090499714
4,23,0,0,0,10.0,20,10.0,7.201272588444897,8,1.0,18.49062150055991,16,12.625,34.0,20,34.0,0,0.2,41332,0,48,0.9,345.661084245355,False,-0.0073464425972764764,8,0.8920000000000001,39296,52,0,0.0,520.0,False,-0.05395580216205874,0,0.2,56968,0,19,0.0,351.32180851063833,False,0.002432434071665947,16,0.558,56077.0,57,0,0.0,410.4725375413591,False,-0.012678953271280111,3,0.23900000000000002,81341,6,10,1.0,450.94372900335946,False,0.003820910018973168,4,0.33000000000000007,81235,0,0,0.0,0.0,False,-0.00025844245348035836,0.31666666666666665,356249,0.0,0.0,13,0,0,15,10,9.0,14,29,21,105.0,82.0,10,13,21,540,2.5018599259783514,148.25716897594975
5,21,0,0,0,10.0,20,10.0,7.201272588444897,0,,17.228941868377564,18,12.722222222222221,34.0,20,34.0,0,0.2,41242,0,57,0.9,410.4725375413591,False,-0.008723900584265826,0,0.8840000000000001,39186,63,0,0.0,630.0,False,-0.055271214005548644,0,0.2,56968,0,19,0.0,327.3498954991737,False,0.002222172576959749,18,0.7220000000000002,55658.0,57,0,0.0,410.4725375413591,False,-0.020029185707031362,0,0.23600000000000002,81452,14,10,1.0,581.2051861572859,False,0.005988512763102316,10,0.42600000000000005,81108,0,0,0.0,0.0,False,-0.0018214039578615733,0.31666666666666665,355614,0.0,0.0,12,0,0,12,8,8.0,12,24,22,70.0,61.0,5,16,22,540,4.383247973048128,152.64041694899788
6,22,0,0,0,10.0,20,10.0,6.595513191318125,11,1.7272727272727273,16.898274108850284,5,12.0,34.0,20,34.0,0,0.2,41132,1,67,1.0,451.8993838183144,False,-0.010859330050962538,11,0.9940000000000002,38863,72,0,0.0,720.0,False,-0.06192002295991581,0,0.2,56968,0,19,0.0,321.0672080681554,False,0.0021670661176050724,5,0.7540000000000002,55554.0,68,0,0.0,448.4948970096325,False,-0.021520086860717217,0,0.23600000000000002,81630,9,13,1.0,594.0844669796526,False,0.008258371486288177,13,0.546,80899,0,0,0.0,0.0,False,-0.004393521709166092,0.3333333333333333,355046,0.0,0.0,13,0,0,18,10,10.0,11,29,19,101.0,45.0,12,10,19,438,1.9231193930027075,154.5635363420006
7,19,0,0,0,10.0,20,10.0,6.9596884575848454,64,7.46875,16.586968842862937,19,15.421052631578947,34.0,20,34.0,0,0.2,41466,1,51,1.0,364.9441113368271,False,-0.0039110289948241775,38,1.3630000000000002,37568,82,0,0.0,820.0,False,-0.09169616378073281,0,0.2,57040,0,17,0.0,281.9784703286699,False,0.0030872596292313955,17,0.9190000000000003,54681.0,132,0,0.0,918.6788764011995,False,-0.03271047384965177,0,0.23600000000000002,81715,16,14,1.0,741.391501485807,False,0.010210885974486848,11,0.6430000000000001,80674,0,2,0.2,68.0,False,-0.006744117357487447,0.3666666666666667,353144,0.0,0.0,18,0,0,15,13,13.0,11,26,14,111.0,51.0,8,11,14,1012,1.6018566979910247,156.1653930399916
8,14,0,0,0,10.0,20,10.0,9.092058175455714,27,20.0,16.3399998443951,6,13.0,34.0,20,34.0,0,0.2,41870,4,40,1.0,403.68232701822853,False,0.006214511707383476,6,1.3850000000000002,37378,89,0,0.0,890.0,False,-0.09540323352147709,0,0.2,56740,2,27,1.0,459.3641121495791,False,-0.0006195587040647768,6,0.9620000000000002,54345.0,147,0,0.0,1336.5325517919898,False,-0.03493963203410241,0,0.23600000000000002,82079,12,11,1.0,570.0799981327411,False,0.013636408376813673,5,0.6820000000000002,80695,0,0,0.0,0.0,False,-0.006904105542975288,0.5,353107,0.0,0.0,19,0,0,16,5,5.0,11,27,15,69.0,32.0,8,6,15,1244,1.5072585730231367,157.67265161301475
9,15,0,0,0,10.000000000000002,20,10.0,10.932425004984852,22,23.363636363636363,16.13983062226204,5,13.0,33.99999999999999,20,34.0,0,0.2,42320,0,30,1.0,327.97275014954556,False,0.016071615207949284,2,1.3990000000000002,37200,103,0,0.0,1030.0000000000002,False,-0.09798622405051181,0,0.2,56615,0,34,0.7,548.7542411569093,False,-0.0020282936483035203,5,1.0060000000000002,53876.0,164,0,0.0,1792.9177008175157,False,-0.03916395315483276,1,0.24600000000000002,82381,7,10,1.0,452.97881435583423,False,0.016632487535417847,8,0.7570000000000001,80602,0,0,0.0,0.0,False,-0.008048636408388304,0.45,352994,0.0,0.0,18,0,0,13,7,7.0,14,27,15,96.0,39.0,7,8,15,1084,2.080632386961952,159.7532839999767
