index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,17,10.0,17.0,0,,27.0,0,,34.0,0,,51.0,0,,0,0.2,38544,4,10,1.0,210.0,False,-0.0009047668286630131,0,0.2,38654,0,3,0.3,51.0,False,-0.00011632716368524454,0,0.2,56479,0,0,0.0,0.0,False,0.0,0,0.2,56479,0,0,0.0,0.0,False,0.0,0,0.2,70405,0,0,0.0,0.0,False,0.0,0,0.2,70405.0,0,0,0.0,0.0,False,0.0,0,0.2,111539,0,0,0.0,0.0,False,0.0,0,0.2,111539,0,0,0.0,0.0,False,0.0,0.1625,554044,0.0,0.0,8,0,0,241,0,0.0,735,976,248,0.0,0.0,0,0,248,170,19.996542003995273,19.996542003995273
1,248,0,0,0,9.999999999999998,16,10.0,17.0,0,,27.0,0,,24.426470588235293,23,5.695652173913044,51.0,0,,0,0.2,38424,6,20,1.0,400.0,False,-0.001551028849136594,0,0.2,38614,0,7,0.4,119.0,False,-0.00027143004859890395,0,0.2,56479,0,0,0.0,0.0,False,0.0,0,0.2,56479,0,0,0.0,0.0,False,0.0,0,0.2,70405,0,0,0.0,0.0,False,0.0,23,0.43000000000000005,69276.0,0,0,0.0,0.0,False,-0.016035792912435197,0,0.2,111539,0,0,0.0,0.0,False,0.0,0,0.2,111408,23,0,0.0,561.8088235294117,False,0.0013439641001326804,0.175,552624,0.0,0.0,6,0,0,29,4,4.0,125,154,86,1957.0,696.0,136,112,86,160,58.885251292958856,78.88179329695413
2,86,0,0,0,9.999999999999998,18,10.0,17.17391304347826,1,25.0,25.247191011235955,44,23.454545454545453,13.370396600566574,80,4.9125,51.0,0,,0,0.2,38304,8,30,1.0,595.2173913043479,False,-0.0021298548326911435,0,0.2,38579,0,12,0.6,206.08695652173913,False,-5.0577027689179515e-05,26,0.4600000000000001,55910,1,0,0.0,17.17391304347826,False,-0.009922502938760668,18,0.38000000000000006,56196,0,0,0.0,0.0,False,-0.0050107119460330385,0,0.2,70391,0,1,0.1,13.370396600566574,False,-0.00010389605425345836,80,1.207,60487.0,43,0,0.0,1085.629213483146,False,-0.13316078962088526,0,0.2,111454,2,10,1.0,536.7407932011331,False,0.0016440025157171082,0,0.2,111100,91,0,0.0,1216.7060906515583,False,0.0015183303178779124,0.3375,542421,0.0,0.0,9,0,0,13,20,20.0,80,93,73,1041.0,126.0,74,12,73,205,16.56892400200013,95.45071729895426
3,73,0,0,0,9.999999999999998,16,10.0,17.17391304347826,0,,24.568951279933934,41,23.24390243902439,11.471844787039458,26,2.1923076923076925,51.0,0,,0,0.2,38194,9,40,1.0,776.9565217391305,False,-0.0026243857700969974,0,0.2,38529,0,17,0.5,291.95652173913044,False,-0.0002332162943447485,36,0.7940000000000003,54936,1,0,0.0,17.17391304347826,False,-0.027167850767157064,5,0.41200000000000003,56150,0,0,0.0,0.0,False,-0.005825173958462437,0,0.2,70377,0,2,0.1,22.943689574078917,False,-0.0002347582588304804,26,1.3870000000000002,58091.0,83,0,0.0,2039.2229562345165,False,-0.16042026165588724,0,0.2,111441,5,20,1.0,1077.3592239351974,False,0.003950901585701863,0,0.2,111056,104,0,0.0,1193.0718578521037,False,0.001017903414286055,0.325,538774,0.0,0.0,8,0,0,16,13,13.0,22,38,28,298.0,192.0,19,54,28,160,7.286219978996087,102.73693727795035
4,28,0,0,0,9.999999999999998,13,10.0,18.93258426966292,12,25.0,24.666784878360165,32,25.0,11.02816529037194,40,9.5,51.0,20,51.0,0,0.2,38404,8,38,1.0,799.438202247191,False,0.003094796327256724,0,0.2,38489,0,21,0.4,397.5842696629214,False,9.802850872358197e-05,10,0.8580000000000001,54526,13,0,0.0,246.12359550561797,False,-0.032400329365732235,22,0.6270000000000001,55778,0,0,0.0,0.0,False,-0.012411692841587139,3,0.23,70490,0,1,0.1,11.02816529037194,False,0.0012856200929647398,35,1.7110000000000003,55186.0,114,0,0.0,2812.0134761330587,False,-0.19619335646521516,0,0.2,111561,13,22,1.0,1265.3661487748352,False,0.0058695440553296705,12,0.32000000000000006,110700,126,0,0.0,1389.5488265868644,False,-0.001293050741951862,0.3125,535134,0.0,0.0,10,0,0,15,19,18.6,19,34,30,256.0,81.0,16,12,30,838,4.629346367961261,107.36628364591161
5,30,0,0,0,10.0,14,10.0,20.9533721898418,24,25.0,24.6573095513553,14,24.571428571428573,12.279553608609051,35,18.0,51.0,20,51.0,0,0.2,38814,12,26,1.0,664.7876769358868,False,0.011953103052113077,0,0.2,38539,0,19,0.0,398.11407160699423,False,0.001397400367167215,4,0.8880000000000001,54177,26,0,0.0,544.7876769358868,False,-0.03593558953827188,10,0.7050000000000001,55423,11,0,0.0,230.48709408825982,False,-0.01665674769305181,9,0.31700000000000006,70601,0,0,0.0,0.0,False,0.0027838931894041616,25,1.9260000000000002,53607.0,128,0,0.0,3156.1356225734785,False,-0.21617686511914297,0,0.2,112010,8,23,1.0,1271.2364288688725,False,0.009921356784931144,11,0.41800000000000004,109857,156,0,0.0,1915.610362943012,False,-0.006492749787325509,0.25,533028,0.0,0.0,13,0,0,19,12,11.8,19,38,38,313.0,75.0,20,10,38,1199,6.318215410981793,113.6844990568934
6,38,0,0,0,10.0,9,10.0,22.679798393176387,28,26.678571428571427,24.468769456344386,51,24.0,13.377453997492498,30,19.8,50.99999999999999,20,51.0,2,0.22000000000000003,39429,11,10,1.0,336.79798393176384,False,0.0236118031218562,0,0.2,38539,0,19,0.0,430.91616947035135,False,0.0018213753679861275,9,0.9740000000000002,53582,45,0,0.0,1020.5909276929374,False,-0.042258264773695264,42,1.1150000000000002,54029,20,0,0.0,453.59596786352773,False,-0.03936333887052244,10,0.40800000000000003,70647,0,1,0.1,13.377453997492498,False,0.003532259455986779,20,2.1010000000000004,51435.0,178,0,0.0,4355.440963229301,False,-0.23850975809083663,0,0.2,112224,15,23,1.0,1373.6618099623872,False,0.01229911425583154,10,0.5070000000000001,109366,169,0,0.0,2260.7897255762323,False,-0.009347449208006902,0.2625,529251,0.0,0.0,9,0,0,19,18,17.105263157894736,19,38,38,284.0,114.0,20,18,38,834,6.265386728977319,119.94988578587072
7,38,0,0,0,10.0,12,10.0,22.73402860395052,2,25.0,24.79496247432921,79,25.455696202531644,14.646849304321188,22,25.318181818181817,50.99999999999999,20,51.0,0,0.21800000000000003,39309,13,20,1.0,584.6805720790104,False,0.02371368746870818,0,0.2,38589,0,17,0.0,386.4784862671588,False,0.002539531670292186,53,1.495,51923,47,0,0.0,1068.4993443856745,False,-0.07120788837987854,26,1.3330000000000002,53542,20,0,0.0,454.6805720790104,False,-0.04797641094850286,9,0.4880000000000001,70730,0,2,0.2,29.293698608642377,False,0.0048241864825555175,12,2.201000000000001,48932.0,255,0,0.0,6322.715430953948,False,-0.2600900828708618,0,0.2,112656,12,24,1.0,1399.762191651854,False,0.016289200152645508,11,0.6070000000000001,108636,184,0,0.0,2695.0202719950985,False,-0.013945703870417053,0.275,524317,0.0,0.0,11,0,0,15,17,16.8,24,39,40,287.0,132.0,19,19,40,629,5.402867184951901,125.35275297082262
8,40,0,0,0,10.0,9,10.0,23.123823938784508,16,25.0,24.92664668095768,59,25.406779661016948,13.168158607249152,50,7.66,51.0,20,51.0,0,0.21800000000000003,39544,12,17,1.0,513.1050069593366,False,0.028863419074544164,0,0.2,38664,0,14,0.0,323.7335351429831,False,0.0036673241539522702,21,1.6520000000000001,51247,60,0,0.0,1387.4294363270706,False,-0.08035349920920098,38,1.6870000000000005,52563,23,0,0.0,531.8479505920437,False,-0.06462713618697179,3,0.5090000000000001,70839,0,2,0.2,26.336317214498305,False,0.00635136934318943,45,2.639000000000001,44299.0,312,0,0.0,7777.113764458796,False,-0.31556626827314255,0,0.2,112803,29,25,1.0,1656.8765996102254,False,0.018759701089350947,11,0.706,108342,207,0,0.0,2725.8088317005745,False,-0.016443536199443422,0.275,518301,0.0,0.0,11,0,0,19,23,22.6,19,38,45,327.0,144.0,22,18,45,949,5.827994869032409,131.18074783985503
9,45,0,0,0,10.0,7,10.0,23.5426645052681,22,25.136363636363637,25.101467289312733,48,26.0,13.110680425946216,2,7.0,51.00000000000001,20,51.0,0,0.21800000000000003,39786,9,15,1.0,443.1399675790215,False,0.03421492047847968,0,0.2,38905,0,4,0.0,94.1706580210724,False,0.0069301346554269715,48,2.1110000000000007,50347,60,0,0.0,1412.559870316086,False,-0.09606614962803804,0,1.6490000000000002,52010,45,0,0.0,1059.4199027370644,False,-0.06974787175111932,0,0.506,70839,0,2,0.0,26.22136085189243,False,0.006350552949732932,2,2.6140000000000003,42982.0,360,0,0.0,9036.528224152584,False,-0.32532825634434637,0,0.2,113248,21,26,1.0,1601.3242889448707,False,0.02250031060411542,11,0.8050000000000002,108115,207,0,0.0,2713.9108481708668,False,-0.01853203431906836,0.25,516232,0.0,0.0,12,0,0,21,9,9.0,21,42,38,373.0,168.0,24,21,38,1082,6.84671322995564,138.02746106981067
