index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,31.0,0,,38.0,0,,52.0,0,,0,0.2,49020,2,10,1.0,210.0,False,-0.00030525030525030525,0,0.2,49060,0,8,0.8,152.0,False,-8.14000814000814e-05,0,0.2,85340,0,0,0.0,0.0,False,0.0,0,0.2,85340,0,0,0.0,0.0,False,0.0,0,0.2,111876,0,0,0.0,0.0,False,0.0,0,0.2,111876,0,0,0.0,0.0,False,0.0,0,0.2,142834,0,0,0.0,0.0,False,0.0,0,0.2,142834,0,0,0.0,0.0,False,0.0,0.225,778180,0.0,0.0,5,0,0,143,0,0.0,462,605,290,0.0,0.0,0,0,290,200,15.020351964980364,15.020351964980364
1,290,0,0,0,10.0,20,10.0,19.0,0,,31.0,0,,21.988636363636363,43,5.232558139534884,52.0,0,,0,0.2,48910,3,20,1.0,410.0,False,-0.0005087505087505087,0,0.2,48970,0,17,0.9,323.0,False,-0.00017297517297517297,0,0.2,85340,0,0,0.0,0.0,False,0.0,0,0.2,85340,0,0,0.0,0.0,False,0.0,0,0.2,111876,0,0,0.0,0.0,False,0.0,43,0.6300000000000001,108719,0,0,0.0,0.0,False,-0.02821874217884086,0,0.2,142830,0,4,0.4,208.0,False,0.0007001134183737765,0,0.2,142613,39,0,0.0,857.5568181818181,False,0.001454684522529032,0.2875,774598,0.0,0.0,4,0,0,53,6,6.0,178,231,81,3672.0,405.0,220,70,81,200,46.608702400000766,61.62905436498113
2,81,0,0,0,10.0,20,10.0,20.894736842105264,12,28.0,29.340425531914892,49,27.816326530612244,16.41575663026521,49,7.408163265306122,52.0,0,,0,0.2,49146,3,18,1.0,406.10526315789474,False,0.00425422530685687,0,0.2,48870,0,27,1.0,564.1578947368421,False,0.0002458068247541698,23,0.43000000000000005,84484,12,0,0.0,250.73684210526318,False,-0.008561419954855563,26,0.4600000000000001,84729,0,0,0.0,0.0,False,-0.00715959690649168,0,0.2,111844,0,2,0.2,32.83151326053042,False,-0.0001392992542613237,49,1.0770000000000002,103625,47,0,0.0,1379.0,False,-0.06758822267510459,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,0,0.2,142250,88,0,0.0,1444.5865834633385,False,0.0009682098921242795,0.275,767778,0.0,0.0,7,0,0,10,18,18.0,65,75,74,928.0,183.0,65,16,74,536,18.449769119964913,80.07882348494604
3,74,0,0,0,10.0,20,10.0,22.887798036465636,20,28.0,28.91829484902309,28,27.642857142857142,14.152619749964883,27,4.481481481481482,52.0,0,,2,0.22000000000000003,49550,4,10,1.0,268.87798036465637,False,0.011079344529554957,0,0.2,48780,0,36,0.9,823.9607293127629,False,0.0010578014785588405,0,0.40700000000000003,84176,23,0,0.0,526.4193548387096,False,-0.010555311958995211,28,0.7140000000000002,83879,9,0,0.0,205.9901823281907,False,-0.015912876831918308,0,0.2,111828,0,3,0.1,42.457859249894646,False,-0.00023929234487333318,27,1.298,101309,74,0,0.0,2139.953818827709,False,-0.08488883308829542,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,0,0.2,142129,115,0,0.0,1627.5512712459615,False,0.0007615528209179519,0.25,764481,0.0,0.0,6,0,0,23,8,7.222222222222222,28,51,31,692.0,202.0,41,33,31,508,10.427620614995249,90.50644409994129
4,31,0,0,0,10.0,20,10.0,24.23666398990478,23,28.0,28.911870245442802,38,28.894736842105264,13.25284893414725,17,6.470588235294118,52.0,13,52.0,2,0.23800000000000002,49790,0,9,0.9,218.129975909143,False,0.015446987951863542,0,0.2,48938,5,35,1.0,898.2832396466673,False,0.005029336992741852,38,0.7870000000000001,82542,46,0,0.0,1114.88654353562,False,-0.0262544730282656,0,0.6860000000000002,83879,9,0,0.0,218.129975909143,False,-0.015841750785627287,0,0.2,111753,0,8,0.5,106.022791473178,False,-0.000625590870816056,17,1.4410000000000003,99449,107,0,0.0,3093.57011626238,False,-0.09725244862051563,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,13,0.33000000000000007,141749,132,0,0.0,1749.3760593074371,False,-0.0014724223248406341,0.3,760930,0.0,0.0,6,0,0,9,10,9.166666666666668,22,31,33,337.0,88.0,21,10,33,508,6.496426354977302,97.0028704549186
5,33,0,0,0,10.0,20,10.0,24.938975459550246,18,28.0,28.29481619535739,42,26.452380952380953,13.826862716253178,23,17.08695652173913,52.0,10,52.0,9,0.32600000000000007,50007,0,8,0.8,199.51180367640197,False,0.01967350227590968,0,0.2,48818,7,45,1.0,1192.2538956797612,False,0.005578488967030578,13,0.8790000000000002,82178,55,0,0.0,1371.6436502752636,False,-0.029015446154937445,29,0.9760000000000002,83092,18,0,0.0,448.90155827190443,False,-0.02371161496208167,0,0.2,111942,0,9,0.6,124.4417644462786,False,0.0011460981999994032,18,1.604,97585,143,0,0.0,4046.158715936107,False,-0.10965641104465616,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,10,0.4170000000000001,141176,155,0,0.0,2143.1637210192425,False,-0.004105592082350044,0.3,757628,0.0,0.0,7,0,0,17,10,10.0,17,34,28,362.0,74.0,23,10,28,732,5.70696213201154,102.70983258693013
6,28,0,0,0,10.0,20,10.0,26.61880500865586,52,29.423076923076923,27.474507606257806,16,19.75,13.722029319937153,27,13.185185185185185,52.0,11,52.0,7,0.387,50166,0,10,1.0,266.1880500865586,False,0.023587586997217663,0,0.2,49828,7,18,1.0,549.1384901558055,False,0.01958830372563904,11,0.9760000000000002,81216,80,0,0.0,2129.5044006924686,False,-0.03584775954597801,5,0.9970000000000001,82192,45,0,0.0,1197.8462253895136,False,-0.029869661205826622,0,0.2,112066,1,14,1.0,219.58291808537797,False,0.0026796762401470856,22,1.8060000000000005,96280,148,0,0.0,4066.2271257261555,False,-0.12123142083321649,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,11,0.5170000000000001,140641,182,0,0.0,2497.409336228562,False,-0.006611138327609099,0.375,755219,0.0,0.0,10,0,0,13,10,9.7,18,31,32,296.0,81.0,21,7,32,1740,4.256615178019274,106.96644776494941
7,32,0,0,0,10.0,20,10.0,26.8335562023764,23,28.0,26.730677259308514,35,23.542857142857144,14.464044879053821,38,17.36842105263158,51.99999999999999,9,52.0,2,0.4000000000000001,50296,6,10,1.0,328.335562023764,False,0.026865441209033076,0,0.2,50096,1,17,1.0,466.17045544039877,False,0.02419790858201464,25,1.2150000000000003,80127,92,0,0.0,2468.687170618629,False,-0.04662123757547093,10,1.0920000000000003,81782,56,0,0.0,1502.6791473330784,False,-0.03288798249746261,0,0.2,112464,3,14,1.0,282.68866008467904,False,0.006519220655389348,28,2.0640000000000005,93955,171,0,0.0,4570.945811341756,False,-0.13975765217141412,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,9,0.5960000000000001,139841,220,0,0.0,3182.0898733918407,False,-0.009815275517762423,0.375,751391,0.0,0.0,8,0,0,12,13,12.166666666666668,17,29,37,292.0,129.0,19,13,37,1088,8.70657984999707,115.67302761494648
8,37,0,0,0,10.0,20,10.0,27.1407853767315,22,29.0,26.29573279936262,113,25.654867256637168,14.39156817770055,26,13.923076923076923,52.0,9,52.0,0,0.398,50206,5,20,1.0,592.8157075346301,False,0.02772502754919235,5,0.25,50509,2,10,1.0,291.40785376731503,False,0.03082425573633821,57,1.7600000000000002,78206,103,0,0.0,2795.5008938033448,False,-0.06721642316731109,56,1.6420000000000001,79593,67,0,0.0,1818.4326202410105,False,-0.056688348838522286,0,0.2,112572,5,19,1.0,404.9184593731236,False,0.008030848704695908,21,2.246000000000001,90086,272,0,0.0,7152.439321426633,False,-0.1628032852380017,0,0.2,142830,0,4,0.0,208.0,False,0.0007001134183737765,9,0.6770000000000002,139337,246,0,0.0,3540.3257717143356,False,-0.012089818349572483,0.375,743339,0.0,0.0,6,0,0,19,14,13.454545454545455,19,38,37,433.0,117.0,28,9,37,809,5.271917289006524,120.944944903953
9,37,0,0,0,10.000000000000002,20,10.0,27.20193686379645,32,27.46875,26.697084000256545,89,27.831460674157302,14.642320300404396,19,16.94736842105263,51.99999999999999,10,52.0,0,0.398,50435,6,18,1.0,549.6348635483362,False,0.03194581668242094,10,0.34500000000000003,50729,1,10,1.0,282.01936863796453,False,0.03520573228162357,60,2.303000000000001,75098,126,0,0.0,3427.444044838353,False,-0.0999329502880341,29,1.8760000000000006,78829,76,0,0.0,2067.3472016485302,False,-0.06418240448998994,0,0.2,112787,0,24,1.0,351.41568720970554,False,0.00971350283890063,14,2.3650000000000007,86990,356,0,0.0,9504.16190409133,False,-0.1799663828520356,0,0.2,142830,0,4,0.0,207.99999999999997,False,0.0007001134183737765,10,0.7680000000000002,138831,265,0,0.0,3880.214879607165,False,-0.014442587620569537,0.375,736529,0.0,0.0,8,0,0,19,13,12.5,18,37,40,410.0,138.0,26,11,40,829,6.00425219500903,126.94919709896203
