index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,17,10.0,13.0,0,,20.0,0,,25.0,0,,34.0,0,,0,0.2,40334,0,8,0.8,104.0,False,-0.0006928292175978621,0,0.2,40324,0,9,0.9,117.0,False,-0.0007794328697975949,0,0.2,55293,0,0,0.0,0.0,False,0.0,0,0.2,55293,0,0,0.0,0.0,False,0.0,0,0.2,88726,0,0,0.0,0.0,False,0.0,0,0.2,88726.0,0,0,0.0,0.0,False,0.0,0,0.2,112055,0,0,0.0,0.0,False,0.0,0,0.2,112055,0,0,0.0,0.0,False,0.0,0.21250000000000002,592806,0.0,0.0,5,0,0,149,0,0.0,464,613,218,0.0,0.0,0,0,218,170,4.261371664993931,4.261371664993931
1,218,0,0,0,9.999999999999998,14,10.0,13.0,0,,20.0,0,,18.857142857142858,18,3.5,34.0,0,,0,0.2,40294,0,12,0.4,156.0,False,-0.0010392438263967933,0,0.2,40224,0,19,1.0,247.0,False,-0.0016454693917949226,0,0.2,55293,0,0,0.0,0.0,False,0.0,0,0.2,55293,0,0,0.0,0.0,False,0.0,0,0.2,88726,0,0,0.0,0.0,False,0.0,18,0.38000000000000006,88115.0,0,0,0.0,0.0,False,-0.006886369271690372,0,0.2,112055,0,0,0.0,0.0,False,0.0,0,0.2,111992,18,0,0.0,339.42857142857144,False,0.000952338456242826,0.175,591992,0.0,0.0,4,0,0,51,4,4.0,124,175,71,2715.0,351.0,161,57,71,140,14.074501061986666,18.335872726980597
2,71,0,0,0,9.999999999999998,13,10.0,14.714285714285714,18,19.0,18.51063829787234,49,17.142857142857142,13.113613101330603,41,5.170731707317073,34.0,0,,0,0.2,40389,0,7,0.0,103.0,False,0.0006557133666551195,0,0.2,40341,3,16,1.0,265.4285714285714,False,0.0014775643518157716,31,0.51,54746,0,0,0.0,0.0,False,-0.009892753151393485,18,0.38000000000000006,54726,18,0,0.0,264.85714285714283,False,-0.007859429377523873,0,0.2,88676,0,5,0.5,65.56806550665301,False,-0.00019403520103104525,41,0.7720000000000002,85491.0,44,0,0.0,814.468085106383,False,-0.03187077020768222,0,0.2,111953,2,10,1.0,366.2272262026612,False,0.0007238732149509938,0,0.2,111882,47,0,0.0,616.3398157625384,False,0.0012062818069810998,0.3125,588204,0.0,0.0,7,0,0,16,13,13.0,51,67,83,709.0,190.0,52,19,83,472,6.085971102991607,24.421843829972204
3,83,0,0,0,9.999999999999998,12,10.0,15.789960369881111,19,19.0,17.11508553654743,44,14.431818181818182,9.755609504892224,48,3.6041666666666665,34.0,0,,0,0.2,40435,0,6,0.3,94.73976221928666,False,0.0016917375441589577,0,0.2,40536,2,11,1.0,193.68956406869222,False,0.005415073539722439,28,0.7590000000000001,53762,19,0,0.0,300.00924702774114,False,-0.024975953131248577,16,0.522,54546,18,0,0.0,284.21928665786,False,-0.01093972757258735,0,0.2,88411,15,15,1.0,403.0604256215948,False,-0.001278878651006453,48,1.2110000000000003,82682.0,63,0,0.0,1078.250388802488,False,-0.06204353634333513,0,0.2,111849,7,20,1.0,748.2892665342456,False,0.0015005544890198427,0,0.2,111813,80,0,0.0,780.4487603913778,False,0.0013227823853972944,0.4125,584034,0.0,0.0,6,0,0,31,16,16.0,28,59,38,757.0,386.0,45,38,38,481,3.684552012011409,28.106395841983613
4,38,0,0,0,9.999999999999998,19,10.0,16.651669709008914,25,19.0,16.21608459718937,28,12.5,8.670062893856608,40,5.35,34.0,20,34.0,0,0.2,40443,0,7,0.3,116.5616879630624,False,0.0021596685302502703,12,0.32000000000000006,40603,8,10,1.0,246.5166970900891,False,0.007726489546816573,9,0.8210000000000002,53208,42,0,0.0,699.3701277783744,False,-0.03138398958477231,19,0.6960000000000001,54148,20,0,0.0,333.0333941801783,False,-0.017696332318917585,0,0.2,88201,25,25,1.0,622.1536872761494,False,-0.002411053765096196,40,1.563,80788.0,71,0,0.0,1151.3420064004451,False,-0.08297825887338305,0,0.2,112093,17,18,1.0,759.3910691955623,False,0.0037275939011893865,8,0.28,111688,100,0,0.0,867.0062893856608,False,0.0005934866332857374,0.4125,581172,0.0,0.0,12,0,0,21,16,15.214285714285715,18,39,30,389.0,111.0,25,13,30,636,2.7898470039945096,30.896242845978122
5,30,0,0,0,9.999999999999998,10,10.0,17.15731578306824,23,19.0,16.19404532086081,25,16.08,8.677174987493057,28,8.714285714285714,34.0,20,34.0,0,0.2,40500,0,4,0.0,68.62926313227295,False,0.002977053287626468,10,0.40800000000000003,40723,8,10,1.0,251.57315783068236,False,0.0107583159032846,22,1.0320000000000003,52633,55,0,0.0,943.6523680687532,False,-0.039574156149343016,3,0.7070000000000001,53943,30,0,0.0,514.7194734920472,False,-0.019760914822020432,0,0.2,88281,25,30,1.0,665.166382646312,False,-0.0012670108950797706,23,1.7530000000000001,79670.0,86,0,0.0,1392.6878975940297,False,-0.09421878650229902,0,0.2,112146,12,21,1.0,818.1260998499167,False,0.004462657176609279,13,0.402,111428,123,0,0.0,1067.292523461646,False,-0.0008331064055077599,0.375,579324,0.0,0.0,8,0,0,20,13,13.0,15,35,24,311.0,89.0,20,10,24,770,2.0125871429918334,32.908829988969956
6,24,0,0,0,9.999999999999998,10,10.0,17.21307848970044,3,19.0,15.373768351143806,32,11.8125,8.314488659355915,9,2.0,34.0,20,34.0,0,0.2,40557,0,1,0.0,17.21307848970044,False,0.003751337141704629,0,0.398,40623,8,20,1.0,424.2615697940088,False,0.01042041829309157,10,1.11,52416,58,0,0.0,998.3585524026255,False,-0.043004009979539654,22,0.9240000000000002,53543,30,0,0.0,516.3923546910132,False,-0.02697997617518485,0,0.2,88071,35,40,1.0,870.6614386642698,False,-0.002475816340958254,9,1.8200000000000003,79250.0,98,0,0.0,1506.629298412093,False,-0.098310363938349,0,0.2,112452,2,22,1.0,764.6289773187118,False,0.006954749798396777,11,0.4990000000000001,111265,132,0,0.0,1097.5125030349807,False,-0.002152904809981758,0.375,578177,0.0,0.0,8,0,0,13,10,10.0,21,34,25,303.0,60.0,19,5,25,463,1.9887114640441723,34.89754145301413
7,25,0,0,0,9.999999999999998,10,10.0,17.553531666203508,21,19.0,15.238885765719223,45,14.777777777777779,8.559497303790923,33,9.666666666666666,34.0,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,0.398,40903,8,10,1.0,255.5353166620351,False,0.01526123764861228,45,1.5500000000000003,51262,68,0,0.0,1193.6401533018386,False,-0.06210876464198148,0,0.9020000000000001,53334,41,0,0.0,719.6947983143439,False,-0.02892142949094508,0,0.2,88146,35,45,1.0,918.5383804707644,False,-0.0013607151203099026,28,2.0910000000000006,77668.0,133,0,0.0,2026.7718068406566,False,-0.11320936474742088,0,0.2,112720,0,18,0.4,612.0,False,0.008665387532907947,12,0.6080000000000001,110780,163,0,0.0,1395.1980605179206,False,-0.005152835391022592,0.3,575389,0.0,0.0,11,0,0,17,12,12.0,13,30,20,273.0,87.0,16,9,20,956,2.434153687034268,37.331695140048396
8,20,0,0,0,9.999999999999998,10,10.0,17.685992630027474,10,19.0,15.514049510472965,54,16.425925925925927,9.934836250251776,22,20.181818181818183,34.0,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,0,0.398,40993,8,10,1.0,256.8599263002747,False,0.01750457670980686,25,1.7550000000000003,50887,68,0,0.0,1202.6474988418684,False,-0.06880936557211706,29,1.1920000000000002,52670,51,0,0.0,901.9856241314012,False,-0.03928177505171181,0,0.2,88361,40,45,1.0,1067.6296116802487,False,0.0019026531776494772,12,2.1830000000000007,76630.0,172,0,0.0,2668.41651580135,False,-0.12129242546828796,0,0.2,112792,0,16,0.7,544.0,False,0.009004506715452233,11,0.7060000000000002,110441,178,0,0.0,1768.400852544816,False,-0.006512869338517624,0.3375,573350,0.0,0.0,10,0,0,13,12,12.0,18,31,24,220.0,60.0,15,5,24,976,3.8245272419881076,41.1562223820365
9,24,0,0,0,10.0,13,10.0,17.914464255449833,17,19.235294117647058,15.305761555698197,12,11.666666666666666,10.956791836995825,23,18.391304347826086,34.0,20,34.0,0,0.2,40576,0,0,0.0,0.0,False,0.004008511901816203,7,0.4680000000000001,41068,11,10,1.0,289.1446425544983,False,0.019759794162350918,5,1.7800000000000002,50530,83,0,0.0,1486.9005332023362,False,-0.07269545391638782,7,1.2330000000000003,52542,53,0,0.0,949.4666055388411,False,-0.041167357481608546,0,0.2,88641,40,45,1.0,1105.28609489274,False,0.005270642736586463,13,2.3010000000000006,76192.0,174,0,0.0,2663.202510691486,False,-0.12625835431163648,0,0.2,112906,0,13,0.6,442.0,False,0.009566730623354603,11,0.8050000000000002,110065,195,0,0.0,2136.574408214186,False,-0.008225539207468699,0.325,572520,0.0,0.0,10,0,0,19,14,13.23076923076923,14,33,32,287.0,96.0,17,7,32,816,16.653120009985287,57.80934239202179
