index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,30.0,0,,0,0.2,36039,8,0,0.0,80.0,False,-0.0011074503723801877,0,0.2,35999,12,0,0.0,120.0,False,-0.0016611755585702816,0,0.2,49664,0,0,0.0,0.0,False,0.0,0,0.2,49664,0,0,0.0,0.0,False,0.0,0,0.2,67466,0,0,0.0,0.0,False,0.0,0,0.2,67466,0,0,0.0,0.0,False,0.0,0.0,306298,0.0,0.0,5,0,0,0,0,0.0,647,647,77,0.0,0.0,0,0,77,200,2.476785384118557,2.476785384118557
1,77,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,30.0,0,,0,0.2,35939,18,0,0.0,180.0,False,-0.002491763337855422,0,0.2,35899,22,0,0.0,220.0,False,-0.003045488524045516,0,0.2,49664,0,0,0.0,0.0,False,0.0,0,0.2,49664,0,0,0.0,0.0,False,0.0,0,0.2,67466,0,0,0.0,0.0,False,0.0,0,0.2,67466,0,0,0.0,0.0,False,0.0,0.0,306098,0.0,0.0,4,0,0,18,0,0.0,68,86,74,1364.0,15.0,76,1,74,200,6.550612921826541,9.027398305945098
2,74,0,0,0,10.0,20,10.0,12.03125,19,2.6315789473684212,21.80392156862745,6,12.833333333333334,30.0,0,,19,0.39,35455,26,0,0.0,260.0,False,-0.014784462471275506,0,0.2,35779,34,0,0.0,340.0,False,-0.004706664082615798,0,0.2,49622,6,10,1.0,290.22671568627453,False,0.002076219350900853,6,0.26,49560,3,0,0.0,36.09375,False,-0.0017306927553157217,0,0.2,67466,0,0,0.0,0.0,False,0.0,0,0.2,67389,0,6,0.6,180.0,False,0.00019268965108350873,0.26666666666666666,305271,0.0,0.0,5,0,0,8,7,7.0,76,84,4,1170.0,0.0,74,0,4,200,4.648226361721754,13.675624667666852
3,4,0,0,0,10.0,20,10.0,11.929530201342281,2,9.0,20.032786885245905,9,11.0,30.0,20,30.0,0,0.37100000000000005,35345,37,0,0.0,370.0,False,-0.016307206733298264,2,0.22000000000000003,35669,43,0,0.0,430.0,False,-0.006506270937733603,0,0.2,49622,0,16,0.6,320.5245901639345,False,0.0023812478874428986,9,0.3440000000000001,49389,5,0,0.0,59.647651006711406,False,-0.0049366981011727306,10,0.30000000000000004,67370,0,0,0.0,0.0,False,-0.001422938961847449,4,0.24000000000000002,67446,0,9,0.9,270.0,False,0.0017045622980464234,0.25,304841,0.0,0.0,6,0,0,5,5,5.0,7,12,10,36.0,6.0,2,2,10,380,0.7931018648669124,14.468726532533765
4,10,0,0,0,10.0,20,10.0,10.750309405940593,11,5.0,18.551834641884316,13,12.923076923076923,30.0,20,30.0,5,0.42100000000000004,35119,50,0,0.0,500.0,False,-0.02076469448212852,6,0.278,35533,50,0,0.0,500.0,False,-0.009302583127993577,0,0.2,49622,0,16,0.0,296.82935427014905,False,0.0021426924358704806,13,0.4650000000000001,49126,16,0,0.0,172.00495049504948,False,-0.009101109953940038,7,0.36000000000000004,67312,0,0,0.0,0.0,False,-0.0022826312512969496,4,0.276,67524,3,10,1.0,355.65550392565297,False,0.0034955051724251006,0.16666666666666666,304236,0.0,0.0,7,0,0,8,9,9.0,7,15,12,104.0,27.0,6,4,12,470,0.9013194143772125,15.370045946910977
5,12,0,0,0,10.0,20,10.0,10.280010259917919,12,8.0,15.970433297474745,34,11.705882352941176,29.999999999999996,20,30.0,0,0.41600000000000004,35039,58,0,0.0,580.0,False,-0.021872144854508706,12,0.392,35251,62,0,0.0,620.0,False,-0.015448932694703618,0,0.2,49622,0,16,0.0,255.52693275959592,False,0.0017268739203405768,34,0.7920000000000003,47993,28,0,0.0,287.84028727770175,False,-0.03074822520057076,12,0.4730000000000001,67107,0,7,0.7,209.99999999999997,False,-0.003764859336554709,0,0.272,67443,20,12,1.0,679.4086659494949,False,0.004694280570580054,0.2833333333333333,302455,0.0,0.0,7,0,0,6,9,9.0,10,16,12,108.0,29.0,7,5,12,440,0.9555772701278329,16.32562321703881
6,12,0,0,0,10.0,20,10.0,7.482579630786212,47,3.723404255319149,15.970433297474745,0,,30.0,20,30.0,31,0.7260000000000002,34088,68,0,0.0,680.0,False,-0.04681746449237244,16,0.54,34931,72,0,0.0,720.0,False,-0.022924222708269885,0,0.2,49622,0,16,0.0,255.52693275959592,False,0.0017268739203405768,0,0.7580000000000002,47818,75,0,0.0,561.1934723089659,False,-0.031519878862868826,5,0.5110000000000001,67287,0,0,0.0,0.0,False,-0.0026531882726113895,0,0.272,67683,10,14,1.0,579.7043329747474,False,0.007512705162413211,0.16666666666666666,301429,0.0,0.0,8,0,0,7,9,9.0,9,16,5,108.0,28.0,7,5,5,650,0.9126527290791273,17.238275946117938
7,5,0,0,0,10.0,20,10.0,7.106025330816848,22,5.409090909090909,17.350970585448504,17,23.941176470588236,30.0,20,30.0,11,0.8050000000000002,33778,77,0,0.0,770.0,False,-0.05415432320939118,11,0.6340000000000001,34681,83,0,0.0,830.0,False,-0.0283230432736233,0,0.2,49952,0,6,0.0,104.10582351269102,False,0.0068470705492175805,7,0.8280000000000001,47580,97,0,0.0,689.2844570892343,False,-0.03502250667395665,9,0.5960000000000001,67128,0,7,0.7,210.0,False,-0.0034535914386505796,0,0.272,67683,10,13,1.0,563.509705854485,False,0.007392684506673676,0.2833333333333333,300802,0.0,0.0,8,0,0,5,8,8.0,8,13,5,49.0,21.0,3,2,5,860,0.726020603440702,17.96429654955864
8,5,0,0,0,10.0,20,10.0,7.1352689856228775,6,7.666666666666667,16.591412988782093,12,11.0,30.0,20,30.0,1,0.8040000000000003,33670,86,0,0.0,860.0,False,-0.055898557545889974,5,0.6730000000000002,34521,94,0,0.0,940.0,False,-0.031230100501121294,0,0.2,49952,0,6,0.0,99.54847793269255,False,0.006801188767846874,12,0.9410000000000003,47330,103,0,0.0,734.9327055191563,False,-0.039596763193468575,0,0.5870000000000002,67206,2,10,1.0,333.18282597756416,False,-0.001384528310722699,0,0.272,68073,0,10,1.0,300.0,False,0.01122046660540124,0.3333333333333333,300752,0.0,0.0,10,0,0,6,3,3.0,8,14,2,64.0,3.0,4,1,2,800,0.691160592250526,18.655457141809165
9,2,0,0,0,10.000000000000002,20,10.0,7.1762052618294465,10,7.6,16.541125452983845,1,12.0,29.999999999999996,20,30.0,2,0.8230000000000002,33498,100,0,0.0,1000.0000000000002,False,-0.058722555995459454,8,0.748,34367,100,0,0.0,1000.0000000000002,False,-0.03466319665549988,0,0.2,49952,0,6,0.0,99.24675271790306,False,0.006798151102588354,1,0.9390000000000003,47238,113,0,0.0,810.9111945867274,False,-0.040684286459138075,0,0.5870000000000002,67506,0,2,0.2,59.99999999999999,False,0.0010375596596804316,0,0.272,68361,0,1,0.1,29.999999999999996,False,0.013488275575845612,0.05000000000000001,300922,0.0,0.0,9,0,0,7,4,4.0,5,12,4,36.0,0.0,2,0,4,800,0.6635000351816416,19.318957176990807
