index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,32.0,0,,0,0.2,48685,4,10,1.0,220.0,False,-0.0006144393241167435,0,0.2,48765,6,0,0.0,60.0,False,-0.0006144393241167435,0,0.2,86571,0,0,0.0,0.0,False,0.0,0,0.2,86571,0,0,0.0,0.0,False,0.0,0,0.2,113048,0,0,0.0,0.0,False,0.0,0,0.2,113048,0,0,0.0,0.0,False,0.0,0.16666666666666666,496688,0.0,0.0,6,0,0,101,0,0.0,318,419,92,0.0,0.0,0,0,92,200,1.7442668519797735,1.7442668519797735
1,92,0,0,0,10.0,20,10.0,18.0,0,,24.053571428571427,11,7.909090909090909,32.0,0,,0,0.2,48555,7,20,1.0,430.0,False,-0.0011264720942140297,0,0.2,48695,13,0,0.0,130.0,False,-0.0013312852022529442,5,0.25,86416,0,0,0.0,0.0,False,-0.0017904379064582828,6,0.26,86439,0,0,0.0,0.0,False,-0.001524760023564473,0,0.2,113048,0,0,0.0,0.0,False,0.0,0,0.2,112961,1,10,1.0,344.05357142857144,False,0.0007521299422748733,0.3333333333333333,496114,0.0,0.0,6,0,0,17,2,2.0,84,101,62,1165.0,39.0,89,3,62,200,4.334207115985919,6.078473967965692
2,62,0,0,0,10.0,20,10.0,17.737704918032787,16,17.0,18.844879518072286,16,2.4375,32.0,0,,0,0.2,48425,10,30,1.0,632.1311475409836,False,-0.0017190870707527975,16,0.36000000000000004,48470,20,0,0.0,200.0,False,-0.0052227342549923195,6,0.30500000000000005,86158,4,0,0.0,70.95081967213115,False,-0.004360866689352419,10,0.35400000000000004,85869,12,0,0.0,212.85245901639342,False,-0.0068795990631019535,0,0.2,113009,6,10,1.0,433.0692771084337,False,0.0015704359082356308,0,0.2,112961,0,11,0.1,352.0,False,0.0007872762012596419,0.35000000000000003,494892,0.0,0.0,6,0,0,8,13,13.0,45,53,4,540.0,83.0,41,21,4,200,1.691451299993787,7.769925267959479
3,4,0,0,0,10.0,20,10.0,16.52012383900929,42,14.928571428571429,13.947877798507463,26,2.6923076923076925,32.0,7,32.0,0,0.2,48315,11,40,1.0,770.8049535603716,False,-0.002551920598460024,42,0.764,47569,29,0,0.0,290.0,False,-0.0227547363031234,18,0.47900000000000004,85170,23,0,0.0,379.96284829721367,False,-0.013988732668577215,8,0.42400000000000004,85265,35,0,0.0,578.2043343653252,False,-0.011746402754009308,0,0.2,113163,22,13,1.0,722.8533115671642,False,0.004214374918473391,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,492443,0.0,0.0,8,0,0,5,10,10.0,7,12,6,24.0,14.0,2,2,6,424,0.6684521190472879,8.438377387006767
4,6,0,0,0,10.0,20,10.0,16.677636903156195,24,17.25,11.653698139611459,20,2.8,32.0,9,32.0,0,0.2,48197,14,49,1.0,957.2042082546535,False,-0.0030598647388156265,23,0.9520000000000002,47283,36,0,0.0,360.0,False,-0.027895545314900155,10,0.5610000000000002,84450,45,0,0.0,750.4936606420288,False,-0.020165565485889974,10,0.516,84880,37,0,0.0,617.0725654167792,False,-0.015969131895110508,0,0.2,113395,32,14,1.0,820.9183404675666,False,0.006700332338774489,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,491166,0.0,0.0,9,0,0,7,9,9.0,9,16,4,69.0,3.0,5,1,4,500,0.6757044849800877,9.114081871986855
5,4,0,0,0,10.0,20,10.0,19.16936637692413,39,25.564102564102566,9.968157389708113,18,1.7777777777777777,32.0,14,32.0,0,0.2,48982,11,34,1.0,761.7584568154205,False,0.011016471651975699,14,1.0690000000000002,46951,49,0,0.0,490.0,False,-0.03336405529953917,8,0.6310000000000001,83841,55,0,0.0,1054.315150730827,False,-0.025445500509807928,10,0.6060000000000001,83843,66,0,0.0,1265.1781808769927,False,-0.024204536271517006,0,0.2,113811,40,10,1.0,718.7262955883245,False,0.009928199948642764,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,490389,0.0,0.0,12,0,0,8,9,9.0,7,15,9,31.0,15.0,3,1,9,1503,0.6850905070314184,9.799172379018273
6,9,0,0,0,10.0,20,10.0,21.33200791136463,40,28.1,9.1991685207947,10,1.9,32.0,12,32.0,0,0.2,49804,13,15,1.0,449.98011867046944,False,0.024659294610040672,11,1.1650000000000003,46781,57,0,0.0,570.0,False,-0.03602662570404506,6,0.683,83075,75,0,0.0,1599.9005933523474,False,-0.031142642493719844,4,0.6360000000000001,83153,86,0,0.0,1834.5526803773582,False,-0.02888638989744052,2,0.22000000000000003,114100,40,10,1.0,687.966740831788,False,0.012348589717782672,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,489874,0.0,0.0,10,0,0,10,10,9.666666666666666,10,20,9,99.0,3.0,8,1,9,1430,0.7913055440294556,10.590477923047729
7,9,0,0,0,10.0,20,10.0,22.764152433239353,42,27.833333333333332,8.523907326857481,11,2.727272727272727,32.0,12,32.0,16,0.36000000000000004,50344,13,10,1.0,357.64152433239354,False,0.03477359471922566,11,1.2640000000000002,46585,67,0,0.0,670.0,False,-0.03901689708141321,2,0.6970000000000001,81846,117,0,0.0,2663.405834689004,False,-0.039196694997811,9,0.7220000000000002,82833,86,0,0.0,1957.7171092585843,False,-0.03187142860046333,2,0.23800000000000002,114378,41,10,1.0,669.4802004011567,False,0.014725958001915816,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,488947,0.0,0.0,9,0,0,9,9,8.38888888888889,11,20,3,110.0,3.0,8,1,3,872,0.7541239949641749,11.344601918011904
8,3,0,0,0,10.0,20,10.0,23.768824635504288,32,29.156249999999996,7.694750959230804,24,4.416666666666667,32.0,8,32.0,15,0.49400000000000005,50661,13,10,1.0,367.6882463550429,False,0.04136905526221242,7,1.3230000000000004,46444,77,0,0.0,770.0,False,-0.040880696364567336,20,0.8950000000000002,80918,124,0,0.0,2947.3342548025316,False,-0.04827636128263203,4,0.7530000000000001,81893,111,0,0.0,2638.339534540976,False,-0.03879856109701297,0,0.23600000000000002,114528,55,12,1.0,807.2113027576943,False,0.016661998897626228,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,487405,0.0,0.0,8,0,0,6,12,11.375,7,13,6,26.0,3.0,2,1,6,456,0.6310740709886886,11.975675989000592
9,6,0,0,0,10.000000000000002,20,10.0,24.047433866571968,20,26.6,7.4405118806899875,5,2.0,32.0,8,32.0,6,0.5390000000000001,50887,14,10,1.0,380.4743386657197,False,0.04612876946918301,4,1.356,46322,86,0,0.0,860.0000000000001,False,-0.042457757296466975,5,0.925,80646,132,0,0.0,3174.2612703874997,False,-0.0501076499613756,0,0.7490000000000001,81473,123,0,0.0,2957.834365588352,False,-0.04180479395185252,0,0.23600000000000002,114774,50,14,1.0,820.0255940344994,False,0.01889474203008675,0,0.2,112961,0,11,0.0,352.0,False,0.0007872762012596419,0.3333333333333333,487063,0.0,0.0,8,0,0,7,4,3.166666666666667,9,16,8,53.0,6.0,4,2,8,456,0.6683136959909461,12.643989684991539
