index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,13.0,0,,20.0,0,,30.0,0,,0,0.2,37948.0,12,0,0.0,120.0,False,-0.0015761269307554902,0,0.2,37988,8,0,0.0,80.0,False,-0.0010507512871703267,0,0.2,55891,0,0,0.0,0.0,False,0.0,0,0.2,55891,0,0,0.0,0.0,False,0.0,0,0.2,88422,0,0,0.0,0.0,False,0.0,0,0.2,88422,0,0,0.0,0.0,False,0.0,0.0,364562,0.0,0.0,9,0,0,429,0,0.0,1278,1707,180,0.0,0.0,0,0,180,200,4.33474497590214,4.33474497590214
1,180,0,0,0,10.0,20,10.0,13.0,0,,18.653846153846153,7,10.0,30.0,0,,0,0.2,37828.0,24,0,0.0,240.0,False,-0.0031522538615109804,0,0.2,37908,16,0,0.0,160.0,False,-0.0021015025743406535,0,0.2,55891,0,0,0.0,0.0,False,0.0,7,0.27,55793,0,0,0.0,0.0,False,-0.0017534128929523538,0,0.2,88422,0,0,0.0,0.0,False,0.0,0,0.2,88352,0,7,0.7,210.0,False,0.0003958290923073443,0.11666666666666665,364194,0.0,0.0,10,0,0,25,1,1.0,100,125,95,1849.0,644.0,104,76,95,200,15.614100150763988,19.94884512666613
2,95,0,0,0,10.0,20,10.0,8.776315789473685,31,2.6451612903225805,14.97641509433962,38,10.447368421052632,30.0,0,,26,0.4600000000000001,37173.0,35,0,0.0,350.0,False,-0.01891352316906588,5,0.25,37770,25,0,0.0,250.0,False,-0.004544499317011663,0,0.2,55871,0,9,0.9,134.7877358490566,False,0.0008479695823035139,38,0.643,54623,22,0,0.0,193.07894736842107,False,-0.020959734596192346,0,0.2,88025,28,10,1.0,719.3396226415093,False,-0.00042218213430194896,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.31666666666666665,361814,0.0,0.0,12,0,0,14,15,15.0,93,107,20,1318.0,30.0,85,10,20,200,7.947293229401112,27.89613835606724
3,20,0,0,0,10.0,20,10.0,7.206935123042506,21,2.0952380952380953,14.34169278996865,13,10.615384615384615,30.0,13,30.0,19,0.6240000000000001,36727.0,45,0,0.0,450.0,False,-0.029315960912052116,2,0.265,37652,35,0,0.0,350.0,False,-0.006330776505201219,0,0.2,55847,1,19,1.0,279.69909813244686,False,0.0017149370930243585,13,0.7350000000000001,54389,32,0,0.0,230.62192393736018,False,-0.024810596304079724,3,0.23,88167,31,10,1.0,744.5924764890282,False,0.001326550386154025,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.3333333333333333,361134,0.0,0.0,18,0,0,15,9,8.5,16,31,24,102.0,42.0,9,11,24,470,1.5405099894851446,29.436648345552385
4,24,0,0,0,10.0,20,10.0,6.70212525435225,8,1.625,13.83197137862341,18,11.555555555555555,30.0,9,30.0,8,0.685,36532.0,52,0,0.0,520.0,False,-0.03351896606073342,0,0.263,37522,48,0,0.0,480.0,False,-0.008038247346853,0,0.2,55864,0,27,0.9,373.4632272228321,False,0.0028579129665136935,17,0.8920000000000001,54075,32,0,0.0,214.468008139272,False,-0.030573187023498663,0,0.227,88229,39,11,1.0,869.4468837663129,False,0.0027337477311432717,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.31666666666666665,360574,0.0,0.0,20,0,0,15,5,5.0,19,34,19,184.0,31.0,13,11,19,500,1.4273218605667353,30.86397020611912
5,19,0,0,0,10.0,20,10.0,4.182533274119532,69,1.2753623188405796,13.760554771782495,7,12.857142857142858,29.999999999999996,10,30.0,67,1.3470000000000004,34245.0,62,0,0.0,620.0,False,-0.09228223179573394,2,0.28300000000000003,37404,58,0,0.0,580.0,False,-0.009824524535042555,0,0.2,55875,0,31,0.5,426.57719792525734,False,0.003529881357689614,6,0.935,53922,96,0,0.0,401.52319431547505,False,-0.031637265442419356,0,0.227,88439,36,11,1.0,825.3799717841698,False,0.004859537059691939,0,0.2,88352,0,7,0.0,209.99999999999997,False,0.0003958290923073443,0.25,358237,0.0,0.0,17,0,0,14,10,10.0,15,29,23,90.0,39.0,6,13,23,530,1.2878031777217984,32.15177338384092
6,23,0,0,0,10.0,20,10.0,4.100253914405351,20,3.55,13.564907596389574,5,10.2,30.0,8,30.0,13,1.4100000000000004,33925.0,73,0,0.0,730.0,False,-0.09924345907323737,7,0.3510000000000001,37243,67,0,0.0,670.0,False,-0.012871703267836503,0,0.2,55850,0,38,0.7,515.4664886628038,False,0.003877784336143579,5,0.9790000000000003,53803,109,0,0.0,446.92767667018325,False,-0.03336022189019538,0,0.227,88628,31,13,1.0,810.5121354880769,False,0.006912940984642219,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.2833333333333333,357801,0.0,0.0,15,0,0,16,6,6.0,16,32,23,125.0,42.0,9,14,23,440,2.5416974183171988,34.69347080215812
7,23,0,0,0,10.0,20,10.0,4.031564671343606,16,3.4375,13.403054043265412,18,12.666666666666666,30.0,11,30.0,14,1.5370000000000001,33608.0,82,0,0.0,820.0,False,-0.10638856782599558,2,0.3640000000000001,37115,78,0,0.0,780.0,False,-0.01478932436692235,0,0.2,55892,0,40,0.4,536.1221617306164,False,0.004814032328376792,16,1.1340000000000003,53471,121,0,0.0,487.8193252325763,False,-0.03893453932446572,0,0.227,88730,39,12,1.0,882.7191076873511,False,0.008474808914565136,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.2333333333333333,357168,0.0,0.0,20,0,0,16,8,8.0,15,31,22,99.0,58.0,7,16,22,590,1.294171467423439,35.987642269581556
8,22,0,0,0,10.0,20,10.0,3.591139947599976,46,2.260869565217391,13.37648838283263,9,13.11111111111111,29.999999999999996,10,30.0,43,1.9530000000000005,32437.0,91,0,0.0,910.0,False,-0.1359672165598403,3,0.392,36978,89,0,0.0,890.0,False,-0.01694336450562152,0,0.2,55882,1,49,1.0,659.0390707063989,False,0.005734725364606041,8,1.1980000000000002,53303,156,0,0.0,560.2178318255962,False,-0.04129271410579888,0,0.227,88912,38,12,1.0,868.30655854764,False,0.010451621533937418,0,0.2,88352,0,7,0.0,209.99999999999997,False,0.0003958290923073443,0.3333333333333333,355864,0.0,0.0,19,0,0,13,8,8.0,17,30,22,89.0,46.0,7,15,22,530,1.3478924240916967,37.33553469367325
9,22,0,0,0,10.000000000000002,20,10.0,3.6905551308916493,5,7.0,13.561163636843622,1,30.0,30.0,11,30.0,0,1.9100000000000004,32307.0,104,0,0.0,1040.0000000000002,False,-0.13767468740149208,5,0.43900000000000006,36859,96,0,0.0,960.0000000000002,False,-0.019149942208679206,0,0.2,55877,0,54,0.6,732.3028363895556,False,0.006300682009532459,0,1.1900000000000002,53303,156,0,0.0,575.7266004190973,False,-0.0411539729078107,0,0.227,89212,29,11,1.0,723.273745468465,False,0.013024325085773157,0,0.2,88352,0,7,0.0,210.0,False,0.0003958290923073443,0.26666666666666666,355910,0.0,0.0,18,0,0,17,2,2.0,12,29,23,118.0,42.0,8,14,23,560,1.325665820389986,38.66120051406324
