index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,16,10.0,24.0,0,,35.0,0,,47.0,0,,0,0.2,75912,0,4,0.4,96.0,False,0.00010532968190436065,0,0.2,75832,12,0,0.0,120.0,False,-0.0007899726142827049,0,0.2,113548,0,0,0.0,0.0,False,0.0,0,0.2,113548,0,0,0.0,0.0,False,0.0,0,0.2,150575,0,0,0.0,0.0,False,0.0,0,0.2,150575,0,0,0.0,0.0,False,0.0,0.06666666666666667,679990,0.0,0.0,5,0,0,140,0,0.0,431,571,80,0.0,0.0,0,0,80,160,1.8324485030025244,1.8324485030025244
1,80,0,0,0,10.0,20,10.0,24.0,0,,35.0,0,,47.0,0,,0,0.2,75812,0,14,1.0,336.0,False,0.00036865388666526224,0,0.2,75732,22,0,0.0,220.0,False,-0.0014482831261849588,0,0.2,113548,0,0,0.0,0.0,False,0.0,0,0.2,113548,0,0,0.0,0.0,False,0.0,0,0.2,150575,0,0,0.0,0.0,False,0.0,0,0.2,150575,0,0,0.0,0.0,False,0.0,0.16666666666666666,679790,0.0,0.0,8,0,0,25,0,0.0,72,97,47,1059.0,13.0,79,1,47,200,4.374815195042174,6.207263698044699
2,47,0,0,0,9.999999999999998,16,10.0,23.862745098039216,6,22.833333333333332,20.195402298850574,42,4.333333333333333,47.0,0,,0,0.2,75792,0,16,0.2,381.80392156862746,False,0.0004068617124540163,6,0.26,75550,36,0,0.0,359.99999999999994,False,-0.002922898672846008,22,0.42000000000000004,112380,0,0,0.0,0.0,False,-0.010286398703631945,20,0.4,112382,6,0,0.0,143.1764705882353,False,-0.009638318285710787,0,0.2,150567,0,4,0.4,188.0,False,0.0005711439481985722,0,0.2,150401,28,10,1.0,1035.471264367816,False,0.002282820070954032,0.26666666666666666,677072,0.0,0.0,9,0,0,15,15,15.0,26,41,14,305.0,99.0,23,24,14,160,1.6408756960299797,7.848139394074678
3,14,0,0,0,9.999999999999998,19,10.0,23.441495778045837,37,22.91891891891892,11.892746435213885,83,4.0602409638554215,47.0,20,47.0,0,0.2,75702,0,25,0.9,586.0373944511459,False,0.0005663932118387407,37,0.6240000000000001,74617,46,0,0.0,459.99999999999994,False,-0.014548662313039815,36,0.758,109361,35,0,0.0,820.4523522316043,False,-0.033261473772186204,47,0.8500000000000001,108874,8,0,0.0,187.5319662243667,False,-0.04033742573086108,8,0.28,150568,21,10,1.0,719.7476751394915,False,0.0023435088000648024,0,0.2,150504,70,12,1.0,1396.4922504649721,False,0.0041656724239248644,0.48333333333333334,669626,0.0,0.0,14,0,0,19,26,26.0,9,28,13,150.0,34.0,10,4,13,754,0.9771492630243301,8.825288657099009
4,13,0,0,0,9.999999999999998,10,10.0,24.56082798692652,8,35.0,11.148462354188757,34,7.970588235294118,47.0,20,47.0,0,0.2,75890,0,21,0.0,515.777387725457,False,0.002579111726652697,4,0.6270000000000001,74493,56,0,0.0,559.9999999999999,False,-0.01552296187065515,9,0.812,108953,35,0,0.0,859.6289795424282,False,-0.03668215653493484,25,1.0530000000000004,107438,16,0,0.0,392.9732477908243,False,-0.052079414662561975,1,0.28200000000000003,150799,32,10,1.0,826.7507953340403,False,0.004232943036141636,0,0.2,150886,73,13,1.0,1424.8377518557793,False,0.006796738342539541,0.3333333333333333,668459,0.0,0.0,13,0,0,19,9,8.25,10,29,7,126.0,6.0,11,2,7,1040,0.845643786014989,9.670932443113998
5,7,0,0,0,9.999999999999998,12,10.0,24.46247589761685,5,23.0,10.185730051484871,39,6.205128205128205,47.0,20,47.0,0,0.2,75890,0,21,0.0,513.7119938499538,False,0.0025655150216581045,5,0.6730000000000002,74343,68,0,0.0,679.9999999999999,False,-0.01670792079207921,15,0.9530000000000001,108153,40,0,0.0,978.4990359046741,False,-0.04320419982780552,24,1.2680000000000002,106241,16,0,0.0,391.3996143618696,False,-0.06262814133951337,2,0.30100000000000005,151249,22,10,1.0,694.0860611326672,False,0.006780959857654539,0,0.2,151020,102,15,1.0,1743.944465251457,False,0.008746287448950573,0.3333333333333333,666896,0.0,0.0,13,0,0,16,10,9.333333333333334,7,23,8,46.0,15.0,5,2,8,872,0.7695826779818162,10.440515121095814
6,8,0,0,0,9.999999999999998,8,10.0,26.687935841865368,19,35.05263157894737,9.546043585939813,28,5.428571428571429,47.00000000000001,20,47.0,0,0.2,76340,0,11,0.0,293.567294260519,False,0.0070410739299854915,9,0.7580000000000002,74218,76,0,0.0,759.9999999999999,False,-0.01782704866231304,15,1.088,107322,49,0,0.0,1307.708856251403,False,-0.04907304022857553,13,1.3740000000000003,105203,26,0,0.0,693.8863318884996,False,-0.07043767247380624,4,0.3390000000000001,151548,35,10,1.0,804.1115255078935,False,0.00913203229456376,0,0.2,151285,97,19,1.0,1818.966227836162,False,0.010755325345628923,0.3333333333333333,665916,0.0,0.0,13,0,0,16,8,8.0,10,26,7,71.0,15.0,7,1,7,1282,0.8307606499874964,11.27127577108331
7,7,0,0,0,9.999999999999998,8,10.0,27.79901842819351,12,35.333333333333336,9.06943274077804,19,4.368421052631579,47.00000000000001,20,47.0,0,0.2,76684,0,3,0.0,83.39705528458053,False,0.010186677475804363,4,0.7890000000000001,74099,84,0,0.0,839.9999999999999,False,-0.0188671792711186,4,1.1130000000000002,106807,58,0,0.0,1612.3430688352234,False,-0.052267133420072526,15,1.5110000000000003,104461,29,0,0.0,806.1715344176117,False,-0.07647791447485819,4,0.37500000000000006,151938,34,10,1.0,778.3607131864535,False,0.011636595428146906,0,0.2,151517,97,23,1.0,1960.73497585547,False,0.012766843685390829,0.3333333333333333,665506,0.0,0.0,12,0,0,12,10,9.5,10,22,8,67.0,11.0,6,1,8,1129,0.7963309870101511,12.067606758093461
8,8,0,0,0,9.999999999999998,7,10.0,27.990334471333593,8,30.0,8.583185610406831,40,6.325000000000001,47.00000000000001,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,5,0.8350000000000002,73989,91,0,0.0,909.9999999999999,False,-0.019854645038971983,23,1.3390000000000002,105741,60,0,0.0,1679.4200682800156,False,-0.06135986513069356,17,1.6660000000000004,103481,35,0,0.0,979.6617064966757,False,-0.08434467491062515,0,0.37100000000000005,152296,46,11,1.0,911.8265380787143,False,0.014457335341453494,0,0.2,151846,105,22,1.0,1935.2344890927175,False,0.014867124320414146,0.3333333333333333,664172,0.0,0.0,14,0,0,13,6,6.0,11,24,6,83.0,13.0,7,1,6,1145,0.7711746069835499,12.838781365077011
9,6,0,0,0,9.999999999999998,9,10.0,27.44071823114076,8,21.75,7.852183759844917,37,3.8378378378378377,47.0,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,8,0.9100000000000001,73827,100,0,0.0,999.9999999999998,False,-0.021395091636823255,29,1.6060000000000005,104056,62,0,0.0,1701.3245303307272,False,-0.0761029497202473,8,1.7290000000000003,103075,41,0,0.0,1125.069447476771,False,-0.0872799633305881,0,0.37100000000000005,152682,54,11,1.0,941.0179230316255,False,0.017117774939504043,0,0.2,152258,114,22,1.0,1929.1489486223204,False,0.017583094632649322,0.3333333333333333,662717,0.0,0.0,12,0,0,12,7,7.0,7,19,7,49.0,11.0,4,2,7,1030,0.6898658369900659,13.528647202067077
10,7,0,0,0,9.999999999999998,12,10.0,27.44071823114076,0,,7.0591667930559945,41,2.8780487804878048,47.0,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,0,0.9020000000000004,73707,112,0,0.0,1119.9999999999998,False,-0.022185064251105963,14,1.7170000000000005,103381,62,0,0.0,1701.3245303307272,False,-0.08204757225873323,27,1.9910000000000005,101568,41,0,0.0,1125.069447476771,False,-0.10055188357577075,0,0.37100000000000005,153119,55,11,1.0,905.2541736180797,False,0.01990122587952217,0,0.2,152643,134,22,1.0,1979.9283502695034,False,0.020308578284142464,0.3333333333333333,661237,0.0,0.0,13,0,0,14,8,8.0,8,22,8,65.0,16.0,5,2,8,1060,0.7389994859695435,14.26764668803662
11,8,0,0,0,9.999999999999998,11,10.0,26.721217297945536,15,22.8,6.422058063979009,39,2.641025641025641,46.99999999999999,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,15,1.0520000000000003,73429,123,0,0.0,1229.9999999999998,False,-0.025121129134190016,9,1.7930000000000004,102952,65,0,0.0,1736.8791243664598,False,-0.08566914818241428,30,2.264000000000001,99536,53,0,0.0,1416.2245167911135,False,-0.11716531987885688,0,0.37100000000000005,153578,75,10,1.0,951.6543547984256,False,0.02310361731628236,0,0.2,153021,133,23,1.0,1935.133722509208,False,0.022670209936939065,0.3333333333333333,659335,0.0,0.0,12,0,0,12,8,8.0,12,24,8,84.0,17.0,6,2,8,1050,0.8005767639842816,15.068223452020902
12,8,0,0,0,9.999999999999998,8,10.0,26.39161855080787,12,24.0,6.3356954888254755,9,4.0,47.0,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,12,1.1570000000000005,73276,131,0,0.0,1309.9999999999998,False,-0.026608910891089108,9,1.8740000000000003,102346,76,0,0.0,2005.7630098613981,False,-0.08982208841255944,0,2.234000000000001,99512,54,0,0.0,1425.1474017436249,False,-0.11733739298911638,0,0.37100000000000005,153918,74,12,1.0,1032.841466173085,False,0.025631218549470577,0,0.2,153585,123,21,1.0,1766.2905451255335,False,0.025855190254443133,0.3333333333333333,659456,0.0,0.0,13,0,0,14,3,3.0,9,23,6,79.0,26.0,6,2,6,1020,0.7866323390044272,15.85485579102533
13,6,0,0,0,9.999999999999998,6,10.0,26.281222015110664,3,23.0,6.364386755261917,37,6.54054054054054,47.0,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,3,1.1750000000000003,73198,137,0,0.0,1369.9999999999998,False,-0.027240888982515272,29,2.1550000000000002,100701,79,0,0.0,2076.2165391937424,False,-0.10399911694088082,8,2.3140000000000005,99228,54,0,0.0,1419.1859888159759,False,-0.11986478850875415,0,0.37100000000000005,154109,97,13,1.0,1228.345515260406,False,0.027548881007007853,0,0.2,154092,117,20,1.0,1684.6332503656442,False,0.028951131497146326,0.3333333333333333,658147,0.0,0.0,11,0,0,13,8,8.0,10,23,6,78.0,0.0,6,0,6,1000,0.7169943689950742,16.571850160020404
14,6,0,0,0,9.999999999999998,9,10.0,25.625597062170502,15,22.0,5.824159549085026,43,2.8372093023255816,46.99999999999999,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,15,1.322,73003,146,0,0.0,1459.9999999999998,False,-0.029215820518222035,30,2.426000000000001,98644,94,0,0.0,2408.8061238440273,False,-0.12065027070558694,13,2.436000000000001,98625,54,0,0.0,1383.782241357207,False,-0.12533121569134992,0,0.37100000000000005,154579,112,11,1.0,1169.305869497523,False,0.030474201791457857,0,0.2,154440,125,22,1.0,1762.019943635628,False,0.031519242715044395,0.3333333333333333,656110,0.0,0.0,14,0,0,12,7,7.0,12,24,4,70.0,0.0,6,0,4,1030,0.7174405949772336,17.289290754997637
15,4,0,0,0,9.999999999999998,7,10.0,25.330831658747872,6,21.0,5.709219203045387,48,5.104166666666667,46.99999999999999,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,6,1.3670000000000004,72885,153,0,0.0,1529.9999999999998,False,-0.030308615967979777,21,2.6060000000000008,97563,94,0,0.0,2381.0981759223,False,-0.13029248346108124,27,2.693000000000001,97079,60,0,0.0,1519.8498995248724,False,-0.1383474394109765,0,0.37100000000000005,154802,123,13,1.0,1313.2339619745826,False,0.032433119581519385,0,0.2,154912,142,20,1.0,1750.7091268324448,False,0.03461633447395793,0.3333333333333333,654060,0.0,0.0,13,0,0,15,9,9.0,7,22,4,53.0,0.0,4,0,4,1010,0.6820799799752422,17.97137073497288
16,4,0,0,0,10.0,6,10.0,25.330831658747872,0,,5.518934924124645,26,3.5384615384615383,46.99999999999999,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,0,1.3610000000000002,72825,159,0,0.0,1590.0,False,-0.03070360227512113,15,2.7350000000000008,96904,94,0,0.0,2381.0981759223,False,-0.13609619642828455,11,2.7760000000000007,96641,60,0,0.0,1519.8498995248724,False,-0.14220483892483848,0,0.37100000000000005,155271,128,12,1.0,1270.4236702879543,False,0.035405690421012596,0,0.2,155291,143,21,1.0,1776.207694149824,False,0.03721802322480428,0.3333333333333333,653751,0.0,0.0,11,0,0,13,4,4.0,8,21,5,49.0,0.0,4,0,5,1000,0.6790387959918007,18.65040953096468
17,5,0,0,0,10.0,8,10.0,25.330831658747872,0,,5.202512612022929,27,2.074074074074074,47.0,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,0,1.3610000000000002,72745,167,0,0.0,1670.0,False,-0.031230250684642934,0,2.7200000000000006,96904,94,0,0.0,2381.0981759223,False,-0.13609619642828455,27,3.0350000000000006,95112,60,0,0.0,1519.8498995248724,False,-0.15567050983053474,0,0.37100000000000005,155697,142,12,1.0,1302.756790907256,False,0.03834221082818276,0,0.2,155749,136,21,1.0,1694.5417152351183,False,0.03998851640456616,0.3333333333333333,653026,0.0,0.0,11,0,0,11,4,4.0,9,20,7,51.0,13.0,4,1,7,1020,0.7066776719875634,19.357087202952243
18,7,0,0,0,9.999999999999998,9,10.0,25.152981866284605,7,23.0,5.161992875768452,60,4.983333333333333,47.0,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,7,1.4310000000000003,72613,176,0,0.0,1759.9999999999998,False,-0.032375710975352856,49,3.2100000000000013,93182,101,0,0.0,2540.451168494745,False,-0.1681735866395941,11,3.1180000000000008,94634,60,0,0.0,1509.1789119770763,False,-0.1599271721563697,0,0.37100000000000005,156194,137,11,1.0,1224.193023980278,False,0.041382012365865195,0,0.2,155893,181,22,1.0,1968.3207105140898,False,0.041853962180023546,0.3333333333333333,649335,0.0,0.0,13,0,0,8,11,11.0,15,23,4,96.0,0.0,7,0,4,1030,0.7314026249805465,20.08848982793279
19,4,0,0,0,9.999999999999996,13,10.0,25.152981866284605,0,,5.143366205169415,24,4.916666666666667,47.00000000000001,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,0,1.4240000000000002,72483,189,0,0.0,1889.9999999999993,False,-0.033231514640825785,11,3.271000000000001,92777,101,0,0.0,2540.451168494745,False,-0.17174036016268568,13,3.2370000000000005,94029,60,0,0.0,1509.1789119770763,False,-0.16525531532049412,2,0.39100000000000007,156657,147,10,1.0,1226.0748321599042,False,0.04446314073438456,0,0.2,156138,175,25,1.0,2075.0890859046476,False,0.04383559384328291,0.3333333333333333,648903,0.0,0.0,12,0,0,6,6,5.333333333333333,15,21,8,36.0,11.0,3,1,8,882,0.7043602199992165,20.792850047932006
20,8,0,0,0,9.999999999999998,10,10.0,25.152981866284605,0,,5.181117934461528,18,5.777777777777778,47.0,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,0,1.4240000000000002,72383,199,0,0.0,1989.9999999999995,False,-0.03388982515272804,16,3.4200000000000013,92105,101,0,0.0,2540.451168494745,False,-0.1776585621565561,2,3.244000000000001,93949,60,0,0.0,1509.1789119770763,False,-0.16595986317690725,3,0.41900000000000004,157062,145,10,1.0,1221.2621004969214,False,0.04713684908018234,0,0.2,156397,175,28,1.0,2222.6956385307676,False,0.04604580985731619,0.3333333333333333,648715,0.0,0.0,11,0,0,12,5,4.5,14,26,7,114.0,0.0,8,0,7,852,0.8341312609845772,21.626981308916584
21,7,0,0,0,9.999999999999998,14,10.0,25.099705067395156,4,24.0,5.287384561727697,42,5.976190476190476,47.0,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,4,1.4640000000000002,72223,213,0,0.0,2129.9999999999995,False,-0.0350747840741521,8,3.4840000000000013,91677,105,0,0.0,2635.469032076491,False,-0.18100948923769472,34,3.5820000000000007,91966,60,0,0.0,1505.9823040437093,False,-0.18343791918816835,0,0.41600000000000004,157360,162,10,1.0,1326.5562989998868,False,0.04946556964635521,0,0.2,156788,180,28,1.0,2267.7292211109852,False,0.04879206116922128,0.3333333333333333,646833,0.0,0.0,16,0,0,5,8,8.0,19,24,8,98.0,0.0,7,0,8,1080,0.7553244659793563,22.38230577489594
22,8,0,0,0,10.0,9,10.0,24.984771856267223,3,22.0,5.371346223516444,33,6.090909090909091,46.99999999999999,20,47.0,0,0.2,76819,0,0,0.0,0.0,False,0.011415104276385086,3,1.4900000000000002,72112,222,0,0.0,2220.0,False,-0.03594375394986307,14,3.616000000000001,91065,105,0,0.0,2623.4010449080583,False,-0.18645242080482233,19,3.738000000000001,91078,63,0,0.0,1574.0406269448351,False,-0.19095871073491022,0,0.41600000000000004,157502,176,15,1.0,1650.3569353388941,False,0.051483835083310225,0,0.2,157385,179,23,1.0,2042.4709740094434,False,0.05200886924791442,0.3333333333333333,645961,0.0,0.0,13,0,0,4,6,6.0,20,24,8,94.0,3.0,7,1,8,1030,0.7622774239862338,23.144583198882174
