index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,34.0,0,,45.0,0,,0,0.2,53041,3,10,1.0,230.0,False,-0.0002821086682590134,0,0.2,53101,0,7,0.7,140.0,False,0.0,0,0.2,89139,0,0,0.0,0.0,False,0.0,0,0.2,89139.0,0,0,0.0,0.0,False,0.0,0,0.2,127142,0,0,0.0,0.0,False,0.0,0,0.2,127142,0,0,0.0,0.0,False,0.0,0.2833333333333333,538704,0.0,0.0,10,0,0,253,0,0.0,751,1004,150,0.0,0.0,0,0,150,200,4.247066527605057,4.247066527605057
1,150,0,0,0,10.0,20,10.0,20.0,0,,30.235294117647058,6,2.0,45.0,0,,0,0.2,52951,2,20,1.0,420.0,False,-0.0001880724455060089,0,0.2,52991,1,17,1.0,350.0,False,-9.403622275300446e-05,0,0.2,89139,0,0,0.0,0.0,False,0.0,6,0.26,88905.0,0,0,0.0,0.0,False,-0.002625113586645576,0,0.2,127142,0,0,0.0,0.0,False,0.0,0,0.2,127130,0,6,0.6,270.0,False,0.0009674222522848469,0.43333333333333335,538258,0.0,0.0,8,0,0,33,1,1.0,71,104,70,1176.0,333.0,81,69,70,200,9.423139192163944,13.670205719769001
2,70,0,0,0,10.0,20,10.0,20.0,0,,21.185580774365818,29,6.862068965517241,45.0,0,,0,0.2,52891,0,28,0.8,560.0,False,0.0,0,0.2,52851,5,27,1.0,590.0,False,-0.00047018111376502227,0,0.2,89139,0,0,0.0,0.0,False,0.0,29,0.544,87454.0,0,0,0.0,0.0,False,-0.01890306151067434,0,0.2,126943,19,10,1.0,852.5260347129506,False,0.0017874739846507723,0,0.2,127130,0,6,0.0,270.0,False,0.0009674222522848469,0.4666666666666666,536408,0.0,0.0,8,0,0,19,4,4.0,24,43,37,261.0,236.0,21,49,37,200,2.9921260876581073,16.66233180742711
3,37,0,0,0,10.0,20,10.0,19.1,5,11.0,19.4760872337712,11,9.0,45.0,7,45.0,0,0.2,52831,0,34,0.6,649.4000000000001,False,-0.00028775084162424835,0,0.2,52766,9,32,1.0,701.2,False,-0.0010231141035527158,0,0.2,89084,0,5,0.5,97.380436168856,False,-7.078587280052972e-05,11,0.6250000000000001,87102.0,0,0,0.0,0.0,False,-0.02285195032477367,0,0.2,127159,20,13,1.0,974.521744675424,False,0.00396612348663467,0,0.2,127130,0,6,0.0,270.0,False,0.0009674222522848469,0.5166666666666667,536072,0.0,0.0,16,0,0,21,1,1.0,15,36,32,190.0,137.0,14,23,32,570,2.608861423097551,19.27119323052466
4,32,0,0,0,10.0,20,10.0,20.069620253164558,34,21.352941176470587,19.964005861764097,12,22.833333333333332,45.0,12,45.0,0,0.2,53127,1,30,1.0,612.0886075949368,False,0.0049283313046109565,0,0.2,52996,8,22,1.0,521.5316455696203,False,0.0016130188031973787,0,0.2,88883,9,10,1.0,380.266640896122,False,-0.0007389210059787347,7,0.6840000000000002,86548.0,15,0,0.0,301.0443037974684,False,-0.02737833998700077,0,0.2,127425,22,11,1.0,934.2081289588101,False,0.005899734662656023,0,0.2,127130,0,6,0.0,270.0,False,0.0009674222522848469,0.6666666666666666,536109,0.0,0.0,24,0,0,18,2,2.0,14,32,24,162.0,110.0,12,20,24,1726,2.0542364604771137,21.325429691001773
5,24,0,0,0,10.0,20,10.0,22.841416100872934,32,29.0,17.62835521635082,20,8.95,45.0,7,45.0,0,0.2,53648,2,19,1.0,453.9869059165857,False,0.013240177031808499,0,0.2,53203,7,21,1.0,549.6697381183317,False,0.005770718419047347,0,0.2,88360,20,14,1.0,703.6252950463702,False,-0.004792373175342063,14,0.8170000000000002,85641.0,26,0,0.0,593.8768186226963,False,-0.03591089860429949,0,0.2,127561,32,14,1.0,1194.1073669232262,False,0.007991487340623923,0,0.2,127130,0,6,0.0,270.0,False,0.0009674222522848469,0.6666666666666666,535543,0.0,0.0,17,0,0,20,4,4.0,12,32,24,127.0,84.0,11,13,24,1551,2.11459384765476,23.440023538656533
6,24,0,0,0,10.0,20,10.0,27.409282561433557,59,34.59322033898305,17.922910999276773,13,19.846153846153847,45.00000000000001,11,45.0,0,0.2,53982,5,13,1.0,406.3206732986362,False,0.019073561464883388,22,0.42000000000000004,54070,4,10,1.0,314.09282561433554,False,0.019861323142449247,0,0.2,88146,26,19,1.0,1053.176655583531,False,-0.005232408622580912,8,0.8830000000000002,83744.0,69,0,0.0,1891.2404967389155,False,-0.04991507366731228,0,0.2,127798,35,13,1.0,1212.3018849746873,False,0.009927096808980011,0,0.2,127130,0,6,0.0,270.00000000000006,False,0.0009674222522848469,0.6666666666666666,534870,0.0,0.0,19,0,0,18,3,2.8,13,31,24,131.0,81.0,11,13,24,2074,1.9030368002131581,25.34306033886969
7,24,0,0,0,10.0,20,10.0,28.240669304415214,35,31.485714285714284,17.013984056618945,5,1.0,45.0,11,45.0,0,0.2,53872,6,23,1.0,709.5353940015499,False,0.019856081266118264,25,0.6480000000000001,54328,3,10,1.0,312.4066930441521,False,0.02469773648270813,0,0.2,87244,46,29,1.0,1792.4763256450492,False,-0.011204543882896077,5,0.925,83344.0,74,0,0.0,2089.809528526726,False,-0.05328863051791733,0,0.2,128288,30,12,1.0,1050.4195216985684,False,0.013144435047814974,0,0.2,127130,0,6,0.0,270.0,False,0.0009674222522848469,0.6666666666666666,534206,0.0,0.0,18,0,0,14,3,2.6875,14,28,20,100.0,54.0,10,14,20,895,1.6981236273422837,27.041183966211975
8,20,0,0,0,10.0,20,10.0,28.83216642715186,20,33.4,18.87164951125519,5,50.0,45.0,9,45.0,0,0.2,53890,5,27,1.0,828.4684935331003,False,0.021313013612054527,4,0.663,54682,4,10,1.0,328.3216642715186,False,0.031505159431565254,0,0.2,87494,36,34,1.0,1679.5940747601435,False,-0.009033116398208661,0,0.9200000000000002,82676.0,94,0,0.0,2710.223644152275,False,-0.05730250707236853,0,0.2,128693,20,13,1.0,962.4329902251038,False,0.01598383299863574,0,0.2,126880,0,11,0.5,495.0,False,-0.00011404571266772585,0.75,534315,0.0,0.0,16,0,0,15,1,0.2857142857142857,15,30,19,95.0,66.0,8,12,19,963,1.6345728747546673,28.675756840966642
9,19,0,0,0,10.000000000000002,20,10.0,29.17968741051402,8,36.0,17.669865103988208,9,7.0,45.00000000000001,8,45.0,0,0.2,54108,2,29,1.0,866.2109349049066,False,0.025767908586493703,0,0.659,54552,7,20,1.0,653.5937482102804,False,0.032118953454047076,0,0.2,87494,26,44,1.0,1536.1459372488457,False,-0.009837748139148792,9,1.0100000000000002,82052.0,102,0,0.0,2976.3281158724303,False,-0.06281017222611636,0,0.2,128990,19,15,1.0,1010.7274369757761,False,0.01850972706491867,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,534076,0.0,0.0,15,0,0,17,2,2.0,13,30,17,112.0,62.0,9,10,17,848,1.629054855555296,30.304811696521938
10,17,0,0,0,10.000000000000002,20,10.0,28.806870886594506,24,26.5,22.804469360539535,35,34.542857142857144,45.00000000000001,11,45.0,0,0.2,54572,2,19,1.0,567.3305468452957,False,0.03168391178316459,0,0.6590000000000001,54524,7,26,1.0,818.9786430514572,False,0.03314756768775696,0,0.2,88142,32,32,1.0,1651.5628879082892,False,-0.0019208040929992504,13,1.1310000000000002,81352.0,110,0,0.0,3168.755797525396,False,-0.06958370748199216,0,0.2,128276,44,14,1.0,1633.3966518637396,False,0.01534267453659582,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,533746,0.0,0.0,19,0,0,14,3,3.0,12,26,25,92.0,60.0,7,10,25,2475,1.9281552201136947,32.23296691663563
11,25,0,0,0,10.000000000000002,20,10.0,29.018140540771462,11,32.0,31.365549739853837,46,50.630434782608695,45.00000000000001,9,45.0,0,0.2,54804,4,18,1.0,562.3265297338863,False,0.03600013663212917,0,0.659,54444,5,36,1.0,1094.6530594677727,False,0.034235326206651887,14,0.34,89837,22,10,1.0,952.0545892955106,False,0.013170747872959635,0,1.1180000000000003,81000.0,121,0,0.0,3511.195005433347,False,-0.07161178044720412,0,0.2,126352,80,15,1.0,3184.243979188307,False,0.006308867168946113,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,533317,0.0,0.0,20,0,0,23,2,1.8,13,36,26,172.0,83.0,14,11,26,2506,2.415927190333605,34.64889410696924
12,26,0,0,0,10.000000000000002,20,10.0,29.581142345595097,34,32.05882352941177,31.429105618365263,36,31.666666666666668,45.00000000000001,9,45.0,16,0.36000000000000004,55390,6,10,1.0,355.81142345595094,False,0.045079191885200084,0,0.6590000000000001,54364,3,46,1.0,1390.7325478973744,False,0.03551496631526001,11,0.43600000000000005,89919,28,10,1.0,1142.5630418603155,False,0.01515926273494388,15,1.2680000000000002,79766.0,139,0,0.0,4111.778786037718,False,-0.08208652337339588,0,0.2,125617,106,16,1.0,4051.485195546718,False,0.003938451477665646,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,531936,0.0,0.0,19,0,0,17,6,5.523809523809524,19,36,28,159.0,86.0,14,12,28,1199,3.493231254629791,38.14212536159903
13,28,0,0,0,10.000000000000002,20,10.0,30.197574937043616,31,33.483870967741936,28.655297207786656,18,5.0,45.00000000000001,10,45.0,6,0.404,55764,5,10,1.0,351.9757493704362,False,0.05207703211685353,0,0.659,54684,4,41,1.0,1278.1005724187883,False,0.040474136017930686,0,0.42500000000000004,89869,23,20,1.0,1267.6501677077363,False,0.015299981869371052,18,1.4330000000000003,77950.0,165,0,0.0,4982.599864612196,False,-0.09757457530030521,0,0.2,125977,114,16,1.0,3986.703881687679,False,0.006515171547119317,0,0.2,126880,0,11,0.0,495.00000000000006,False,-0.00011404571266772585,0.6666666666666666,531124,0.0,0.0,17,0,0,20,4,3.375,13,33,32,165.0,96.0,12,16,32,1080,1.751213913783431,39.89333927538246
