index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,37.0,0,,0,0.2,61896,1,10,1.0,200.0,False,-0.0001612747153501274,0,0.2,61916,9,0,0.0,90.0,False,-0.0007257362190755734,0,0.2,100179,0,0,0.0,0.0,False,0.0,0,0.2,100179,0,0,0.0,0.0,False,0.0,0,0.2,118198,0,0,0.0,0.0,False,0.0,0,0.2,118198,0,0,0.0,0.0,False,0.0,0.16666666666666666,560566,0.0,0.0,7,0,0,211,0,0.0,667,878,164,0.0,0.0,0,0,164,200,3.1012323460308835,3.1012323460308835
1,164,0,0,0,10.0,20,10.0,19.0,0,,24.155172413793103,13,3.923076923076923,37.0,0,,0,0.2,61776,3,20,1.0,410.0,False,-0.0004031867883753185,0,0.2,61836,17,0,0.0,170.0,False,-0.001370835080476083,5,0.25,100034,0,0,0.0,0.0,False,-0.0014474091376436178,8,0.28,99907,0,0,0.0,0.0,False,-0.0027151398995797524,0,0.2,118147,3,10,1.0,442.4655172413793,False,0.0014402338332348743,0,0.2,118198,0,0,0.0,0.0,False,0.0,0.3333333333333333,559898,0.0,0.0,7,0,0,62,2,2.0,114,176,8,2150.0,9.0,163,1,8,200,5.296756625000853,8.397988971031737
2,8,0,0,0,10.0,20,10.0,19.0,0,,20.397435897435898,18,9.5,37.0,0,,0,0.2,61716,0,29,0.9,551.0,False,-0.00023384833725768474,0,0.2,61696,31,0,0.0,310.0,False,-0.0024997580879269747,9,0.3350000000000001,99827,0,0,0.0,0.0,False,-0.0035137104582796796,9,0.36200000000000004,99637,0,0,0.0,0.0,False,-0.005410315535192006,0,0.2,118147,0,13,0.3,481.0,False,0.001603242017631432,0,0.2,118027,8,10,1.0,533.1794871794872,False,0.000808725558721379,0.3666666666666667,559050,0.0,0.0,6,0,0,6,2,2.0,14,20,8,88.0,10.0,7,1,8,200,0.9485611960408278,9.346550167072564
3,8,0,0,0,10.0,20,10.0,19.0,0,,14.097579103843703,31,1.2580645161290323,37.0,11,37.0,0,0.2,61666,0,34,0.5,646.0,False,-0.0002741670160952166,0,0.2,61546,46,0,0.0,460.0,False,-0.0037093184530529303,28,0.6060000000000001,98465,0,0,0.0,0.0,False,-0.01710937422014594,3,0.38300000000000006,99532,0,0,0.0,0.0,False,-0.006458439393485661,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,1,0.21000000000000002,118351,29,10,1.0,778.8297940114674,False,0.004589036168173138,0.25,557707,0.0,0.0,9,0,0,5,5,4.25,16,21,7,100.0,0.0,8,0,7,459,0.9480033760191873,10.294553543091752
4,7,0,0,0,10.0,20,10.0,19.0,0,,13.552409815010927,4,2.0,37.00000000000001,11,37.0,0,0.2,61566,0,44,1.0,836.0,False,-0.0003548043737702803,0,0.2,61446,56,0,0.0,560.0,False,-0.004515692029803568,0,0.5780000000000001,98465,0,0,0.0,0.0,False,-0.01710937422014594,4,0.42000000000000004,99396,0,0,0.0,0.0,False,-0.007816009343275537,0,0.2,118147,0,13,0.0,481.0000000000001,False,0.001603242017631432,1,0.21900000000000003,118706,23,10,1.0,681.7054257452514,False,0.007181616549117814,0.3333333333333333,557726,0.0,0.0,9,0,0,5,2,1.5,13,18,9,65.0,17.0,5,2,9,533,0.9201457140152343,11.214699257106986
5,9,0,0,0,10.0,20,10.0,19.0,0,,10.362076810652514,30,1.8666666666666667,37.0,10,37.0,0,0.2,61516,0,49,0.5,931.0,False,-0.00039512305260781214,0,0.2,61296,71,0,0.0,710.0,False,-0.005725252394929523,7,0.6480000000000001,98225,0,0,0.0,0.0,False,-0.019505085896245722,23,0.6460000000000001,98357,0,0,0.0,0.0,False,-0.01818744447439084,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,0,0.21800000000000003,119020,43,10,1.0,815.5693028580581,False,0.010404445518782286,0.25,556561,0.0,0.0,10,0,0,6,5,5.0,15,21,10,90.0,14.0,7,2,10,570,0.9545135980006307,12.169212855107617
6,10,0,0,0,10.0,20,10.0,20.3,5,32.0,9.865986944699777,7,2.857142857142857,37.0,10,37.0,0,0.2,61556,2,54,1.0,1116.2,False,0.0017433796729348539,0,0.2,61216,79,0,0.0,790.0,False,-0.0063703512563300325,7,0.7110000000000001,97975,0,0,0.0,0.0,False,-0.022000618892182994,0,0.6230000000000001,98197,5,0,0.0,101.5,False,-0.01927799239361543,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,0,0.21800000000000003,119370,40,10,1.0,764.6394777879912,False,0.013150135695138686,0.3333333333333333,556461,0.0,0.0,10,0,0,7,2,2.0,14,21,12,103.0,18.0,7,3,12,730,1.0026035220362246,13.171816377143841
7,12,0,0,0,10.0,20,10.0,23.346774193548388,17,31.41176470588235,8.80715628878838,16,2.5,37.0,11,37.0,0,0.2,61990,2,47,1.0,1117.2983870967741,False,0.00875155942244922,0,0.2,61116,89,0,0.0,890.0,False,-0.007176724833080669,2,0.7240000000000002,97755,5,0,0.0,116.73387096774194,False,-0.023614061475120893,14,0.7630000000000001,97284,17,0,0.0,396.8951612903226,False,-0.02691734215109787,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,1,0.228,119693,46,10,1.0,775.1291892842655,False,0.015927211921031897,0.3333333333333333,555985,0.0,0.0,11,0,0,7,4,4.0,14,21,7,119.0,22.0,9,3,7,1104,0.9950797620113008,14.166896139155142
8,7,0,0,0,10.0,20,10.0,27.290100250626562,24,36.458333333333336,7.2283046304528815,27,1.3703703703703705,37.0,9,37.0,0,0.2,62785,0,33,1.0,900.5733082706765,False,0.019825285522938683,0,0.2,60996,101,0,0.0,1010.0,False,-0.008144373125181435,10,0.8220000000000001,97008,16,0,0.0,436.641604010025,False,-0.02947403346005642,17,0.9190000000000003,96085,30,0,0.0,818.7030075187969,False,-0.036780647603196236,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,0,0.227,119989,63,11,1.0,862.3831917185315,False,0.01880058542326666,0.3333333333333333,555010,0.0,0.0,12,0,0,6,4,4.0,13,19,8,73.0,3.0,6,1,8,1408,0.895353451021947,15.062249590177089
9,8,0,0,0,10.000000000000002,20,10.0,28.39387974230494,12,35.0,6.7608854567269185,23,4.434782608695652,37.0,12,37.0,0,0.2,63065,4,31,1.0,920.2102720114531,False,0.02449932483962398,0,0.2,60936,107,0,0.0,1070.0000000000002,False,-0.008628197271231815,8,0.8920000000000001,96303,28,0,0.0,795.0286327845383,False,-0.03472270319735411,15,1.0520000000000003,95545,30,0,0.0,851.8163922691482,False,-0.04200572778591741,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,1,0.23700000000000002,120287,76,10,1.0,883.8272947112458,False,0.02141249130573807,0.3333333333333333,554283,0.0,0.0,10,0,0,11,5,4.5,11,22,8,85.0,0.0,8,0,8,990,0.8869930019718595,15.949242592148948
10,8,0,0,0,10.000000000000002,20,10.0,29.495149718935238,16,34.6875,6.42616505649178,8,1.25,37.0,14,37.0,0,0.2,63550,1,25,1.0,747.3787429733809,False,0.030927480751648053,0,0.2,60806,120,0,0.0,1200.0000000000002,False,-0.009676482921007645,6,0.9440000000000002,95538,44,0,0.0,1297.7865876331505,False,-0.03984973603433273,2,1.0570000000000002,95477,30,0,0.0,884.8544915680571,False,-0.04251961742696546,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,4,0.276,120613,74,10,1.0,845.5362141803918,False,0.024008596652144613,0.3333333333333333,554131,0.0,0.0,10,0,0,8,4,3.3333333333333335,12,20,4,102.0,0.0,8,0,4,1051,0.841506990022026,16.790749582170974
11,4,0,0,0,10.000000000000002,20,10.0,29.495149718935238,0,,6.081828556289677,10,2.0,36.99999999999999,11,37.0,0,0.2,63470,0,34,0.9,1002.8350904437981,False,0.03169721551498079,0,0.2,60686,132,0,0.0,1320.0000000000002,False,-0.010644131213108409,5,0.9880000000000002,95373,44,0,0.0,1297.7865876331505,False,-0.04149678781165133,5,1.1050000000000002,95302,30,0,0.0,884.8544915680571,False,-0.04426649052412155,0,0.2,118147,0,13,0.0,480.9999999999999,False,0.001603242017631432,1,0.28200000000000003,120956,74,10,1.0,820.055313165436,False,0.02680271795278027,0.31666666666666665,553934,0.0,0.0,9,0,0,7,3,2.5,10,17,6,59.0,0.0,4,0,6,533,0.8298792139976285,17.620628796168603
12,6,0,0,0,10.000000000000002,20,10.0,29.530854436011026,2,31.0,6.073562253253187,13,6.0,37.0,11,37.0,0,0.2,63422,1,42,1.0,1250.2958863124632,False,0.03291855535200195,0,0.2,60596,141,0,0.0,1410.0000000000002,False,-0.011369867432183982,0,0.9830000000000001,95311,46,0,0.0,1358.4193040565071,False,-0.04181305810570828,13,1.23,94912,30,0,0.0,885.9256330803307,False,-0.04815417585980928,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,1,0.29100000000000004,121241,77,10,1.0,837.6642935004954,False,0.02928841559713577,0.3333333333333333,553629,0.0,0.0,10,0,0,7,2,2.0,13,20,8,69.0,0.0,6,0,8,632,0.9032928409869783,18.52392163715558
13,8,0,0,0,10.000000000000002,20,10.0,30.96735075631386,30,34.6,6.248587165887699,15,7.6,37.0,9,37.0,0,0.2,64340,3,22,1.0,711.2817166389049,False,0.04337710638195416,0,0.2,60516,149,0,0.0,1490.0000000000002,False,-0.012014966293584492,8,1.063,95095,46,0,0.0,1424.4981347904375,False,-0.043639394809339156,7,1.2870000000000001,93664,60,0,0.0,1858.0410453788315,False,-0.05575998440102798,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,0,0.29000000000000004,121460,82,11,1.0,919.3841476027912,False,0.03148692933722568,0.3333333333333333,553222,0.0,0.0,13,0,0,12,2,2.0,9,21,7,88.0,7.0,7,1,7,1571,0.8942577510024421,19.418179388158023
14,7,0,0,0,10.000000000000002,20,10.0,31.6546947466908,13,36.69230769230769,6.033943142581899,8,2.875,37.0,14,37.0,0,0.2,64707,4,19,1.0,641.4392001871253,False,0.04873269683729906,0,0.2,60426,158,0,0.0,1580.0000000000002,False,-0.012740702512660065,5,1.105,94528,57,0,0.0,1804.3176005613757,False,-0.0474035596254636,3,1.3100000000000003,93489,62,0,0.0,1962.5910742948297,False,-0.05698504140441201,0,0.2,118147,0,13,0.0,481.0,False,0.001603242017631432,3,0.32000000000000006,121819,80,10,1.0,852.7154514065519,False,0.034242184518378266,0.3333333333333333,553116,0.0,0.0,11,0,0,8,4,3.142857142857143,8,16,9,60.0,9.0,5,2,9,862,0.8751390720135532,20.293318460171577
