index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,28.0,0,,0,0.2,44588,0,10,1.0,160.0,False,-0.00044754744002864304,0,0.2,44588,0,10,1.0,160.0,False,-0.00044754744002864304,0,0.2,67512,0,0,0.0,0.0,False,0.0,0,0.2,67512.0,0,0,0.0,0.0,False,0.0,0,0.2,82353,0,0,0.0,0.0,False,0.0,0,0.2,82353,0,0,0.0,0.0,False,0.0,0.3333333333333333,388906,0.0,0.0,6,0,0,211,0,0.0,679,890,58,0.0,0.0,0,0,58,200,1.9383534640073776,1.9383534640073776
1,58,0,0,0,10.0,20,10.0,16.0,0,,22.705882352941178,6,13.0,28.0,0,,0,0.2,44488,0,20,1.0,320.0,False,-0.0008950948800572861,0,0.2,44488,0,20,1.0,320.0,False,-0.0008950948800572861,0,0.2,67512,0,0,0.0,0.0,False,0.0,6,0.26,67416.0,0,0,0.0,0.0,False,-0.0014219694276573053,0,0.2,82275,0,6,0.6,168.0,False,7.28570908163637e-05,0,0.2,82353,0,0,0.0,0.0,False,0.0,0.43333333333333335,388532,0.0,0.0,6,0,0,37,1,1.0,28,65,36,831.0,53.0,51,7,36,200,3.7080041505396366,5.646357614547014
2,36,0,0,0,10.0,20,10.0,14.727272727272727,10,9.0,21.799582463465555,2,1.0,28.0,0,,0,0.2,44338,5,30,1.0,491.8181818181818,False,-0.0023292809946945875,0,0.2,44528,0,15,0.5,220.9090909090909,False,-0.0011086970673437136,0,0.2,67422,0,10,1.0,217.99582463465555,False,0.0002814005260890693,2,0.274,67360.0,0,0,0.0,0.0,False,-0.0022514515937907334,0,0.2,82275,0,6,0.0,168.0,False,7.28570908163637e-05,0,0.2,82351,0,2,0.2,56.0,False,0.0003157140602042427,0.45,388274,0.0,0.0,9,0,0,24,1,1.0,16,40,22,289.0,44.0,28,8,22,290,3.9722559098154306,9.618613524362445
3,22,0,0,0,10.0,20,10.0,13.764705882352942,10,9.0,15.278451850714177,22,2.5,28.0,13,28.0,0,0.2,44293,4,35,1.0,521.7647058823529,False,-0.003001200480192115,0,0.2,44463,1,20,1.0,285.29411764705884,False,-0.001842842400117894,0,0.2,67332,0,20,1.0,305.56903701428354,False,-0.00040312065251903905,22,0.4920000000000001,66599.0,0,0,0.0,0.0,False,-0.013523521744282499,0,0.2,82275,0,6,0.0,168.0,False,7.28570908163637e-05,11,0.31000000000000005,82228,12,10,1.0,463.3414222085701,False,0.0012952862810617447,0.6666666666666666,387190,0.0,0.0,9,0,0,18,7,6.5,11,29,18,185.0,40.0,16,6,18,290,2.2342581106349826,11.852871634997427
4,18,0,0,0,10.0,20,10.0,13.764705882352942,0,,13.713528716422779,15,7.6,28.0,10,28.0,0,0.2,44193,4,45,1.0,659.4117647058824,False,-0.003698847960236659,0,0.2,44363,1,30,1.0,422.9411764705883,False,-0.0025404898801626007,0,0.2,67410,0,14,0.0,191.9894020299189,False,-8.895157875692278e-05,9,0.56,66374.0,0,0,0.0,0.0,False,-0.016856262590354307,0,0.2,82275,0,6,0.0,168.0,False,7.28570908163637e-05,0,0.29900000000000004,82394,17,10,1.0,513.1299881791872,False,0.003613286633026076,0.5,387009,0.0,0.0,8,0,0,12,1,1.0,12,24,25,101.0,34.0,11,7,25,558,1.8653048416599631,13.71817647665739
5,25,0,0,0,10.0,20,10.0,19.769880053309638,59,25.220338983050848,13.156743878700036,12,10.083333333333334,28.0,10,28.0,0,0.2,45046,8,16,1.0,396.3180808529542,False,0.01244537773958286,0,0.2,44798,0,17,0.7,336.08796090626385,False,0.0062218935833587155,0,0.2,66811,20,17,1.0,619.0622470040934,False,-0.005798508065202497,5,0.601,65461.0,29,0,0.0,573.3265215459795,False,-0.02613367607576454,0,0.2,82275,0,6,0.0,168.0,False,7.28570908163637e-05,0,0.29900000000000004,82553,19,10,1.0,529.9781336953007,False,0.005646291778655832,0.6166666666666667,386944,0.0,0.0,15,0,0,18,1,1.0,10,28,25,124.0,75.0,14,11,25,2059,1.8541676187887788,15.57234409544617
6,25,0,0,0,10.0,20,10.0,21.369749440551743,35,26.0,12.987875745181745,9,11.666666666666666,28.0,9,28.0,0,0.2,45316,6,12,1.0,316.4369932866209,False,0.017593503773794136,4,0.24000000000000002,45162,2,10,1.0,233.69749440551743,False,0.013221642212736204,0,0.2,66152,40,20,1.0,1114.5474925257047,False,-0.011890126995751015,2,0.6160000000000001,65256.0,34,0,0.0,726.5714809787593,False,-0.028035227211616113,0,0.2,82275,0,6,0.0,168.0,False,7.28570908163637e-05,0,0.29900000000000004,82700,18,11,1.0,541.7817634132714,False,0.0075029553471839565,0.6666666666666666,386861,0.0,0.0,13,0,0,16,3,2.8,13,29,26,222.0,44.0,16,9,26,1293,1.6758221117779613,17.24816620722413
7,26,0,0,0,10.0,20,10.0,22.562175123381262,60,25.0,14.880474541593431,19,22.0,28.0,8,28.0,22,0.42000000000000004,45538,8,10,1.0,305.62175123381263,False,0.02244027201076149,16,0.3960000000000001,45384,0,10,1.0,225.62175123381263,False,0.018099061842483652,0,0.2,64652,90,30,1.0,2477.0099973521164,False,-0.02401787832272697,19,0.804,65123.0,34,0,0.0,767.113954194963,False,-0.029704986119541955,0,0.2,82275,0,6,0.0,168.0,False,7.28570908163637e-05,0,0.29900000000000004,82506,27,13,1.0,765.7728126230227,False,0.00650718742864884,0.6666666666666666,385478,0.0,0.0,10,0,0,14,5,3.7017543859649122,13,27,28,197.0,38.0,15,11,28,424,1.7792615154758096,19.02742772269994
8,28,0,0,0,10.0,20,10.0,23.04126591218728,30,25.666666666666668,16.725802761294958,52,19.615384615384617,28.0,10,28.0,10,0.49800000000000005,45718,7,10,1.0,300.4126591218728,False,0.026409916075029835,0,0.38000000000000006,45584,1,10,1.0,240.41265912187282,False,0.02274002706679496,0,0.2,64288,100,32,1.0,2839.352279580167,False,-0.026725972570949098,44,1.225,64461.0,44,0,0.0,1013.8157001362404,False,-0.03768355477443831,0,0.2,82275,0,6,0.0,168.0,False,7.28570908163637e-05,0,0.29900000000000004,81766,69,13,1.0,1518.0803905293521,False,0.0020890580217439426,0.6666666666666666,384092,0.0,0.0,11,0,0,19,2,1.5,14,33,24,208.0,53.0,20,8,24,886,1.9364404901862144,20.963868212886155
9,24,0,0,0,10.000000000000002,20,10.0,23.11397185424396,20,23.75,14.205600034342412,42,7.0,28.0,11,28.0,5,0.538,45998,3,10,1.0,261.1397185424396,False,0.032236167634962884,0,0.38000000000000006,45484,5,15,1.0,396.7095778136594,False,0.022251047012773643,0,0.2,64248,95,42,1.0,2792.4625275955577,False,-0.02766572959180925,42,1.6010000000000002,63102.0,59,0,0.0,1363.7243394003935,False,-0.05522185434144753,0,0.2,82275,0,6,0.0,168.0,False,7.28570908163637e-05,0,0.29900000000000004,81780,101,12,1.0,1770.7656034685835,False,0.00379321702590421,0.6666666666666666,382887,0.0,0.0,12,0,0,15,2,1.3333333333333333,14,29,21,144.0,47.0,16,8,21,548,1.8348058247938752,22.79867403768003
