index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,20.0,0,,29.0,0,,43.0,0,,0,0.2,36907,1,10,1.0,170.0,False,-0.0006753653726666127,0,0.2,36927.0,9,0,0.0,90.0,False,-0.0012156576707999028,0,0.2,50115,0,0,0.0,0.0,False,0.0,0,0.2,50115,0,0,0.0,0.0,False,0.0,0,0.2,67342,0,0,0.0,0.0,False,0.0,0,0.2,67342,0,0,0.0,0.0,False,0.0,0,0.2,97382,0,0,0.0,0.0,False,0.0,0,0.2,97382,0,0,0.0,0.0,False,0.0,0.125,503512,0.0,0.0,7,0,0,3,0,0.0,951,954,68,0.0,0.0,0,0,68,200,1.8577207580092363,1.8577207580092363
1,68,0,0,0,10.0,20,10.0,16.0,0,,20.0,0,,29.0,0,,43.0,0,,0,0.2,36827,0,19,0.9,304.0,False,-0.0010265553664532512,0,0.2,36807.0,21,0,0.0,210.0,False,-0.002836534565199773,0,0.2,50115,0,0,0.0,0.0,False,0.0,0,0.2,50115,0,0,0.0,0.0,False,0.0,0,0.2,67342,0,0,0.0,0.0,False,0.0,0,0.2,67342,0,0,0.0,0.0,False,0.0,0,0.2,97382,0,0,0.0,0.0,False,0.0,0,0.2,97382,0,0,0.0,0.0,False,0.0,0.1125,503312,0.0,0.0,8,0,0,32,0,0.0,36,68,52,936.0,153.0,52,16,52,200,3.6256799950497225,5.483400753058959
2,52,0,0,0,10.0,20,10.0,14.636363636363637,10,8.5,16.797101449275363,24,10.791666666666666,29.0,0,,43.0,0,,0,0.2,36737,0,28,0.9,409.8181818181818,False,-0.0020285519920823334,10,0.30000000000000004,36572.0,32,0,0.0,320.0,False,-0.007699165248399384,0,0.2,50030,0,10,1.0,167.97101449275362,False,-2.0243295492844988e-05,24,0.44000000000000006,49584,0,0,0.0,0.0,False,-0.01059563005088297,0,0.2,67237,0,10,1.0,290.0,False,0.0005939829526892578,0,0.2,67188,4,10,1.0,357.18840579710144,False,0.00036521343141790577,0,0.2,97382,0,0,0.0,0.0,False,0.0,0,0.2,97382,0,0,0.0,0.0,False,0.0,0.4875,502112,0.0,0.0,7,0,0,24,6,6.0,20,44,52,371.0,116.0,30,22,52,200,5.303354564995971,10.78675531805493
3,52,0,0,0,10.0,20,10.0,12.798561151079136,20,8.25,16.797101449275363,0,,29.0,0,,43.0,0,,0,0.2,36597,4,38,1.0,526.3453237410072,False,-0.004236630146405516,20,0.49000000000000005,36177.0,38,0,0.0,380.0,False,-0.017559499689331928,0,0.2,49865,10,20,1.0,463.92764049629864,False,-0.0003598958346173596,0,0.41600000000000004,49584,0,0,0.0,0.0,False,-0.01059563005088297,0,0.2,67237,0,10,0.0,290.0,False,0.0005939829526892578,0,0.2,67188,0,14,0.4,406.0,False,0.0007276291170443408,0,0.2,97382,0,0,0.0,0.0,False,0.0,0,0.2,97382,0,0,0.0,0.0,False,0.0,0.3,501412,0.0,0.0,6,0,0,18,4,4.0,17,35,38,381.0,143.0,22,30,38,200,2.6052902350202203,13.39204555307515
4,38,0,0,0,10.0,20,10.0,11.542547115933752,25,8.4,16.06329113924051,9,11.0,29.0,0,,43.0,20,43.0,0,0.2,36477,6,48,1.0,614.0422615648201,False,-0.006293834433303441,25,0.7200000000000002,35632.0,46,0,0.0,460.0,False,-0.031201880217197504,0,0.2,49655,25,30,1.0,770.4624120755591,False,-0.0014919444071080357,9,0.506,49447,0,0,0.0,0.0,False,-0.01332934251222189,0,0.2,67138,0,19,0.9,551.0,False,0.0010617445279320484,0,0.2,67188,0,14,0.0,406.0,False,0.0007276291170443408,8,0.28,97270,0,0,0.0,0.0,False,-0.001150109876568565,12,0.32000000000000006,97169,0,0,0.0,0.0,False,-0.002187262533117003,0.3625,499976,0.0,0.0,8,0,0,16,15,15.0,14,30,46,216.0,65.0,15,23,46,200,2.30858440004522,15.70062995312037
5,46,0,0,0,10.0,20,10.0,13.396183165413936,15,23.133333333333333,15.76540667745257,4,11.0,30.142857142857142,4,43.0,43.0,20,43.0,0,0.2,36704,8,43,1.0,656.0358761127992,False,0.00040570381328579986,0,0.6950000000000001,35552.0,54,0,0.0,540.0,False,-0.032282464813464085,0,0.2,49655,15,40,1.0,831.5590145793118,False,-0.0008823803793344277,4,0.5370000000000001,49048,15,0,0.0,200.94274748120904,False,-0.019286214232453247,0,0.2,67266,0,19,0.4,572.7142857142857,False,0.003123713920839074,0,0.2,67188,0,14,0.0,422.0,False,0.0008464257075821924,10,0.372,96970,0,4,0.4,172.0,False,-0.003347641247869216,10,0.40800000000000003,97014,0,0,0.0,0.0,False,-0.003778932451582428,0.35,499397,0.0,0.0,10,0,0,18,8,8.0,15,33,39,249.0,112.0,18,28,39,719,2.9316115029505454,18.632241456070915
6,39,0,0,0,10.0,20,10.0,15.788263184347354,28,23.0,15.845887097974432,6,16.666666666666668,33.698835274542425,16,43.5,43.0,20,43.0,0,0.2,37218,11,25,1.0,504.70657960868385,False,0.012247164540733753,0,0.6950000000000001,35482.0,61,0,0.0,610.0,False,-0.03322797633519734,0,0.2,49715,5,48,1.0,839.5438966245094,False,0.00039453154369463087,4,0.5730000000000001,48348,43,0,0.0,678.8953169269362,False,-0.028485530111474238,0,0.2,67862,0,9,0.6,303.28951747088183,False,0.009973638423798434,0,0.2,67188,0,14,0.0,471.78369384359394,False,0.0012160590258945337,6,0.42200000000000004,96728,0,8,0.8,344.0,False,-0.004949580004518289,10,0.49800000000000005,96519,0,8,0.8,344.0,False,-0.0070957671849007,0.525,499060,0.0,0.0,18,0,0,13,6,5.8,14,27,43,207.0,76.0,14,25,43,1729,2.5049218189669773,21.137163275037892
7,43,0,0,0,10.0,20,10.0,18.3021437051278,75,21.69333333333333,16.07614048044716,1,30.0,35.02609115799645,8,44.0,43.0,20,43.0,27,0.4700000000000001,37737,12,10,1.0,303.021437051278,False,0.0235435264480007,23,0.925,35208.0,70,0,0.0,700.0,False,-0.03941432314882351,0,0.2,48992,35,57,1.0,1556.9150370649613,False,-0.006875037044148872,0,0.5690000000000001,47474,78,0,0.0,1427.5672089999684,False,-0.03845587938740924,0,0.2,68184,0,2,0.1,70.0521823159929,False,0.013023463680288633,0,0.2,67188,0,14,0.0,490.36527621195023,False,0.001354023315404651,1,0.42600000000000005,96888,0,4,0.4,172.0,False,-0.004189685978928344,3,0.518,96663,0,4,0.4,172.0,False,-0.006500174570249122,0.3625,498334,0.0,0.0,15,0,0,13,7,5.229411764705882,14,27,43,186.0,123.0,12,31,43,1394,2.228332173952367,23.36549544899026
8,43,0,0,0,10.0,20,10.0,17.554595468382228,28,13.321428571428571,15.807784659723623,6,13.333333333333334,35.625540655633664,4,44.0,43.0,20,43.0,0,0.44300000000000006,37607,15,20,1.0,501.0919093676446,False,0.022707025277138197,28,1.1820000000000002,34809.0,77,0,0.0,770.0,False,-0.0492476429748494,0,0.2,48649,53,66,1.0,1973.7073473660173,False,-0.0095609363726827,5,0.6190000000000002,47404,78,0,0.0,1369.2584465338139,False,-0.04043441637699476,2,0.22000000000000003,68210,0,6,0.6,213.75324393380197,False,0.014476502360590792,0,0.2,67188,0,14,0.0,498.7575691788713,False,0.0014163343023587112,5,0.4750000000000001,97006,0,0,0.0,0.0,False,-0.0038610831570516113,7,0.5850000000000001,96566,0,4,0.4,172.0,False,-0.0074962518740629685,0.375,497439,0.0,0.0,11,0,0,18,10,8.6,15,33,38,267.0,84.0,19,24,38,402,2.8126016429741867,26.178097091964446
9,38,0,0,0,10.000000000000002,20,10.0,17.815731098887802,48,18.729166666666668,15.220319545317086,11,12.272727272727273,37.15064445486539,12,44.0,43.00000000000001,20,43.0,14,0.5830000000000001,37993,18,10,1.0,358.15731098887807,False,0.031204005065090162,14,1.2940000000000003,34530.0,84,0,0.0,840.0000000000001,False,-0.055839209012075536,0,0.2,48171,74,75,1.0,2459.8880672164787,False,-0.014248348127142757,10,0.7140000000000002,46853,95,0,0.0,1692.4944543943411,False,-0.048204185828650686,2,0.23800000000000002,68357,1,10,1.0,386.726764093971,False,0.017943681239746132,0,0.2,67364,0,10,0.0,371.5064445486539,False,0.0030850468099303864,12,0.5900000000000001,96434,0,8,0.8,344.00000000000006,False,-0.007968618430510771,4,0.6180000000000001,96524,0,4,0.4,172.00000000000003,False,-0.00792754307777618,0.525,496226,0.0,0.0,12,0,0,23,14,12.65686274509804,11,34,29,290.0,83.0,20,18,29,1059,2.585428923019208,28.763526014983654
10,29,0,0,0,10.000000000000002,20,10.0,17.594575730576576,5,9.0,19.082751479908115,23,29.08695652173913,37.96478866438219,8,44.0,43.0,20,43.0,0,0.5690000000000001,37893,18,20,1.0,531.8915146115315,False,0.03084922487791464,5,1.33,34380.0,94,0,0.0,940.0000000000001,False,-0.05854067050274198,0,0.2,48795,69,62,1.0,2397.156317164087,False,-0.0024228642406057244,0,0.7040000000000002,46853,95,0,0.0,1671.4846944047747,False,-0.048413801312932506,0,0.23600000000000002,67894,13,16,1.0,855.5123878689205,False,0.014548961924719486,0,0.2,67510,0,7,0.1,265.75352065067534,False,0.004467891662340536,1,0.5880000000000001,96770,0,0,0.0,0.0,False,-0.006284528968392516,7,0.6840000000000002,96256,0,8,0.8,344.0,False,-0.009796471627200098,0.48750000000000004,496351,0.0,0.0,16,0,0,14,5,4.333333333333333,14,28,23,186.0,51.0,12,17,23,1651,1.7850040959892794,30.548530110972933
11,23,0,0,0,10.000000000000002,20,10.0,17.34535092171293,31,15.903225806451612,17.73046602767849,13,10.0,31.599259916882634,26,16.76923076923077,43.00000000000001,20,43.0,0,0.5690000000000001,38181,16,14,1.0,402.83491290398104,False,0.036886226772887935,15,1.4750000000000003,34040.0,106,0,0.0,1060.0000000000002,False,-0.06610476267660804,0,0.2,48710,74,68,1.0,2489.2276580888943,False,-0.0032003625851651095,9,0.794,46339,111,0,0.0,1925.3339523101354,False,-0.05613754412541024,10,0.336,67841,16,10,1.0,599.6800556116822,False,0.011862433961062038,0,0.2,67510,0,7,0.0,221.19481941817844,False,0.0041370528007646755,12,0.7070000000000001,96368,0,10,1.0,430.00000000000006,False,-0.008204801708734675,0,0.6770000000000002,96362,6,10,1.0,619.5955595012958,False,-0.007292951677408079,0.625,495351,0.0,0.0,14,0,0,16,11,10.142857142857142,11,27,24,156.0,33.0,12,11,24,1150,1.9133056569844484,32.46183576795738
12,24,0,0,0,10.000000000000002,20,10.0,17.165808634923174,6,11.5,17.88463661529013,1,30.0,31.20530365927006,18,29.5,43.0,20,43.0,0,0.5690000000000001,38105,16,23,1.0,554.813598603233,False,0.03688593887407446,5,1.5100000000000002,33890.0,116,0,0.0,1160.0000000000002,False,-0.0688062241672745,0,0.2,48671,70,77,1.0,2578.723623821962,False,-0.003085666728305268,0,0.7850000000000001,46339,111,0,0.0,1905.4047584764724,False,-0.05633637874412374,4,0.36600000000000005,68034,7,10,1.0,437.2454928997315,False,0.013522359693057321,0,0.2,67678,0,3,0.0,93.61591097781019,False,0.005684534992856045,0,0.6950000000000001,96566,1,10,1.0,461.20530365927004,False,-0.006011350641497997,0,0.6770000000000002,96493,3,10,1.0,523.6159109778102,False,-0.0064405336151556565,0.625,495776,0.0,0.0,21,0,0,14,2,1.4444444444444444,10,24,29,132.0,60.0,9,15,29,1501,1.7392842939589173,34.2011200619163
13,29,0,0,0,10.000000000000002,20,10.0,17.06301834640315,17,16.0,18.213743402075583,2,30.0,31.351822917913246,1,44.0,43.00000000000001,20,43.0,0,0.5690000000000001,37995,17,33,1.0,733.079605431304,False,0.03632222499704609,17,1.6750000000000003,33749.0,125,0,0.0,1250.0000000000002,False,-0.07139962719831429,0,0.2,48459,77,85,1.0,2862.0206018494673,False,-0.0044894682046346945,0,0.7850000000000001,46339,111,0,0.0,1893.9950364507497,False,-0.05645021414296365,0,0.36200000000000004,68018,0,18,0.9,564.3328125224384,False,0.01422836277896744,0,0.2,67678,0,3,0.0,94.05546875373975,False,0.005687798615676227,1,0.7050000000000001,96988,0,1,0.1,43.00000000000001,False,-0.0038251422234088436,0,0.6770000000000002,96836,0,5,0.4,215.00000000000003,False,-0.004502885543529605,0.425,496062,0.0,0.0,15,0,0,15,2,1.5,12,27,31,204.0,63.0,13,16,31,1078,2.2611488249967806,36.46226888691308
