index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,35.0,0,,45.0,0,,61.0,0,,0,0.2,64549,0,9,0.9,198.0,False,0.0001392348272714615,0,0.2,64529,11,0,0.0,110.0,False,-0.0008508794999922647,0,0.2,107372,0,0,0.0,0.0,False,0.0,0,0.2,107372.0,0,0,0.0,0.0,False,0.0,0,0.2,134125,0,0,0.0,0.0,False,0.0,0,0.2,134125,0,0,0.0,0.0,False,0.0,0,0.2,179911,0,0,0.0,0.0,False,0.0,0,0.2,179911,0,0,0.0,0.0,False,0.0,0.1125,971894,0.0,0.0,8,0,0,0,0,0.0,884,884,119,0.0,0.0,0,0,119,200,4.446957181033213,4.446957181033213
1,119,0,0,0,10.0,20,10.0,22.0,0,,32.0,9,17.0,45.0,0,,61.0,0,,0,0.2,64459,0,18,0.9,396.0,False,0.000278469654542923,0,0.2,64419,22,0,0.0,220.0,False,-0.0017017589999845295,0,0.2,107372,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,107147.0,0,0,0.0,0.0,False,-0.002095518384681295,0,0.2,133972,0,9,0.9,405.0,False,0.0003690587138863001,0,0.2,134125,0,0,0.0,0.0,False,0.0,0,0.2,179911,0,0,0.0,0.0,False,0.0,0,0.2,179911,0,0,0.0,0.0,False,0.0,0.225,971316,0.0,0.0,8,0,0,32,1,1.0,29,61,63,810.0,627.0,45,74,63,200,10.879027404007502,15.325984585040715
2,63,0,0,0,10.0,20,10.0,20.9,5,11.0,27.32122905027933,23,17.434782608695652,45.0,0,,61.0,0,,0,0.2,64349,1,28,1.0,595.1999999999999,False,0.00011757607636254498,5,0.25,64254,31,0,0.0,310.0,False,-0.003558223363604016,10,0.30000000000000004,107032,0,5,0.5,136.60614525139667,False,-0.0025304262505523004,13,0.41100000000000003,106750.0,0,0,0.0,0.0,False,-0.005792944156763402,0,0.2,133751,3,19,1.0,936.963687150838,False,0.0007044312661728073,0,0.2,133945,0,10,1.0,450.0,False,0.00033550792171481826,0,0.2,179911,0,0,0.0,0.0,False,0.0,0,0.2,179911,0,0,0.0,0.0,False,0.0,0.4375,969903,0.0,0.0,8,0,0,21,5,5.0,23,44,59,353.0,142.0,28,35,59,200,6.002667611988727,21.32865219702944
3,59,0,0,0,10.0,20,10.0,20.9,0,,26.0690488984417,10,18.0,45.0,0,,61.0,0,,0,0.2,64249,1,38,1.0,804.1999999999999,False,0.00018719348999827573,0,0.24500000000000002,64154,41,0,0.0,410.0,False,-0.004331750181778803,0,0.29000000000000004,107032,0,5,0.0,130.3452444922085,False,-0.0025595814342091027,10,0.4980000000000001,106465.0,0,0,0.0,0.0,False,-0.008447267444026376,0,0.2,133751,0,22,0.3,990.0,False,0.000902143522833178,0,0.2,133765,0,20,1.0,900.0,False,0.0006710158434296365,0,0.2,179911,0,0,0.0,0.0,False,0.0,0,0.2,179911,0,0,0.0,0.0,False,0.0,0.2875,969238,0.0,0.0,8,0,0,21,2,2.0,21,42,50,378.0,187.0,25,34,50,200,3.5424795919680037,24.871131788997445
4,50,0,0,0,10.0,20,10.0,22.341666666666665,15,26.666666666666668,25.43921884549142,5,17.0,45.0,0,,61.0,20,61.0,0,0.2,64469,3,38,1.0,878.9833333333332,False,0.004169180628825765,5,0.29500000000000004,64004,49,0,0.0,490.0,False,-0.006033509181763332,0,0.29000000000000004,106972,0,10,0.5,254.39218845491422,False,-0.0025407359998187613,5,0.5380000000000001,106000.0,10,0,0.0,223.41666666666666,False,-0.01173761936693618,0,0.2,133751,0,22,0.0,990.0,False,0.000902143522833178,0,0.2,133680,0,25,0.5,1125.0,False,0.0008760484622553588,14,0.34,179517,0,0,0.0,0.0,False,-0.0021899717082335154,6,0.26,179809,0,0,0.0,0.0,False,-0.0005669469904563923,0.25,968202,0.0,0.0,9,0,0,17,11,11.0,22,39,32,303.0,97.0,21,29,32,540,3.002006163005717,27.873137952003162
5,32,0,0,0,10.0,20,10.0,25.791071428571428,30,32.0,23.852827947125437,15,17.0,51.857142857142854,18,69.0,61.0,20,61.0,0,0.2,65329,3,18,1.0,494.2392857142857,False,0.01449774351176754,0,0.29000000000000004,63904,59,0,0.0,590.0,False,-0.006807035999938118,0,0.29000000000000004,106012,20,20,1.0,992.8779875139373,False,-0.00804270206611626,15,0.6830000000000002,105495.0,10,0,0.0,257.9107142857143,False,-0.0162802652726702,0,0.2,134993,0,4,0.0,207.42857142857142,False,0.007244840900013345,0,0.2,133425,5,35,1.0,1934.2641397356272,False,0.00199166501299387,13,0.45600000000000007,177933,8,10,1.0,1024.857142857143,False,-0.008146091281641591,7,0.32400000000000007,179680,0,0,0.0,0.0,False,-0.0012839681842688885,0.5,966771,0.0,0.0,12,0,0,12,11,11.0,14,26,31,117.0,66.0,9,23,31,2402,2.0955399809754454,29.968677932978608
6,31,0,0,0,10.0,20,10.0,24.41256019261637,49,22.285714285714285,23.137469877809878,10,18.0,51.857142857142854,0,,61.0,20,61.0,0,0.2,65738,3,13,1.0,347.3632825040128,False,0.019689067610142684,34,0.6300000000000001,63103,69,0,0.0,690.0,False,-0.018425408808923405,0,0.29000000000000004,104953,58,30,1.0,2110.0525875060457,False,-0.012703253234055242,10,0.7680000000000002,105177.0,11,0,0.0,268.53816211878006,False,-0.019192442340094325,0,0.2,134993,0,4,0.0,207.42857142857142,False,0.007244840900013345,0,0.2,133245,5,45,1.0,2449.258777960478,False,0.002569464223524677,0,0.44300000000000006,178421,0,10,0.8,610.0,False,-0.006586590036184558,12,0.43700000000000006,179373,0,0,0.0,0.0,False,-0.002990367459466069,0.475,965003,0.0,0.0,14,0,0,14,11,11.0,11,25,30,102.0,78.0,9,22,30,1197,2.344670109974686,32.313348042953294
7,30,0,0,0,10.0,20,10.0,23.862115138840476,60,22.833333333333332,25.60390754981362,47,29.46808510638298,51.857142857142854,0,,61.0,20,61.0,2,0.22000000000000003,66096,0,10,1.0,238.62115138840477,False,0.024386370081440144,45,1.046,62278,82,0,0.0,820.0,False,-0.030183016445180153,0,0.29000000000000004,103583,108,40,1.0,3601.264736987316,False,-0.01851849301034101,47,1.2280000000000002,103610.0,11,0,0.0,262.48326652724523,False,-0.03381475959036229,0,0.2,134993,0,4,0.0,207.42857142857142,False,0.007244840900013345,0,0.2,131860,42,55,1.0,3927.506974235029,False,-0.002246013143578742,0,0.44300000000000006,178848,0,3,0.0,183.0,False,-0.0053998921689057365,13,0.5550000000000002,179020,0,0,0.0,0.0,False,-0.004952448710751427,0.375,960288,0.0,0.0,11,0,0,13,14,13.133333333333333,13,26,35,132.0,93.0,9,21,35,627,14.779424032953102,47.092772075906396
8,35,0,0,0,10.0,20,10.0,24.97659432734612,71,27.408450704225352,29.715219466298343,61,37.032786885245905,53.100486223662884,5,67.2,61.0,20,61.0,22,0.43800000000000006,66410,0,9,0.9,224.78934894611507,False,0.029137125798249723,39,1.3910000000000002,61580,93,0,0.0,930.0,False,-0.04013057132690791,0,0.29000000000000004,103150,153,31,1.0,4742.590735539205,False,-0.017236380362016114,42,1.6010000000000004,101979.0,27,0,0.0,674.3680468383452,False,-0.04708691257106902,0,0.2,135193,0,1,0.0,53.100486223662884,False,0.008160672828419922,0,0.2,129737,93,63,1.0,6108.846042456507,False,-0.009942792013209644,6,0.5030000000000001,178737,0,3,0.3,183.0,False,-0.006016863893814164,11,0.6520000000000001,178636,0,2,0.2,122.0,False,-0.00674778084719667,0.425,955422,0.0,0.0,16,0,0,11,13,12.375,17,28,33,154.0,140.0,10,25,33,1688,12.22499036998488,59.317762445891276
9,33,0,0,0,10.000000000000002,20,10.0,24.665156163150026,5,12.0,29.982212954955433,42,30.952380952380953,53.618459933947506,2,68.0,61.00000000000001,20,61.0,0,0.41600000000000004,66290,2,19,1.0,488.6379670998505,False,0.029321601255432813,5,1.4020000000000001,61430,101,0,0.0,1010.0000000000002,False,-0.04183233032689243,0,0.29000000000000004,103090,148,41,1.0,4879.713843299377,False,-0.017156643057317705,42,1.9790000000000003,100910.0,27,0,0.0,665.9592164050507,False,-0.057082110715991806,0,0.2,135261,0,0,0.0,0.0,False,0.008469711090400745,0,0.2,128505,125,72,1.0,7608.30573461365,False,-0.013538468836482097,7,0.5670000000000002,178787,0,0,0.0,0.0,False,-0.006247533502676323,8,0.7210000000000001,178470,0,2,0.2,122.00000000000001,False,-0.007670459282645308,0.4,952743,0.0,0.0,12,0,0,15,11,10.3,16,31,32,207.0,102.0,14,19,32,458,8.092478566977661,67.41024101286894
