index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,38.0,0,,49.0,0,,0,0.2,47252,0,9,0.9,171.0,False,-9.505301846140848e-05,0,0.2,47232,1,10,1.0,200.0,False,-0.00021122892991424106,0,0.2,77966,0,0,0.0,0.0,False,0.0,0,0.2,77966,0,0,0.0,0.0,False,0.0,0,0.2,95423.0,0,0,0.0,0.0,False,0.0,0,0.2,95423.0,0,0,0.0,0.0,False,0.0,0,0.2,132557,0,0,0.0,0.0,False,0.0,0,0.2,132557,0,0,0.0,0.0,False,0.0,0.2375,706376,0.0,0.0,6,0,0,262,0,0.0,787,1049,222,0.0,0.0,0,0,222,200,10.083038381300867,10.083038381300867
1,222,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,30.03846153846154,33,19.181818181818183,49.0,0,,0,0.2,47132,2,19,1.0,381.0,False,-0.00041189641333277006,0,0.2,47152,0,19,0.9,361.0,False,-0.000200667483418529,0,0.2,77966,0,0,0.0,0.0,False,0.0,0,0.2,77966,0,0,0.0,0.0,False,0.0,17,0.37000000000000005,94761.0,0,0,0.0,0.0,False,-0.006937530783982898,16,0.36000000000000004,94814.0,0,0,0.0,0.0,False,-0.0063821091351141754,0,0.2,132440,0,6,0.6,294.0,False,0.000226317735012108,0,0.2,132041,27,0,0.0,811.0384615384615,False,-0.0008334585818235206,0.3125,704272,0.0,0.0,7,0,0,30,10,10.0,195,225,224,3780.0,171.0,210,12,224,200,58.329314628615975,68.41235300991684
2,224,0,0,0,10.0,20,10.0,18.26530612244898,4,10.0,30.0,0,,28.17723004694836,15,19.466666666666665,49.0,0,,0,0.2,47032,4,27,1.0,533.1632653061224,False,-0.0009171215273317115,0,0.2,47092,0,25,0.8,456.6326530612245,False,-0.00045802191435482495,0,0.2,77946,0,2,0.2,60.0,False,0.000128261036862222,0,0.2,77946,0,2,0.2,60.0,False,0.000128261036862222,4,0.393,94657.0,0,0,0.0,0.0,False,-0.00802741477421586,11,0.45400000000000007,94455.0,0,0,0.0,0.0,False,-0.010144304832168344,0,0.2,132440,0,6,0.0,294.0,False,0.000226317735012108,0,0.2,131749,42,0,0.0,1183.443661971831,False,-0.0016315861781277766,0.275,703317,0.0,0.0,11,0,0,76,4,4.0,65,141,87,2252.0,985.0,126,98,87,240,49.24911727942526,117.6614702893421
3,87,0,0,0,10.0,20,10.0,19.705882352941178,12,25.0,30.0,0,,27.404700047236656,8,20.0,49.0,0,,0,0.2,46922,6,36,1.0,769.4117647058824,False,-0.0007455138702854934,0,0.2,47302,0,22,0.8,433.5294117647059,False,0.003733781967013424,0,0.2,77926,0,4,0.2,120.0,False,0.000256522073724444,0,0.2,77666,0,12,1.0,360.0,False,-0.001539132442346664,5,0.43900000000000006,94520.0,0,0,0.0,0.0,False,-0.009463127338272743,3,0.4730000000000001,94380.0,0,0,0.0,0.0,False,-0.010930278863586346,0,0.2,132440,0,6,0.0,294.0,False,0.000226317735012108,0,0.2,131589,50,0,0.0,1370.2350023618328,False,-0.002134044213576725,0.375,702745,0.0,0.0,10,0,0,10,3,3.0,24,34,30,378.0,258.0,21,66,30,500,7.678842544555664,125.34031283389777
4,30,0,0,0,10.0,20,10.0,20.7225156024964,12,25.0,27.818181818181817,10,18.0,25.07906187079821,41,20.75609756097561,49.0,11,49.0,0,0.2,46822,7,45,1.0,1002.513202112338,False,-0.0003959148101860642,0,0.2,47502,0,20,0.9,414.450312049928,False,0.007756857674474341,0,0.2,77626,2,14,1.0,430.89957665953824,False,-0.0015974939290232463,0,0.2,77846,0,2,0.0,55.63636363636363,False,-0.0011823335579845505,28,0.7140000000000002,93330.0,0,0,0.0,0.0,False,-0.021933915303438373,13,0.6000000000000001,93825.0,10,0,0.0,278.1818181818182,False,-0.015288862128722512,0,0.2,132440,0,6,0.0,294.0,False,0.000226317735012108,11,0.31000000000000005,130540,91,0,0.0,2282.1946302426372,False,-0.006607743724425525,0.3625,699931,0.0,0.0,9,0,0,10,9,9.0,22,32,35,291.0,69.0,17,13,35,680,4.922805465757847,130.26311829965562
5,35,0,0,0,10.0,20,10.0,21.404236841730615,14,24.142857142857142,27.818181818181817,0,,23.21024501106689,53,19.49056603773585,49.0,10,49.0,0,0.2,46742,7,53,1.0,1204.4245526117227,False,4.672967567609761e-05,0,0.2,47720,0,18,1.0,385.27626315115106,False,0.012053528190097142,0,0.2,77616,0,17,0.3,472.9090909090909,False,-0.0014563457730992467,0,0.2,77518,3,12,1.0,398.0308923433737,False,-0.0031935017036696972,16,0.8460000000000003,92810.0,0,0,0.0,0.0,False,-0.027383335254603187,37,0.9570000000000003,91958.0,10,0,0.0,278.1818181818182,False,-0.03485437568415464,0,0.2,132440,0,6,0.0,294.0,False,0.000226317735012108,10,0.399,129360,144,0,0.0,3342.275281593632,False,-0.011510990435836508,0.4125,696164,0.0,0.0,12,0,0,16,9,9.0,20,36,31,351.0,99.0,22,13,31,538,4.927681900560856,135.19080020021647
6,31,0,0,0,10.0,20,10.0,24.147247149438485,38,28.710526315789473,27.818181818181817,0,,22.635509820961538,22,18.90909090909091,49.0,7,49.0,0,0.2,47221,6,43,1.0,1098.3316274258548,False,0.009044100665644187,0,0.2,48132,1,10,1.0,251.47247149438485,False,0.019342998516057492,0,0.2,77094,8,27,1.0,944.2688862864169,False,-0.005128717092794192,0,0.2,76949,13,22,1.0,925.9142129427003,False,-0.007106211599012996,5,0.8800000000000001,92685.0,0,0,0.0,0.0,False,-0.02869329197363319,17,1.0900000000000003,91389.0,10,0,0.0,278.1818181818182,False,-0.040817298669179214,0,0.2,132440,0,6,0.0,294.0,False,0.000226317735012108,7,0.4590000000000001,128849,166,0,0.0,3757.494630279615,False,-0.013799744146745922,0.5,694759,0.0,0.0,10,0,0,13,5,5.0,20,33,35,345.0,93.0,20,11,35,1291,4.475930311717093,139.66673051193357
7,35,0,0,0,10.0,20,10.0,24.968824307099332,27,27.74074074074074,28.89156626506024,75,29.6,22.413093394337636,12,19.666666666666668,49.0,9,49.0,0,0.2,47570,7,36,1.0,968.877675055576,False,0.015048769328033985,0,0.2,48332,0,10,1.0,249.68824307099334,False,0.023548733081312532,3,0.23,77557,25,10,1.0,913.1362703280856,False,0.0006101138337741812,23,0.43000000000000005,76941,3,10,1.0,363.8221355719004,False,-0.010813546061283673,8,0.9550000000000001,91229.0,40,0,0.0,1155.6626506024097,False,-0.0378961956205401,4,1.1130000000000002,90289.0,45,0,0.0,1300.120481927711,False,-0.046990136120601406,0,0.2,132440,0,6,0.0,294.0,False,0.000226317735012108,9,0.542,128467,178,0,0.0,3989.5306241920994,False,-0.01580629229617413,0.5,692825,0.0,0.0,11,0,0,13,9,7.35,23,36,40,381.0,99.0,22,13,40,1829,4.737914947792888,144.40464545972645
8,40,0,0,0,10.0,20,10.0,25.530338032014832,27,27.74074074074074,29.481258078414477,4,46.0,20.773798255413908,87,18.057471264367816,49.0,8,49.0,0,0.2,47919,8,29,1.0,820.3798029284301,False,0.020852306650843196,0,0.2,48532,0,9,0.9,229.7730422881335,False,0.02756297835207774,0,0.227,76992,42,16,1.0,1543.9743265992547,False,-0.002591037589466923,0,0.40700000000000003,76941,0,13,0.3,383.2563550193882,False,-0.010688913404436532,52,1.467,87762.0,40,0,0.0,1179.250323136579,False,-0.07410555985906662,35,1.4590000000000003,88307.0,49,0,0.0,1444.5816458423094,False,-0.06700385836830575,0,0.2,132440,0,6,0.0,294.0,False,0.000226317735012108,8,0.6130000000000002,126774,265,0,0.0,5505.056537684685,False,-0.02286164994046073,0.4,685667,0.0,0.0,10,0,0,15,12,12.0,22,37,41,366.0,129.0,22,18,41,1133,5.035949496552348,149.4405949562788
9,41,0,0,0,10.000000000000002,20,10.0,26.04672381958971,44,27.454545454545453,30.749879854952162,10,44.0,20.745144872879433,8,20.0,49.00000000000001,10,49.0,5,0.25,48612,9,10,1.0,350.4672381958971,False,0.030527515083814533,1,0.21000000000000002,48709,0,9,0.9,234.4205143763074,False,0.03135081443935945,0,0.227,76074,66,26,1.0,2518.5806483216775,False,-0.008115199905589055,0,0.40700000000000003,77091,0,13,1.0,399.74843811437813,False,-0.008659233267614167,4,1.4550000000000003,87222.0,50,0,0.0,1537.4939927476082,False,-0.0778874380770484,4,1.4640000000000004,88207.0,49,0,0.0,1506.744112892656,False,-0.06772610317799346,0,0.2,132440,0,6,0.0,294.00000000000006,False,0.000226317735012108,10,0.7050000000000001,126436,273,0,0.0,5663.424550296085,False,-0.024814138256387445,0.4875,684791,0.0,0.0,10,0,0,20,8,6.394117647058824,19,39,43,435.0,138.0,25,16,43,1099,7.677684537135065,157.11827949341387
