index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,28.0,0,,37.0,0,,55.0,0,,0,0.2,57643,3,10,1.0,240.0,False,-0.00017309123639070153,0,0.2,57703,7,0,0.0,70.0,False,-0.0006058193273674554,0,0.2,89548,0,0,0.0,0.0,False,0.0,0,0.2,89548.0,0,0,0.0,0.0,False,0.0,0,0.2,104501,0,0,0.0,0.0,False,0.0,0,0.2,104501,0,0,0.0,0.0,False,0.0,0,0.2,148171,0,0,0.0,0.0,False,0.0,0,0.2,148171,0,0,0.0,0.0,False,0.0,0.125,799786,0.0,0.0,10,0,0,319,0,0.0,1028,1347,184,0.0,0.0,0,0,184,200,12.990850498026703,12.990850498026703
1,184,0,0,0,10.0,20,10.0,21.0,0,,28.0,0,,29.732758620689655,71,25.12676056338028,55.0,0,,0,0.2,57563,1,20,1.0,430.0,False,8.654561819535076e-05,0,0.2,57583,19,0,0.0,190.0,False,-0.0016443667457116647,0,0.2,89548,0,0,0.0,0.0,False,0.0,0,0.2,89548.0,0,0,0.0,0.0,False,0.0,15,0.35000000000000003,103758,0,0,0.0,0.0,False,-0.007109979808805658,56,0.76,101209,0,0,0.0,0.0,False,-0.0315020908890824,0,0.2,148023,2,10,1.0,609.4655172413793,False,0.0010577829576684755,0,0.2,146535,59,0,0.0,1754.2327586206895,False,-0.0051216744213756545,0.25,793767,0.0,0.0,8,0,0,19,14,14.0,176,195,141,2392.0,45.0,178,6,141,200,35.88210477400571,48.872955272032414
2,141,0,0,0,10.0,20,10.0,20.782608695652176,1,11.0,26.3125,3,1.0,28.396792189679218,39,24.82051282051282,55.0,0,,0,0.2,57453,2,30,1.0,643.4782608695652,False,3.010282372014391e-05,1,0.21000000000000002,57479,28,0,0.0,280.0,False,-0.0026656050404168037,0,0.2,89537,0,1,0.1,26.3125,False,2.4079264751864923e-05,3,0.23,89449.0,0,0,0.0,0.0,False,-0.0011055523294769285,21,0.5450000000000002,102806,0,0,0.0,0.0,False,-0.016219940479038478,18,0.8840000000000001,100942,3,0,0.0,78.9375,False,-0.033679402589448904,0,0.2,148023,0,12,0.2,660.0,False,0.0012283105331002693,0,0.2,145567,98,0,0.0,2782.8856345885633,False,-0.008183498678592494,0.1625,791256,0.0,0.0,10,0,0,46,12,12.0,112,158,108,2026.0,14.0,140,1,108,200,19.765980923955794,68.63893619598821
3,108,0,0,0,10.0,20,10.0,20.470046082949313,2,14.0,20.91687979539642,35,14.257142857142858,27.74527611849323,35,25.34285714285714,55.0,0,,0,0.2,57343,3,40,1.0,848.8018433179725,False,-9.691513926948814e-05,2,0.229,57366,37,0,0.0,370.0,False,-0.0038426254478735743,0,0.2,89526,0,2,0.1,41.83375959079284,False,-1.2095414801114128e-05,35,0.5770000000000002,88058.0,1,0,0.0,20.470046082949313,False,-0.01652482441772598,19,0.7140000000000002,101551,26,0,0.0,543.8388746803068,False,-0.02562731995540564,16,1.026,100666,12,0,0.0,251.00255754475702,False,-0.03549725573178838,0,0.2,148023,0,12,0.0,660.0,False,0.0012283105331002693,0,0.2,144680,133,0,0.0,3690.1217237595997,False,-0.01110837571535716,0.1375,787213,0.0,0.0,9,0,0,20,18,18.0,68,88,29,1046.0,130.0,69,39,29,200,7.594488528964575,76.23342472495278
4,29,0,0,0,10.0,20,10.0,21.6052691346809,49,22.510204081632654,19.269647109764016,22,14.0,28.029503870706364,35,29.228571428571428,55.0,12,55.0,0,0.2,57771,3,34,1.0,764.5791505791506,False,0.006582479277336789,33,0.557,56696,47,0,0.0,470.0,False,-0.01457428210409707,0,0.2,88987,7,12,1.0,382.4726492599345,False,-0.004129223158194883,22,0.7620000000000002,86804.0,33,0,0.0,712.9738814444697,False,-0.026661824488294225,26,0.9550000000000001,100416,39,0,0.0,751.5162372807966,False,-0.03549479795752769,9,1.1,100482,21,0,0.0,404.6625893050443,False,-0.03652279600527721,0,0.2,148023,0,12,0.0,660.0,False,0.0012283105331002693,12,0.32000000000000006,143385,168,0,0.0,4708.956650278669,False,-0.01641024002578559,0.25,782564,0.0,0.0,11,0,0,9,21,21.0,32,41,23,329.0,30.0,23,6,23,728,3.9836075350176543,80.21703225997044
5,23,0,0,0,10.0,20,10.0,22.60777169377328,19,26.789473684210527,16.314854363172568,18,2.6666666666666665,27.849542838265254,36,27.02777777777778,54.99999999999999,7,55.0,0,0.2,58022,2,33,1.0,766.0564658945183,False,0.010939854827467175,8,0.6040000000000001,56538,58,0,0.0,580.0,False,-0.016357121838921296,0,0.2,88646,8,22,1.0,539.7889695399828,False,-0.007058845705431841,18,0.9200000000000002,85933.0,41,0,0.0,926.9186394447045,False,-0.03519387010628536,10,1.0290000000000001,100064,39,0,0.0,636.2793201637302,False,-0.03941455430970163,26,1.3510000000000002,99701,39,0,0.0,636.2793201637302,False,-0.04288820527954881,0,0.2,148023,0,12,0.0,659.9999999999999,False,0.0012283105331002693,7,0.37800000000000006,142291,204,0,0.0,5681.3067390061115,False,-0.020512425714187887,0.25,779218,0.0,0.0,11,0,0,8,15,15.0,29,37,21,278.0,12.0,19,4,21,541,3.569438648002688,83.78647090797313
6,21,0,0,0,10.0,20,10.0,22.97015116431686,35,23.88571428571429,14.88911155584457,20,8.4,27.804912210544657,10,27.0,55.0,13,55.0,0,0.2,58598,4,22,1.0,545.3433256149709,False,0.018999734526638508,14,0.736,56248,66,0,0.0,660.0,False,-0.020684402748688834,0,0.2,88218,21,32,1.0,958.8247442376803,False,-0.009498678115437116,20,1.1020000000000003,84810.0,53,0,0.0,1217.4180117087935,False,-0.04611259876430073,3,1.0490000000000002,99799,59,0,0.0,878.4575817948296,False,-0.040791678635635924,7,1.3950000000000002,99624,39,0,0.0,580.6753506779382,False,-0.04389108548876111,0,0.2,148023,0,12,0.0,660.0,False,0.0012283105331002693,13,0.5010000000000001,141699,214,0,0.0,5950.2512130565565,False,-0.023600261815549063,0.25,777019,0.0,0.0,11,0,0,11,15,15.0,28,39,20,278.0,6.0,19,2,20,896,3.262241725984495,87.04871263395762
7,20,0,0,0,10.0,20,10.0,22.294014255014382,82,21.378048780487806,14.825202346270471,55,14.709090909090909,25.876926695811747,22,10.863636363636363,55.0,11,55.0,0,0.2,59122,3,15,1.0,364.41021382521575,False,0.026503818512326,65,1.372,54530,77,0,0.0,770.0,False,-0.0494694753604625,0,0.2,88417,21,15,1.0,690.5523345493591,False,-0.008774331450454666,28,1.362,82344.0,125,0,0.0,2786.751781876798,False,-0.0648883739342207,22,1.2660000000000002,98193,81,0,0.0,1200.8413900479081,False,-0.054617461124544645,0,1.3880000000000001,99358,72,0,0.0,1067.414568931474,False,-0.044107642180785465,0,0.2,148023,0,12,0.0,660.0,False,0.0012283105331002693,11,0.5980000000000001,141222,236,0,0.0,6106.954700211572,False,-0.026290722542833662,0.25,771209,0.0,0.0,12,0,0,10,17,17.0,26,36,18,248.0,9.0,17,3,18,1333,3.3514760439866222,90.40018867794424
8,18,0,0,0,10.0,20,10.0,22.47597221672034,5,28.8,13.584170559987886,48,9.979166666666666,25.903411381324524,27,26.074074074074073,55.0,11,55.0,0,0.2,59146,0,22,0.9,494.4713887678475,False,0.028044859958526056,3,1.337,54375,91,0,0.0,910.0,False,-0.05094075086978346,6,0.26,88626,11,10,1.0,383.0773999838026,False,-0.008157203957744458,27,1.6040000000000003,81101.0,130,0,0.0,2921.876388173644,False,-0.07801471619593046,15,1.3940000000000003,97797,81,0,0.0,1100.3178153590188,False,-0.05888786798519147,12,1.5080000000000002,98687,120,0,0.0,1630.1004671985463,False,-0.0478363821054413,0,0.2,148023,0,12,0.0,660.0,False,0.0012283105331002693,11,0.6970000000000001,140268,263,0,0.0,6812.597193288349,False,-0.030348053285432622,0.2375,768023,0.0,0.0,11,0,0,12,13,12.375,23,35,21,216.0,6.0,16,2,21,489,3.6233573210192844,94.02354599896353
9,21,0,0,0,10.000000000000002,20,10.0,23.581003507974337,21,32.04761904761905,12.79945154800658,48,10.041666666666666,26.963330669504774,47,31.04255319148936,55.0,11,55.0,0,0.2,59574,4,16,1.0,417.2960561275894,False,0.03478524618876969,5,1.3840000000000003,54295,97,0,0.0,970.0000000000002,False,-0.05180620705173697,0,0.254,89005,1,13,1.0,189.97387363205988,False,-0.005003049349890239,41,1.987,78393.0,151,0,0.0,3560.731529704125,False,-0.10468837087537343,24,1.6190000000000002,96562,101,0,0.0,1292.7446063486645,False,-0.06978524317303826,23,1.7260000000000002,98094,148,0,0.0,1894.318829104974,False,-0.05224677836047036,0,0.2,148023,0,12,0.0,660.0,False,0.0012283105331002693,11,0.796,138557,310,0,0.0,8358.63250754648,False,-0.03667845763494052,0.25,762503,0.0,0.0,13,0,0,13,20,20.0,23,36,19,234.0,16.0,18,3,19,1147,6.567751176015008,100.59129717497854
